"","Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"66","Gonzalez","1","F","VA","VA48",0.866666667,NA,0.866666667,0.866666667,0.866666667,NA,NA,0.866666667
"67","Gonzalez","1","F","VA","VA57",0.7,NA,0.7,0.7,0.7,NA,NA,0.7
"68","Gonzalez","1","F","VA","VA6",1,NA,1,1,1,NA,NA,1
"69","Gonzalez","1","F","VA","VA67",0.894736842,NA,0.894736842,0.894736842,0.894736842,NA,NA,0.894736842
"70","Gonzalez","1","F","VA","VA9",0.8,NA,0.8,0.8,0.8,NA,NA,0.8
"71","Gonzalez","1","F","YE","YE13",1,NA,1,1,1,NA,NA,1
"72","Gonzalez","1","F","YE","YE15",1,NA,1,1,1,NA,NA,1
"73","Gonzalez","1","F","YE","YE26",0.9,NA,0.9,0.9,0.9,NA,NA,0.9
"74","Gonzalez","1","F","YE","YE48",1,NA,1,1,1,NA,NA,1
"75","Gonzalez","1","F","YE","YE80",1,NA,1,1,1,NA,NA,1
"76","Gonzalez","1","M","AK","AK1",0.7,NA,0.7,0.7,0.7,NA,NA,0.7
"77","Gonzalez","1","M","AK","AK10",0.8,NA,0.8,0.8,0.8,NA,NA,0.8
"78","Gonzalez","1","M","AK","AK11",0.5,NA,0.5,0.5,0.5,NA,NA,0.5
"79","Gonzalez","1","M","AK","AK12",1,NA,1,1,1,NA,NA,1
"80","Gonzalez","1","M","AK","AK14",0.722222222,NA,0.722222222,0.722222222,0.722222222,NA,NA,0.722222222
"81","Gonzalez","1","M","AK","AK15",0.7,NA,0.7,0.7,0.7,NA,NA,0.7
"82","Gonzalez","1","M","AK","AK17",0.947368421,NA,0.947368421,0.947368421,0.947368421,NA,NA,0.947368421
"83","Gonzalez","1","M","AK","AK18",0.95,NA,0.95,0.95,0.95,NA,NA,0.95
"84","Gonzalez","1","M","AK","AK21",0.947368421,NA,0.947368421,0.947368421,0.947368421,NA,NA,0.947368421
"85","Gonzalez","1","M","AK","AK3",0.625,NA,0.625,0.625,0.625,NA,NA,0.625
"86","Gonzalez","1","M","AK","AK4",0.944444444,NA,0.944444444,0.944444444,0.944444444,NA,NA,0.944444444
"87","Gonzalez","1","M","AK","AK6",0.133333333,NA,0.133333333,0.133333333,0.133333333,NA,NA,0.133333333
"88","Gonzalez","1","M","AK","AK8",0.388888889,NA,0.388888889,0.388888889,0.388888889,NA,NA,0.388888889
"89","Gonzalez","1","M","GI","GI1",0.941176471,NA,0.941176471,0.941176471,0.941176471,NA,NA,0.941176471
"90","Gonzalez","1","M","GI","GI13",0.692307692,NA,0.692307692,0.692307692,0.692307692,NA,NA,0.692307692
"91","Gonzalez","1","M","GI","GI15",0.65,NA,0.65,0.65,0.65,NA,NA,0.65
"92","Gonzalez","1","M","GI","GI2",0.4,NA,0.4,0.4,0.4,NA,NA,0.4
"93","Gonzalez","1","M","GI","GI4",0.882352941,NA,0.882352941,0.882352941,0.882352941,NA,NA,0.882352941
"94","Gonzalez","1","M","GI","GI6",0.85,NA,0.85,0.85,0.85,NA,NA,0.85
"95","Gonzalez","1","M","GI","GI8",0.333333333,NA,0.333333333,0.333333333,0.333333333,NA,NA,0.333333333
"96","Gonzalez","1","M","GI","GI9",0.947368421,NA,0.947368421,0.947368421,0.947368421,NA,NA,0.947368421
"97","Gonzalez","1","M","KA","KA1",0.933333333,NA,0.933333333,0.933333333,0.933333333,NA,NA,0.933333333
"98","Gonzalez","1","M","KA","KA10",0.368421053,NA,0.368421053,0.368421053,0.368421053,NA,NA,0.368421053
"99","Gonzalez","1","M","KA","KA2",0.388888889,NA,0.388888889,0.388888889,0.388888889,NA,NA,0.388888889
"100","Gonzalez","1","M","KA","KA3",1,NA,1,1,1,NA,NA,1
"101","Gonzalez","1","M","KA","KA5",0.444444444,NA,0.444444444,0.444444444,0.444444444,NA,NA,0.444444444
"102","Gonzalez","1","M","KA","KA7",0.666666667,NA,0.666666667,0.666666667,0.666666667,NA,NA,0.666666667
