"","Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"497","Kozeretska","M","MA","MA27",0.4,0.212132034355964,0.4,0.25,0.55,0.15,0.530330085889911,0.25
"498","Kozeretska","M","MA","MA28",0.75,NA,0.75,0.75,0.75,NA,NA,0.75
"499","Kozeretska","M","MA","MA3",0.95,0,0.95,0.95,0.95,0,0,0.95
"500","Kozeretska","M","MA","MA30",0.525,0.601040764008565,0.525,0.1,0.95,0.425,1.14483955049251,0.1
"501","Kozeretska","M","MA","MA31",0.716666666666667,0.407226390762354,0.9,0.25,1,0.235112266327765,0.568222870831191,1
"502","Kozeretska","M","MA","MA32",0.35,0.212132034355964,0.35,0.2,0.5,0.15,0.606091526731326,0.5
"503","Kozeretska","M","MA","MA33",0.85,NA,0.85,0.85,0.85,NA,NA,0.85
"504","Kozeretska","M","MA","MA5",0.5,NA,0.5,0.5,0.5,NA,NA,0.5
"505","Kozeretska","M","MA","MA6",0.8,NA,0.8,0.8,0.8,NA,NA,0.8
"506","Kozeretska","M","MA","MA7",0.9,0.0707106781186547,0.9,0.85,0.95,0.05,0.0785674201318386,0.85
"507","Kozeretska","M","MA","MA9",0.85,0.0707106781186547,0.85,0.8,0.9,0.05,0.0831890330807703,0.9
"508","Kozeretska","M","MU","MU1",0.8,0.212132034355964,0.8,0.65,0.95,0.15,0.265165042944955,0.95
"509","Kozeretska","M","MU","MU11",0.675,0.388908729652601,0.675,0.4,0.95,0.275,0.576161080966816,0.95
"510","Kozeretska","M","MU","MU12",0.925,0.0353553390593273,0.925,0.9,0.95,0.025,0.0382219881722458,0.9
"511","Kozeretska","M","MU","MU13",0.95,0.0707106781186547,0.95,0.9,1,0.05,0.0744322927564787,1
"512","Kozeretska","M","MU","MU14",0.275,0.0353553390593274,0.275,0.25,0.3,0.025,0.128564869306645,0.3
"513","Kozeretska","M","MU","MU15",0.3,0,0.3,0.3,0.3,0,0,0.3
"514","Kozeretska","M","MU","MU16",0.9,NA,0.9,0.9,0.9,NA,NA,0.9
"515","Kozeretska","M","MU","MU17",0.65,0.494974746830583,0.65,0.3,1,0.35,0.76149961050859,0.3
"516","Kozeretska","M","MU","MU18",0.05,0.0707106781186548,0.05,0,0.1,0.05,1.4142135623731,0.1
"517","Kozeretska","M","MU","MU2",0.7,0.0707106781186547,0.7,0.65,0.75,0.05,0.101015254455221,0.75
"518","Kozeretska","M","MU","MU20",0.3,NA,0.3,0.3,0.3,NA,NA,0.3
"519","Kozeretska","M","MU","MU3",0.625,0.247487373415292,0.625,0.45,0.8,0.175,0.395979797464467,0.45
"520","Kozeretska","M","MU","MU5",0.7,0.353553390593274,0.7,0.45,0.95,0.25,0.505076272276105,0.95
"521","Kozeretska","M","MU","MU6",0.35,0.353553390593274,0.35,0.1,0.6,0.25,1.01015254455221,0.6
"522","Kozeretska","M","MU","MU7",0.675,0.388908729652601,0.675,0.4,0.95,0.275,0.576161080966816,0.4
"523","Kozeretska","M","MU","MU8",0.6,0.565685424949238,0.6,0.2,1,0.4,0.942809041582063,1
"524","Kozeretska","M","MU","MU9",0.775,0.0353553390593274,0.775,0.75,0.8,0.025,0.045619792334616,0.8
"525","Kozeretska","M","RE","RE1",0.45,0.353553390593274,0.45,0.2,0.7,0.25,0.785674201318386,0.2
