"Country","Population","Line","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"Turkey","YE","YE11",-1.3797176169181,-2.52516753594999,-1.66970212547603,1.02965835205176,0.139636796581505
"Turkey","YE","YE13",-1.31451186274721,-0.677184486532718,0.145247353076996,-0.0491619420949244,-0.0750446036407252
"Turkey","YE","YE14",-2.5153301468643,-2.66603252424991,0.386526021791596,1.01493677549983,0.0230164509117547
"Turkey","YE","YE15",-0.00891442653311404,-1.49682616880268,-1.43452661458205,-0.862225905406683,1.91916124146978
"Turkey","YE","YE19",-1.40399079582594,-0.47283334666987,0.4040022948442,-1.15644697296984,1.62757961320412
"Turkey","YE","YE20",-1.31031236546753,-1.86686831997386,0.201005496083721,-0.431830179792128,0.874668573132891
"Turkey","YE","YE21",0.985517025868005,-1.86354004582175,1.13642378299344,-0.857888427719279,-0.0995337841538897
"Turkey","YE","YE22",-1.41164028524197,-0.19914341316596,0.304603266874469,-0.62192615674311,0.864130878841284
"Turkey","YE","YE23",-1.25314939285209,-1.72326611922599,-0.260075262089296,0.0119933982725451,0.67282719739352
"Turkey","YE","YE24",0.297017171859979,-1.20151658871326,-0.214690684858319,-0.61157482527026,0.18888951269713
"Turkey","YE","YE26",-0.982797457598072,-1.54403666801442,-0.178225283104296,-0.259905786896261,0.341937868632061
"Turkey","YE","YE27",0.970403693481998,-2.69764098240448,-0.472572002539095,-0.546733856683263,0.526943498558261
"Turkey","YE","YE33",0.194255556402009,0.123412408270965,-0.4751078631459,2.32153163862897,-0.0728255413997803
"Turkey","YE","YE40",-1.2377209999424,-0.430369654827626,-1.02137760388956,-0.853555255030367,-0.344584174059777
"Turkey","YE","YE41",-1.01711396248369,-2.03384059620289,-1.31834207663906,0.443216086724001,2.38371908231274
"Turkey","YE","YE48",-2.35821376747136,-1.34071241168264,0.836979673894944,-0.722020546882962,-0.801734432270859
"Turkey","YE","YE49",-1.654134893842,-1.48993501285939,2.06319630206785,0.639507041838307,0.598925533790826
"Turkey","YE","YE51",-2.02757994304926,-1.45910872703022,0.2488672796794,2.00456939847507,1.12870617521058
