Supervisor.PI,Diet,Batch,Population,Line,ReplicateVialOld,ReplivateVial,Treatment,FliesNonInfected,FliesInfected,FliesControl,HostResistance,Virulence,Lethality
Hrcek,NS,1,VA,VA9,7,Hrcek_1_VA9_7,parasitoid,20,31,61.66666667,0.324324324,0.502702703,0.172972973
Hrcek,NS,1,VA,VA9,6,Hrcek_1_VA9_6,parasitoid,19,32,61.66666667,0.308108108,0.518918919,0.172972973
Hrcek,NS,1,VA,VA9,4,Hrcek_1_VA9_4,parasitoid,14,36,61.66666667,0.227027027,0.583783784,0.189189189
Hrcek,NS,3,YE,YE11,10,Hrcek_3_YE11_10,parasitoid,3,17,18.5,0.162162162,0.918918919,-0.081081081
Hrcek,NS,3,YE,YE11,5,Hrcek_3_YE11_5,parasitoid,1,15,18.5,0.054054054,0.810810811,0.135135135
Hrcek,NS,3,YE,YE11,6,Hrcek_3_YE11_6,parasitoid,1,9,18.5,0.054054054,0.486486486,0.459459459
Hrcek,NS,3,YE,YE11,7,Hrcek_3_YE11_7,parasitoid,1,10,18.5,0.054054054,0.540540541,0.405405405
Hrcek,NS,3,YE,YE11,8,Hrcek_3_YE11_8,parasitoid,0,7,18.5,0,0.378378378,0.621621622
Hrcek,NS,3,YE,YE11,9,Hrcek_3_YE11_9,parasitoid,1,18,18.5,0.054054054,0.972972973,-0.027027027
Hrcek,NS,4,YE,YE19,10,Hrcek_4_YE19_10,parasitoid,6,27,55,0.109090909,0.490909091,0.4
Hrcek,NS,4,YE,YE19,5,Hrcek_4_YE19_5,parasitoid,14,15,55,0.254545455,0.272727273,0.472727273
Hrcek,NS,4,YE,YE19,6,Hrcek_4_YE19_6,parasitoid,19,5,55,0.345454545,0.090909091,0.563636364
Hrcek,NS,4,YE,YE19,7,Hrcek_4_YE19_7,parasitoid,2,21,55,0.036363636,0.381818182,0.581818182
Hrcek,NS,4,YE,YE19,8,Hrcek_4_YE19_8,parasitoid,12,13,55,0.218181818,0.236363636,0.545454545
Hrcek,NS,4,YE,YE19,9,Hrcek_4_YE19_9,parasitoid,39,2,55,0.709090909,0.036363636,0.254545455
Hrcek,NS,1,YE,YE20,9,Hrcek_1_YE20_9,parasitoid,9,55,19.75,0.455696203,2.784810127,-2.240506329
Hrcek,NS,1,YE,YE20,8,Hrcek_1_YE20_8,parasitoid,5,8,19.75,0.253164557,0.405063291,0.341772152
Hrcek,NS,1,YE,YE20,5,Hrcek_1_YE20_5,parasitoid,2,11,19.75,0.101265823,0.556962025,0.341772152
Hrcek,NS,1,YE,YE20,10,Hrcek_1_YE20_10,parasitoid,0,39,19.75,0,1.974683544,-0.974683544
Hrcek,NS,1,YE,YE20,6,Hrcek_1_YE20_6,parasitoid,0,12,19.75,0,0.607594937,0.392405063
Hrcek,NS,1,YE,YE20,7,Hrcek_1_YE20_7,parasitoid,0,18,19.75,0,0.911392405,0.088607595
Hrcek,NS,1,YE,YE23,6,Hrcek_1_YE23_6,parasitoid,13,21,40.5,0.320987654,0.518518519,0.160493827
Hrcek,NS,1,YE,YE23,5,Hrcek_1_YE23_5,parasitoid,11,4,40.5,0.271604938,0.098765432,0.62962963
Hrcek,NS,1,YE,YE23,10,Hrcek_1_YE23_10,parasitoid,10,34,40.5,0.24691358,0.839506173,-0.086419753
Hrcek,NS,1,YE,YE23,7,Hrcek_1_YE23_7,parasitoid,2,35,40.5,0.049382716,0.864197531,0.086419753
Hrcek,NS,1,YE,YE23,8,Hrcek_1_YE23_8,parasitoid,1,45,40.5,0.024691358,1.111111111,-0.135802469
Hrcek,NS,1,YE,YE23,9,Hrcek_1_YE23_9,parasitoid,0,26,40.5,0,0.641975309,0.358024691
Hrcek,NS,3,YE,YE24,10,Hrcek_3_YE24_10,parasitoid,9,24,44.5,0.202247191,0.539325843,0.258426966
Hrcek,NS,3,YE,YE24,5,Hrcek_3_YE24_5,parasitoid,7,26,44.5,0.157303371,0.584269663,0.258426966
Hrcek,NS,3,YE,YE24,6,Hrcek_3_YE24_6,parasitoid,18,19,44.5,0.404494382,0.426966292,0.168539326
Hrcek,NS,3,YE,YE24,7,Hrcek_3_YE24_7,parasitoid,6,28,44.5,0.134831461,0.629213483,0.235955056
Hrcek,NS,3,YE,YE24,9,Hrcek_3_YE24_9,parasitoid,7,27,44.5,0.157303371,0.606741573,0.235955056
Hrcek,NS,3,YE,YE26,10,Hrcek_3_YE26_10,parasitoid,46,17,24,1.916666667,0.708333333,-1.625
Hrcek,NS,3,YE,YE26,5,Hrcek_3_YE26_5,parasitoid,9,11,24,0.375,0.458333333,0.166666667
Hrcek,NS,3,YE,YE26,6,Hrcek_3_YE26_6,parasitoid,3,14,24,0.125,0.583333333,0.291666667
Hrcek,NS,3,YE,YE26,7,Hrcek_3_YE26_7,parasitoid,29,8,24,1.208333333,0.333333333,-0.541666667
Hrcek,NS,3,YE,YE26,8,Hrcek_3_YE26_8,parasitoid,30,3,24,1.25,0.125,-0.375
Hrcek,NS,3,YE,YE26,9,Hrcek_3_YE26_9,parasitoid,43,28,24,1.791666667,1.166666667,-1.958333333
