"","Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Onder","F","AK","AK1",2832.3428442,111.34054226781,2861.781725,2418.259069,2970.557371,20.327908854979,0.0393104042809685,2841.014555
"2","Onder","F","AK","AK10",2756.04433770968,70.7707620769413,2769.297187,2563.445784,2880.410309,12.7108040974941,0.0256783830029937,2739.139318
"3","Onder","F","AK","AK11",2816.43880806667,64.0119812324401,2809.8252135,2649.11882,2902.605697,11.6869353572016,0.0227279857986266,2857.104009
"4","Onder","F","AK","AK12",2891.16071026667,64.5383974970184,2896.556694,2733.945902,2990.393426,11.7830453781173,0.0223226599849116,2985.894291
"5","Onder","F","AK","AK13",2962.70149456667,55.6258177224573,2959.623347,2851.299398,3064.18918,10.1558383820868,0.0187753703248438,3064.18918
"6","Onder","F","AK","AK14",2870.69229346667,95.1043114570849,2886.218853,2644.783703,3000.878587,17.3635922336808,0.0331293993694588,2769.85737
"7","Onder","F","AK","AK15",2818.6194877,90.9200780896841,2835.17013,2412.359794,2935.557273,16.5996592332837,0.032256953620893,2887.181659
"8","Onder","F","AK","AK16",2879.47330036667,58.8512216234605,2881.259711,2734.806193,2968.615416,10.7447138733017,0.0204381897258664,2838.600644
"9","Onder","F","AK","AK17",2811.51213426667,82.0552294369423,2816.8326985,2674.750582,2934.597573,14.9811667079584,0.0291854438175295,2674.750582
"10","Onder","F","AK","AK18",2849.0427087,68.4653532485987,2841.177747,2639.866325,3036.409204,12.5000061272724,0.0240310027784171,2936.087106
"11","Onder","F","AK","AK2",2762.27483759375,100.0234389139,2781.1751935,2390.351982,2894.19624,17.6818129834043,0.0362105311001681,2824.535112
"12","Onder","F","AK","AK20",2823.2341015,57.586562464012,2827.632284,2672.58632,2942.413858,10.5138197569065,0.020397374214705,2858.192662
"13","Onder","F","AK","AK21",2822.69192903333,64.2384105477173,2817.769604,2646.114095,2958.37207,11.7282755050875,0.0227578539078179,2790.732952
"14","Onder","F","AK","AK3",2860.50517353333,69.5286712869501,2878.8802685,2595.834008,2939.021183,12.6941405524081,0.024306430881601,2879.277779
