"","Supervisor.PI","Batch","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Onder","1","F","AK",2775.67017284426,102.79248702368,2785.638473,2383.62163,2967.520076,9.30639450025474,0.0370333939635007,2842.383223
"2","Onder","1","F","GI",2830.81450443443,80.8898501333087,2827.048671,2531.322708,3026.243456,7.32342292908662,0.0285747617890879,2809.515057
"3","Onder","1","F","KA",2856.33646575,78.6293725213126,2856.7275955,2575.067599,3019.984514,6.84380842888873,0.0275280498163113,2981.215439
"4","Onder","1","F","MA",2903.38550943421,77.1215745078295,2900.5580405,2703.365393,3068.73746,6.25538570825104,0.0265626367071241,2825.040314
"5","Onder","1","F","MU",2872.25271066316,86.9609637486744,2877.232256,2593.888619,3127.768141,8.92200662826018,0.0302762230585889,2854.969579
"6","Onder","1","F","RE",2902.52740512903,83.6810016680851,2916.52572,2691.931929,3054.731491,15.0295515784995,0.0288303915822511,3054.731491
"7","Onder","1","F","UM",2916.0923133125,97.9082556667963,2923.45745,2721.326586,3097.56229,12.2385319583495,0.0335751564584657,2798.192254
"8","Onder","1","F","VA",2844.30568043548,101.021096224954,2849.1598295,2621.005407,3124.579436,9.07196224927941,0.0355169618089316,2802.435143
"9","Onder","1","F","YE",2794.71823149451,120.185408479722,2809.084278,2447.563214,3038.053492,12.5988541304522,0.0430044814984628,2704.257587
"10","Onder","1","M","AK",2417.35211436975,69.6508532990431,2407.534384,2198.181292,2603.516162,6.38488325359653,0.0288128704482104,2536.739563
"11","Onder","1","M","GI",2443.30030097581,74.4254849107991,2448.4247845,2253.557221,2626.098473,6.68360584794663,0.0304610468394225,2539.514915
"12","Onder","1","M","KA",2478.45031432558,68.1767004024383,2483.025933,2216.473486,2619.737695,6.00262376596173,0.0275077938857088,2541.817187
"13","Onder","1","M","MA",2513.22611076667,75.9357481561196,2513.3004295,2302.021505,2718.10334,6.20012787396606,0.030214451390112,2520.013568
"14","Onder","1","M","MU",2479.64558405495,72.6469458016556,2482.747783,2263.725897,2659.311489,7.61546917180346,0.0292973101756165,2381.195648
"15","Onder","1","M","RE",2509.16849666667,62.2447554821785,2515.4683365,2336.114084,2606.740908,11.3642855546608,0.0248069253080725,2579.324226
"16","Onder","1","M","UM",2534.8112028125,86.1668269291613,2513.703983,2368.494815,2669.958533,10.7708533661452,0.0339933904479966,2459.305119
"17","Onder","1","M","VA",2453.71502127419,85.6319639321822,2448.5222325,2275.231529,2694.7186,7.68997737259274,0.0348989035767137,2521.846575
"18","Onder","1","M","YE",2405.91565896667,88.5234495520679,2413.310804,2133.358076,2582.011099,9.33119089731822,0.0367940784715988,2482.751187
"19","Onder","2","F","AK",2827.50302737086,88.6214155390936,2822.888777,2570.578014,3056.578444,7.21190851656775,0.0313426421408637,2738.714395
"20","Onder","2","F","GI",2888.41025917877,81.4762619646255,2895.4652,2505.406968,3072.982646,6.08982174186109,0.0282079949362147,2887.637443
"21","Onder","2","F","KA",2903.23026931405,86.1681749294527,2897.562785,2672.952974,3119.020615,7.83347044813207,0.0296801035178694,2985.318834
"22","Onder","2","F","MA",2910.35091824841,90.2807007409065,2914.052825,2614.411641,3108.336189,7.20518431818638,0.0310205550041511,2816.932088
"23","Onder","2","F","MU",2877.56095378889,102.408236886265,2887.394366,2542.883028,3146.922708,7.633059304453,0.0355885552142428,2850.478643
"24","Onder","2","F","RE",2986.1312307871,120.430524325868,3003.603195,2533.411417,3184.656578,9.67321249283998,0.0403299503666235,3000.294736
"25","Onder","2","F","UM",2938.31829113333,95.5777529215363,2936.8669275,2690.275505,3181.123613,8.72501521179679,0.0325280461309967,2840.707421
"26","Onder","2","F","VA",2872.54446749342,95.5251615900908,2872.3421955,2633.194155,3137.446938,7.74811373344513,0.0332545458115905,2792.644113
"27","Onder","2","F","YE",2839.89356511392,102.757629874706,2850.20815,2481.487936,3115.118151,8.17495809514563,0.0361836200965455,2867.04704
"28","Onder","2","M","AK",2438.99820239474,99.7301295968137,2452.0582605,2059.33267,2628.024934,8.08918167637512,0.0408897921691346,2351.737416
"29","Onder","2","M","GI",2489.24939793478,77.0963356060739,2487.9833115,2251.317093,2678.108961,5.68361726706699,0.0309717200976476,2673.415774
"30","Onder","2","M","KA",2509.47461398319,90.407572364156,2497.692794,2196.932656,2891.681007,8.2876485706191,0.0360264940957723,2520.735598
"31","Onder","2","M","MA",2505.80531565132,67.5007722491627,2509.7369385,2329.084463,2659.922978,5.47503560084156,0.0269377560289905,2488.172412
"32","Onder","2","M","MU",2486.56560626667,74.3188198591735,2487.183935,2262.817944,2671.772876,5.53939777375578,0.0298881395575787,2590.27361
"33","Onder","2","M","RE",2568.51798617808,86.3363364593622,2569.5964095,2320.23362,2740.143662,7.14524604541235,0.0336132886450328,2605.769764
"34","Onder","2","M","UM",2524.11635525,74.152201336269,2524.5911475,2351.35713,2703.416753,6.76913889342321,0.029377489346732,2457.202285
"35","Onder","2","M","VA",2486.0369037707,87.4592798279043,2497.585317,2118.625192,2704.423818,6.98001041556341,0.0351802017481117,2472.888822
