Country,Population,Line,Wolbachia,Spp
Finland,AK,AK1,1,mel
Finland,AK,AK2,1,mel
Finland,AK,AK3,1,mel
Finland,AK,AK4,1,mel
Finland,AK,AK5,1,mel
Finland,AK,AK6,1,mel
Finland,AK,AK7,1,mel
Finland,AK,AK8,1,mel
Finland,AK,AK9,1,mel
Finland,AK,AK10,1,mel
Finland,AK,AK11,1,mel
Finland,AK,AK12,1,mel
Finland,AK,AK13,1,mel
Finland,AK,AK14,1,mel
Finland,AK,AK15,1,mel
Finland,AK,AK16,1,mel
Finland,AK,AK17,1,mel
Finland,AK,AK18,1,mel
Finland,AK,AK20,1,mel
Finland,AK,AK21,1,mel
Portugal,GI,GI1,0,mel
Portugal,GI,GI2,0,mel
Portugal,GI,GI3,1,mel
Portugal,GI,GI4,1,mel
Portugal,GI,GI5,0,mel
Portugal,GI,GI6,1,mel
Portugal,GI,GI7,1,mel
Portugal,GI,GI8,0,mel
Portugal,GI,GI9,0,mel
Portugal,GI,GI10,1,mel
Portugal,GI,GI11,1,mel
Portugal,GI,GI12,1,mel
Portugal,GI,GI13,1,mel
Portugal,GI,GI14,1,mel
Portugal,GI,GI15,1,mel
Denmark,KA,KA1,1,mel
Denmark,KA,KA2,1,mel
Denmark,KA,KA3,1,mel
Denmark,KA,KA5,1,mel
Denmark,KA,KA6,0,mel
Denmark,KA,KA7,1,mel
Denmark,KA,KA9,0,mel
Denmark,KA,KA10,1,mel
Denmark,KA,KA11,1,mel
Denmark,KA,KA13,1,mel
Denmark,KA,KA14,1,mel
Denmark,KA,KA15,1,mel
Denmark,KA,KA16,1,mel
Denmark,KA,KA17,1,mel
Denmark,KA,KA18,1,mel
Denmark,KA,KA23,1,mel
Denmark,KA,KA24,0,mel
Denmark,KA,KA25,1,mel
Denmark,KA,KA28,1,mel
Denmark,KA,KA29,1,mel
Austria,MA,MA3,0,mel
Austria,MA,MA5,1,mel
Austria,MA,MA6,0,mel
Austria,MA,MA7,1,mel
Austria,MA,MA9,1,mel
Austria,MA,MA12,1,mel
Austria,MA,MA13,0,mel
Austria,MA,MA16,1,mel
Austria,MA,MA18,1,mel
Austria,MA,MA19,1,mel
Austria,MA,MA20,1,mel
Austria,MA,MA21,1,mel
Austria,MA,MA23,1,mel
Austria,MA,MA26,1,mel
Austria,MA,MA27,1,mel
Austria,MA,MA28,1,mel
Austria,MA,MA31,0,mel
Austria,MA,MA30,1,mel
Austria,MA,MA32,1,mel
Austria,MA,MA33,0,mel
