Country,Population,Line,Wolbachia,Spp
Germany,MU,MU1,0,mel
Germany,MU,MU2,1,mel
Germany,MU,MU3,1,mel
Germany,MU,MU4,1,mel
Germany,MU,MU5,1,mel
Germany,MU,MU6,1,mel
Germany,MU,MU7,1,mel
Germany,MU,MU8,1,mel
Germany,MU,MU9,1,mel
Germany,MU,MU10,1,mel
Germany,MU,MU11,1,mel
Germany,MU,MU12,1,mel
Germany,MU,MU13,1,mel
Germany,MU,MU14,1,mel
Germany,MU,MU15,1,mel
Germany,MU,MU16,1,mel
Germany,MU,MU17,1,mel
Germany,MU,MU18,1,mel
Germany,MU,MU20,1,mel
Spain,RE,RE1,1,mel
Spain,RE,RE2,0,mel
Spain,RE,RE3,1,mel
Spain,RE,RE4,0,mel
Spain,RE,RE5,0,mel
Spain,RE,RE6,1,mel
Spain,RE,RE7,0,mel
Spain,RE,RE8,1,mel
Spain,RE,RE9,1,mel
Spain,RE,RE10,1,mel
Spain,RE,RE11,0,mel
Spain,RE,RE12,1,mel
Spain,RE,RE13,1,mel
Spain,RE,RE15,0,mel
Spain,RE,RE16,0,mel
Spain,RE,RE17,0,mel
Spain,RE,RE18,0,mel
Ukraine,UM,UM4,1,mel
Ukraine,UM,UM5,1,mel
Ukraine,UM,UM7,1,mel
Ukraine,UM,UM9,1,mel
Ukraine,UM,UM13,1,mel
Ukraine,UM,UM18,1,mel
Ukraine,UM,UM23,0,mel
Ukraine,UM,UM26,1,mel
Ukraine,UM,UM28,1,mel
Ukraine,UM,UM2,1,mel
Ukraine,UM,UM4,1,mel
Ukraine,UM,UM5,1,mel
Ukraine,UM,UM6,0,mel
Ukraine,UM,UM7,1,mel
Ukraine,UM,UM8,0,mel
Ukraine,UM,UM9,0,mel
Ukraine,UM,UM13,0,mel
Ukraine,UM,UM17,0,mel
Ukraine,UM,UM18,1,mel
Ukraine,UM,UM20,1,mel
Ukraine,UM,UM21,1,mel
Ukraine,UM,UM22,1,mel
Ukraine,UM,UM23,0,mel
Ukraine,UM,UM26,1,mel
Ukraine,UM,UM25,1,mel
Ukraine,UM,UM28,0,mel
Russia,VA,VA1,1,mel
Russia,VA,VA6,0,mel
Russia,VA,VA9,1,mel
Russia,VA,VA11,0,mel
Russia,VA,VA15,1,mel
Russia,VA,VA18,1,mel
Russia,VA,VA22,1,mel
Russia,VA,VA26,0,mel
Russia,VA,VA30,1,mel
Russia,VA,VA34,1,mel
Russia,VA,VA35,1,mel
Russia,VA,VA44,1,mel
Russia,VA,VA46,1,mel
Russia,VA,VA47,0,mel
Russia,VA,VA48,1,mel
Russia,VA,VA55,1,mel
Russia,VA,VA57,1,mel
Russia,VA,VA66,1,mel
Russia,VA,VA67,0,mel
Russia,VA,VA71,1,mel
Turkey,YE,YE11,0,mel
Turkey,YE,YE13,1,mel
Turkey,YE,YE14,1,mel
Turkey,YE,YE15,1,mel
Turkey,YE,YE19,1,mel
Turkey,YE,YE20,1,mel
Turkey,YE,YE21,1,mel
Turkey,YE,YE22,0,mel
Turkey,YE,YE23,1,mel
Turkey,YE,YE24,1,mel
Turkey,YE,YE26,1,mel
Turkey,YE,YE27,0,mel
Turkey,YE,YE33,1,mel
Turkey,YE,YE40,1,mel
Turkey,YE,YE41,1,mel
Turkey,YE,YE48,1,mel
Turkey,YE,YE49,1,mel
Turkey,YE,YE51,1,mel
Turkey,YE,YE69,1,mel
Turkey,YE,YE80,1,mel
