Population,Line,CCRT_F,CCRT_M,CSM_F,CSM_M,DT_A_F,DT_A_M,DT_P_NA,Dia_F,DW_F,DW_M,Fec_F,HSM_F,HSM_M,LS_F,LS_M,LA_Activity_B,LA_CircPhase_B,LA_NDlog2_B,LA_Period_B,Pgm_T4_F,Pgm_T5_F,Pgm_T6_F,Pgm_Total_F,SR_F,SR_M,TL_F,TL_M,Via_NA,WA_L_F,WA_L_M,WA_R_F,WA_R_M
YE,YE80,1507.935012,1596.565201,1.189477511,1.050280451,225.6099263,228.7258967,138.574246,0.975823358,0.499131665,0.275678671,70.22589078,353.5479364,294.4202237,49.99666956,50.78076526,29.52564087,12.84522118,-0.279148222,24.08122603,0.51123485,0.743882255,0.759786287,0.660682158,88.06330859,66.90859911,992.0799713,848.3510118,0.836873634,2821.212734,2445.55587,2824.837389,2445.440735
RE,RE1,1557.269587,1383.19644,1.042279513,0.9619523,228.359603,231.5537068,NA,NA,0.490778745,0.273866226,47.57528468,NA,NA,40.1853125,42.2395,NA,NA,NA,NA,0.533219789,0.536401837,0.64015974,0.57475053,86.08646146,62.7574621,973.3755235,868.1598879,0.880979848,2923.693086,2515.54353,2920.932341,2519.465963
RE,RE10,1547.910726,1481.723114,1.074510286,1.095789056,236.0361234,238.7643876,145.9867591,1.432534702,0.46774784,0.281191502,63.74985824,274.5075516,250.4907483,44.79752831,51.53614395,45.21996078,12.88966119,-0.124066483,24.12212905,0.445595408,0.476906718,0.595405308,0.517386612,84.42400377,64.21128097,1008.182911,866.0888879,1.022287649,2960.79316,2546.262888,2963.023898,2549.428676
RE,RE11,1634.017901,1546.89299,1.135811426,1.02726042,240.6573458,243.7957803,143.4497591,1.260955754,0.464840559,0.264238394,90.28417126,370.1149906,299.7774871,45.62477134,53.69877429,40.10296078,12.94866119,-0.294066483,24.08012905,0.544487561,0.780594652,0.86925275,0.710211606,87.13938688,67.05898326,1006.056396,878.3988879,1.003575712,2904.706876,2530.927445,2905.8556,2529.902501
RE,RE12,1565.844932,1539.495805,1.179647052,1.056532187,229.2855069,232.3165735,121.3657591,1.119156286,0.488717128,0.256184961,29.36387696,341.9471728,259.8160104,44.33048158,54.04927905,NA,NA,NA,NA,0.497226942,0.686806595,0.844914559,0.669195725,99.40113287,69.21791329,966.2046733,828.4978879,0.8529242,2895.477507,2539.810821,2898.278293,2541.051207
RE,RE13,1591.330861,1572.867427,1.183983149,1.023607691,244.7395322,244.3921231,149.2637591,1.457840641,0.519517172,0.296454077,49.64474519,346.0842307,278.5729648,48.37098559,50.97479927,NA,NA,NA,NA,0.392823944,0.670497541,0.815072678,0.624768381,98.92906843,73.6603437,984.3818129,828.1808879,0.932280656,2893.394472,2483.859305,2890.641234,2482.647068
RE,RE15,1779.34308,1607.090354,1.205771971,1.050068298,228.0660762,234.9628657,119.8237591,0.29742668,0.448644516,0.256639268,50.79311754,303.1793364,235.5749391,47.60973199,55.81633132,NA,NA,NA,NA,0.411621229,0.466410142,0.450509922,0.46540033,83.5694146,64.09509462,997.870225,858.2798879,0.986382977,2888.16516,2497.791888,2886.285898,2500.708676
RE,RE16,1459.590379,1620.195245,1.193371459,0.972235024,230.1908144,233.7513433,138.8687591,1.478261163,0.496272775,0.268536278,95.98633016,308.6381996,286.0077259,44.24012386,46.61877693,NA,NA,NA,NA,0.440085551,0.633300784,0.728924225,0.581656241,108.0980075,74.59922494,1004.263026,855.2518879,1.007227002,2906.721346,2521.477038,2908.79009,2519.340646
RE,RE17,1637.078187,1602.436989,1.033403027,0.859506366,239.9727067,245.6674447,163.4507591,0.939317335,0.466313615,0.262355066,52.81182195,362.5452646,337.9070912,42.44151829,45.00682465,NA,NA,NA,NA,0.44764846,0.562037793,0.640307822,0.565446607,88.16041511,62.08335956,986.5184044,847.5088879,0.892470411,2920.889047,2533.216725,2913.601033,2539.673308
RE,RE18,1362.15736,1564.137349,1.318660017,1.076886303,231.5851585,233.2651577,133.1577591,1.639641494,0.478932756,0.251834365,50.93709614,378.3941398,313.6407879,44.28350432,46.77431244,NA,NA,NA,NA,0.421342324,0.697909558,0.796683044,0.636952043,91.74134052,59.84483285,1030.861301,NA,0.963725581,2926.676814,2559.803751,2925.428796,2561.388207
RE,RE2,1438.888086,1548.444014,1.142969011,0.962739435,238.0245863,243.6389033,130.9497591,1.657722584,0.543800937,0.305501132,68.14370547,371.887801,313.3451104,46.24942488,42.72222032,36.21696078,12.89166119,-0.071066483,24.07412905,0.494709995,0.796765164,0.838936764,0.68576783,93.57430943,68.31827545,1030.893334,876.5718879,0.970065253,2990.510867,2617.174948,2993.85015,2622.600109
RE,RE3,1595.560565,1536.673363,1.168099334,1.15699812,247.4862918,252.5658107,121.6997591,2.222615708,0.490892439,0.267737937,35.89179702,327.9296085,235.688313,40.37336731,43.86249314,24.47796078,12.87666119,-0.637066483,24.07512905,0.399250954,0.413029898,0.386415823,0.422691857,95.000809,65.27685551,1004.150191,867.7508879,0.839241364,2877.026128,2494.964488,2888.572524,2508.566067
RE,RE4,1456.81096,1591.550817,1.217977098,0.932099984,228.7788839,234.1546927,128.6877591,1.457585681,0.475878011,0.256245193,49.54248762,369.432452,316.0097606,45.28128059,50.21041344,43.57096078,12.89666119,-0.221066483,24.10312905,0.442991118,0.521430952,0.63318014,0.538457951,84.68919068,58.21545329,1058.922301,NA,0.924509602,2965.643303,2544.585577,2988.376506,2549.042513
RE,RE5,1448.185049,1541.785111,1.169178089,0.982330835,236.3341053,236.2324719,134.2007591,2.19985729,0.456398435,0.2576192,72.72237176,368.1623783,362.6627206,52.37582406,53.4882207,NA,NA,NA,NA,0.443267296,0.525405458,0.652067933,0.538339149,82.63813572,59.80696645,1026.215301,NA,0.92037415,2921.302783,2519.647657,2927.694658,2522.642111
RE,RE6,1597.55374,1455.618686,1.011601604,0.98258757,245.3233466,248.2694486,149.9087591,1.176472625,0.479901431,0.262743708,72.15196846,383.6134404,343.5110935,46.91275042,46.4423425,45.57196078,12.93166119,-0.096066483,24.18012905,0.426765466,0.625229198,0.804771749,0.602405978,85.44097776,60.42336101,1015.7951,882.0508879,0.853236884,2981.894627,2589.091154,2982.440114,2598.632691
RE,RE7,1362.666487,1504.669706,1.139168034,0.975020527,245.5556361,248.6974404,121.7727591,1.95152493,0.491675472,0.296186296,74.6244161,377.5323377,342.6155091,41.82033622,48.60283719,41.44696078,12.90366119,-0.212066483,24.13312905,0.509873498,0.687983452,0.665474073,0.617659072,115.8198817,77.56704042,1006.849173,861.3858879,0.913381493,3016.907656,2602.354731,3020.344388,2603.871935
RE,RE8,1422.753198,1500.417792,1.203104877,1.000064573,249.2799186,253.7674867,126.4567591,1.596687552,0.464523902,0.275542077,91.69648762,372.2859327,253.7609294,42.38282988,42.9425287,43.86396078,12.88366119,-0.145066483,24.10612905,0.412375186,0.552611415,0.884951151,0.615669482,84.00225894,60.38859841,NA,NA,0.889575056,2938.784072,2555.146476,2942.145443,2557.415871
RE,RE9,1442.171334,1571.354169,1.027048043,0.745767654,NA,NA,NA,NA,NA,NA,NA,378.6231982,353.6940014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GI,GI1,1491.175041,1721.778054,1.028004737,1.125625001,238.076261,248.1757379,161.5183916,-0.352621525,0.480501827,0.26914857,51.38562599,346.2246089,296.472208,43.67775432,46.75304482,43.67687934,13.26083479,-0.148829654,23.60372082,0.401010017,0.448086898,0.358597654,0.428759681,87.28458828,59.89239253,982.8233022,837.061049,0.966587813,2868.769487,2455.916875,2870.560743,2462.706541
GI,GI10,1542.489219,1822.371425,1.01409913,0.801203274,231.97387,238.3937997,137.6693916,1.540218427,0.460564784,0.26333963,65.60644788,367.1329832,295.5472125,48.21642236,50.95386777,NA,NA,NA,NA,0.481021384,0.43633697,0.388039186,0.46300123,93.60569813,67.77296398,1031.561656,NA,0.999441525,2854.620882,2484.949572,2857.339612,2487.282542
GI,GI11,1413.39105,1612.623157,1.184116665,0.987897653,232.2144312,239.9900074,137.3963916,0.816280459,0.420807745,0.246973591,50.41409138,348.9777246,287.0894524,48.49733106,46.17665537,NA,NA,NA,NA,0.435414823,0.502245551,0.544341393,0.515927519,88.89312617,53.85034887,963.1493529,843.7088907,0.935390075,2853.064605,2501.170844,2850.845454,2499.875691
GI,GI12,1423.807334,1656.086778,1.193953277,1.237654933,236.8133351,243.8811665,137.4803916,1.569643616,0.427946351,0.237573864,38.74781717,324.4817475,263.6933483,50.70118905,44.65672466,NA,NA,NA,NA,0.431314995,0.533943241,0.608633264,0.516528894,68.63417799,57.9994828,1005.991656,NA,0.808459878,2731.719302,2413.963793,2736.655601,2413.829206
GI,GI13,1432.495075,1760.546226,1.241786625,0.956455832,232.0378382,245.9621336,143.5323916,1.541819128,0.45770331,0.255943533,51.09074533,349.1043599,267.4383789,52.64185474,58.50736784,NA,NA,NA,NA,0.495060473,0.577270472,0.576330413,0.561073255,83.4455031,54.92523631,1032.427656,NA,0.915980981,2855.484302,2491.041793,2859.207601,2493.957206
GI,GI14,1275.464869,1700.080225,1.092014968,1.004952634,234.478248,244.1292686,156.1683916,0.022823976,0.493732275,0.279058121,69.39266113,282.022556,268.9668325,51.29037182,50.31738467,NA,NA,NA,NA,0.407841339,0.449555468,0.480370305,0.44835196,109.9319743,69.97536592,993.7670075,837.7838907,0.760841299,2901.304684,2539.74609,2900.338734,2536.694729
GI,GI15,1527.781315,1817.449897,1.267079809,1.185746689,230.677407,236.0366502,139.7663916,1.083440253,0.443887769,0.259798026,57.94087303,340.4519268,274.9248881,54.13818905,53.08872466,NA,NA,NA,NA,0.458804318,0.717710397,0.844303585,0.658043021,99.90926819,64.90773563,997.0669106,823.9008907,0.854713359,2876.654302,2518.464793,2886.184601,2522.264206
GI,GI2,1486.625361,1837.525396,1.2477205,1.168832716,225.2107288,228.8217639,127.3163916,1.976219748,0.436363005,0.255974496,56.29688062,349.2750841,298.8410408,50.22476201,48.62869106,25.56587934,13.21083479,-0.059829654,23.62072082,0.456340745,0.601969698,0.650496008,0.564700702,91.88112693,62.37141395,967.6657744,810.3117829,0.918619802,2841.119238,2459.035963,2844.747587,2463.231852
GI,GI3,1432.709957,1661.875514,1.088487545,1.099128329,226.8192045,233.4553472,140.1153916,2.09529789,0.440749719,0.259177844,54.55601117,349.5186907,306.3475501,49.28353524,48.71078684,33.52987934,13.22383479,-0.290829654,23.62972082,0.355966013,0.457302012,0.45161085,0.442967526,83.14512698,60.72979118,966.8949115,824.8552062,1.001995128,2764.686896,2409.047414,2771.694207,2408.417979
GI,GI4,1841.065504,1916.603974,1.130702646,0.986013062,226.6360208,231.2190419,NA,1.121248601,0.440288324,0.240461241,65.05198371,323.9327886,254.0045071,44.07805234,44.2834601,31.68487934,13.20583479,-0.594829654,23.59572082,0.382269606,0.435573081,0.604539929,0.466761817,93.0165686,60.27648496,969.7435607,832.6624713,0.819333732,2794.920265,2450.887336,2794.925109,2450.268494
GI,GI5,1474.260473,1732.529966,1.294045097,0.959708391,224.4297411,229.3380655,127.9043916,-0.639790558,0.469940675,0.272951849,58.01522742,303.2373572,236.620756,43.44054843,38.42229717,39.36287934,13.32583479,-0.162829654,23.60372082,0.421394222,0.68201073,0.842343165,0.645467151,96.47776784,64.80317219,990.1085457,820.9564713,0.807344821,2886.50282,2487.10826,2884.217244,2484.231045
GI,GI6,1431.421869,1751.446225,0.812866471,1.006536367,238.316835,243.896744,NA,1.332211446,0.476077715,0.254721695,57.2630637,337.201556,298.2848325,56.5679749,54.53796278,35.09787934,13.15783479,-0.329829654,23.55372082,0.433541025,0.579609395,0.902575877,0.63556769,86.59276125,62.76731238,956.3165572,844.1118907,0.936866702,2759.224021,2481.880238,2762.953991,2482.816632
GI,GI7,1551.69291,1837.947122,1.033051055,0.771126913,230.041641,238.8627977,156.1683916,2.28057636,0.451132655,0.270206538,65.66976868,345.3616943,307.4252153,48.51952591,51.681055,31.17587934,13.13883479,-0.777829654,23.60972082,0.468669807,0.55640675,0.71214464,0.570843218,86.20290298,65.71226599,1030.516656,NA,0.968720682,2627.62548,2463.051793,2641.235999,2463.545206
GI,GI8,1530.928307,1756.348287,1.107896128,1.07163405,229.9085582,237.3205936,141.1923916,0.793667367,0.448351176,0.259305207,78.06484929,315.1760713,264.8089197,49.27881155,46.75788934,38.67687934,13.27683479,-0.175829654,23.58572082,0.444368423,0.528935454,0.453752764,0.493513425,88.68202118,70.9082737,994.1888518,834.7068907,0.943874958,2680.098152,2471.056399,2697.759327,2473.100455
GI,GI9,1771.702674,1871.235822,1.154282945,1.136002835,231.5099265,239.6033212,119.2633916,2.295297128,0.48323709,0.262189292,79.37810623,312.3564307,255.0686669,50.58346795,59.17767913,29.53187934,13.21283479,-0.328829654,23.59372082,0.445615121,0.559321443,0.577623801,0.527176437,100.5939582,75.06305703,966.3248136,821.5598907,0.911244844,2704.86051,2455.520468,2712.379221,2453.178603
MU,MU1,1338.81444,1564.619542,1.195997265,0.994418396,231.1288222,234.4223921,140.8539031,2.057383938,0.422839901,0.268338911,64.51253595,319.3501837,338.5016629,48.92687113,56.28641857,11.89237458,12.28281589,NA,23.77448849,0.528345619,0.727893443,0.761073968,0.662150861,91.17034543,77.0924723,947.1945635,811.9204984,1.042860329,2849.319341,2493.489888,2853.183091,2505.938722
MU,MU10,1740.599255,1678.670762,1.212078249,1.170968669,239.7458045,247.2654809,130.5699031,2.173090839,0.41690372,0.246710062,75.80680893,380.4042593,343.0164756,48.69016861,54.52267939,29.54837458,12.26481589,0.269470861,23.83448849,0.428484145,0.611394995,0.63875336,0.559651127,85.82414186,61.48669354,995.1614445,NA,1.083694444,2872.818128,2483.852727,2872.332507,2484.027886
MU,MU11,1702.698336,1707.580817,1.201006451,1.0845673,230.4010289,236.9426157,144.5869031,2.318548593,0.448292381,0.263872554,66.86266443,366.6983417,306.3852566,50.4856645,54.16314474,NA,NA,NA,NA,0.412941181,0.540478881,0.612865485,0.525823179,104.8249399,79.35940905,950.2775041,799.7634506,0.899960288,2745.561944,2402.491208,2748.144736,2399.727182
MU,MU12,1462.174392,1646.768935,1.187166334,1.023496604,222.583027,230.309548,118.9659031,2.664539058,0.496208418,0.29281087,70.45618858,344.3492838,325.2179402,43.3335,49.686,NA,NA,NA,NA,0.423676181,0.609422681,0.589971707,0.552915828,110.2665094,76.84099086,989.4526204,867.3524506,1.104417615,2883.469358,2489.176335,2882.457055,2485.407985
MU,MU13,1566.586293,1604.983388,1.151729213,1.127117291,238.2092531,243.2279137,119.3889031,2.398470568,0.424365309,0.260807465,47.84045448,349.1252838,310.1159402,37.6915,44.873,NA,NA,NA,NA,0.46288113,0.526365295,0.510734001,0.517392142,85.64206116,63.29724027,952.2666152,791.3654506,0.975496914,2821.332879,2476.847772,2829.697609,2476.497441
