"Model","Trait","Lab","Sex","Population","Line","Value_re","SE_re"
"lmer_pop","CCRT","Vieira","F","MA","MA33",98.494,126.023
"lmer_pop","CCRT","Vieira","F","MA","MA5",-63.159,126.023
"lmer_pop","CCRT","Vieira","F","MA","MA6",18.153,126.023
"lmer_pop","CCRT","Vieira","F","MA","MA7",-121.523,126.149
"lmer_pop","CCRT","Vieira","F","MA","MA9",-35.528,126.149
"lmer_pop","CCRT","Vieira","F","MU","MU1",-227.472,125.571
"lmer_pop","CCRT","Vieira","F","MU","MU10",-60.966,125.482
"lmer_pop","CCRT","Vieira","F","MU","MU11",7.83,125.482
"lmer_pop","CCRT","Vieira","F","MU","MU12",-71.947,125.482
"lmer_pop","CCRT","Vieira","F","MU","MU13",34.799,125.482
"lmer_pop","CCRT","Vieira","F","MU","MU14",74.914,126.149
"lmer_pop","CCRT","Vieira","F","MU","MU15",40.936,125.482
"lmer_pop","CCRT","Vieira","F","MU","MU16",-28.845,126.149
"lmer_pop","CCRT","Vieira","F","MU","MU17",-104.262,126.149
"lmer_pop","CCRT","Vieira","F","MU","MU18",-124.448,126.149
"lmer_pop","CCRT","Vieira","F","MU","MU19",94.228,125.482
"lmer_pop","CCRT","Vieira","F","MU","MU2",-26.656,125.571
"lmer_pop","CCRT","Vieira","F","MU","MU20",-168.843,125.482
"lmer_pop","CCRT","Vieira","F","MU","MU3",-91.576,125.571
"lmer_pop","CCRT","Vieira","F","MU","MU4",56.189,125.571
"lmer_pop","CCRT","Vieira","F","MU","MU5",-58.874,125.571
"lmer_pop","CCRT","Vieira","F","MU","MU6",115.707,125.482
"lmer_pop","CCRT","Vieira","F","MU","MU7",137.185,125.482
"lmer_pop","CCRT","Vieira","F","MU","MU8",2.493,125.571
"lmer_pop","CCRT","Vieira","F","MU","MU9",399.61,125.482
"lmer_pop","CCRT","Vieira","F","RE","RE10",69.17,125.772
"lmer_pop","CCRT","Vieira","F","RE","RE11",200.41,125.886
"lmer_pop","CCRT","Vieira","F","RE","RE12",-11.847,126.149
"lmer_pop","CCRT","Vieira","F","RE","RE13",-32.812,125.772
"lmer_pop","CCRT","Vieira","F","RE","RE15",75.615,125.782
"lmer_pop","CCRT","Vieira","F","RE","RE16",-27.593,126.149
"lmer_pop","CCRT","Vieira","F","RE","RE17",39.346,126.149
"lmer_pop","CCRT","Vieira","F","RE","RE18",-153.557,126.149
"lmer_pop","CCRT","Vieira","F","RE","RE2",-130.617,126.011
"lmer_pop","CCRT","Vieira","F","RE","RE3",43.823,130.442
"lmer_pop","CCRT","Vieira","F","RE","RE4",-23.338,125.886
"lmer_pop","CCRT","Vieira","F","RE","RE5",-99.428,125.772
"lmer_pop","CCRT","Vieira","F","RE","RE6",193.582,126.149
"lmer_pop","CCRT","Vieira","F","RE","RE7",-94.234,125.598
"lmer_pop","CCRT","Vieira","F","RE","RE8",-56.485,125.782
"lmer_pop","CCRT","Vieira","F","RE","RE9",7.965,125.772
"lmer_pop","CCRT","Vieira","F","UM","UM13",4.682,125.686
"lmer_pop","CCRT","Vieira","F","UM","UM17",73.725,130.365
"lmer_pop","CCRT","Vieira","F","UM","UM18",4.198,125.686
"lmer_pop","CCRT","Vieira","F","UM","UM2",216.59,125.571
"lmer_pop","CCRT","Vieira","F","UM","UM20",85.671,125.686
"lmer_pop","CCRT","Vieira","F","UM","UM21",-129.608,125.772
"lmer_pop","CCRT","Vieira","F","UM","UM22",-109.003,126.011
"lmer_pop","CCRT","Vieira","F","UM","UM23",125.47,125.772
"lmer_pop","CCRT","Vieira","F","UM","UM24",-51.526,125.772
"lmer_pop","CCRT","Vieira","F","UM","UM25",-84.573,126.011
"lmer_pop","CCRT","Vieira","F","UM","UM26",-48.605,126.011
"lmer_pop","CCRT","Vieira","F","UM","UM28",-213.492,125.772
"lmer_pop","CCRT","Vieira","F","UM","UM29",-138.35,126.011
"lmer_pop","CCRT","Vieira","F","UM","UM4",-131.971,126.011
"lmer_pop","CCRT","Vieira","F","UM","UM5",-0.243,125.686
"lmer_pop","CCRT","Vieira","F","UM","UM6",55.795,125.686
"lmer_pop","CCRT","Vieira","F","UM","UM7",151.479,125.686
"lmer_pop","CCRT","Vieira","F","UM","UM8",27.018,126.011
"lmer_pop","CCRT","Vieira","F","UM","UM9",162.743,130.365
"lmer_pop","CCRT","Vieira","F","VA","VA1",-154.249,125.571
"lmer_pop","CCRT","Vieira","F","VA","VA11",73.859,125.571
"lmer_pop","CCRT","Vieira","F","VA","VA15",-38.59,125.33
"lmer_pop","CCRT","Vieira","F","VA","VA18",-151.715,125.33
"lmer_pop","CCRT","Vieira","F","VA","VA22",-52.197,126.011
"lmer_pop","CCRT","Vieira","F","VA","VA26",75.02,125.33
"lmer_pop","CCRT","Vieira","F","VA","VA30",-140.3,126.149
"lmer_pop","CCRT","Vieira","F","VA","VA34",129.524,125.33
"lmer_pop","CCRT","Vieira","F","VA","VA35",272.768,125.33
"lmer_pop","CCRT","Vieira","F","VA","VA44",22.908,125.571
"lmer_pop","CCRT","Vieira","F","VA","VA46",-146.255,125.571
"lmer_pop","CCRT","Vieira","F","VA","VA47",-0.358,126.011
"lmer_pop","CCRT","Vieira","F","VA","VA48",-66.61,126.149
"lmer_pop","CCRT","Vieira","F","VA","VA55",58.871,125.33
"lmer_pop","CCRT","Vieira","F","VA","VA57",53.096,126.011
"lmer_pop","CCRT","Vieira","F","VA","VA6",89.443,125.571
"lmer_pop","CCRT","Vieira","F","VA","VA66",-73.149,125.33
"lmer_pop","CCRT","Vieira","F","VA","VA67",162.992,126.011
"lmer_pop","CCRT","Vieira","F","VA","VA71",-74.24,126.011
"lmer_pop","CCRT","Vieira","F","VA","VA9",-40.819,130.082
"lmer_pop","CCRT","Vieira","F","YE","YE11",21.567,125.571
"lmer_pop","CCRT","Vieira","F","YE","YE13",201.772,126.149
"lmer_pop","CCRT","Vieira","F","YE","YE14",41.007,126.149
"lmer_pop","CCRT","Vieira","F","YE","YE15",-160.939,126.149
"lmer_pop","CCRT","Vieira","F","YE","YE19",-200.454,125.33
"lmer_pop","CCRT","Vieira","F","YE","YE20",-147.969,125.33
"lmer_pop","CCRT","Vieira","F","YE","YE21",58.014,125.33
"lmer_pop","CCRT","Vieira","F","YE","YE22",133.108,125.33
"lmer_pop","CCRT","Vieira","F","YE","YE23",-29.868,125.571
"lmer_pop","CCRT","Vieira","F","YE","YE24",115.959,125.571
"lmer_pop","CCRT","Vieira","F","YE","YE26",-38.721,126.149
"lmer_pop","CCRT","Vieira","F","YE","YE27",-114.622,126.149
"lmer_pop","CCRT","Vieira","F","YE","YE33",110.983,126.149
"lmer_pop","CCRT","Vieira","F","YE","YE40",-57.241,125.571
"lmer_pop","CCRT","Vieira","F","YE","YE41",9.781,125.886
"lmer_pop","CCRT","Vieira","F","YE","YE48",142.77,125.886
"lmer_pop","CCRT","Vieira","F","YE","YE49",-106.655,125.886
"lmer_pop","CCRT","Vieira","F","YE","YE51",207.851,125.886
"lmer_pop","CCRT","Vieira","F","YE","YE69",-65.879,125.886
"lmer_pop","CCRT","Vieira","F","YE","YE80",-120.463,125.886
"lmer_pop","CCRT","Mensch","F","AK","AK1",198.392,172.095
"lmer_pop","CCRT","Mensch","F","AK","AK10",-271.733,171.96
"lmer_pop","CCRT","Mensch","F","AK","AK11",-77.322,170.502
"lmer_pop","CCRT","Mensch","F","AK","AK12",-138.636,170.502
"lmer_pop","CCRT","Mensch","F","AK","AK13",-80.179,171.78
"lmer_pop","CCRT","Mensch","F","AK","AK14",-52.327,180.264
"lmer_pop","CCRT","Mensch","F","AK","AK15",-75.139,171.78
"lmer_pop","CCRT","Mensch","F","AK","AK16",-4.958,179.871
"lmer_pop","CCRT","Mensch","F","AK","AK17",173.25,179.028
"lmer_pop","CCRT","Mensch","F","AK","AK18",498.654,179.278
"lmer_pop","CCRT","Mensch","F","AK","AK2",-247.391,172.095
"lmer_pop","CCRT","Mensch","F","AK","AK20",-14.904,180.761
"lmer_pop","CCRT","Mensch","F","AK","AK21",212.555,180.481
"lmer_pop","CCRT","Mensch","F","AK","AK3",-46.746,182.05
"lmer_pop","CCRT","Mensch","F","AK","AK4",-367.659,172.305
"lmer_pop","CCRT","Mensch","F","AK","AK5",-33.843,182.05
"lmer_pop","CCRT","Mensch","F","AK","AK6",-1.228,171.697
"lmer_pop","CCRT","Mensch","F","AK","AK7",521.072,170.199
"lmer_pop","CCRT","Mensch","F","AK","AK8",-146.829,171.221
"lmer_pop","CCRT","Mensch","F","AK","AK9",-45.028,172.305
"lmer_pop","CCRT","Mensch","F","GI","GI1",29.304,170.199
"lmer_pop","CCRT","Mensch","F","GI","GI10",12.44,171.221
"lmer_pop","CCRT","Mensch","F","GI","GI11",-337.485,170.502
"lmer_pop","CCRT","Mensch","F","GI","GI12",-1.248,170.199
"lmer_pop","CCRT","Mensch","F","GI","GI13",34.386,170.502
"lmer_pop","CCRT","Mensch","F","GI","GI14",-223.572,170.502
"lmer_pop","CCRT","Mensch","F","GI","GI15",-144.557,172.305
"lmer_pop","CCRT","Mensch","F","GI","GI2",-179.603,171.78
"lmer_pop","CCRT","Mensch","F","GI","GI3",-157.168,173.858
"lmer_pop","CCRT","Mensch","F","GI","GI5",165.234,180.264
