"Model","Trait","Lab","Sex","Population","Estimate","SE"
"lmer_pop","CSM","Kozeretska","M","YE",1.19122768084764,0.153521680084377
"lmer_pop","CSM","Vieira","M","AK",1.04461688193617,0.0672748147236449
"lmer_pop","CSM","Vieira","M","GI",1.09046888786246,0.0811623715407931
"lmer_pop","CSM","Vieira","M","KA",1.11431386592135,0.0695488351968912
"lmer_pop","CSM","Vieira","M","MA",1.06176832873268,0.0716577628777697
"lmer_pop","CSM","Vieira","M","MU",1.28278640503769,0.0705597983221389
"lmer_pop","CSM","Vieira","M","RE",1.10276765445267,0.082353531030321
"lmer_pop","CSM","Vieira","M","UM",1.01805408461419,0.0693737958589249
"lmer_pop","CSM","Vieira","M","VA",1.14022817943428,0.0729275196462685
"lmer_pop","CSM","Vieira","M","YE",1.3308789215787,0.0731273596419227
"lmer_pop","DT_P","Schmidt","NA","AK",127.502046525264,2.86684416517006
"lmer_pop","DT_P","Schmidt","NA","GI",140.422391647101,3.74202930088331
"lmer_pop","DT_P","Schmidt","NA","KA",127.292288931061,2.88276821567365
"lmer_pop","DT_P","Schmidt","NA","MA",132.003669544701,2.95608330498785
"lmer_pop","DT_P","Schmidt","NA","MU",129.729903143323,2.86457010549383
"lmer_pop","DT_P","Schmidt","NA","RE",135.269759066547,3.34679375979697
"lmer_pop","DT_P","Schmidt","NA","UM",131.160825938646,3.29889705776366
"lmer_pop","DT_P","Schmidt","NA","VA",140.765350579933,2.96567583912474
"lmer_pop","DT_P","Schmidt","NA","YE",135.200245975657,2.89049290909694
"lmer_pop","DT_A","Gibert","F","AK",222.379651711481,1.57097131786607
"lmer_pop","DT_A","Gibert","F","GI",226.71635510077,1.80965471327477
"lmer_pop","DT_A","Gibert","F","KA",223.357831663018,1.60366997663945
"lmer_pop","DT_A","Gibert","F","MA",222.089753133096,1.6079865748245
"lmer_pop","DT_A","Gibert","F","MU",223.6874170032,1.60289556797205
"lmer_pop","DT_A","Gibert","F","RE",227.851521991918,1.77068244216396
"lmer_pop","DT_A","Gibert","F","UM",225.48550729894,1.67025040698835
"lmer_pop","DT_A","Gibert","F","VA",223.889446650254,1.60953309038662
"lmer_pop","DT_A","Gibert","F","YE",217.801865863262,1.63023752860123
"lmer_pop","DT_A","Grath","F","AK",309.625713870422,1.72205691104871
"lmer_pop","DT_A","Grath","F","MU",305.630595684809,1.75594147243694
"lmer_pop","DT_A","Grath","F","RE",321.616198159429,3.59868731184894
"lmer_pop","DT_A","Hoedjes","F","AK",231.278110894337,1.28955021760392
"lmer_pop","DT_A","Hoedjes","F","GI",237.943654601447,1.48632578464265
"lmer_pop","DT_A","Hoedjes","F","KA",231.098325236221,1.29766792577392
"lmer_pop","DT_A","Hoedjes","F","MA",233.211074969664,1.30299912293928
"lmer_pop","DT_A","Hoedjes","F","MU",229.50105441886,1.29576628644406
"lmer_pop","DT_A","Hoedjes","F","RE",237.728140296062,1.4871426798575
"lmer_pop","DT_A","Hoedjes","F","UM",232.195331007551,1.39750546907322
"lmer_pop","DT_A","Hoedjes","F","VA",229.880376176502,1.30600644141077
"lmer_pop","DT_A","Hoedjes","F","YE",233.176619370518,1.32175351435901
"lmer_pop","DT_A","Schmidt","F","AK",218.13853571685,4.50347410326583
"lmer_pop","DT_A","Schmidt","F","GI",226.606476160903,6.22899403568032
"lmer_pop","DT_A","Schmidt","F","KA",220.027363022528,4.62169945556594
"lmer_pop","DT_A","Schmidt","F","MA",224.371840283376,4.64867196159882
"lmer_pop","DT_A","Schmidt","F","MU",221.156751814936,4.49070778312634
"lmer_pop","DT_A","Schmidt","F","RE",230.049501202107,5.29901899698525
"lmer_pop","DT_A","Schmidt","F","UM",222.181768669487,5.16776623019018
"lmer_pop","DT_A","Schmidt","F","VA",245.627440427769,4.58675437999236
"lmer_pop","DT_A","Schmidt","F","YE",222.365070758441,4.58136650387528
"lmer_pop","DT_A","StamenkovicRadak","F","AK",237.623492060479,4.73423631609403
"lmer_pop","DT_A","StamenkovicRadak","F","GI",245.089214475701,5.31841979734625
"lmer_pop","DT_A","StamenkovicRadak","F","KA",229.150624243191,4.66562761693036
"lmer_pop","DT_A","StamenkovicRadak","F","MA",246.25045094022,4.69288306461054
"lmer_pop","DT_A","StamenkovicRadak","F","MU",237.559167174749,4.66620979465235
"lmer_pop","DT_A","StamenkovicRadak","F","RE",255.34660736894,4.97584815200482
"lmer_pop","DT_A","StamenkovicRadak","F","UM",252.917281099897,4.81613163306888
"lmer_pop","DT_A","StamenkovicRadak","F","VA",251.781293633076,4.74952217830084
"lmer_pop","DT_A","StamenkovicRadak","F","YE",240.080127993044,4.69157981333909
"lmer_pop","DT_A","Zwaan","F","AK",220.748109521818,2.21334260322363
"lmer_pop","DT_A","Zwaan","F","GI",224.866710024662,2.33597400887303
"lmer_pop","DT_A","Zwaan","F","KA",223.319533528131,2.21631659000158
"lmer_pop","DT_A","Zwaan","F","MA",224.219555233662,2.21562663728836
"lmer_pop","DT_A","Zwaan","F","MU",222.125835942283,2.22850758811977
"lmer_pop","DT_A","Zwaan","F","RE",226.260937696387,2.30159018967305
"lmer_pop","DT_A","Zwaan","F","UM",222.349039971495,2.2510149482941
"lmer_pop","DT_A","Zwaan","F","VA",224.948254600444,2.22086640560502
"lmer_pop","DT_A","Zwaan","F","YE",221.280318449722,2.24840264921677
"lmer_pop","DT_A","Gibert","M","AK",226.515493890296,1.41195550933656
"lmer_pop","DT_A","Gibert","M","GI",231.876047085808,1.63429818986877
"lmer_pop","DT_A","Gibert","M","KA",227.223228484017,1.436762839739
"lmer_pop","DT_A","Gibert","M","MA",225.300171467552,1.44463859187033
"lmer_pop","DT_A","Gibert","M","MU",227.801149420762,1.43439079889546
"lmer_pop","DT_A","Gibert","M","RE",228.583625311801,1.58344318467683
"lmer_pop","DT_A","Gibert","M","UM",229.772919606056,1.50131979494818
"lmer_pop","DT_A","Gibert","M","VA",228.383219187411,1.44105338219312
"lmer_pop","DT_A","Gibert","M","YE",223.520357672466,1.46352215575833
"lmer_pop","DT_A","Grath","M","AK",317.567231623559,2.34857763986971
"lmer_pop","DT_A","Grath","M","MU",312.147552080406,2.3603981443496
"lmer_pop","DT_A","Grath","M","RE",324.29769540054,4.41221911838911
"lmer_pop","DT_A","Hoedjes","M","AK",238.685276437438,1.46609730476229
"lmer_pop","DT_A","Hoedjes","M","GI",244.646647046426,1.65577742986142
"lmer_pop","DT_A","Hoedjes","M","KA",236.152772388059,1.47010742001559
"lmer_pop","DT_A","Hoedjes","M","MA",239.367430914031,1.46470857548182
"lmer_pop","DT_A","Hoedjes","M","MU",236.531419346157,1.46635704516179
"lmer_pop","DT_A","Hoedjes","M","RE",244.438420585831,1.66690568716202
"lmer_pop","DT_A","Hoedjes","M","UM",237.762350725575,1.5679333311587
"lmer_pop","DT_A","Hoedjes","M","VA",235.826133989734,1.47291742133907
"lmer_pop","DT_A","Hoedjes","M","YE",239.204243776033,1.50215181994364
"lmer_pop","DT_A","Schmidt","M","AK",226.013051632149,4.74292060612289
"lmer_pop","DT_A","Schmidt","M","GI",243.117151392088,6.59798772465849
"lmer_pop","DT_A","Schmidt","M","KA",219.913391418933,4.87565233347963
"lmer_pop","DT_A","Schmidt","M","MA",228.74115057674,4.9309281103527
"lmer_pop","DT_A","Schmidt","M","MU",226.71635454097,4.8713672246529
"lmer_pop","DT_A","Schmidt","M","RE",231.650874977275,5.63585838033497
"lmer_pop","DT_A","Schmidt","M","UM",229.104731025366,5.46401878747216
"lmer_pop","DT_A","Schmidt","M","VA",250.048470632707,4.93178621252681
"lmer_pop","DT_A","Schmidt","M","YE",225.937511617278,4.86102686382905
"lmer_pop","DT_A","StamenkovicRadak","M","AK",242.718169286812,4.58376783296878
