"","Trait","Sex","Moderator","R2","P"
"1","TL","M","Population",100,0.00204108705080123
"2","TL","M","PC",0,0.396751736836002
"3","TL","M","Lab",0,0.396751736835968
"4","TL","M","Population + Lab",100,0.00359526391722258
"5","TL","M","Population + PC",100,0.00359526391722087
