Population	Mstar	SEMstar	Q	p	LLMstar	ULMstar	N_lab
YE	1729.43218574885	87.0876083670758	12.1850582862245	0.143136066456496	1558.74360984965	1900.12076164805	2
RE	1542.85739581391	53.5391159173243	12.1850582862245	0.143136066456496	1437.92265685184	1647.79213477598	2
GI	1752.73610891779	100.00700110942	12.1850582862245	0.143136066456496	1556.72598854147	1948.74622929411	2
MU	1690.6174848464	48.4340606410537	12.1850582862245	0.143136066456496	1595.6884703649	1785.54649932789	2
MA	1479.49035428305	154.497139052036	12.1850582862245	0.143136066456496	1176.68152602658	1782.29918253952	2
UM	1610.44019045567	50.4700149471855	12.1850582862245	0.143136066456496	1511.52077885999	1709.35960205136	2
KA	1598.67147804631	157.753531150798	12.1850582862245	0.143136066456496	1289.48023855673	1907.86271753589	2
VA	1526.7570994028	48.4796204870555	12.1850582862245	0.143136066456496	1431.738789264	1621.7754095416	2
AK	1666.77137622549	109.861918512238	12.1850582862245	0.143136066456496	1451.44597266903	1882.09677978195	2
