Model	Trait	Sex	Population	Line	Coef_Bergland	Coef_Flatt	Coef_Schlotterer	SE_Bergland	SE_Flatt	SE_Schlotterer
glmer_pop	Dia	F	AK	AK1	-0.747811393728257	3.2247587112319	-0.570715237619452	0.59982774361147	1.10691344593609	0.585854553826619
glmer_pop	Dia	F	AK	AK10	1.05118860627174	3.1497587112319	0.129284762380548	0.720227965304061	1.12083244813581	0.572399823759046
glmer_pop	Dia	F	AK	AK11	-0.663811393728257	4.4087587112319	-0.100715237619452	0.537134361222615	1.35896481808548	0.572399823759046
glmer_pop	Dia	F	AK	AK12	0.896188606271743	4.3507587112319	-1.78171523761945	0.504214559494296	1.38278609220447	0.709908133661946
glmer_pop	Dia	F	AK	AK14	-0.724811393728257	4.3077587112319	-0.100715237619452	0.488501097241375	1.40116286590607	0.572399823759046
glmer_pop	Dia	F	AK	AK15	0.358188606271743	4.3907587112319	1.08028476238055	0.544845227570204	1.36628597913984	0.507347571433418
glmer_pop	Dia	F	AK	AK16	-0.120811393728257	4.3907587112319	0.857284762380548	0.472221687352484	1.36628597913984	0.603702375545589
glmer_pop	Dia	F	AK	AK17	-0.663811393728257	2.9727587112319	0.361284762380548	0.537134361222615	1.15586563959403	0.577430132777453
glmer_pop	Dia	F	AK	AK18	-0.0918113937282573	4.4277587112319	-1.78171523761945	0.591875258822353	1.3516513517894	0.709908133661946
glmer_pop	Dia	F	AK	AK2	-0.414811393728257	1.9877587112319	0.129284762380548	0.477075803207443	1.00533595220409	0.572399823759046
glmer_pop	Dia	F	AK	AK20	1.48518860627174	4.2617587112319	1.83228476238055	0.666226179316024	1.42235030031076	0.71709522257465
glmer_pop	Dia	F	AK	AK21	1.48518860627174	2.3837587112319	0.601284762380548	0.666226179316024	0.95974234917196	0.587545366962746
glmer_pop	Dia	F	AK	AK4	-0.957811393728257	1.4537587112319	-1.58571523761945	0.630124846364613	0.814948082269117	0.728810371934557
glmer_pop	Dia	F	AK	AK5	1.07518860627174	4.3507587112319	0.601284762380548	0.546564106035172	1.38278609220447	0.587545366962746
glmer_pop	Dia	F	AK	AK6	-0.259811393728257	4.2617587112319	1.13828476238055	0.523527766222602	1.42235030031076	0.627802961317791
glmer_pop	Dia	F	AK	AK7	0.117188606271743	3.0667587112319	0.361284762380548	0.504214559494296	1.13655680755258	0.577430132777453
