Model	Trait	Lab	Sex	Population	Line	Value_re	SE_re
lmer_pop	Dia	Bergland	F	RE	RE15	-0.015	0.116
lmer_pop	Dia	Bergland	F	RE	RE16	0.084	0.148
lmer_pop	Dia	Bergland	F	RE	RE17	-0.173	0.148
lmer_pop	Dia	Bergland	F	RE	RE18	0.043	0.148
lmer_pop	Dia	Bergland	F	RE	RE2	0.033	0.148
lmer_pop	Dia	Bergland	F	RE	RE3	0.126	0.148
lmer_pop	Dia	Bergland	F	RE	RE4	0.224	0.148
lmer_pop	Dia	Bergland	F	RE	RE5	0.101	0.148
lmer_pop	Dia	Bergland	F	RE	RE6	-0.08	0.148
lmer_pop	Dia	Bergland	F	RE	RE7	-0.085	0.148
lmer_pop	Dia	Bergland	F	UM	UM13	-0.13	0.116
lmer_pop	Dia	Bergland	F	UM	UM17	0.251	0.116
lmer_pop	Dia	Bergland	F	UM	UM18	0.006	0.148
lmer_pop	Dia	Bergland	F	UM	UM2	0.014	0.148
lmer_pop	Dia	Bergland	F	UM	UM20	-0.065	0.116
lmer_pop	Dia	Bergland	F	UM	UM21	0.048	0.148
lmer_pop	Dia	Bergland	F	UM	UM22	-0.037	0.148
lmer_pop	Dia	Bergland	F	UM	UM23	0.064	0.148
lmer_pop	Dia	Bergland	F	UM	UM25	-0.102	0.148
lmer_pop	Dia	Bergland	F	UM	UM28	-0.075	0.148
lmer_pop	Dia	Bergland	F	UM	UM29	0.137	0.148
lmer_pop	Dia	Bergland	F	UM	UM4	-0.086	0.148
lmer_pop	Dia	Bergland	F	UM	UM5	0.064	0.148
lmer_pop	Dia	Bergland	F	UM	UM7	-0.103	0.148
lmer_pop	Dia	Bergland	F	UM	UM9	0.014	0.148
lmer_pop	Dia	Bergland	F	VA	VA1	0.085	0.116
lmer_pop	Dia	Bergland	F	VA	VA11	-0.068	0.148
lmer_pop	Dia	Bergland	F	VA	VA15	-0.288	0.148
lmer_pop	Dia	Bergland	F	VA	VA18	-0.02	0.148
lmer_pop	Dia	Bergland	F	VA	VA22	0.139	0.148
lmer_pop	Dia	Bergland	F	VA	VA26	0.139	0.148
lmer_pop	Dia	Bergland	F	VA	VA30	0.139	0.148
lmer_pop	Dia	Bergland	F	VA	VA34	0.011	0.148
lmer_pop	Dia	Bergland	F	VA	VA35	0.139	0.148
lmer_pop	Dia	Bergland	F	VA	VA44	-0.078	0.148
lmer_pop	Dia	Bergland	F	VA	VA46	-0.092	0.148
lmer_pop	Dia	Bergland	F	VA	VA47	-0.043	0.148
lmer_pop	Dia	Bergland	F	VA	VA48	-0.027	0.148
lmer_pop	Dia	Bergland	F	VA	VA55	-0.001	0.129
lmer_pop	Dia	Bergland	F	VA	VA57	-0.027	0.148
lmer_pop	Dia	Bergland	F	VA	VA6	-0.154	0.148
lmer_pop	Dia	Bergland	F	VA	VA66	0.139	0.148
lmer_pop	Dia	Bergland	F	VA	VA67	0.139	0.148
lmer_pop	Dia	Bergland	F	VA	VA71	-0.136	0.148
lmer_pop	Dia	Bergland	F	YE	YE11	-0.021	0.148
lmer_pop	Dia	Bergland	F	YE	YE13	-0.029	0.148
lmer_pop	Dia	Bergland	F	YE	YE14	0	0.148
lmer_pop	Dia	Bergland	F	YE	YE15	-0.008	0.148
lmer_pop	Dia	Bergland	F	YE	YE19	0.054	0.148
lmer_pop	Dia	Bergland	F	YE	YE20	0.079	0.148
lmer_pop	Dia	Bergland	F	YE	YE21	-0.052	0.148
lmer_pop	Dia	Bergland	F	YE	YE22	-0.063	0.148
lmer_pop	Dia	Bergland	F	YE	YE23	0.008	0.148
lmer_pop	Dia	Bergland	F	YE	YE24	-0.007	0.148
lmer_pop	Dia	Bergland	F	YE	YE26	0.075	0.148
lmer_pop	Dia	Bergland	F	YE	YE27	0.037	0.148
lmer_pop	Dia	Bergland	F	YE	YE33	0.106	0.148
lmer_pop	Dia	Bergland	F	YE	YE40	-0.11	0.148
lmer_pop	Dia	Bergland	F	YE	YE41	0.003	0.148
lmer_pop	Dia	Bergland	F	YE	YE48	-0.019	0.116
lmer_pop	Dia	Bergland	F	YE	YE49	0.096	0.148
lmer_pop	Dia	Bergland	F	YE	YE51	-0.054	0.116
lmer_pop	Dia	Bergland	F	YE	YE69	-0.069	0.148
lmer_pop	Dia	Bergland	F	YE	YE80	-0.026	0.148
lmer_pop	Dia	Schlotterer	F	AK	AK1	-0.111	0.162
lmer_pop	Dia	Schlotterer	F	AK	AK10	-0.025	0.162
lmer_pop	Dia	Schlotterer	F	AK	AK11	-0.062	0.162
lmer_pop	Dia	Schlotterer	F	AK	AK12	-0.264	0.162
lmer_pop	Dia	Schlotterer	F	AK	AK13	-0.358	0.113
lmer_pop	Dia	Schlotterer	F	AK	AK14	-0.037	0.162
