Model	Trait	Sex	Population	Line	Coef_Bergland	Coef_Schlotterer	SE_Bergland	SE_Schlotterer
lmer_pop	Dia	F	AK	AK1	0.734722400952812	0.699612828557171	0.165885561347033	0.180937707189023
lmer_pop	Dia	F	AK	AK10	0.943722400952812	0.785612828557171	0.165885561347033	0.180937707189023
lmer_pop	Dia	F	AK	AK11	0.750722400952812	0.748612828557171	0.165885561347033	0.180937707189023
lmer_pop	Dia	F	AK	AK12	0.896722400952812	0.546612828557171	0.165885561347033	0.180937707189023
lmer_pop	Dia	F	AK	AK14	0.749722400952812	0.773612828557171	0.165885561347033	0.180937707189023
lmer_pop	Dia	F	AK	AK15	0.849722400952812	0.968612828557171	0.165885561347033	0.153803296072681
lmer_pop	Dia	F	AK	AK16	0.804722400952812	0.964612828557171	0.165885561347033	0.180937707189023
lmer_pop	Dia	F	AK	AK17	0.750722400952812	0.886612828557171	0.165885561347033	0.180937707189023
lmer_pop	Dia	F	AK	AK18	0.803722400952812	0.506612828557171	0.165885561347033	0.180937707189023
lmer_pop	Dia	F	AK	AK2	0.777722400952812	0.850612828557171	0.165885561347033	0.180937707189023
lmer_pop	Dia	F	AK	AK20	0.973722400952812	1.07661282855717	0.165885561347033	0.180937707189023
lmer_pop	Dia	F	AK	AK21	0.973722400952812	0.924612828557171	0.165885561347033	0.180937707189023
lmer_pop	Dia	F	AK	AK4	0.708722400952812	0.563612828557171	0.165885561347033	0.180937707189023
lmer_pop	Dia	F	AK	AK5	0.915722400952812	0.859612828557171	0.165885561347033	0.180937707189023
lmer_pop	Dia	F	AK	AK6	0.789722400952812	0.966612828557171	0.165885561347033	0.180937707189023
lmer_pop	Dia	F	AK	AK7	0.825722400952812	0.846612828557171	0.165885561347033	0.180937707189023
lmer_pop	Dia	F	AK	AK8	0.882722400952812	0.739612828557171	0.165885561347033	0.180937707189023
lmer_pop	Dia	F	AK	AK9	0.857722400952812	1.06061282855717	0.165885561347033	0.138792845214805
lmer_pop	Dia	F	GI	GI1	0.658858555619323	0.691547192054486	0.168183035547353	0.18559550405736
lmer_pop	Dia	F	GI	GI10	0.827858555619323	1.00854719205449	0.168183035547353	0.18559550405736
lmer_pop	Dia	F	GI	GI11	0.837858555619323	0.937547192054486	0.168183035547353	0.18559550405736
lmer_pop	Dia	F	GI	GI12	0.905858555619323	1.03054719205449	0.168183035547353	0.18559550405736
lmer_pop	Dia	F	GI	GI13	0.929858555619323	0.925547192054486	0.168183035547353	0.18559550405736
lmer_pop	Dia	F	GI	GI14	0.757858555619323	0.925547192054486	0.168183035547353	0.18559550405736
lmer_pop	Dia	F	GI	GI15	0.802858555619323	0.885547192054486	0.168183035547353	0.144812606931529
lmer_pop	Dia	F	GI	GI2	0.886858555619323	1.14354719205449	0.168183035547353	0.18559550405736
lmer_pop	Dia	F	GI	GI3	0.937858555619323	1.18354719205449	0.168183035547353	0.18559550405736
lmer_pop	Dia	F	GI	GI4	0.862858555619323	0.806547192054486	0.168183035547353	0.18559550405736
lmer_pop	Dia	F	GI	GI5	0.583858555619323	0.613547192054486	0.140845778942509	0.18559550405736
lmer_pop	Dia	F	GI	GI6	0.891858555619323	0.815547192054486	0.168183035547353	0.18559550405736
lmer_pop	Dia	F	GI	GI7	0.934858555619323	1.26054719205449	0.168183035547353	0.18559550405736
lmer_pop	Dia	F	GI	GI8	0.953858555619323	0.793547192054486	0.168183035547353	0.144812606931529
lmer_pop	Dia	F	GI	GI9	0.943858555619323	1.32554719205449	0.168183035547353	0.18559550405736
lmer_pop	Dia	F	KA	KA1	1.14317263520063	1.29381462213934	0.133963225137398	0.181125240946642
lmer_pop	Dia	F	KA	KA10	0.79717263520063	1.02281462213934	0.133963225137398	0.181125240946642
lmer_pop	Dia	F	KA	KA11	0.93317263520063	0.646814622139341	0.162462751697776	0.181125240946642
lmer_pop	Dia	F	KA	KA13	0.80117263520063	1.21081462213934	0.162462751697776	0.139037235688786
lmer_pop	Dia	F	KA	KA14	0.98917263520063	0.876814622139341	0.162462751697776	0.181125240946642
lmer_pop	Dia	F	KA	KA15	1.03717263520063	0.931814622139342	0.162462751697776	0.181125240946642
lmer_pop	Dia	F	KA	KA16	0.80017263520063	1.21681462213934	0.162462751697776	0.181125240946642
lmer_pop	Dia	F	KA	KA17	0.95617263520063	1.07481462213934	0.162462751697776	0.181125240946642
lmer_pop	Dia	F	KA	KA18	0.99917263520063	0.884814622139341	0.162462751697776	0.181125240946642
lmer_pop	Dia	F	KA	KA2	0.96517263520063	1.33181462213934	0.162462751697776	0.139037235688786
lmer_pop	Dia	F	KA	KA23	0.84817263520063	0.884814622139341	0.162462751697776	0.181125240946642
lmer_pop	Dia	F	KA	KA24	0.86017263520063	0.920814622139342	0.133963225137398	0.181125240946642
lmer_pop	Dia	F	KA	KA25	0.90017263520063	1.29381462213934	0.162462751697776	0.181125240946642
lmer_pop	Dia	F	KA	KA28	0.98317263520063	1.31881462213934	0.162462751697776	0.181125240946642
lmer_pop	Dia	F	KA	KA29	0.89617263520063	0.838814622139342	0.162462751697776	0.181125240946642
lmer_pop	Dia	F	KA	KA3	0.97017263520063	1.15581462213934	0.162462751697776	0.181125240946642
lmer_pop	Dia	F	KA	KA5	0.70417263520063	0.666814622139342	0.162462751697776	0.181125240946642
lmer_pop	Dia	F	KA	KA6	0.84717263520063	1.02381462213934	0.162462751697776	0.181125240946642
lmer_pop	Dia	F	KA	KA7	0.92717263520063	0.998814622139341	0.162462751697776	0.181125240946642
lmer_pop	Dia	F	KA	KA9	0.92717263520063	0.983814622139341	0.162462751697776	0.181125240946642
lmer_pop	Dia	F	MA	MA12	1.04592975287758	1.22206491530581	0.164312560219387	0.181396178904091
lmer_pop	Dia	F	MA	MA13	0.902929752877578	NA	0.164312560219387	NA
lmer_pop	Dia	F	MA	MA18	1.19792975287758	0.697064915305806	0.164312560219387	0.181396178904091
lmer_pop	Dia	F	MA	MA19	1.09792975287758	1.21106491530581	0.164312560219387	0.181396178904091
lmer_pop	Dia	F	MA	MA20	1.09492975287758	1.39106491530581	0.164312560219387	0.154342391198935
lmer_pop	Dia	F	MA	MA21	0.979929752877578	0.844064915305806	0.164312560219387	0.181396178904091
lmer_pop	Dia	F	MA	MA23	0.938929752877578	0.975064915305806	0.164312560219387	0.181396178904091
lmer_pop	Dia	F	MA	MA26	1.03992975287758	1.16106491530581	0.164312560219387	0.181396178904091
lmer_pop	Dia	F	MA	MA27	0.913929752877578	0.995064915305806	0.164312560219387	0.154342391198935
lmer_pop	Dia	F	MA	MA28	1.12392975287758	1.18106491530581	0.164312560219387	0.181396178904091
lmer_pop	Dia	F	MA	MA3	1.19792975287758	1.00406491530581	0.164312560219387	0.181396178904091
lmer_pop	Dia	F	MA	MA30	1.19792975287758	1.00406491530581	0.164312560219387	0.181396178904091
lmer_pop	Dia	F	MA	MA31	1.04992975287758	0.914064915305806	0.164312560219387	0.181396178904091
lmer_pop	Dia	F	MA	MA32	0.993929752877578	1.18906491530581	0.136200651414924	0.139390005814639
lmer_pop	Dia	F	MA	MA33	0.856929752877578	1.21606491530581	0.164312560219387	0.139390005814639
lmer_pop	Dia	F	MA	MA5	0.960929752877578	1.15706491530581	0.164312560219387	0.181396178904091
lmer_pop	Dia	F	MA	MA6	0.947929752877578	0.764064915305806	0.164312560219387	0.181396178904091
lmer_pop	Dia	F	MA	MA7	1.00192975287758	1.07106491530581	0.164312560219387	0.181396178904091
lmer_pop	Dia	F	MA	MA9	0.910929752877578	1.00406491530581	0.164312560219387	0.181396178904091
lmer_pop	Dia	F	MU	MU1	1.09226228062965	0.925871840081496	0.163805049223959	0.139085950700164
