Model	Trait	Lab	Sex	Population	Line	Value_re	SE_re
glmer_pop	Dia	Bergland	F	AK	AK1	-0.923	0.531
glmer_pop	Dia	Bergland	F	AK	AK10	0.876	0.664
glmer_pop	Dia	Bergland	F	AK	AK11	-0.839	0.459
glmer_pop	Dia	Bergland	F	AK	AK12	0.721	0.42
glmer_pop	Dia	Bergland	F	AK	AK14	-0.9	0.401
glmer_pop	Dia	Bergland	F	AK	AK15	0.183	0.468
glmer_pop	Dia	Bergland	F	AK	AK16	-0.296	0.381
glmer_pop	Dia	Bergland	F	AK	AK17	-0.839	0.459
glmer_pop	Dia	Bergland	F	AK	AK18	-0.267	0.522
glmer_pop	Dia	Bergland	F	AK	AK2	-0.59	0.387
glmer_pop	Dia	Bergland	F	AK	AK20	1.31	0.605
glmer_pop	Dia	Bergland	F	AK	AK21	1.31	0.605
glmer_pop	Dia	Bergland	F	AK	AK4	-1.133	0.565
glmer_pop	Dia	Bergland	F	AK	AK5	0.9	0.47
glmer_pop	Dia	Bergland	F	AK	AK6	-0.435	0.443
glmer_pop	Dia	Bergland	F	AK	AK7	-0.058	0.42
glmer_pop	Dia	Bergland	F	AK	AK8	0.553	0.434
glmer_pop	Dia	Bergland	F	AK	AK9	0.27	0.46
glmer_pop	Dia	Bergland	F	GI	GI1	-1.941	0.556
glmer_pop	Dia	Bergland	F	GI	GI10	-0.324	0.429
glmer_pop	Dia	Bergland	F	GI	GI11	-0.224	0.441
glmer_pop	Dia	Bergland	F	GI	GI12	0.513	0.455
glmer_pop	Dia	Bergland	F	GI	GI13	0.783	0.47
glmer_pop	Dia	Bergland	F	GI	GI14	-1.001	0.493
glmer_pop	Dia	Bergland	F	GI	GI15	-0.592	0.421
glmer_pop	Dia	Bergland	F	GI	GI2	0.312	0.415
glmer_pop	Dia	Bergland	F	GI	GI3	0.881	0.462
glmer_pop	Dia	Bergland	F	GI	GI4	0.044	0.395
glmer_pop	Dia	Bergland	F	GI	GI5	-1.583	0.264
glmer_pop	Dia	Bergland	F	GI	GI6	0.367	0.411
glmer_pop	Dia	Bergland	F	GI	GI7	0.797	0.514
glmer_pop	Dia	Bergland	F	GI	GI8	0.75	0.672
glmer_pop	Dia	Bergland	F	GI	GI9	0.97	0.455
glmer_pop	Dia	Bergland	F	KA	KA1	1.308	0.399
glmer_pop	Dia	Bergland	F	KA	KA10	-0.787	0.275
glmer_pop	Dia	Bergland	F	KA	KA11	0.204	0.443
glmer_pop	Dia	Bergland	F	KA	KA13	-1.248	0.395
glmer_pop	Dia	Bergland	F	KA	KA14	0.811	0.507
glmer_pop	Dia	Bergland	F	KA	KA15	1.203	0.606
glmer_pop	Dia	Bergland	F	KA	KA16	-1.191	0.449
glmer_pop	Dia	Bergland	F	KA	KA17	0.412	0.546
