Model	Trait	Sex	Population	Line	Value_re_Bergland	Value_re_Flatt	Value_re_Schlotterer	SE_re_Bergland	SE_re_Flatt	SE_re_Schlotterer
glmer_pop	Dia	F	MA	MA6	-0.318	-1.462	-1.77	0.85	0.774	0.501
glmer_pop	Dia	F	MA	MA7	-0.194	0.539	0.225	0.425	1.194	0.568
glmer_pop	Dia	F	MA	MA9	-1.08	-2.063	-0.077	0.49	0.859	0.532
glmer_pop	Dia	F	MU	MU1	0.769	0.2	-0.857	0.554	1.351	0.297
glmer_pop	Dia	F	MU	MU10	-0.03	0.26	0.219	0.568	1.318	0.649
glmer_pop	Dia	F	MU	MU11	0.769	0.212	0.418	0.646	1.344	0.628
glmer_pop	Dia	F	MU	MU12	0.263	0.225	1.447	0.537	1.337	0.828
glmer_pop	Dia	F	MU	MU13	0.295	0.212	0.862	0.443	1.344	0.708
glmer_pop	Dia	F	MU	MU14	-1.386	0.212	0.418	0.591	1.344	0.628
glmer_pop	Dia	F	MU	MU15	-0.743	-1.145	-1.945	0.443	1.042	0.499
glmer_pop	Dia	F	MU	MU16	0.067	-1.175	-1.241	0.33	1.05	0.479
glmer_pop	Dia	F	MU	MU17	1.18	0.212	0.862	0.723	1.344	0.708
glmer_pop	Dia	F	MU	MU19	-0.578	0.16	0.862	0.485	1.373	0.708
glmer_pop	Dia	F	MU	MU2	0.856	-1.117	-0.521	0.787	1.035	0.511
glmer_pop	Dia	F	MU	MU20	0.927	0.237	0.059	0.482	1.33	0.574
glmer_pop	Dia	F	MU	MU3	-0.804	-0.926	-1.01	0.274	0.989	0.483
glmer_pop	Dia	F	MU	MU4	-2.027	-2.217	-1.945	0.659	0.66	0.499
glmer_pop	Dia	F	MU	MU5	0.119	0.249	0.862	0.497	1.324	0.708
glmer_pop	Dia	F	MU	MU6	-0.896	0.173	-0.318	0.368	1.366	0.343
glmer_pop	Dia	F	MU	MU8	0.483	0.2	0.418	0.516	1.351	0.628
glmer_pop	Dia	F	MU	MU9	0.004	0.16	0.418	0.466	1.373	0.628
glmer_pop	Dia	F	RE	RE10	-0.347	-1.502	0.917	0.541	0.774	0.706
glmer_pop	Dia	F	RE	RE11	-0.487	-0.835	0.185	0.44	0.976	0.569
glmer_pop	Dia	F	RE	RE12	-0.869	-1.916	0.538	0.843	0.829	0.622
glmer_pop	Dia	F	RE	RE13	0.451	0.108	0.185	0.717	1.406	0.569
glmer_pop	Dia	F	RE	RE15	-0.382	NA	-0.388	0.255	NA	0.509
glmer_pop	Dia	F	RE	RE16	0.813	0.612	-2.073	0.464	1.167	0.522
glmer_pop	Dia	F	RE	RE17	-1.588	0.403	-0.981	0.599	1.25	0.494
glmer_pop	Dia	F	RE	RE18	0.348	0.422	-0.388	0.408	1.242	0.509
glmer_pop	Dia	F	RE	RE2	0.241	0.384	-0.118	0.416	1.259	0.533
glmer_pop	Dia	F	RE	RE3	1.047	0.422	0.971	0.627	1.242	0.699
glmer_pop	Dia	F	RE	RE4	1.415	-0.919	-1.067	0.696	0.994	0.351
glmer_pop	Dia	F	RE	RE5	0.996	0.422	0.971	0.493	1.242	0.699
glmer_pop	Dia	F	RE	RE6	-0.876	0.422	-0.875	0.512	1.242	0.483
glmer_pop	Dia	F	RE	RE7	-1.042	0.363	1.539	0.408	1.268	0.815
glmer_pop	Dia	F	UM	UM13	-0.916	-1.447	-2.016	0.324	1.127	0.49
glmer_pop	Dia	F	UM	UM17	1.614	0.121	0.84	0.65	1.397	0.946
glmer_pop	Dia	F	UM	UM18	0.083	0.152	0.091	0.48	1.378	0.791
glmer_pop	Dia	F	UM	UM2	0.157	NA	-0.504	0.604	NA	0.69
glmer_pop	Dia	F	UM	UM20	-0.679	0.121	0.84	0.322	1.397	0.946
glmer_pop	Dia	F	UM	UM21	0.507	-1.415	0.091	0.669	1.117	0.791
glmer_pop	Dia	F	UM	UM22	-0.396	NA	-0.448	0.584	NA	0.683
glmer_pop	Dia	F	UM	UM23	0.763	0.162	0.091	0.635	1.372	0.791
glmer_pop	Dia	F	UM	UM25	-1.133	0.152	NA	0.471	1.378	NA
