"Trait","Sex","Lab","H2","Vp","Vg","Ve","Genot","N_unique_genot","Min_rep_genot","N_rep_genot","Warnings"
"DT_A","F","Zwaan",0.22,150.849562503144,33.6443358969497,117.205226606194,"Line",169,1,169,"NA"
"DT_A","M","Gibert",0.25,145.000480705509,35.8032503452149,109.197230360295,"Line",169,1,169,"NA"
"DT_A","M","Grath",0.16,359.578747232588,58.5546146496755,301.024132582913,"Line",23,1,23,"NA"
"DT_A","M","Hoedjes",0.14,241.776797316709,34.4851971994597,207.291600117249,"Line",167,1,167,"NA"
"DT_A","M","Schmidt",0.61,765.348317252898,468.028159384187,297.320157868711,"Line",157,1,157,"NA"
"DT_A","M","StamenkovicRadak",0.41,717.566446293995,290.977217812963,426.589228481032,"Line",165,1,165,"NA"
"DT_A","M","Zwaan",0.23,166.520160750627,38.359328029498,128.160832721129,"Line",169,1,169,"NA"
"DT_P","NA","Schmidt",0.59,289.920087035634,170.843879520638,119.076207514996,"Line",161,1,161,"NA"
"DW","F","Hoedjes",0.38,0.00362511420269586,0.00136560702453199,0.00225950717816387,"Line",167,1,167,"NA"
"DW","F","Colinet",0.37,0.00426898882121981,0.00158071873840317,0.00268827008281664,"Line",165,1,165,"NA"
"DW","F","Onder",0.36,0.00414502510692406,0.00148588704860571,0.00265913805831836,"Line",166,1,166,"NA"
"DW","M","Hoedjes",0.36,0.00107515255969348,0.000389783976409671,0.00068536858328381,"Line",167,1,167,"NA"
"DW","M","Colinet",0.37,0.00113354032454674,0.000415946652896524,0.000717593671650216,"Line",165,1,165,"NA"
"DW","M","Onder",0.34,0.00138675388516566,0.00046820058960045,0.000918553295565209,"Line",166,1,166,"NA"
"Fec","F","Billeter",0.31,4026.23547566916,1262.55966233175,2763.6758133374,"Line",160,1,160,"NA"
"Fec","F","Fricke",0.26,1706.27613700492,446.655784537786,1259.62035246714,"Line",161,1,161,"NA"
"HSM","F","Vieira",0.3,3217.49617053862,970.607874358228,2246.88829618039,"Line",168,1,168,"NA"
"HSM","F","Parsch",0.51,10755.5413149623,5502.31174624228,5253.22956872004,"Line",135,1,135,"NA"
"HSM","M","Vieira",0.37,4837.9402022166,1806.37605020875,3031.56415200785,"Line",168,1,168,"NA"
"HSM","M","Parsch",0.59,13360.2905287685,7837.40322888953,5522.88729987893,"Line",135,1,135,"NA"
"LA_AbsPhase","M","Tauber",0.01,21.7886487211333,0.292963405839933,21.4956853152934,"Line",92,1,92,"NA"
"LA_Activity","M","Tauber",0.44,128.882976803689,56.7425709408254,72.1404058628641,"Line",92,1,92,"NA"
"LA_CircPhase","M","Tauber",0.03,48.0999704881933,1.66633641521719,46.4336340729761,"Line",92,1,92,"NA"
"LA_ND_log2","M","Tauber",0.31,0.333242076601394,0.102268102551369,0.230973974050024,"Line",91,1,91,"NA"
"LA_Period","M","Tauber",0.03,3.38949043232055,0.0872924374379203,3.30219799488263,"Line",92,1,92,"NA"
"LSL","F","Parsch",0.12,397.625607150257,45.92962690732,351.695980242937,"Line",135,1,135,"NA"
"LSL","F","Pasyukova",0.11,277.975901510856,31.6142418040363,246.36165970682,"Line",169,1,169,"NA"
"LSL","M","Parsch",0.1,440.764844084753,43.7286704853165,397.036173599437,"Line",135,1,135,"NA"
"LSL","M","Pasyukova",0.12,367.60754505504,44.1421204862727,323.465424568767,"Line",169,1,169,"NA"
"Pgm_T4","F","Gibert",0.19,0.0163402546282238,0.00313001590171256,0.0132102387265113,"Line",167,1,167,"NA"
"Pgm_T4","F","Schmidt",0.45,0.0206670046443927,0.00922001236080259,0.0114469922835901,"Line",157,1,157,"NA"
"Pgm_T4","F","Abbott",0.53,0.0135047236274591,0.00716276833566544,0.00634195529179365,"Line",161,1,161,"NA"
"Pgm_T5","F","Gibert",0.27,0.017182605657413,0.00464314885152109,0.0125394568058919,"Line",167,1,167,"NA"
"Pgm_T5","F","Schmidt",0.58,0.0914976801673861,0.0535098377100652,0.0379878424573209,"Line",157,1,157,"NA"
"Pgm_T5","F","Abbott",0.46,0.0115197368692465,0.00535026367067335,0.00616947319857319,"Line",161,1,161,"NA"
"Pgm_T6","F","Gibert",0.47,0.0491083163660589,0.0230391555872726,0.0260691607787863,"Line",167,1,167,"NA"
"Pgm_T6","F","Schmidt",0.52,0.163741597181247,0.0850000632097906,0.0787415339714564,"Line",157,1,157,"NA"
"Pgm_T6","F","Abbott",0.49,0.0427291799867775,0.0207998821566161,0.0219292978301614,"Line",161,1,161,"NA"
"Pgm_Total","F","Gibert",0.32,0.0125391139340469,0.0040166867200754,0.00852242721397147,"Line",167,1,167,"NA"
"Pgm_Total","F","Schmidt",0.59,0.0462513023419033,0.0270740796911889,0.0191772226507144,"Line",157,1,157,"NA"
"Pgm_Total","F","Abbott",0.53,0.0111693560542154,0.00597166173665719,0.00519769431755822,"Line",161,1,161,"NA"
"SR","F","Gonzalez",0.3,612.654695687578,185.81942396643,426.835271721148,"Line",141,1,141,"NA"
"SR","F","Onder",0.39,531.647969142721,209.175356316291,322.472612826429,"Line",168,1,168,"NA"
"SR","F","Pasyukova",0.24,634.9847391124,154.286293626055,480.698445486345,"Line",169,1,169,"NA"
"SR","M","Gonzalez",0.32,319.105961104437,101.708235495228,217.397725609209,"Line",156,1,156,"NA"
"SR","M","Onder",0.36,308.198663575756,112.030751116162,196.167912459594,"Line",168,1,168,"NA"
"SR","M","Pasyukova",0.24,369.912751275941,87.0638206517415,282.848930624199,"Line",169,1,169,"NA"
"TL","F","Kozeretska",0.36,4011.52088510414,1458.8845719797,2552.63631312444,"Line",130,1,130,"NA"
"TL","F","Schmidt",0.29,1782.44233928694,521.938703747648,1260.50363553929,"Line",157,1,157,"NA"
"TL","F","Posnien",0.47,2895.45673115568,1358.15912361461,1537.29760754107,"Line",27,1,27,"NA"
"TL","F","Ritchie",0.35,4326.09402699064,1509.58202291397,2816.51200407667,"Line",26,1,26,"NA"
"TL","M","Kozeretska",0.37,3575.87407745333,1325.72244969821,2250.15162775512,"Line",130,1,130,"NA"
"TL","M","Posnien",0.49,2397.08749470644,1181.98468492317,1215.10280978327,"Line",27,1,27,"NA"
"TL","M","Ritchie",0.35,5510.51824706874,1931.15658580675,3579.36166126199,"Line",26,1,26,"NA"
"Via","NA","Gibert",0.59,0.0305564658108913,0.0181370571304696,0.0124194086804217,"Line",169,1,169,"NA"
"Via","NA","Grath",0.19,0.0247477036240146,0.00471328233056305,0.0200344212934515,"Line",30,1,30,"NA"
"Via","NA","Hoedjes",0.66,0.0305347923094985,0.020234542983595,0.0103002493259035,"Line",167,1,167,"NA"
"Via","NA","Schmidt",NA,NA,NA,NA,"Line",162,1,162,"Not enough genotype replicates"
"Via","NA","StamenkovicRadak",0.63,0.0329278964126472,0.0208796504849406,0.0120482459277066,"Line",167,1,167,"NA"
"Via","NA","Zwaan",0.38,0.0535452913077649,0.0203249855326327,0.0332203057751323,"Line",169,1,169,"NA"
"WA_L","F","StamenkovicRadak",0.34,11778.9193778924,4038.06505005261,7740.8543278398,"Line",124,1,124,"NA"
"WA_L","F","Onder",0.43,11253.4778502284,4800.51025653259,6452.96759369576,"Line",167,1,167,"NA"
"WA_L","F","Posnien",0.51,17171.7288354618,8821.5323283694,8350.19650709239,"Line",27,1,27,"NA"
"WA_L","F","Ritchie",0.67,38897.8351924608,25918.3490488019,12979.4861436589,"Line",47,1,47,"NA"
"WA_L","M","StamenkovicRadak",0.34,9003.07274972414,3021.38495865934,5981.68779106481,"Line",124,1,124,"NA"
"WA_L","M","Onder",0.39,8590.82815848995,3333.03767258731,5257.79048590264,"Line",167,1,167,"NA"
"WA_L","M","Posnien",0.51,12242.5706979363,6247.50918832222,5995.06150961409,"Line",27,1,27,"NA"
"WA_L","M","Ritchie",0.46,18079.5023875155,8259.81072438162,9819.69166313385,"Line",44,1,44,"NA"
"WA_R","F","StamenkovicRadak",0.35,11898.7469376171,4192.08534841157,7706.66158920556,"Line",124,1,124,"NA"
"WA_R","F","Onder",0.42,11203.1860166409,4740.97351936165,6462.2124972792,"Line",167,1,167,"NA"
"WA_R","F","Posnien",0.5,17513.4012308612,8819.86265248713,8693.53857837407,"Line",27,1,27,"NA"
"WA_R","F","Ritchie",0.66,38637.8502049857,25483.5063131456,13154.3438918401,"Line",47,1,47,"NA"
"WA_R","M","StamenkovicRadak",0.35,9057.92583504792,3187.87910921234,5870.04672583558,"Line",124,1,124,"NA"
"WA_R","M","Onder",0.39,8704.88458519385,3386.39416190232,5318.49042329153,"Line",167,1,167,"NA"
"WA_R","M","Posnien",0.51,12241.6327320257,6209.57803867544,6032.05469335029,"Line",27,1,27,"NA"
"WA_R","M","Ritchie",0.46,17884.7611082578,8196.91319563367,9687.84791262411,"Line",44,1,44,"NA"
