Population	Mstar	SEMstar	Q	p	LLMstar	ULMstar
YE	2442.59929359578	8.19669599783716	9.06785471236829	0.336604210647613	2426.5340646478	2458.66452254377
RE	2502.02343276449	35.7657558842845	9.06785471236829	0.336604210647613	2431.92383935144	2572.12302617754
GI	2455.21808797336	19.9088061488806	9.06785471236829	0.336604210647613	2416.19754494637	2494.23863100036
MU	2422.37721597617	45.8697274059915	9.06785471236829	0.336604210647613	2332.47420227975	2512.28022967258
MA	2484.26295405582	20.8962451652916	9.06785471236829	0.336604210647613	2443.30706611973	2525.21884199191
UM	2481.83649899018	33.7311402223421	9.06785471236829	0.336604210647613	2415.72467899692	2547.94831898344
KA	2432.24223182676	25.7825556557466	9.06785471236829	0.336604210647613	2381.70935131209	2482.77511234142
VA	2446.06310200158	27.6403267246149	9.06785471236829	0.336604210647613	2391.88905710042	2500.23714690275
AK	2414.54028358589	27.1784021564071	9.06785471236829	0.336604210647613	2361.27159420199	2467.80897296979
