Models	Trait	Sex	Population	Line	Estimate	SE	LLEst	ULEst	Q	P	N_lab	N_lab_av
lmers	WA_L	F	YE	YE11	2829.45958635281	88.033273223653	2656.91754139328	3002.00163131235	1223.59561570481	2.22803878005167e-158	1	1.96511627906977
lmers	WA_L	F	YE	YE13	2853.72095658943	16.5747284251353	2821.23508582263	2886.20682735623	1223.59561570481	2.22803878005167e-158	3	1.96511627906977
lmers	WA_L	F	YE	YE14	2736.09744230707	16.5901901008204	2703.58126721279	2768.61361740135	1223.59561570481	2.22803878005167e-158	3	1.96511627906977
lmers	WA_L	F	YE	YE15	2877.53497723102	16.3090815622915	2845.569764748	2909.50018971404	1223.59561570481	2.22803878005167e-158	3	1.96511627906977
lmers	WA_L	F	YE	YE19	2841.3940023422	27.4590296331656	2787.57529321078	2895.21271147362	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	YE	YE20	2825.87862534283	30.2259508649761	2766.636850249	2885.12040043666	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	YE	YE21	2876.35122600241	28.5804899149659	2820.33449510857	2932.36795689626	1223.59561570481	2.22803878005167e-158	1	1.96511627906977
lmers	WA_L	F	YE	YE22	2819.70355228848	16.3033973236262	2787.74948070852	2851.65762386843	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	YE	YE23	2786.44225648246	24.5812689283355	2738.26385468863	2834.62065827629	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	YE	YE24	2817.3238478653	16.4749005208969	2785.03363619546	2849.61405953514	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	YE	YE26	2797.68722600241	29.0757888763051	2740.69972698276	2854.67472502206	1223.59561570481	2.22803878005167e-158	1	1.96511627906977
lmers	WA_L	F	YE	YE27	2891.44622600241	28.6923540822197	2835.21024536959	2947.68220663523	1223.59561570481	2.22803878005167e-158	1	1.96511627906977
lmers	WA_L	F	YE	YE33	2809.94231079459	16.3437453964786	2777.909158445	2841.97546314418	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	YE	YE40	2862.85900381127	17.1528256704927	2829.24008326401	2896.47792435853	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	YE	YE41	2809.55773490863	16.8463941466698	2776.53940911179	2842.57606070547	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	YE	YE48	2791.59322600241	29.0660414191453	2734.62483164774	2848.56162035709	1223.59561570481	2.22803878005167e-158	1	1.96511627906977
lmers	WA_L	F	YE	YE49	2796.06923997792	17.2586264684929	2762.24295367704	2829.8955262788	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	YE	YE51	2762.41466737675	19.7541579647002	2723.69722922102	2801.13210553248	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	YE	YE69	2838.62495753115	16.6739468153765	2805.94462229288	2871.30529276943	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	YE	YE80	2821.21273393255	20.1357403765574	2781.74740799245	2860.67805987265	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	RE	RE1	2923.69308606063	16.5669558533358	2891.22244925463	2956.16372286663	1223.59561570481	2.22803878005167e-158	3	1.96511627906977
lmers	WA_L	F	RE	RE10	2960.79315992091	28.9189341759971	2904.11309046467	3017.47322937715	1223.59561570481	2.22803878005167e-158	1	1.96511627906977
lmers	WA_L	F	RE	RE11	2904.70687630574	45.9815758777193	2814.58464363302	2994.82910897847	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	RE	RE12	2895.47750659221	39.5742752496606	2817.9133523886	2973.04166079582	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	RE	RE13	2893.39447192199	17.0813460656118	2859.91564882593	2926.87329501806	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	RE	RE15	2888.16515992091	29.3645809245706	2830.61163888764	2945.71868095418	1223.59561570481	2.22803878005167e-158	1	1.96511627906977
lmers	WA_L	F	RE	RE16	2906.72134579131	26.4145083040978	2854.94986084595	2958.49283073668	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	RE	RE17	2920.88904667201	61.8152298149924	2799.73342253856	3042.04467080547	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	RE	RE18	2926.67681445658	17.2705504022092	2892.82715767507	2960.5264712381	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	RE	RE2	2990.51086685628	16.8003084534114	2957.58286735843	3023.43886635413	1223.59561570481	2.22803878005167e-158	3	1.96511627906977
lmers	WA_L	F	RE	RE3	2877.02612765651	57.0621179131919	2765.18643166508	2988.86582364795	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	RE	RE4	2965.64330327662	44.8399544647606	2877.75860745727	3053.52799909596	1223.59561570481	2.22803878005167e-158	3	1.96511627906977
lmers	WA_L	F	RE	RE5	2921.30278279305	16.7122592831004	2888.54735649787	2954.05820908822	1223.59561570481	2.22803878005167e-158	3	1.96511627906977
lmers	WA_L	F	RE	RE6	2981.89462663341	22.6284636527689	2937.54365284851	3026.24560041831	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	RE	RE7	3016.90765552078	17.0597539302897	2983.47115223229	3050.34415880926	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	RE	RE8	2938.78407174857	19.5795275037817	2900.40890300684	2977.15924049029	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	GI	GI1	2868.76948687605	17.5729304532548	2834.32717608484	2903.21179766725	1223.59561570481	2.22803878005167e-158	3	1.96511627906977
lmers	WA_L	F	GI	GI10	2854.62088184701	25.9538593078435	2803.75225234382	2905.4895113502	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	GI	GI11	2853.06460482315	27.3870160014357	2799.38703981631	2906.74216982999	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	GI	GI12	2731.71930188499	30.0359901604278	2672.84984293056	2790.58876083943	1223.59561570481	2.22803878005167e-158	1	1.96511627906977
lmers	WA_L	F	GI	GI13	2855.48430188499	29.6745197756816	2797.32331186614	2913.64529190385	1223.59561570481	2.22803878005167e-158	1	1.96511627906977
lmers	WA_L	F	GI	GI14	2901.30468391015	46.6123647606619	2809.94612774501	2992.66324007529	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	GI	GI15	2876.65430188499	29.6745197756816	2818.49331186614	2934.81529190385	1223.59561570481	2.22803878005167e-158	1	1.96511627906977
lmers	WA_L	F	GI	GI2	2841.11923838476	28.0412662727984	2786.15936640918	2896.07911036035	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	GI	GI3	2764.68689597039	36.649805066709	2692.85459799922	2836.51919394155	1223.59561570481	2.22803878005167e-158	3	1.96511627906977
lmers	WA_L	F	GI	GI4	2794.92026534018	17.3779809239049	2760.8600486053	2828.98048207506	1223.59561570481	2.22803878005167e-158	3	1.96511627906977
lmers	WA_L	F	GI	GI5	2886.50282039515	17.7585178619691	2851.69676496688	2921.30887582342	1223.59561570481	2.22803878005167e-158	3	1.96511627906977
lmers	WA_L	F	GI	GI6	2759.22402148523	121.602806867466	2520.88689960601	2997.56114336444	1223.59561570481	2.22803878005167e-158	3	1.96511627906977
lmers	WA_L	F	GI	GI7	2627.62548011101	248.848726493901	2139.8909385843	3115.36002163771	1223.59561570481	2.22803878005167e-158	2	1.96511627906977
lmers	WA_L	F	GI	GI8	2680.09815236337	142.856504475375	2400.10454863435	2960.09175609239	1223.59561570481	2.22803878005167e-158	3	1.96511627906977
lmers	WA_L	F	GI	GI9	2704.86050993932	143.534762752304	2423.53754441531	2986.18347546334	1223.59561570481	2.22803878005167e-158	3	1.96511627906977
lmers	WA_L	F	MU	MU1	2849.31934143602	16.1346983150345	2817.69591383714	2880.94276903491	1223.59561570481	2.22803878005167e-158	3	1.96511627906977
lmers	WA_L	F	MU	MU10	2872.81812768557	28.3616304764667	2817.23035340887	2928.40590196228	1223.59561570481	2.22803878005167e-158	1	1.96511627906977
