Models	Trait	Sex	Population	Estimate	SE	LLEst	ULEst	Q	P	N_lab	N_lab_av
lmers	WA_R	M	YE	2446.76216822561	8.44546523161385	2430.20936053896	2463.31497591226	96.0171708780847	2.77556239556577e-17	3	3
lmers	WA_R	M	RE	2546.39029746959	8.97893998581213	2528.79189847806	2563.98869646113	96.0171708780847	2.77556239556577e-17	3	3
lmers	WA_R	M	GI	2472.58429591972	9.65239061049554	2453.66595795844	2491.502633881	96.0171708780847	2.77556239556577e-17	3	3
lmers	WA_R	M	MU	2476.27789502629	8.1707547936315	2460.26350990426	2492.29228014832	96.0171708780847	2.77556239556577e-17	3	3
lmers	WA_R	M	MA	2503.35671204062	11.8690944179067	2480.09371445242	2526.61970962883	96.0171708780847	2.77556239556577e-17	3	3
lmers	WA_R	M	UM	2514.78556692966	8.68423366989498	2497.76478170334	2531.80635215599	96.0171708780847	2.77556239556577e-17	3	3
lmers	WA_R	M	KA	2456.59656925344	18.4546559221406	2420.42610829897	2492.76703020792	96.0171708780847	2.77556239556577e-17	3	3
lmers	WA_R	M	VA	2475.46263949077	13.2668811936131	2449.46003016412	2501.46524881743	96.0171708780847	2.77556239556577e-17	3	3
lmers	WA_R	M	AK	2436.28668862253	16.0295446632733	2404.86935839394	2467.70401885112	96.0171708780847	2.77556239556577e-17	3	3
