Model	Trait	Sex	Population	Line	Coef_Abbott	Coef_Gibert	Coef_Schmidt	SE_Abbott	SE_Gibert	SE_Schmidt
lmer_pop	Pgm_T4	F	AK	AK1	0.353951916725452	0.42796224807581	0.458406913984285	0.025595842803621	0.0341616864812126	0.0383211191911681
lmer_pop	Pgm_T4	F	AK	AK10	0.357951916725452	0.47696224807581	0.494406913984285	0.0247819928340656	0.033256891364658	0.0383211191911681
lmer_pop	Pgm_T4	F	AK	AK11	0.453951916725452	0.52296224807581	0.427406913984285	0.025595842803621	0.033256891364658	0.0383211191911681
lmer_pop	Pgm_T4	F	AK	AK12	0.385951916725452	0.49296224807581	0.487406913984285	0.0264224746915893	0.0271112674591333	0.0383211191911681
lmer_pop	Pgm_T4	F	AK	AK13	0.318951916725452	0.53896224807581	0.585406913984285	0.0264224746915893	0.033256891364658	0.0383211191911681
lmer_pop	Pgm_T4	F	AK	AK14	0.361951916725452	0.45196224807581	0.367406913984285	0.0264224746915893	0.033256891364658	0.0383211191911681
lmer_pop	Pgm_T4	F	AK	AK15	0.375951916725452	0.48296224807581	0.502406913984285	0.0209558385379273	0.033256891364658	0.0383211191911681
lmer_pop	Pgm_T4	F	AK	AK16	0.420951916725452	0.49296224807581	0.523406913984285	0.0264224746915893	0.033256891364658	0.0383211191911681
lmer_pop	Pgm_T4	F	AK	AK17	0.332951916725452	0.47496224807581	0.472406913984285	0.025595842803621	0.033256891364658	0.0383211191911681
lmer_pop	Pgm_T4	F	AK	AK18	0.349951916725452	0.48696224807581	0.342406913984285	0.0264224746915893	0.033256891364658	0.0383211191911681
lmer_pop	Pgm_T4	F	AK	AK2	0.390951916725452	0.52396224807581	0.451406913984285	0.0264224746915893	0.033256891364658	0.0383211191911681
lmer_pop	Pgm_T4	F	AK	AK20	0.370951916725452	0.51296224807581	0.427406913984285	0.025595842803621	0.033256891364658	0.0383211191911681
lmer_pop	Pgm_T4	F	AK	AK21	0.378951916725452	0.41596224807581	0.639406913984285	0.0264224746915893	0.033256891364658	0.0383211191911681
lmer_pop	Pgm_T4	F	AK	AK3	0.519951916725452	0.49996224807581	0.495406913984285	0.0264224746915893	0.033256891364658	0.0383211191911681
lmer_pop	Pgm_T4	F	AK	AK4	0.328951916725452	0.56996224807581	0.532406913984285	0.0264224746915893	0.033256891364658	0.0383211191911681
lmer_pop	Pgm_T4	F	AK	AK5	0.389951916725452	0.47196224807581	0.409406913984285	0.0264224746915893	0.033256891364658	0.0383211191911681
lmer_pop	Pgm_T4	F	AK	AK6	0.321951916725452	0.50796224807581	0.575406913984285	0.0264224746915893	0.033256891364658	0.0383211191911681
lmer_pop	Pgm_T4	F	AK	AK7	0.383951916725452	0.45696224807581	0.433406913984285	0.0264224746915893	0.033256891364658	0.0383211191911681
lmer_pop	Pgm_T4	F	AK	AK8	0.382951916725452	0.57496224807581	0.476406913984285	0.025595842803621	0.033256891364658	0.0383211191911681
lmer_pop	Pgm_T4	F	AK	AK9	0.395951916725452	0.61396224807581	0.584406913984285	0.025595842803621	0.033256891364658	0.0383211191911681
lmer_pop	Pgm_T4	F	GI	GI1	0.393298476594084	0.480150723798062	0.323382153211075	0.0281537297417434	0.0342545712139015	0.0414483227635863
lmer_pop	Pgm_T4	F	GI	GI10	0.429298476594084	0.534150723798062	0.480382153211075	0.027379417422055	0.0283262360550823	0.0414483227635863
lmer_pop	Pgm_T4	F	GI	GI11	0.338298476594084	0.538150723798062	0.433382153211075	0.0281537297417434	0.0342545712139015	0.0414483227635863
lmer_pop	Pgm_T4	F	GI	GI12	0.358298476594084	0.491150723798062	0.452382153211075	0.0281537297417434	0.0342545712139015	0.0414483227635863
lmer_pop	Pgm_T4	F	GI	GI14	0.338298476594084	0.511150723798062	0.375382153211075	0.0281537297417434	0.0342545712139015	0.0414483227635863
