Model	Trait	Sex	Population	Line	Value_re_Abbott	Value_re_Gibert	Value_re_Schmidt	SE_re_Abbott	SE_re_Gibert	SE_re_Schmidt
lmer_pop	Pgm_T4	F	MA	MA33	0.019	-0.029	-0.012	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	MA	MA5	0.074	0.013	0.057	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	MA	MA6	-0.011	0.075	-0.012	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	MA	MA7	-0.087	-0.004	-0.053	0.021	0.03	0.032
lmer_pop	Pgm_T4	F	MA	MA9	-0.093	-0.023	-0.076	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	MU	MU1	0.063	0.006	0.129	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	MU	MU10	-0.052	-0.034	-0.017	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	MU	MU11	0.002	-0.016	-0.146	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	MU	MU12	-0.032	-0.013	-0.076	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	MU	MU13	0.03	0.016	-0.051	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	MU	MU14	0.053	0.041	0.116	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	MU	MU16	0.024	-0.012	0.003	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	MU	MU17	-0.02	0.026	0.003	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	MU	MU18	0.053	0.059	0.036	0.02	0.031	0.032
lmer_pop	Pgm_T4	F	MU	MU19	-0.018	0.006	-0.007	0.022	0.023	0.032
lmer_pop	Pgm_T4	F	MU	MU2	0.075	0.04	0.06	0.022	0.03	0.037
lmer_pop	Pgm_T4	F	MU	MU20	-0.051	-0.038	0.058	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	MU	MU3	-0.01	-0.066	-0.072	0.021	0.03	0.032
lmer_pop	Pgm_T4	F	MU	MU5	-0.051	-0.047	-0.049	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	MU	MU6	0.006	-0.007	0.067	0.021	0.03	0.032
lmer_pop	Pgm_T4	F	MU	MU8	-0.062	0.048	-0.051	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	MU	MU9	-0.012	-0.057	0.057	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	RE	RE1	0.134	0.058	NA	0.021	0.03	NA
lmer_pop	Pgm_T4	F	RE	RE10	-0.009	0.046	-0.064	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	RE	RE11	0.043	0.007	0.217	0.021	0.03	0.032
lmer_pop	Pgm_T4	F	RE	RE12	-0.001	0.011	0.118	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	RE	RE13	-0.054	-0.071	-0.041	0.022	0.03	0.037
lmer_pop	Pgm_T4	F	RE	RE15	-0.02	0.002	-0.123	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	RE	RE16	-0.016	-0.015	-0.001	0.021	0.03	0.032
lmer_pop	Pgm_T4	F	RE	RE17	-0.029	-0.006	0.023	0.022	0.03	0.035
lmer_pop	Pgm_T4	F	RE	RE18	-0.024	-0.043	-0.021	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	RE	RE2	0.019	0.013	0.091	0.021	0.03	0.032
lmer_pop	Pgm_T4	F	RE	RE3	-0.036	-0.004	-0.148	0.024	0.03	0.039
lmer_pop	Pgm_T4	F	RE	RE4	0.045	0.049	-0.148	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	RE	RE5	0.001	0.046	-0.098	0.022	0.03	0.042
lmer_pop	Pgm_T4	F	RE	RE6	-0.056	-0.067	0.04	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	RE	RE7	0.025	-0.012	0.153	0.022	0.023	0.032
lmer_pop	Pgm_T4	F	RE	RE8	-0.022	-0.013	NA	0.022	0.03	NA
lmer_pop	Pgm_T4	F	UM	UM13	0.024	-0.017	0.002	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	UM	UM17	0.065	0.077	0.013	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	UM	UM18	-0.059	-0.025	0.004	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	UM	UM2	-0.008	-0.07	-0.074	0.021	0.03	0.032
lmer_pop	Pgm_T4	F	UM	UM20	-0.075	-0.015	0.005	0.022	0.03	0.039
lmer_pop	Pgm_T4	F	UM	UM21	0.043	0.057	0.022	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	UM	UM22	0.012	0.005	-0.084	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	UM	UM23	0.008	-0.084	-0.104	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	UM	UM25	-0.229	-0.076	-0.027	0.021	0.03	0.032
lmer_pop	Pgm_T4	F	UM	UM26	0.003	0.061	NA	0.022	0.03	NA
lmer_pop	Pgm_T4	F	UM	UM28	0.041	0.017	0.088	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	UM	UM29	-0.045	-0.035	-0.027	0.021	0.03	0.032
lmer_pop	Pgm_T4	F	UM	UM4	-0.017	0.047	0.013	0.021	0.03	0.032
lmer_pop	Pgm_T4	F	UM	UM5	0.028	-0.025	-0.061	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	UM	UM6	0.036	0.006	NA	0.022	0.03	NA
lmer_pop	Pgm_T4	F	UM	UM7	0.083	0.015	0.106	0.022	0.023	0.032
lmer_pop	Pgm_T4	F	UM	UM8	0.035	0.069	NA	0.022	0.03	NA
lmer_pop	Pgm_T4	F	UM	UM9	0.056	-0.008	0.124	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	VA	VA1	0.051	0.009	NA	0.022	0.03	NA
lmer_pop	Pgm_T4	F	VA	VA11	0.011	0.049	0.036	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	VA	VA18	-0.002	-0.008	-0.044	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	VA	VA22	0.023	0.028	0.191	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	VA	VA26	-0.046	0.073	-0.028	0.021	0.03	0.032
lmer_pop	Pgm_T4	F	VA	VA30	-0.012	-0.128	-0.022	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	VA	VA34	0.031	-0.005	0.047	0.021	0.03	0.032
lmer_pop	Pgm_T4	F	VA	VA35	-0.006	-0.029	-0.127	0.021	0.03	0.032
lmer_pop	Pgm_T4	F	VA	VA44	0.007	-0.002	0.05	0.022	0.023	0.035
lmer_pop	Pgm_T4	F	VA	VA46	-0.048	0.068	0.06	0.022	0.03	0.032
lmer_pop	Pgm_T4	F	VA	VA47	-0.022	0.024	-0.097	0.021	0.03	0.032
lmer_pop	Pgm_T4	F	VA	VA48	-0.011	-0.037	0.044	0.021	0.03	0.032
lmer_pop	Pgm_T4	F	VA	VA55	-0.016	-0.065	-0.032	0.021	0.03	0.032
lmer_pop	Pgm_T4	F	VA	VA57	0.064	-0.004	-0.032	0.021	0.03	0.032
lmer_pop	Pgm_T4	F	VA	VA6	-0.03	0.07	NA	0.022	0.03	NA
lmer_pop	Pgm_T4	F	VA	VA66	-0.01	0.015	0.026	0.021	0.03	0.032
lmer_pop	Pgm_T4	F	VA	VA67	0.01	-0.035	-0.056	0.021	0.03	0.032
