Model	Trait	Sex	Population	Line	Value_re_Tauber	SE_re_Tauber
lmer_pop	LA_NDlog2	B	YE	YE27	0.071	0.153
lmer_pop	LA_NDlog2	B	YE	YE33	0.017	0.184
lmer_pop	LA_NDlog2	B	YE	YE40	0.078	0.199
lmer_pop	LA_NDlog2	B	YE	YE41	-0.054	0.146
lmer_pop	LA_NDlog2	B	YE	YE48	0.019	0.172
lmer_pop	LA_NDlog2	B	YE	YE49	0.379	0.184
lmer_pop	LA_NDlog2	B	YE	YE51	0.084	0.153
lmer_pop	LA_NDlog2	B	YE	YE69	-0.184	0.199
lmer_pop	LA_NDlog2	B	YE	YE80	-0.321	0.219
lmer_pop	LA_Period	B	AK	AK1	-0.018	0.147
lmer_pop	LA_Period	B	AK	AK2	-0.036	0.147
lmer_pop	LA_Period	B	AK	AK3	-0.01	0.148
lmer_pop	LA_Period	B	AK	AK4	0.022	0.147
lmer_pop	LA_Period	B	AK	AK5	0.03	0.147
lmer_pop	LA_Period	B	AK	AK6	-0.005	0.147
lmer_pop	LA_Period	B	AK	AK7	0.024	0.147
lmer_pop	LA_Period	B	AK	AK8	-0.007	0.147
lmer_pop	LA_Period	B	GI	GI1	0.004	0.149
lmer_pop	LA_Period	B	GI	GI2	0.021	0.15
lmer_pop	LA_Period	B	GI	GI3	0.03	0.148
lmer_pop	LA_Period	B	GI	GI4	-0.004	0.147
lmer_pop	LA_Period	B	GI	GI5	0.004	0.148
lmer_pop	LA_Period	B	GI	GI6	-0.046	0.146
lmer_pop	LA_Period	B	GI	GI7	0.01	0.147
lmer_pop	LA_Period	B	GI	GI8	-0.014	0.147
lmer_pop	LA_Period	B	GI	GI9	-0.006	0.151
lmer_pop	LA_Period	B	KA	KA1	-0.004	0.149
lmer_pop	LA_Period	B	KA	KA10	0.002	0.149
lmer_pop	LA_Period	B	KA	KA11	-0.016	0.148
lmer_pop	LA_Period	B	KA	KA13	-0.026	0.15
lmer_pop	LA_Period	B	KA	KA2	-0.056	0.147
lmer_pop	LA_Period	B	KA	KA3	0.034	0.148
lmer_pop	LA_Period	B	KA	KA5	0.136	0.145
lmer_pop	LA_Period	B	KA	KA6	-0.041	0.144
lmer_pop	LA_Period	B	KA	KA7	0.039	0.144
lmer_pop	LA_Period	B	KA	KA9	-0.068	0.147
lmer_pop	LA_Period	B	MA	MA12	0.044	0.146
lmer_pop	LA_Period	B	MA	MA13	-0.003	0.147
lmer_pop	LA_Period	B	MA	MA16	-0.012	0.146
lmer_pop	LA_Period	B	MA	MA18	0	0.147
lmer_pop	LA_Period	B	MA	MA19	-0.015	0.146
lmer_pop	LA_Period	B	MA	MA3	-0.016	0.147
lmer_pop	LA_Period	B	MA	MA5	0.056	0.148
lmer_pop	LA_Period	B	MA	MA6	-0.03	0.148
lmer_pop	LA_Period	B	MA	MA7	0.007	0.149
lmer_pop	LA_Period	B	MA	MA9	-0.03	0.15
lmer_pop	LA_Period	B	MU	MU1	-0.038	0.15
lmer_pop	LA_Period	B	MU	MU10	0.022	0.148
lmer_pop	LA_Period	B	MU	MU2	0.015	0.148
lmer_pop	LA_Period	B	MU	MU3	-0.011	0.147
lmer_pop	LA_Period	B	MU	MU4	0.003	0.151
lmer_pop	LA_Period	B	MU	MU5	0.018	0.148
lmer_pop	LA_Period	B	MU	MU6	0.006	0.148
lmer_pop	LA_Period	B	MU	MU7	0.007	0.15
lmer_pop	LA_Period	B	MU	MU8	0.009	0.15
lmer_pop	LA_Period	B	MU	MU9	-0.03	0.147
lmer_pop	LA_Period	B	RE	RE10	0.013	0.149
lmer_pop	LA_Period	B	RE	RE11	-0.029	0.148
lmer_pop	LA_Period	B	RE	RE2	-0.035	0.147
lmer_pop	LA_Period	B	RE	RE3	-0.034	0.148
lmer_pop	LA_Period	B	RE	RE4	-0.006	0.149
lmer_pop	LA_Period	B	RE	RE6	0.071	0.145
lmer_pop	LA_Period	B	RE	RE7	0.024	0.15
lmer_pop	LA_Period	B	RE	RE8	-0.003	0.15
lmer_pop	LA_Period	B	UM	UM13	0.063	0.147
lmer_pop	LA_Period	B	UM	UM17	0.012	0.148
lmer_pop	LA_Period	B	UM	UM18	-0.039	0.147
lmer_pop	LA_Period	B	UM	UM2	-0.016	0.15
lmer_pop	LA_Period	B	UM	UM4	-0.009	0.148
lmer_pop	LA_Period	B	UM	UM5	-0.043	0.145
lmer_pop	LA_Period	B	UM	UM6	-0.017	0.149
lmer_pop	LA_Period	B	UM	UM7	0.008	0.148
lmer_pop	LA_Period	B	UM	UM9	0.042	0.146
lmer_pop	LA_Period	B	VA	VA11	-0.013	0.145
lmer_pop	LA_Period	B	VA	VA15	0.05	0.147
lmer_pop	LA_Period	B	VA	VA18	0.011	0.144
lmer_pop	LA_Period	B	VA	VA22	0.001	0.147
lmer_pop	LA_Period	B	VA	VA26	-0.038	0.148
lmer_pop	LA_Period	B	VA	VA30	0.004	0.15
lmer_pop	LA_Period	B	VA	VA34	-0.004	0.15
lmer_pop	LA_Period	B	VA	VA6	-0.015	0.147
lmer_pop	LA_Period	B	VA	VA9	0.005	0.147
lmer_pop	LA_Period	B	YE	YE11	0.012	0.151
lmer_pop	LA_Period	B	YE	YE13	0.047	0.147
lmer_pop	LA_Period	B	YE	YE14	-0.007	0.147
lmer_pop	LA_Period	B	YE	YE15	0.011	0.148
lmer_pop	LA_Period	B	YE	YE19	-0.063	0.148
lmer_pop	LA_Period	B	YE	YE20	0.006	0.15
lmer_pop	LA_Period	B	YE	YE21	-0.018	0.15
lmer_pop	LA_Period	B	YE	YE22	0.007	0.15
lmer_pop	LA_Period	B	YE	YE24	0.001	0.149
lmer_pop	LA_Period	B	YE	YE26	-0.005	0.15
lmer_pop	LA_Period	B	YE	YE27	0.015	0.148
lmer_pop	LA_Period	B	YE	YE33	-0.032	0.149
lmer_pop	LA_Period	B	YE	YE40	-0.006	0.15
lmer_pop	LA_Period	B	YE	YE41	0.038	0.147
lmer_pop	LA_Period	B	YE	YE48	0.008	0.149
lmer_pop	LA_Period	B	YE	YE49	0.018	0.149
lmer_pop	LA_Period	B	YE	YE51	-0.02	0.148
lmer_pop	LA_Period	B	YE	YE69	0.003	0.15
lmer_pop	LA_Period	B	YE	YE80	-0.013	0.15
lmer_pop	LA_CircPhase	B	AK	AK1	-0.027	0.337
lmer_pop	LA_CircPhase	B	AK	AK2	0.037	0.337
lmer_pop	LA_CircPhase	B	AK	AK3	0.001	0.338
lmer_pop	LA_CircPhase	B	AK	AK4	0.026	0.337
lmer_pop	LA_CircPhase	B	AK	AK5	-0.062	0.337
lmer_pop	LA_CircPhase	B	AK	AK6	-0.008	0.338
lmer_pop	LA_CircPhase	B	AK	AK7	0.001	0.338
lmer_pop	LA_CircPhase	B	AK	AK8	0.032	0.337
lmer_pop	LA_CircPhase	B	GI	GI1	0.037	0.339
lmer_pop	LA_CircPhase	B	GI	GI2	-0.013	0.34
lmer_pop	LA_CircPhase	B	GI	GI3	0	0.338
lmer_pop	LA_CircPhase	B	GI	GI4	-0.018	0.337
lmer_pop	LA_CircPhase	B	GI	GI5	0.102	0.338
lmer_pop	LA_CircPhase	B	GI	GI6	-0.066	0.336
lmer_pop	LA_CircPhase	B	GI	GI7	-0.085	0.337
lmer_pop	LA_CircPhase	B	GI	GI8	0.053	0.338
lmer_pop	LA_CircPhase	B	GI	GI9	-0.011	0.341
lmer_pop	LA_CircPhase	B	KA	KA1	-0.008	0.339
lmer_pop	LA_CircPhase	B	KA	KA10	0.008	0.339
lmer_pop	LA_CircPhase	B	KA	KA11	0.002	0.338
lmer_pop	LA_CircPhase	B	KA	KA13	-0.002	0.34
lmer_pop	LA_CircPhase	B	KA	KA2	-0.007	0.337
lmer_pop	LA_CircPhase	B	KA	KA3	-0.016	0.338
lmer_pop	LA_CircPhase	B	KA	KA5	-0.008	0.335
lmer_pop	LA_CircPhase	B	KA	KA6	-0.026	0.335
