"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Gonzalez","S","F","KA","KA13",3,"Gonzalez_2_KA13_F_1; Gonzalez_3_KA13_F_2; Gonzalez_4_KA13_F_3",41,3,"2; 3; 4"
"Gonzalez","S","F","KA","KA14",3,"Gonzalez_2_KA14_F_1; Gonzalez_3_KA14_F_2; Gonzalez_4_KA14_F_3",35,3,"2; 3; 4"
"Gonzalez","S","F","KA","KA15",3,"Gonzalez_1_KA15_F_1; Gonzalez_2_KA15_F_2; Gonzalez_3_KA15_F_3",32,3,"1; 2; 3"
"Gonzalez","S","F","KA","KA16",3,"Gonzalez_1_KA16_F_1; Gonzalez_2_KA16_F_2; Gonzalez_3_KA16_F_3",34,3,"1; 2; 3"
"Gonzalez","S","F","KA","KA17",3,"Gonzalez_1_KA17_F_1; Gonzalez_2_KA17_F_2; Gonzalez_4_KA17_F_3",33,3,"1; 2; 4"
"Gonzalez","S","F","KA","KA18",3,"Gonzalez_1_KA18_F_1; Gonzalez_2_KA18_F_2; Gonzalez_3_KA18_F_3",35,3,"1; 2; 3"
"Gonzalez","S","F","KA","KA2",3,"Gonzalez_1_KA2_F_1; Gonzalez_2_KA2_F_2; Gonzalez_3_KA2_F_3",32,3,"1; 2; 3"
"Gonzalez","S","F","KA","KA3",3,"Gonzalez_5_KA3_F_1; Gonzalez_6_KA3_F_2; Gonzalez_7_KA3_F_3",37,3,"5; 6; 7"
"Gonzalez","S","F","KA","KA5",3,"Gonzalez_3_KA5_F_2; Gonzalez_4_KA5_F_3; Gonzalez_2_KA5_F_1",32,3,"2; 3; 4"
"Gonzalez","S","F","KA","KA6",3,"Gonzalez_5_KA6_F_1; Gonzalez_6_KA6_F_2; Gonzalez_7_KA6_F_3",36,3,"5; 6; 7"
"Gonzalez","S","F","KA","KA7",3,"Gonzalez_5_KA7_F_1; Gonzalez_6_KA7_F_2; Gonzalez_7_KA7_F_3",36,3,"5; 6; 7"
"Gonzalez","S","F","KA","KA9",3,"Gonzalez_1_KA9_F_1; Gonzalez_4_KA9_F_3; Gonzalez_2_KA9_F_2",30,3,"1; 2; 4"
"Gonzalez","S","F","MA","MA12",3,"Gonzalez_5_MA12_F_1; Gonzalez_6_MA12_F_2; Gonzalez_7_MA12_F_3",36,3,"5; 6; 7"
"Gonzalez","S","F","MA","MA13",3,"Gonzalez_1_MA13_F_1; Gonzalez_2_MA13_F_2; Gonzalez_4_MA13_F_3",34,3,"1; 2; 4"
"Gonzalez","S","F","MA","MA16",3,"Gonzalez_1_MA16_F_1; Gonzalez_2_MA16_F_2; Gonzalez_3_MA16_F_3",34,3,"1; 2; 3"
"Gonzalez","S","F","MA","MA18",3,"Gonzalez_1_MA18_F_1; Gonzalez_2_MA18_F_2; Gonzalez_3_MA18_F_3",34,3,"1; 2; 3"
"Gonzalez","S","F","MA","MA19",3,"Gonzalez_1_MA19_F_1; Gonzalez_2_MA19_F_2; Gonzalez_3_MA19_F_3",36,3,"1; 2; 3"
