"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Kozeretska","NS","F","MA","MA32",2,"Kozeretska_1_MA32_1; Kozeretska_2_MA32_1",40,2,"1; 2"
"Kozeretska","NS","F","MA","MA33",2,"Kozeretska_1_MA33_1; Kozeretska_2_MA33_1",40,2,"1; 2"
"Kozeretska","NS","F","MA","MA5",1,"Kozeretska_1_MA5_1",20,1,"1"
"Kozeretska","NS","F","MA","MA6",1,"Kozeretska_1_MA6_1",20,1,"1"
"Kozeretska","NS","F","MA","MA7",2,"Kozeretska_1_MA7_1; Kozeretska_2_MA7_1",40,2,"1; 2"
"Kozeretska","NS","F","MA","MA9",2,"Kozeretska_1_MA9_1; Kozeretska_2_MA9_1",40,2,"1; 2"
"Kozeretska","NS","F","MU","MU1",2,"Kozeretska_1_MU1_1; Kozeretska_2_MU1_1",40,2,"1; 2"
"Kozeretska","NS","F","MU","MU11",2,"Kozeretska_1_MU11_1; Kozeretska_2_MU11_1",40,2,"1; 2"
"Kozeretska","NS","F","MU","MU12",2,"Kozeretska_1_MU12_1; Kozeretska_2_MU12_1",40,2,"1; 2"
"Kozeretska","NS","F","MU","MU13",2,"Kozeretska_1_MU13_1; Kozeretska_2_MU13_1",40,2,"1; 2"
"Kozeretska","NS","F","MU","MU14",2,"Kozeretska_1_MU14_1; Kozeretska_2_MU14_1",40,2,"1; 2"
"Kozeretska","NS","F","MU","MU15",2,"Kozeretska_1_MU15_1; Kozeretska_2_MU15_1",40,2,"1; 2"
"Kozeretska","NS","F","MU","MU16",1,"Kozeretska_1_MU16_1",20,1,"1"
"Kozeretska","NS","F","MU","MU17",2,"Kozeretska_1_MU17_1; Kozeretska_2_MU17_1",40,2,"1; 2"
"Kozeretska","NS","F","MU","MU18",2,"Kozeretska_1_MU18_1; Kozeretska_2_MU18_1",40,2,"1; 2"
"Kozeretska","NS","F","MU","MU2",2,"Kozeretska_1_MU2_1; Kozeretska_2_MU2_1",40,2,"1; 2"
"Kozeretska","NS","F","MU","MU20",1,"Kozeretska_1_MU20_1",20,1,"1"
"Kozeretska","NS","F","MU","MU3",2,"Kozeretska_1_MU3_1; Kozeretska_2_MU3_1",40,2,"1; 2"
"Kozeretska","NS","F","MU","MU5",2,"Kozeretska_1_MU5_1; Kozeretska_2_MU5_1",40,2,"1; 2"
"Kozeretska","NS","F","MU","MU6",2,"Kozeretska_1_MU6_1; Kozeretska_2_MU6_1",40,2,"1; 2"
"Kozeretska","NS","F","MU","MU7",2,"Kozeretska_1_MU7_1; Kozeretska_2_MU7_1",40,2,"1; 2"
"Kozeretska","NS","F","MU","MU8",2,"Kozeretska_1_MU8_1; Kozeretska_2_MU8_1",40,2,"1; 2"
"Kozeretska","NS","F","MU","MU9",2,"Kozeretska_1_MU9_1; Kozeretska_2_MU9_1",40,2,"1; 2"
"Kozeretska","NS","F","RE","RE1",2,"Kozeretska_1_RE1_1; Kozeretska_2_RE1_1",40,2,"1; 2"
"Kozeretska","NS","F","RE","RE10",2,"Kozeretska_1_RE10_1; Kozeretska_2_RE10_1",40,2,"1; 2"
