"Lab","Diet","Sex","Batch","Population_count","Population_ids","Line_count","Line_ids","Replicate_count","Replicate_ids","Observation_count"
"Flatt","S","F","1",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",1,"",90,"Flatt_AK_F_1; Flatt_AK_F_10; Flatt_AK_F_2; Flatt_AK_F_3; Flatt_AK_F_4; Flatt_AK_F_5; Flatt_AK_F_6; Flatt_AK_F_7; Flatt_AK_F_8; Flatt_AK_F_9; Flatt_GI_F_1; Flatt_GI_F_10; Flatt_GI_F_2; Flatt_GI_F_3; Flatt_GI_F_4; Flatt_GI_F_5; Flatt_GI_F_6; Flatt_GI_F_7; Flatt_GI_F_8; Flatt_GI_F_9; Flatt_KA_F_1; Flatt_KA_F_10; Flatt_KA_F_2; Flatt_KA_F_3; Flatt_KA_F_4; Flatt_KA_F_5; Flatt_KA_F_6; Flatt_KA_F_7; Flatt_KA_F_8; Flatt_KA_F_9; Flatt_MA_F_1; Flatt_MA_F_10; Flatt_MA_F_2; Flatt_MA_F_3; Flatt_MA_F_4; Flatt_MA_F_5; Flatt_MA_F_6; Flatt_MA_F_7; Flatt_MA_F_8; Flatt_MA_F_9; Flatt_MU_F_1; Flatt_MU_F_10; Flatt_MU_F_2; Flatt_MU_F_3; Flatt_MU_F_4; Flatt_MU_F_5; Flatt_MU_F_6; Flatt_MU_F_7; Flatt_MU_F_8; Flatt_MU_F_9; Flatt_RE_F_1; Flatt_RE_F_10; Flatt_RE_F_2; Flatt_RE_F_3; Flatt_RE_F_4; Flatt_RE_F_5; Flatt_RE_F_6; Flatt_RE_F_7; Flatt_RE_F_8; Flatt_RE_F_9; Flatt_UM_F_1; Flatt_UM_F_10; Flatt_UM_F_2; Flatt_UM_F_3; Flatt_UM_F_4; Flatt_UM_F_5; Flatt_UM_F_6; Flatt_UM_F_7; Flatt_UM_F_8; Flatt_UM_F_9; Flatt_VA_F_1; Flatt_VA_F_10; Flatt_VA_F_2; Flatt_VA_F_3; Flatt_VA_F_4; Flatt_VA_F_5; Flatt_VA_F_6; Flatt_VA_F_7; Flatt_VA_F_8; Flatt_VA_F_9; Flatt_YE_F_1; Flatt_YE_F_10; Flatt_YE_F_2; Flatt_YE_F_3; Flatt_YE_F_4; Flatt_YE_F_5; Flatt_YE_F_6; Flatt_YE_F_7; Flatt_YE_F_8; Flatt_YE_F_9",5327
"Flatt","S","M","1",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",1,"",90,"Flatt_AK_M_1; Flatt_AK_M_10; Flatt_AK_M_2; Flatt_AK_M_3; Flatt_AK_M_4; Flatt_AK_M_5; Flatt_AK_M_6; Flatt_AK_M_7; Flatt_AK_M_8; Flatt_AK_M_9; Flatt_GI_M_1; Flatt_GI_M_10; Flatt_GI_M_2; Flatt_GI_M_3; Flatt_GI_M_4; Flatt_GI_M_5; Flatt_GI_M_6; Flatt_GI_M_7; Flatt_GI_M_8; Flatt_GI_M_9; Flatt_KA_M_1; Flatt_KA_M_10; Flatt_KA_M_2; Flatt_KA_M_3; Flatt_KA_M_4; Flatt_KA_M_5; Flatt_KA_M_6; Flatt_KA_M_7; Flatt_KA_M_8; Flatt_KA_M_9; Flatt_MA_M_1; Flatt_MA_M_10; Flatt_MA_M_2; Flatt_MA_M_3; Flatt_MA_M_4; Flatt_MA_M_5; Flatt_MA_M_6; Flatt_MA_M_7; Flatt_MA_M_8; Flatt_MA_M_9; Flatt_MU_M_1; Flatt_MU_M_10; Flatt_MU_M_2; Flatt_MU_M_3; Flatt_MU_M_4; Flatt_MU_M_5; Flatt_MU_M_6; Flatt_MU_M_7; Flatt_MU_M_8; Flatt_MU_M_9; Flatt_RE_M_1; Flatt_RE_M_10; Flatt_RE_M_2; Flatt_RE_M_3; Flatt_RE_M_4; Flatt_RE_M_5; Flatt_RE_M_6; Flatt_RE_M_7; Flatt_RE_M_8; Flatt_RE_M_9; Flatt_UM_M_1; Flatt_UM_M_10; Flatt_UM_M_2; Flatt_UM_M_3; Flatt_UM_M_4; Flatt_UM_M_5; Flatt_UM_M_6; Flatt_UM_M_7; Flatt_UM_M_8; Flatt_UM_M_9; Flatt_VA_M_1; Flatt_VA_M_10; Flatt_VA_M_2; Flatt_VA_M_3; Flatt_VA_M_4; Flatt_VA_M_5; Flatt_VA_M_6; Flatt_VA_M_7; Flatt_VA_M_8; Flatt_VA_M_9; Flatt_YE_M_1; Flatt_YE_M_10; Flatt_YE_M_2; Flatt_YE_M_3; Flatt_YE_M_4; Flatt_YE_M_5; Flatt_YE_M_6; Flatt_YE_M_7; Flatt_YE_M_8; Flatt_YE_M_9",5285
