"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Mensch","S","F","MA","MA7",1,"Mensch_9_MA7_F_1",6,1,"9"
"Mensch","S","F","MA","MA9",1,"Mensch_3_MA9_F_1",6,1,"3"
"Mensch","S","F","MU","MU1",1,"Mensch_10_MU1_F_1",6,1,"10"
"Mensch","S","F","MU","MU10",1,"Mensch_6_MU10_F_1",6,1,"6"
"Mensch","S","F","MU","MU11",1,"Mensch_9_MU11_F_1",6,1,"9"
"Mensch","S","F","MU","MU12",1,"Mensch_6_MU12_F_1",6,1,"6"
"Mensch","S","F","MU","MU13",1,"Mensch_10_MU13_F_1",6,1,"10"
"Mensch","S","F","MU","MU14",1,"Mensch_7_MU14_F_1",6,1,"7"
"Mensch","S","F","MU","MU15",1,"Mensch_3_MU15_F_1",6,1,"3"
"Mensch","S","F","MU","MU16",1,"Mensch_9_MU16_F_1",6,1,"9"
"Mensch","S","F","MU","MU17",1,"Mensch_8_MU17_F_1",6,1,"8"
"Mensch","S","F","MU","MU18",1,"Mensch_10_MU18_F_1",6,1,"10"
"Mensch","S","F","MU","MU19",1,"Mensch_10_MU19_F_1",6,1,"10"
"Mensch","S","F","MU","MU2",1,"Mensch_2_MU2_F_1",6,1,"2"
"Mensch","S","F","MU","MU20",1,"Mensch_5_MU20_F_1",6,1,"5"
"Mensch","S","F","MU","MU3",1,"Mensch_3_MU3_F_1",6,1,"3"
"Mensch","S","F","MU","MU4",1,"Mensch_8_MU4_F_1",6,1,"8"
"Mensch","S","F","MU","MU5",1,"Mensch_9_MU5_F_1",6,1,"9"
"Mensch","S","F","MU","MU6",1,"Mensch_8_MU6_F_1",6,1,"8"
"Mensch","S","F","MU","MU7",1,"Mensch_5_MU7_F_1",6,1,"5"
"Mensch","S","F","MU","MU8",1,"Mensch_7_MU8_F_1",6,1,"7"
"Mensch","S","F","MU","MU9",1,"Mensch_7_MU9_F_1",6,1,"7"
"Mensch","S","F","RE","RE1",1,"Mensch_2_RE1_F_1",6,1,"2"
"Mensch","S","F","RE","RE10",1,"Mensch_5_RE10_F_1",6,1,"5"
"Mensch","S","F","RE","RE11",1,"Mensch_10_RE11_F_1",6,1,"10"
"Mensch","S","F","RE","RE12",1,"Mensch_5_RE12_F_1",6,1,"5"
"Mensch","S","F","RE","RE13",1,"Mensch_9_RE13_F_1",6,1,"9"
"Mensch","S","F","RE","RE15",1,"Mensch_6_RE15_F_1",6,1,"6"
"Mensch","S","F","RE","RE16",1,"Mensch_7_RE16_F_1",6,1,"7"
"Mensch","S","F","RE","RE17",1,"Mensch_10_RE17_F_1",6,1,"10"
"Mensch","S","F","RE","RE18",1,"Mensch_8_RE18_F_1",6,1,"8"
"Mensch","S","F","RE","RE2",1,"Mensch_7_RE2_F_1",6,1,"7"
"Mensch","S","F","RE","RE3",1,"Mensch_2_RE3_F_1",6,1,"2"
"Mensch","S","F","RE","RE4",1,"Mensch_9_RE4_F_1",6,1,"9"
"Mensch","S","F","RE","RE5",1,"Mensch_3_RE5_F_1",6,1,"3"
"Mensch","S","F","RE","RE6",2,"Mensch_10_RE6_F_1; Mensch_8_RE6_F_1",6,2,"8; 10"
"Mensch","S","F","RE","RE7",1,"Mensch_3_RE7_F_1",6,1,"3"
"Mensch","S","F","RE","RE8",1,"Mensch_7_RE8_F_1",6,1,"7"
"Mensch","S","F","UM","UM13",1,"Mensch_6_UM13_F_1",6,1,"6"
"Mensch","S","F","UM","UM17",1,"Mensch_3_UM17_F_1",6,1,"3"
"Mensch","S","F","UM","UM18",1,"Mensch_7_UM18_F_1",6,1,"7"
"Mensch","S","F","UM","UM2",1,"Mensch_4_UM2_F_1",6,1,"4"
"Mensch","S","F","UM","UM20",1,"Mensch_7_UM20_F_1",6,1,"7"
"Mensch","S","F","UM","UM21",1,"Mensch_9_UM21_F_1",6,1,"9"
"Mensch","S","F","UM","UM23",1,"Mensch_4_UM23_F_1",6,1,"4"
"Mensch","S","F","UM","UM25",1,"Mensch_3_UM25_F_1",6,1,"3"
"Mensch","S","F","UM","UM26",1,"Mensch_5_UM26_F_1",6,1,"5"
"Mensch","S","F","UM","UM28",1,"Mensch_1_UM28_F_1",6,1,"1"
"Mensch","S","F","UM","UM29",1,"Mensch_1_UM29_F_1",6,1,"1"
"Mensch","S","F","UM","UM4",1,"Mensch_2_UM4_F_1",6,1,"2"
"Mensch","S","F","UM","UM5",1,"Mensch_1_UM5_F_1",6,1,"1"
"Mensch","S","F","UM","UM6",1,"Mensch_7_UM6_F_1",6,1,"7"
"Mensch","S","F","UM","UM7",1,"Mensch_7_UM7_F_1",6,1,"7"
"Mensch","S","F","UM","UM8",1,"Mensch_5_UM8_F_1",6,1,"5"
"Mensch","S","F","UM","UM9",1,"Mensch_6_UM9_F_1",6,1,"6"
"Mensch","S","F","VA","VA1",1,"Mensch_3_VA1_F_1",6,1,"3"
"Mensch","S","F","VA","VA11",1,"Mensch_1_VA11_F_1",6,1,"1"
"Mensch","S","F","VA","VA15",1,"Mensch_10_VA15_F_1",6,1,"10"
