"Lab","Diet","Sex","Batch","Population_count","Population_ids","Line_count","Line_ids","Replicate_count","Replicate_ids","Observation_count"
"Mensch","S","F","11",1,"MA",2,"MA18; MA28",2,"Mensch_11_MA18_F_1; Mensch_11_MA28_F_1",12
"Mensch","S","M","1",6,"AK; KA; MA; UM; VA; YE",14,"AK1; AK2; KA10; KA23; MA33; MA5; UM28; UM29; UM5; VA11; VA46; YE19; YE22; YE48",14,"Mensch_1_AK1_M_1; Mensch_1_AK2_M_1; Mensch_1_KA10_M_1; Mensch_1_KA23_M_1; Mensch_1_MA33_M_1; Mensch_1_MA5_M_1; Mensch_1_UM28_M_1; Mensch_1_UM29_M_1; Mensch_1_UM5_M_1; Mensch_1_VA11_M_1; Mensch_1_VA46_M_1; Mensch_1_YE19_M_1; Mensch_1_YE22_M_1; Mensch_1_YE48_M_1",84
"Mensch","S","M","2",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",13,"AK4; AK9; GI15; GI8; KA24; KA3; MA3; MU2; RE1; RE3; UM4; VA18; YE21",13,"Mensch_2_AK4_M_1; Mensch_2_AK9_M_1; Mensch_2_GI15_M_1; Mensch_2_GI8_M_1; Mensch_2_KA24_M_1; Mensch_2_KA3_M_1; Mensch_2_MA3_M_1; Mensch_2_MU2_M_1; Mensch_2_RE1_M_1; Mensch_2_RE3_M_1; Mensch_2_UM4_M_1; Mensch_2_VA18_M_1; Mensch_2_YE21_M_1",76
"Mensch","S","M","3",8,"AK; GI; KA; MA; MU; RE; UM; VA",15,"AK10; AK21; GI9; KA1; KA15; MA9; MU15; MU3; RE5; RE7; UM17; UM25; VA1; VA66; VA67",15,"Mensch_3_AK10_M_1; Mensch_3_AK21_M_1; Mensch_3_GI9_M_1; Mensch_3_KA1_M_1; Mensch_3_KA15_M_1; Mensch_3_MA9_M_1; Mensch_3_MU15_M_1; Mensch_3_MU3_M_1; Mensch_3_RE5_M_1; Mensch_3_RE7_M_1; Mensch_3_UM17_M_1; Mensch_3_UM25_M_1; Mensch_3_VA1_M_1; Mensch_3_VA66_M_1; Mensch_3_VA67_M_1",90
"Mensch","S","M","4",6,"AK; GI; KA; UM; VA; YE",8,"AK3; AK5; GI3; KA6; UM2; UM23; VA44; YE13",8,"Mensch_4_AK3_M_1; Mensch_4_AK5_M_1; Mensch_4_GI3_M_1; Mensch_4_KA6_M_1; Mensch_4_UM2_M_1; Mensch_4_UM23_M_1; Mensch_4_VA44_M_1; Mensch_4_YE13_M_1",48
"Mensch","S","M","5",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",16,"AK13; AK15; GI2; KA29; KA7; MA16; MA21; MU20; MU7; RE10; RE12; UM26; UM8; VA22; VA6; YE11",16,"Mensch_5_AK13_M_1; Mensch_5_AK15_M_1; Mensch_5_GI2_M_1; Mensch_5_KA29_M_1; Mensch_5_KA7_M_1; Mensch_5_MA16_M_1; Mensch_5_MA21_M_1; Mensch_5_MU20_M_1; Mensch_5_MU7_M_1; Mensch_5_RE10_M_1; Mensch_5_RE12_M_1; Mensch_5_UM26_M_1; Mensch_5_UM8_M_1; Mensch_5_VA22_M_1; Mensch_5_VA6_M_1; Mensch_5_YE11_M_1",96
"Mensch","S","M","6",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",16,"AK14; AK6; GI5; GI6; KA13; KA25; MA19; MU10; MU12; RE15; UM13; UM9; VA35; VA48; YE27; YE49",16,"Mensch_6_AK14_M_1; Mensch_6_AK6_M_1; Mensch_6_GI5_M_1; Mensch_6_GI6_M_1; Mensch_6_KA13_M_1; Mensch_6_KA25_M_1; Mensch_6_MA19_M_1; Mensch_6_MU10_M_1; Mensch_6_MU12_M_1; Mensch_6_RE15_M_1; Mensch_6_UM13_M_1; Mensch_6_UM9_M_1; Mensch_6_VA35_M_1; Mensch_6_VA48_M_1; Mensch_6_YE27_M_1; Mensch_6_YE49_M_1",96
"Mensch","S","M","7",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",27,"AK17; AK7; GI1; GI12; GI7; KA17; KA9; MA12; MA27; MA31; MU14; MU8; MU9; RE16; RE2; RE8; UM18; UM20; UM6; UM7; VA30; VA9; YE15; YE23; YE26; YE40; YE80",27,"Mensch_7_AK17_M_1; Mensch_7_AK7_M_1; Mensch_7_GI1_M_1; Mensch_7_GI12_M_1; Mensch_7_GI7_M_1; Mensch_7_KA17_M_1; Mensch_7_KA9_M_1; Mensch_7_MA12_M_1; Mensch_7_MA27_M_1; Mensch_7_MA31_M_1; Mensch_7_MU14_M_1; Mensch_7_MU8_M_1; Mensch_7_MU9_M_1; Mensch_7_RE16_M_1; Mensch_7_RE2_M_1; Mensch_7_RE8_M_1; Mensch_7_UM18_M_1; Mensch_7_UM20_M_1; Mensch_7_UM6_M_1; Mensch_7_UM7_M_1; Mensch_7_VA30_M_1; Mensch_7_VA9_M_1; Mensch_7_YE15_M_1; Mensch_7_YE23_M_1; Mensch_7_YE26_M_1; Mensch_7_YE40_M_1; Mensch_7_YE80_M_1",160
"Mensch","S","M","8",8,"AK; GI; KA; MA; MU; RE; VA; YE",23,"AK11; AK12; AK18; GI11; GI13; GI14; KA18; MA26; MA30; MA32; MA6; MU17; MU4; MU6; RE18; RE6; VA34; VA47; VA55; VA71; YE14; YE21; YE33",23,"Mensch_8_AK11_M_1; Mensch_8_AK12_M_1; Mensch_8_AK18_M_1; Mensch_8_GI11_M_1; Mensch_8_GI13_M_1; Mensch_8_GI14_M_1; Mensch_8_KA18_M_1; Mensch_8_MA26_M_1; Mensch_8_MA30_M_1; Mensch_8_MA32_M_1; Mensch_8_MA6_M_1; Mensch_8_MU17_M_1; Mensch_8_MU4_M_1; Mensch_8_MU6_M_1; Mensch_8_RE18_M_1; Mensch_8_RE6_M_1; Mensch_8_VA34_M_1; Mensch_8_VA47_M_1; Mensch_8_VA55_M_1; Mensch_8_VA71_M_1; Mensch_8_YE14_M_1; Mensch_8_YE21_M_1; Mensch_8_YE33_M_1",132
"Mensch","S","M","9",8,"AK; KA; MA; MU; RE; UM; VA; YE",14,"AK20; KA14; KA28; MA13; MA20; MA7; MU11; MU16; MU5; RE13; RE4; UM21; VA26; YE51",14,"Mensch_9_AK20_M_1; Mensch_9_KA14_M_1; Mensch_9_KA28_M_1; Mensch_9_MA13_M_1; Mensch_9_MA20_M_1; Mensch_9_MA7_M_1; Mensch_9_MU11_M_1; Mensch_9_MU16_M_1; Mensch_9_MU5_M_1; Mensch_9_RE13_M_1; Mensch_9_RE4_M_1; Mensch_9_UM21_M_1; Mensch_9_VA26_M_1; Mensch_9_YE51_M_1",82
