"Lab","Diet","Sex","Population","Line_count","Line_ids","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"StamenkovicRadak","NS","M","GI",10,"GI1; GI10; GI11; GI14; GI3; GI4; GI5; GI6; GI8; GI9",10,"StamenkovicRadak_1_GI1_1; StamenkovicRadak_1_GI3_1; StamenkovicRadak_1_GI5_1; StamenkovicRadak_2_GI11_1; StamenkovicRadak_3_GI10_1; StamenkovicRadak_4_GI14_1; StamenkovicRadak_4_GI9_1; StamenkovicRadak_1_GI4_1; StamenkovicRadak_2_GI6_1; StamenkovicRadak_2_GI8_1",299,4,"1; 2; 3; 4"
"StamenkovicRadak","NS","M","KA",16,"KA1; KA10; KA13; KA14; KA15; KA17; KA18; KA2; KA23; KA24; KA25; KA29; KA3; KA5; KA7; KA9",16,"StamenkovicRadak_1_KA1_1; StamenkovicRadak_1_KA2_1; StamenkovicRadak_1_KA3_1; StamenkovicRadak_1_KA5_1; StamenkovicRadak_2_KA10_1; StamenkovicRadak_2_KA13_1; StamenkovicRadak_2_KA7_1; StamenkovicRadak_2_KA9_1; StamenkovicRadak_3_KA14_1; StamenkovicRadak_3_KA15_1; StamenkovicRadak_3_KA17_1; StamenkovicRadak_3_KA18_1; StamenkovicRadak_4_KA23_1; StamenkovicRadak_4_KA24_1; StamenkovicRadak_4_KA25_1; StamenkovicRadak_4_KA29_1",459,4,"1; 2; 3; 4"
"StamenkovicRadak","NS","M","MA",11,"MA16; MA18; MA19; MA20; MA26; MA3; MA30; MA5; MA6; MA7; MA9",11,"StamenkovicRadak_1_MA3_1; StamenkovicRadak_1_MA5_1; StamenkovicRadak_2_MA20_1; StamenkovicRadak_3_MA18_1; StamenkovicRadak_3_MA19_1; StamenkovicRadak_3_MA26_1; StamenkovicRadak_4_MA30_1; StamenkovicRadak_1_MA6_1; StamenkovicRadak_1_MA7_1; StamenkovicRadak_2_MA9_1; StamenkovicRadak_5_MA16_1",326,5,"1; 2; 3; 4; 5"
"StamenkovicRadak","NS","M","MU",15,"MU1; MU11; MU12; MU13; MU14; MU16; MU17; MU18; MU19; MU2; MU4; MU5; MU7; MU8; MU9",15,"StamenkovicRadak_1_MU1_1; StamenkovicRadak_1_MU2_1; StamenkovicRadak_1_MU5_1; StamenkovicRadak_2_MU12_1; StamenkovicRadak_2_MU7_1; StamenkovicRadak_2_MU9_1; StamenkovicRadak_3_MU11_1; StamenkovicRadak_3_MU13_1; StamenkovicRadak_3_MU14_1; StamenkovicRadak_3_MU8_1; StamenkovicRadak_4_MU16_1; StamenkovicRadak_4_MU17_1; StamenkovicRadak_4_MU18_1; StamenkovicRadak_4_MU19_1; StamenkovicRadak_4_MU4_1",476,4,"1; 2; 3; 4"
"StamenkovicRadak","NS","M","RE",13,"RE1; RE11; RE12; RE13; RE16; RE17; RE18; RE2; RE4; RE5; RE6; RE7; RE8",13,"StamenkovicRadak_1_RE2_1; StamenkovicRadak_1_RE5_1; StamenkovicRadak_2_RE12_1; StamenkovicRadak_2_RE13_1; StamenkovicRadak_2_RE16_1; StamenkovicRadak_3_RE11_1; StamenkovicRadak_3_RE17_1; StamenkovicRadak_3_RE18_1; StamenkovicRadak_3_RE8_1; StamenkovicRadak_4_RE1_1; StamenkovicRadak_4_RE4_1; StamenkovicRadak_4_RE6_1; StamenkovicRadak_4_RE7_1",362,4,"1; 2; 3; 4"
"StamenkovicRadak","NS","M","UM",14,"UM17; UM18; UM2; UM20; UM21; UM22; UM23; UM24; UM26; UM28; UM29; UM6; UM7; UM9",14,"StamenkovicRadak_1_UM2_1; StamenkovicRadak_1_UM7_1; StamenkovicRadak_1_UM9_1; StamenkovicRadak_2_UM17_1; StamenkovicRadak_2_UM18_1; StamenkovicRadak_2_UM20_1; StamenkovicRadak_2_UM21_1; StamenkovicRadak_3_UM22_1; StamenkovicRadak_3_UM26_1; StamenkovicRadak_3_UM28_1; StamenkovicRadak_4_UM24_1; StamenkovicRadak_4_UM29_1; StamenkovicRadak_4_UM6_1; StamenkovicRadak_3_UM23_1",396,4,"1; 2; 3; 4"
"StamenkovicRadak","NS","M","VA",15,"VA1; VA11; VA18; VA30; VA34; VA44; VA46; VA48; VA55; VA57; VA6; VA66; VA67; VA71; VA9",15,"StamenkovicRadak_1_VA1_1; StamenkovicRadak_1_VA11_1; StamenkovicRadak_1_VA6_1; StamenkovicRadak_1_VA9_1; StamenkovicRadak_2_VA18_1; StamenkovicRadak_2_VA30_1; StamenkovicRadak_2_VA44_1; StamenkovicRadak_3_VA34_1; StamenkovicRadak_3_VA48_1; StamenkovicRadak_4_VA46_1; StamenkovicRadak_4_VA55_1; StamenkovicRadak_4_VA57_1; StamenkovicRadak_4_VA66_1; StamenkovicRadak_4_VA67_1; StamenkovicRadak_4_VA71_1",442,4,"1; 2; 3; 4"
"StamenkovicRadak","NS","M","YE",14,"YE13; YE14; YE15; YE20; YE22; YE23; YE24; YE33; YE40; YE41; YE49; YE51; YE69; YE80",14,"StamenkovicRadak_1_YE13_1; StamenkovicRadak_1_YE14_1; StamenkovicRadak_1_YE15_1; StamenkovicRadak_2_YE20_1; StamenkovicRadak_2_YE22_1; StamenkovicRadak_2_YE23_1; StamenkovicRadak_3_YE24_1; StamenkovicRadak_3_YE33_1; StamenkovicRadak_3_YE40_1; StamenkovicRadak_3_YE41_1; StamenkovicRadak_4_YE49_1; StamenkovicRadak_4_YE51_1; StamenkovicRadak_4_YE69_1; StamenkovicRadak_4_YE80_1",406,4,"1; 2; 3; 4"
"Onder","NS","F","AK",20,"AK1; AK10; AK11; AK12; AK13; AK14; AK15; AK16; AK17; AK18; AK2; AK20; AK21; AK3; AK4; AK5; AK6; AK7; AK8; AK9",60,"Onder_1_AK1_1; Onder_1_AK1_2; Onder_1_AK1_3; Onder_1_AK2_1; Onder_1_AK2_2; Onder_1_AK2_3; Onder_1_AK4_1; Onder_1_AK4_2; Onder_1_AK4_3; Onder_1_AK5_1; Onder_1_AK5_2; Onder_1_AK5_3; Onder_2_AK10_1; Onder_2_AK10_2; Onder_2_AK10_3; Onder_2_AK6_1; Onder_2_AK6_2; Onder_2_AK6_3; Onder_2_AK7_1; Onder_2_AK7_2; Onder_2_AK7_3; Onder_2_AK8_1; Onder_2_AK8_2; Onder_2_AK8_3; Onder_2_AK9_1; Onder_2_AK9_2; Onder_2_AK9_3; Onder_3_AK11_1; Onder_3_AK11_2; Onder_3_AK11_3; Onder_3_AK12_1; Onder_3_AK12_2; Onder_3_AK12_3; Onder_3_AK13_1; Onder_3_AK13_2; Onder_3_AK13_3; Onder_3_AK14_1; Onder_3_AK14_2; Onder_3_AK14_3; Onder_3_AK15_1; Onder_3_AK15_2; Onder_3_AK15_3; Onder_4_AK16_1; Onder_4_AK16_2; Onder_4_AK16_3; Onder_4_AK17_1; Onder_4_AK17_2; Onder_4_AK17_3; Onder_4_AK18_1; Onder_4_AK18_2; Onder_4_AK18_3; Onder_4_AK20_1; Onder_4_AK20_2; Onder_4_AK20_3; Onder_4_AK21_1; Onder_4_AK21_2; Onder_4_AK21_3; Onder_6_AK3_1; Onder_6_AK3_2; Onder_6_AK3_3",603,5,"1; 2; 3; 4; 6"
"Onder","NS","F","GI",15,"GI1; GI10; GI11; GI12; GI13; GI14; GI15; GI2; GI3; GI4; GI5; GI6; GI7; GI8; GI9",45,"Onder_1_GI1_1; Onder_1_GI1_2; Onder_1_GI1_3; Onder_1_GI2_1; Onder_1_GI2_2; Onder_1_GI2_3; Onder_1_GI3_1; Onder_1_GI3_2; Onder_1_GI3_3; Onder_1_GI4_1; Onder_1_GI4_2; Onder_1_GI4_3; Onder_2_GI10_1; Onder_2_GI10_2; Onder_2_GI10_3; Onder_2_GI11_1; Onder_2_GI11_2; Onder_2_GI11_3; Onder_2_GI6_1; Onder_2_GI6_2; Onder_2_GI6_3; Onder_2_GI7_1; Onder_2_GI7_2; Onder_2_GI7_3; Onder_2_GI8_1; Onder_2_GI8_2; Onder_2_GI8_3; Onder_2_GI9_1; Onder_2_GI9_2; Onder_2_GI9_3; Onder_3_GI13_1; Onder_3_GI13_2; Onder_3_GI13_3; Onder_3_GI14_1; Onder_3_GI14_2; Onder_3_GI14_3; Onder_3_GI15_1; Onder_3_GI15_2; Onder_3_GI15_3; Onder_5_GI12_1; Onder_5_GI12_2; Onder_5_GI12_3; Onder_6_GI5_1; Onder_6_GI5_2; Onder_6_GI5_3",450,5,"1; 2; 3; 5; 6"
"Onder","NS","F","KA",20,"KA1; KA10; KA11; KA13; KA14; KA15; KA16; KA17; KA18; KA2; KA23; KA24; KA25; KA28; KA29; KA3; KA5; KA6; KA7; KA9",60,"Onder_1_KA2_1; Onder_1_KA2_2; Onder_1_KA2_3; Onder_1_KA3_1; Onder_1_KA3_2; Onder_1_KA3_3; Onder_1_KA5_1; Onder_1_KA5_2; Onder_1_KA5_3; Onder_1_KA6_1; Onder_1_KA6_2; Onder_1_KA6_3; Onder_2_KA11_1; Onder_2_KA11_2; Onder_2_KA11_3; Onder_2_KA13_1; Onder_2_KA13_2; Onder_2_KA13_3; Onder_2_KA7_1; Onder_2_KA7_2; Onder_2_KA7_3; Onder_2_KA9_1; Onder_2_KA9_2; Onder_2_KA9_3; Onder_3_KA14_1; Onder_3_KA14_2; Onder_3_KA14_3; Onder_3_KA15_1; Onder_3_KA15_2; Onder_3_KA15_3; Onder_3_KA16_1; Onder_3_KA16_2; Onder_3_KA16_3; Onder_3_KA17_1; Onder_3_KA17_2; Onder_3_KA17_3; Onder_5_KA1_1; Onder_5_KA1_2; Onder_5_KA1_3; Onder_5_KA18_1; Onder_5_KA18_2; Onder_5_KA18_3; Onder_5_KA23_1; Onder_5_KA23_2; Onder_5_KA23_3; Onder_5_KA24_1; Onder_5_KA24_2; Onder_5_KA24_3; Onder_5_KA25_1; Onder_5_KA25_2; Onder_5_KA25_3; Onder_5_KA28_1; Onder_5_KA28_2; Onder_5_KA28_3; Onder_5_KA29_1; Onder_5_KA29_2; Onder_5_KA29_3; Onder_6_KA10_1; Onder_6_KA10_2; Onder_6_KA10_3",613,5,"1; 2; 3; 5; 6"
"Onder","NS","F","MA",20,"MA12; MA13; MA16; MA18; MA19; MA20; MA21; MA23; MA26; MA27; MA28; MA3; MA30; MA31; MA32; MA33; MA5; MA6; MA7; MA9",60,"Onder_1_MA3_1; Onder_1_MA3_2; Onder_1_MA3_3; Onder_1_MA5_1; Onder_1_MA5_2; Onder_1_MA5_3; Onder_1_MA6_1; Onder_1_MA6_2; Onder_1_MA6_3; Onder_1_MA7_1; Onder_1_MA7_2; Onder_1_MA7_3; Onder_1_MA9_1; Onder_1_MA9_2; Onder_1_MA9_3; Onder_2_MA12_1; Onder_2_MA12_2; Onder_2_MA12_3; Onder_2_MA13_1; Onder_2_MA13_2; Onder_2_MA13_3; Onder_2_MA16_1; Onder_2_MA16_2; Onder_2_MA16_3; Onder_2_MA18_1; Onder_2_MA18_2; Onder_2_MA18_3; Onder_2_MA19_1; Onder_2_MA19_2; Onder_2_MA19_3; Onder_3_MA20_1; Onder_3_MA20_2; Onder_3_MA20_3; Onder_3_MA21_1; Onder_3_MA21_2; Onder_3_MA21_3; Onder_3_MA23_1; Onder_3_MA23_2; Onder_3_MA23_3; Onder_3_MA26_1; Onder_3_MA26_2; Onder_3_MA26_3; Onder_3_MA27_1; Onder_3_MA27_2; Onder_3_MA27_3; Onder_4_MA28_1; Onder_4_MA28_2; Onder_4_MA28_3; Onder_4_MA30_1; Onder_4_MA30_2; Onder_4_MA30_3; Onder_4_MA31_1; Onder_4_MA31_2; Onder_4_MA31_3; Onder_4_MA32_1; Onder_4_MA32_2; Onder_4_MA32_3; Onder_4_MA33_1; Onder_4_MA33_2; Onder_4_MA33_3",608,4,"1; 2; 3; 4"
"Onder","NS","F","MU",20,"MU1; MU10; MU11; MU12; MU13; MU14; MU15; MU16; MU17; MU18; MU19; MU2; MU20; MU3; MU4; MU5; MU6; MU7; MU8; MU9",78,"Onder_1_MU2_1; Onder_1_MU2_2; Onder_1_MU2_3; Onder_1_MU3_1; Onder_1_MU3_2; Onder_1_MU3_3; Onder_1_MU5_1; Onder_1_MU5_2; Onder_1_MU5_3; Onder_2_MU10_1; Onder_2_MU10_2; Onder_2_MU10_3; Onder_2_MU3_1; Onder_2_MU3_2; Onder_2_MU3_3; Onder_2_MU6_1; Onder_2_MU6_2; Onder_2_MU6_3; Onder_2_MU7_1; Onder_2_MU7_2; Onder_2_MU7_3; Onder_2_MU8_1; Onder_2_MU8_2; Onder_2_MU8_3; Onder_2_MU9_1; Onder_2_MU9_2; Onder_2_MU9_3; Onder_3_MU11_1; Onder_3_MU11_2; Onder_3_MU11_3; Onder_3_MU12_1; Onder_3_MU12_2; Onder_3_MU12_3; Onder_3_MU13_1; Onder_3_MU13_2; Onder_3_MU13_3; Onder_3_MU15_1; Onder_3_MU15_2; Onder_3_MU15_3; Onder_3_MU3_1; Onder_3_MU3_2; Onder_3_MU3_3; Onder_4_MU16_1; Onder_4_MU16_2; Onder_4_MU16_3; Onder_4_MU17_1; Onder_4_MU17_2; Onder_4_MU17_3; Onder_4_MU18_1; Onder_4_MU18_2; Onder_4_MU18_3; Onder_4_MU19_1; Onder_4_MU19_2; Onder_4_MU19_3; Onder_4_MU3_1; Onder_4_MU3_2; Onder_4_MU3_3; Onder_5_MU1_1; Onder_5_MU1_2; Onder_5_MU1_3; Onder_5_MU14_1; Onder_5_MU14_2; Onder_5_MU14_3; Onder_5_MU20_1; Onder_5_MU20_2; Onder_5_MU20_3; Onder_5_MU3_1; Onder_5_MU3_2; Onder_5_MU3_3; Onder_6_MU3_1; Onder_6_MU3_2; Onder_6_MU3_3; Onder_7_MU3_1; Onder_7_MU3_2; Onder_7_MU3_3; Onder_7_MU4_1; Onder_7_MU4_2; Onder_7_MU4_3",785,7,"1; 2; 3; 4; 5; 6; 7"
"Onder","NS","F","RE",16,"RE1; RE10; RE11; RE12; RE13; RE15; RE16; RE17; RE18; RE2; RE3; RE4; RE5; RE6; RE7; RE8",48,"Onder_1_RE5_1; Onder_1_RE5_2; Onder_1_RE5_3; Onder_2_RE10_1; Onder_2_RE10_2; Onder_2_RE10_3; Onder_2_RE11_1; Onder_2_RE11_2; Onder_2_RE11_3; Onder_2_RE6_1; Onder_2_RE6_2; Onder_2_RE6_3; Onder_2_RE7_1; Onder_2_RE7_2; Onder_2_RE7_3; Onder_2_RE8_1; Onder_2_RE8_2; Onder_2_RE8_3; Onder_3_RE12_1; Onder_3_RE12_2; Onder_3_RE12_3; Onder_3_RE13_1; Onder_3_RE13_2; Onder_3_RE13_3; Onder_3_RE15_1; Onder_3_RE15_2; Onder_3_RE15_3; Onder_3_RE16_1; Onder_3_RE16_2; Onder_3_RE16_3; Onder_3_RE17_1; Onder_3_RE17_2; Onder_3_RE17_3; Onder_4_RE18_1; Onder_4_RE18_2; Onder_4_RE18_3; Onder_5_RE1_1; Onder_5_RE1_2; Onder_5_RE1_3; Onder_5_RE2_1; Onder_5_RE2_2; Onder_5_RE2_3; Onder_5_RE3_1; Onder_5_RE3_2; Onder_5_RE3_3; Onder_6_RE4_1; Onder_6_RE4_2; Onder_6_RE4_3",485,6,"1; 2; 3; 4; 5; 6"
"Onder","NS","F","UM",17,"UM13; UM17; UM18; UM2; UM20; UM21; UM22; UM23; UM25; UM26; UM28; UM29; UM4; UM5; UM6; UM7; UM9",50,"Onder_1_UM5_1; Onder_1_UM5_2; Onder_1_UM5_3; Onder_1_UM7_1; Onder_1_UM7_2; Onder_1_UM7_3; Onder_2_UM13_1; Onder_2_UM13_2; Onder_2_UM13_3; Onder_2_UM17_1; Onder_2_UM17_2; Onder_2_UM18_1; Onder_2_UM18_2; Onder_2_UM18_3; Onder_2_UM9_1; Onder_2_UM9_2; Onder_2_UM9_3; Onder_3_UM20_1; Onder_3_UM20_2; Onder_3_UM20_3; Onder_3_UM21_1; Onder_3_UM21_2; Onder_3_UM21_3; Onder_3_UM23_1; Onder_3_UM23_2; Onder_3_UM23_3; Onder_3_UM26_1; Onder_3_UM26_2; Onder_3_UM26_3; Onder_4_UM28_1; Onder_4_UM28_2; Onder_4_UM28_3; Onder_5_UM2_1; Onder_5_UM2_2; Onder_5_UM2_3; Onder_5_UM25_1; Onder_5_UM25_2; Onder_5_UM25_3; Onder_5_UM29_1; Onder_5_UM29_2; Onder_5_UM29_3; Onder_5_UM6_1; Onder_5_UM6_2; Onder_5_UM6_3; Onder_6_UM22_1; Onder_6_UM22_2; Onder_6_UM22_3; Onder_6_UM4_1; Onder_6_UM4_2; Onder_6_UM4_3",519,6,"1; 2; 3; 4; 5; 6"
"Onder","NS","F","VA",20,"VA1; VA11; VA15; VA18; VA22; VA26; VA30; VA34; VA35; VA44; VA46; VA47; VA48; VA55; VA57; VA6; VA66; VA67; VA71; VA9",60,"Onder_1_VA1_1; Onder_1_VA1_2; Onder_1_VA1_3; Onder_1_VA11_1; Onder_1_VA11_2; Onder_1_VA11_3; Onder_1_VA6_1; Onder_1_VA6_2; Onder_1_VA6_3; Onder_1_VA9_1; Onder_1_VA9_2; Onder_1_VA9_3; Onder_2_VA18_1; Onder_2_VA18_2; Onder_2_VA18_3; Onder_2_VA22_1; Onder_2_VA22_2; Onder_2_VA22_3; Onder_2_VA26_1; Onder_2_VA26_2; Onder_2_VA26_3; Onder_2_VA30_1; Onder_2_VA30_2; Onder_2_VA30_3; Onder_2_VA34_1; Onder_2_VA34_2; Onder_2_VA34_3; Onder_3_VA35_1; Onder_3_VA35_2; Onder_3_VA35_3; Onder_3_VA44_1; Onder_3_VA44_2; Onder_3_VA44_3; Onder_3_VA46_1; Onder_3_VA46_2; Onder_3_VA46_3; Onder_3_VA48_1; Onder_3_VA48_2; Onder_3_VA48_3; Onder_4_VA55_1; Onder_4_VA55_2; Onder_4_VA55_3; Onder_4_VA67_1; Onder_4_VA67_2; Onder_4_VA67_3; Onder_4_VA71_1; Onder_4_VA71_2; Onder_4_VA71_3; Onder_5_VA15_1; Onder_5_VA15_2; Onder_5_VA15_3; Onder_5_VA47_1; Onder_5_VA47_2; Onder_5_VA47_3; Onder_5_VA57_1; Onder_5_VA57_2; Onder_5_VA57_3; Onder_5_VA66_1; Onder_5_VA66_2; Onder_5_VA66_3",606,5,"1; 2; 3; 4; 5"
"Onder","NS","F","YE",19,"YE13; YE14; YE15; YE19; YE20; YE21; YE22; YE23; YE24; YE26; YE27; YE33; YE40; YE41; YE48; YE49; YE51; YE69; YE80",57,"Onder_1_YE13_1; Onder_1_YE13_2; Onder_1_YE13_3; Onder_1_YE14_1; Onder_1_YE14_2; Onder_1_YE14_3; Onder_1_YE19_1; Onder_1_YE19_2; Onder_1_YE19_3; Onder_2_YE20_1; Onder_2_YE20_2; Onder_2_YE20_3; Onder_2_YE21_1; Onder_2_YE21_2; Onder_2_YE21_3; Onder_2_YE22_1; Onder_2_YE22_2; Onder_2_YE22_3; Onder_2_YE23_1; Onder_2_YE23_2; Onder_2_YE23_3; Onder_2_YE24_1; Onder_2_YE24_2; Onder_2_YE24_3; Onder_3_YE27_1; Onder_3_YE27_2; Onder_3_YE27_3; Onder_3_YE33_1; Onder_3_YE33_2; Onder_3_YE33_3; Onder_3_YE40_1; Onder_3_YE40_2; Onder_3_YE40_3; Onder_3_YE41_1; Onder_3_YE41_2; Onder_3_YE41_3; Onder_4_YE49_1; Onder_4_YE49_2; Onder_4_YE49_3; Onder_4_YE69_1; Onder_4_YE69_2; Onder_4_YE69_3; Onder_4_YE80_1; Onder_4_YE80_2; Onder_4_YE80_3; Onder_5_YE26_1; Onder_5_YE26_2; Onder_5_YE26_3; Onder_5_YE48_1; Onder_5_YE48_2; Onder_5_YE48_3; Onder_5_YE51_1; Onder_5_YE51_2; Onder_5_YE51_3; Onder_6_YE15_1; Onder_6_YE15_2; Onder_6_YE15_3",578,6,"1; 2; 3; 4; 5; 6"
