"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Vieira","S","F","KA","KA14",3,"Vieira_19_KA14_F_1; Vieira_19_KA14_F_2; Vieira_19_KA14_F_3",58,1,"19"
"Vieira","S","F","KA","KA15",3,"Vieira_20_KA15_F_1; Vieira_20_KA15_F_2; Vieira_20_KA15_F_3",56,1,"20"
"Vieira","S","F","KA","KA16",3,"Vieira_20_KA16_F_1; Vieira_20_KA16_F_2; Vieira_20_KA16_F_3",59,1,"20"
"Vieira","S","F","KA","KA17",3,"Vieira_21_KA17_F_1; Vieira_21_KA17_F_2; Vieira_21_KA17_F_3",57,1,"21"
"Vieira","S","F","KA","KA18",3,"Vieira_21_KA18_F_1; Vieira_21_KA18_F_2; Vieira_21_KA18_F_3",57,1,"21"
"Vieira","S","F","KA","KA2",3,"Vieira_17_KA2_F_1; Vieira_17_KA2_F_2; Vieira_17_KA2_F_3",59,1,"17"
"Vieira","S","F","KA","KA23",3,"Vieira_21_KA23_F_1; Vieira_21_KA23_F_2; Vieira_21_KA23_F_3",54,1,"21"
"Vieira","S","F","KA","KA24",3,"Vieira_21_KA24_F_1; Vieira_21_KA24_F_2; Vieira_21_KA24_F_3",57,1,"21"
"Vieira","S","F","KA","KA25",3,"Vieira_21_KA25_F_1; Vieira_21_KA25_F_2; Vieira_21_KA25_F_3",48,1,"21"
"Vieira","S","F","KA","KA28",3,"Vieira_21_KA28_F_1; Vieira_21_KA28_F_2; Vieira_21_KA28_F_3",53,1,"21"
"Vieira","S","F","KA","KA29",3,"Vieira_22_KA29_F_1; Vieira_22_KA29_F_2; Vieira_22_KA29_F_3",56,1,"22"
"Vieira","S","F","KA","KA3",3,"Vieira_17_KA3_F_1; Vieira_17_KA3_F_2; Vieira_17_KA3_F_3",56,1,"17"
"Vieira","S","F","KA","KA5",3,"Vieira_17_KA5_F_1; Vieira_17_KA5_F_2; Vieira_17_KA5_F_3",56,1,"17"
"Vieira","S","F","KA","KA6",3,"Vieira_16_KA6_F_1; Vieira_16_KA6_F_2; Vieira_16_KA6_F_3",57,1,"16"
"Vieira","S","F","KA","KA7",3,"Vieira_16_KA7_F_1; Vieira_16_KA7_F_2; Vieira_16_KA7_F_3",53,1,"16"
"Vieira","S","F","KA","KA9",3,"Vieira_16_KA9_F_1; Vieira_16_KA9_F_2; Vieira_16_KA9_F_3",55,1,"16"
"Vieira","S","F","MA","MA12",3,"Vieira_24_MA12_F_1; Vieira_24_MA12_F_2; Vieira_24_MA12_F_3",55,1,"24"
"Vieira","S","F","MA","MA13",3,"Vieira_24_MA13_F_1; Vieira_24_MA13_F_2; Vieira_24_MA13_F_3",59,1,"24"
"Vieira","S","F","MA","MA16",3,"Vieira_24_MA16_F_1; Vieira_24_MA16_F_2; Vieira_24_MA16_F_3",59,1,"24"
"Vieira","S","F","MA","MA18",3,"Vieira_24_MA18_F_1; Vieira_24_MA18_F_2; Vieira_24_MA18_F_3",60,1,"24"
"Vieira","S","F","MA","MA19",3,"Vieira_24_MA19_F_1; Vieira_24_MA19_F_2; Vieira_24_MA19_F_3",58,1,"24"
"Vieira","S","F","MA","MA20",3,"Vieira_25_MA20_F_1; Vieira_25_MA20_F_2; Vieira_25_MA20_F_3",58,1,"25"
"Vieira","S","F","MA","MA21",3,"Vieira_25_MA21_F_1; Vieira_25_MA21_F_2; Vieira_25_MA21_F_3",60,1,"25"
"Vieira","S","F","MA","MA23",3,"Vieira_25_MA23_F_1; Vieira_25_MA23_F_2; Vieira_25_MA23_F_3",55,1,"25"
"Vieira","S","F","MA","MA26",3,"Vieira_25_MA26_F_1; Vieira_25_MA26_F_2; Vieira_25_MA26_F_3",58,1,"25"
"Vieira","S","F","MA","MA27",3,"Vieira_25_MA27_F_1; Vieira_25_MA27_F_2; Vieira_25_MA27_F_3",53,1,"25"
"Vieira","S","F","MA","MA28",3,"Vieira_25_MA28_F_1; Vieira_25_MA28_F_2; Vieira_25_MA28_F_3",57,1,"25"
"Vieira","S","F","MA","MA3",3,"Vieira_22_MA3_F_1; Vieira_22_MA3_F_2; Vieira_22_MA3_F_3",59,1,"22"
"Vieira","S","F","MA","MA30",3,"Vieira_26_MA30_F_1; Vieira_26_MA30_F_2; Vieira_26_MA30_F_3",58,1,"26"
"Vieira","S","F","MA","MA31",3,"Vieira_26_MA31_F_1; Vieira_26_MA31_F_2; Vieira_26_MA31_F_3",55,1,"26"
"Vieira","S","F","MA","MA32",3,"Vieira_26_MA32_F_1; Vieira_26_MA32_F_2; Vieira_26_MA32_F_3",60,1,"26"
"Vieira","S","F","MA","MA33",3,"Vieira_26_MA33_F_1; Vieira_26_MA33_F_2; Vieira_26_MA33_F_3",59,1,"26"
"Vieira","S","F","MA","MA5",3,"Vieira_22_MA5_F_1; Vieira_22_MA5_F_2; Vieira_22_MA5_F_3",54,1,"22"
"Vieira","S","F","MA","MA6",3,"Vieira_22_MA6_F_1; Vieira_22_MA6_F_2; Vieira_22_MA6_F_3",60,1,"22"
"Vieira","S","F","MA","MA7",3,"Vieira_23_MA7_F_1; Vieira_23_MA7_F_2; Vieira_23_MA7_F_3",56,1,"23"
"Vieira","S","F","MA","MA9",3,"Vieira_23_MA9_F_1; Vieira_23_MA9_F_2; Vieira_23_MA9_F_3",59,1,"23"
"Vieira","S","F","MU","MU1",3,"Vieira_1_MU1_F_1; Vieira_1_MU1_F_2; Vieira_1_MU1_F_3",56,1,"1"
"Vieira","S","F","MU","MU10",3,"Vieira_1_MU10_F_1; Vieira_1_MU10_F_2; Vieira_1_MU10_F_3",55,1,"1"
"Vieira","S","F","MU","MU11",3,"Vieira_3_MU11_F_1; Vieira_3_MU11_F_2; Vieira_3_MU11_F_3",47,1,"3"
"Vieira","S","F","MU","MU12",3,"Vieira_3_MU12_F_1; Vieira_3_MU12_F_2; Vieira_3_MU12_F_3",57,1,"3"
"Vieira","S","F","MU","MU13",3,"Vieira_3_MU13_F_1; Vieira_3_MU13_F_2; Vieira_3_MU13_F_3",56,1,"3"
"Vieira","S","F","MU","MU14",3,"Vieira_2_MU14_F_1; Vieira_2_MU14_F_2; Vieira_2_MU14_F_3",52,1,"2"
"Vieira","S","F","MU","MU15",3,"Vieira_3_MU15_F_1; Vieira_3_MU15_F_2; Vieira_3_MU15_F_3",55,1,"3"
"Vieira","S","F","MU","MU16",3,"Vieira_5_MU16_F_1; Vieira_5_MU16_F_2; Vieira_5_MU16_F_3",53,1,"5"
"Vieira","S","F","MU","MU17",3,"Vieira_3_MU17_F_1; Vieira_3_MU17_F_2; Vieira_3_MU17_F_3",58,1,"3"
"Vieira","S","F","MU","MU18",3,"Vieira_2_MU18_F_1; Vieira_2_MU18_F_2; Vieira_2_MU18_F_3",58,1,"2"
"Vieira","S","F","MU","MU19",3,"Vieira_3_MU19_F_1; Vieira_3_MU19_F_2; Vieira_3_MU19_F_3",59,1,"3"
"Vieira","S","F","MU","MU2",3,"Vieira_1_MU2_F_1; Vieira_1_MU2_F_2; Vieira_1_MU2_F_3",55,1,"1"
"Vieira","S","F","MU","MU20",3,"Vieira_2_MU20_F_1; Vieira_2_MU20_F_2; Vieira_2_MU20_F_3",52,1,"2"
"Vieira","S","F","MU","MU3",3,"Vieira_1_MU3_F_1; Vieira_1_MU3_F_2; Vieira_1_MU3_F_3",57,1,"1"
"Vieira","S","F","MU","MU4",3,"Vieira_4_MU4_F_1; Vieira_4_MU4_F_2; Vieira_4_MU4_F_3",60,1,"4"
"Vieira","S","F","MU","MU5",3,"Vieira_1_MU5_F_1; Vieira_1_MU5_F_2; Vieira_1_MU5_F_3",57,1,"1"
"Vieira","S","F","MU","MU6",3,"Vieira_1_MU6_F_1; Vieira_1_MU6_F_2; Vieira_1_MU6_F_3",57,1,"1"
"Vieira","S","F","MU","MU7",3,"Vieira_4_MU7_F_1; Vieira_4_MU7_F_2; Vieira_4_MU7_F_3",60,1,"4"
"Vieira","S","F","MU","MU8",3,"Vieira_4_MU8_F_1; Vieira_4_MU8_F_2; Vieira_4_MU8_F_3",60,1,"4"
"Vieira","S","F","MU","MU9",3,"Vieira_4_MU9_F_1; Vieira_4_MU9_F_2; Vieira_4_MU9_F_3",60,1,"4"
"Vieira","S","F","RE","RE10",3,"Vieira_15_RE10_F_1; Vieira_15_RE10_F_2; Vieira_15_RE10_F_3",59,1,"15"
"Vieira","S","F","RE","RE11",3,"Vieira_15_RE11_F_1; Vieira_15_RE11_F_2; Vieira_15_RE11_F_3",58,1,"15"
"Vieira","S","F","RE","RE12",3,"Vieira_16_RE12_F_1; Vieira_16_RE12_F_2; Vieira_16_RE12_F_3",57,1,"16"
"Vieira","S","F","RE","RE13",3,"Vieira_15_RE13_F_1; Vieira_15_RE13_F_2; Vieira_15_RE13_F_3",57,1,"15"
"Vieira","S","F","RE","RE15",3,"Vieira_15_RE15_F_1; Vieira_15_RE15_F_2; Vieira_15_RE15_F_3",57,1,"15"
"Vieira","S","F","RE","RE16",3,"Vieira_15_RE16_F_1; Vieira_15_RE16_F_2; Vieira_15_RE16_F_3",60,1,"15"
"Vieira","S","F","RE","RE17",3,"Vieira_15_RE17_F_1; Vieira_15_RE17_F_2; Vieira_15_RE17_F_3",59,1,"15"
"Vieira","S","F","RE","RE18",3,"Vieira_15_RE18_F_1; Vieira_15_RE18_F_2; Vieira_15_RE18_F_3",58,1,"15"
"Vieira","S","F","RE","RE2",3,"Vieira_13_RE2_F_1; Vieira_13_RE2_F_2; Vieira_13_RE2_F_3",54,1,"13"
