"Lab","Diet","Sex","Batch","Population_count","Population_ids","Line_count","Line_ids","Replicate_count","Replicate_ids","Observation_count"
"Vieira","S","F","11",1,"UM",3,"UM21; UM23; UM24",9,"Vieira_11_UM21_F_1; Vieira_11_UM21_F_2; Vieira_11_UM21_F_3; Vieira_11_UM23_F_1; Vieira_11_UM23_F_2; Vieira_11_UM23_F_3; Vieira_11_UM24_F_1; Vieira_11_UM24_F_2; Vieira_11_UM24_F_3",9
"Vieira","S","F","12",1,"RE",4,"RE5; RE6; RE7; RE8",12,"Vieira_12_RE5_F_1; Vieira_12_RE5_F_2; Vieira_12_RE5_F_3; Vieira_12_RE6_F_1; Vieira_12_RE6_F_2; Vieira_12_RE6_F_3; Vieira_12_RE7_F_1; Vieira_12_RE7_F_2; Vieira_12_RE7_F_3; Vieira_12_RE8_F_1; Vieira_12_RE8_F_2; Vieira_12_RE8_F_3",12
"Vieira","S","F","13",1,"RE",4,"RE2; RE3; RE4; RE9",12,"Vieira_13_RE2_F_1; Vieira_13_RE2_F_2; Vieira_13_RE2_F_3; Vieira_13_RE3_F_1; Vieira_13_RE3_F_2; Vieira_13_RE3_F_3; Vieira_13_RE4_F_1; Vieira_13_RE4_F_2; Vieira_13_RE4_F_3; Vieira_13_RE9_F_1; Vieira_13_RE9_F_2; Vieira_13_RE9_F_3",12
"Vieira","S","F","14",1,"AK",3,"AK16; AK17; AK4",9,"Vieira_14_AK16_F_1; Vieira_14_AK16_F_2; Vieira_14_AK16_F_3; Vieira_14_AK17_F_1; Vieira_14_AK17_F_2; Vieira_14_AK17_F_3; Vieira_14_AK4_F_1; Vieira_14_AK4_F_2; Vieira_14_AK4_F_3",9
"Vieira","S","F","15",1,"RE",7,"RE10; RE11; RE13; RE15; RE16; RE17; RE18",21,"Vieira_15_RE10_F_1; Vieira_15_RE10_F_2; Vieira_15_RE10_F_3; Vieira_15_RE11_F_1; Vieira_15_RE11_F_2; Vieira_15_RE11_F_3; Vieira_15_RE13_F_1; Vieira_15_RE13_F_2; Vieira_15_RE13_F_3; Vieira_15_RE15_F_1; Vieira_15_RE15_F_2; Vieira_15_RE15_F_3; Vieira_15_RE16_F_1; Vieira_15_RE16_F_2; Vieira_15_RE16_F_3; Vieira_15_RE17_F_1; Vieira_15_RE17_F_2; Vieira_15_RE17_F_3; Vieira_15_RE18_F_1; Vieira_15_RE18_F_2; Vieira_15_RE18_F_3",21
"Vieira","S","F","16",2,"KA; RE",5,"KA10; KA6; KA7; KA9; RE12",15,"Vieira_16_KA10_F_1; Vieira_16_KA10_F_2; Vieira_16_KA10_F_3; Vieira_16_KA6_F_1; Vieira_16_KA6_F_2; Vieira_16_KA6_F_3; Vieira_16_KA7_F_1; Vieira_16_KA7_F_2; Vieira_16_KA7_F_3; Vieira_16_KA9_F_1; Vieira_16_KA9_F_2; Vieira_16_KA9_F_3; Vieira_16_RE12_F_1; Vieira_16_RE12_F_2; Vieira_16_RE12_F_3",15
"Vieira","S","F","17",2,"KA; UM",8,"KA1; KA2; KA3; KA5; UM25; UM29; UM4; UM8",24,"Vieira_17_KA1_F_1; Vieira_17_KA1_F_2; Vieira_17_KA1_F_3; Vieira_17_KA2_F_1; Vieira_17_KA2_F_2; Vieira_17_KA2_F_3; Vieira_17_KA3_F_1; Vieira_17_KA3_F_2; Vieira_17_KA3_F_3; Vieira_17_KA5_F_1; Vieira_17_KA5_F_2; Vieira_17_KA5_F_3; Vieira_17_UM25_F_1; Vieira_17_UM25_F_2; Vieira_17_UM25_F_3; Vieira_17_UM29_F_1; Vieira_17_UM29_F_2; Vieira_17_UM29_F_3; Vieira_17_UM4_F_1; Vieira_17_UM4_F_2; Vieira_17_UM4_F_3; Vieira_17_UM8_F_1; Vieira_17_UM8_F_2; Vieira_17_UM8_F_3",24
"Vieira","S","F","18",1,"UM",3,"UM22; UM26; UM28",9,"Vieira_18_UM22_F_1; Vieira_18_UM22_F_2; Vieira_18_UM22_F_3; Vieira_18_UM26_F_1; Vieira_18_UM26_F_2; Vieira_18_UM26_F_3; Vieira_18_UM28_F_1; Vieira_18_UM28_F_2; Vieira_18_UM28_F_3",9
"Vieira","S","F","19",1,"KA",3,"KA11; KA13; KA14",9,"Vieira_19_KA11_F_1; Vieira_19_KA11_F_2; Vieira_19_KA11_F_3; Vieira_19_KA13_F_1; Vieira_19_KA13_F_2; Vieira_19_KA13_F_3; Vieira_19_KA14_F_1; Vieira_19_KA14_F_2; Vieira_19_KA14_F_3",9
"Vieira","S","F","20",1,"KA",2,"KA15; KA16",6,"Vieira_20_KA15_F_1; Vieira_20_KA15_F_2; Vieira_20_KA15_F_3; Vieira_20_KA16_F_1; Vieira_20_KA16_F_2; Vieira_20_KA16_F_3",6
"Vieira","S","F","21",1,"KA",6,"KA17; KA18; KA23; KA24; KA25; KA28",18,"Vieira_21_KA17_F_1; Vieira_21_KA17_F_2; Vieira_21_KA17_F_3; Vieira_21_KA18_F_1; Vieira_21_KA18_F_2; Vieira_21_KA18_F_3; Vieira_21_KA23_F_1; Vieira_21_KA23_F_2; Vieira_21_KA23_F_3; Vieira_21_KA24_F_1; Vieira_21_KA24_F_2; Vieira_21_KA24_F_3; Vieira_21_KA25_F_1; Vieira_21_KA25_F_2; Vieira_21_KA25_F_3; Vieira_21_KA28_F_1; Vieira_21_KA28_F_2; Vieira_21_KA28_F_3",18
"Vieira","S","F","22",2,"KA; MA",4,"KA29; MA3; MA5; MA6",12,"Vieira_22_KA29_F_1; Vieira_22_KA29_F_2; Vieira_22_KA29_F_3; Vieira_22_MA3_F_1; Vieira_22_MA3_F_2; Vieira_22_MA3_F_3; Vieira_22_MA5_F_1; Vieira_22_MA5_F_2; Vieira_22_MA5_F_3; Vieira_22_MA6_F_1; Vieira_22_MA6_F_2; Vieira_22_MA6_F_3",12
"Vieira","S","F","23",1,"MA",2,"MA7; MA9",6,"Vieira_23_MA7_F_1; Vieira_23_MA7_F_2; Vieira_23_MA7_F_3; Vieira_23_MA9_F_1; Vieira_23_MA9_F_2; Vieira_23_MA9_F_3",6
"Vieira","S","F","24",1,"MA",5,"MA12; MA13; MA16; MA18; MA19",15,"Vieira_24_MA12_F_1; Vieira_24_MA12_F_2; Vieira_24_MA12_F_3; Vieira_24_MA13_F_1; Vieira_24_MA13_F_2; Vieira_24_MA13_F_3; Vieira_24_MA16_F_1; Vieira_24_MA16_F_2; Vieira_24_MA16_F_3; Vieira_24_MA18_F_1; Vieira_24_MA18_F_2; Vieira_24_MA18_F_3; Vieira_24_MA19_F_1; Vieira_24_MA19_F_2; Vieira_24_MA19_F_3",15
"Vieira","S","F","25",1,"MA",6,"MA20; MA21; MA23; MA26; MA27; MA28",18,"Vieira_25_MA20_F_1; Vieira_25_MA20_F_2; Vieira_25_MA20_F_3; Vieira_25_MA21_F_1; Vieira_25_MA21_F_2; Vieira_25_MA21_F_3; Vieira_25_MA23_F_1; Vieira_25_MA23_F_2; Vieira_25_MA23_F_3; Vieira_25_MA26_F_1; Vieira_25_MA26_F_2; Vieira_25_MA26_F_3; Vieira_25_MA27_F_1; Vieira_25_MA27_F_2; Vieira_25_MA27_F_3; Vieira_25_MA28_F_1; Vieira_25_MA28_F_2; Vieira_25_MA28_F_3",18
"Vieira","S","F","26",2,"MA; YE",5,"MA30; MA31; MA32; MA33; YE11",15,"Vieira_26_MA30_F_1; Vieira_26_MA30_F_2; Vieira_26_MA30_F_3; Vieira_26_MA31_F_1; Vieira_26_MA31_F_2; Vieira_26_MA31_F_3; Vieira_26_MA32_F_1; Vieira_26_MA32_F_2; Vieira_26_MA32_F_3; Vieira_26_MA33_F_1; Vieira_26_MA33_F_2; Vieira_26_MA33_F_3; Vieira_26_YE11_F_1; Vieira_26_YE11_F_2; Vieira_26_YE11_F_3",15
