"Lab","Diet","Sex","Population","Line_count","Line_ids","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Wegener","NS",NA,"AK",1,"mixed population",1,"",4,1,"2"
"Wegener","NS",NA,"GI",1,"mixed population",1,"",4,2,"2; 3"
"Wegener","NS",NA,"KA",1,"mixed population",1,"",4,2,"2; 3"
"Wegener","NS",NA,"MA",1,"mixed population",1,"",4,2,"2; 3"
"Wegener","NS",NA,"MU",1,"mixed population",1,"",4,3,"1; 2; 3"
"Wegener","NS",NA,"RE",1,"mixed population",1,"",4,3,"2; 3; 4"
"Wegener","NS",NA,"UM",1,"mixed population",1,"",4,3,"1; 2; 3"
"Wegener","NS",NA,"VA",1,"mixed population",1,"",4,3,"2; 3; 4"
"Wegener","NS",NA,"YE",1,"mixed population",1,"",4,2,"2; 3"
