"Lab","Diet","Sex","Population","Line","ReplicateVial","Observation_count","Batch_count","Batch_ids"
"Hoedjes","NS","F","AK","AK1",NA,24,1,"1"
"Hoedjes","NS","F","AK","AK10",NA,24,1,"2"
"Hoedjes","NS","F","AK","AK11",NA,24,1,"3"
"Hoedjes","NS","F","AK","AK12",NA,24,1,"3"
"Hoedjes","NS","F","AK","AK13",NA,24,1,"3"
"Hoedjes","NS","F","AK","AK14",NA,24,1,"3"
"Hoedjes","NS","F","AK","AK15",NA,24,1,"3"
"Hoedjes","NS","F","AK","AK16",NA,24,1,"4"
"Hoedjes","NS","F","AK","AK17",NA,24,1,"4"
"Hoedjes","NS","F","AK","AK18",NA,24,1,"4"
"Hoedjes","NS","F","AK","AK2",NA,24,1,"1"
"Hoedjes","NS","F","AK","AK20",NA,24,1,"4"
"Hoedjes","NS","F","AK","AK21",NA,24,1,"4"
"Hoedjes","NS","F","AK","AK3",NA,24,1,"1"
"Hoedjes","NS","F","AK","AK4",NA,24,1,"1"
"Hoedjes","NS","F","AK","AK5",NA,24,1,"1"
"Hoedjes","NS","F","AK","AK6",NA,24,1,"2"
"Hoedjes","NS","F","AK","AK7",NA,24,1,"2"
"Hoedjes","NS","F","AK","AK8",NA,24,1,"2"
"Hoedjes","NS","F","AK","AK9",NA,24,1,"2"
"Hoedjes","NS","F","GI","GI1",NA,24,1,"1"
"Hoedjes","NS","F","GI","GI10",NA,24,1,"2"
"Hoedjes","NS","F","GI","GI11",NA,24,1,"2"
"Hoedjes","NS","F","GI","GI12",NA,32,2,"3; 4"
"Hoedjes","NS","F","GI","GI13",NA,24,1,"4"
"Hoedjes","NS","F","GI","GI14",NA,25,2,"3; 4"
"Hoedjes","NS","F","GI","GI15",NA,24,1,"3"
"Hoedjes","NS","F","GI","GI2",NA,24,1,"1"
"Hoedjes","NS","F","GI","GI3",NA,24,1,"1"
"Hoedjes","NS","F","GI","GI4",NA,21,1,"1"
"Hoedjes","NS","F","GI","GI5",NA,20,1,"4"
"Hoedjes","NS","F","GI","GI6",NA,24,1,"1"
"Hoedjes","NS","F","GI","GI7",NA,24,1,"2"
"Hoedjes","NS","F","GI","GI8",NA,22,1,"2"
"Hoedjes","NS","F","GI","GI9",NA,24,1,"2"
"Hoedjes","NS","F","KA","KA1",NA,24,1,"1"
"Hoedjes","NS","F","KA","KA10",NA,22,1,"2"
"Hoedjes","NS","F","KA","KA11",NA,24,1,"2"
"Hoedjes","NS","F","KA","KA13",NA,24,1,"2"
"Hoedjes","NS","F","KA","KA14",NA,24,1,"3"
"Hoedjes","NS","F","KA","KA15",NA,24,1,"3"
"Hoedjes","NS","F","KA","KA16",NA,24,1,"3"
"Hoedjes","NS","F","KA","KA17",NA,24,1,"3"
"Hoedjes","NS","F","KA","KA18",NA,24,1,"3"
"Hoedjes","NS","F","KA","KA2",NA,28,2,"1; 4"
"Hoedjes","NS","F","KA","KA23",NA,24,1,"4"
"Hoedjes","NS","F","KA","KA24",NA,24,1,"4"
"Hoedjes","NS","F","KA","KA25",NA,24,1,"4"
"Hoedjes","NS","F","KA","KA28",NA,24,1,"4"
"Hoedjes","NS","F","KA","KA29",NA,24,1,"4"
"Hoedjes","NS","F","KA","KA3",NA,23,1,"1"
"Hoedjes","NS","F","KA","KA5",NA,24,1,"1"
"Hoedjes","NS","F","KA","KA6",NA,24,1,"1"
"Hoedjes","NS","F","KA","KA7",NA,24,1,"2"
"Hoedjes","NS","F","KA","KA9",NA,24,1,"2"
"Hoedjes","NS","F","MA","MA12",NA,24,1,"2"
"Hoedjes","NS","F","MA","MA13",NA,24,1,"2"
"Hoedjes","NS","F","MA","MA16",NA,24,1,"4"
"Hoedjes","NS","F","MA","MA18",NA,24,1,"2"
"Hoedjes","NS","F","MA","MA19",NA,24,1,"2"
"Hoedjes","NS","F","MA","MA20",NA,24,1,"2"
"Hoedjes","NS","F","MA","MA21",NA,24,1,"3"
"Hoedjes","NS","F","MA","MA23",NA,24,1,"3"
"Hoedjes","NS","F","MA","MA26",NA,24,1,"3"
"Hoedjes","NS","F","MA","MA27",NA,22,1,"3"
"Hoedjes","NS","F","MA","MA28",NA,24,1,"3"
"Hoedjes","NS","F","MA","MA3",NA,24,1,"1"
"Hoedjes","NS","F","MA","MA30",NA,24,1,"4"
"Hoedjes","NS","F","MA","MA31",NA,24,1,"4"
"Hoedjes","NS","F","MA","MA32",NA,24,1,"4"
"Hoedjes","NS","F","MA","MA33",NA,24,1,"4"
"Hoedjes","NS","F","MA","MA5",NA,24,1,"1"
"Hoedjes","NS","F","MA","MA6",NA,24,1,"1"
"Hoedjes","NS","F","MA","MA7",NA,24,1,"1"
"Hoedjes","NS","F","MA","MA9",NA,24,1,"1"
"Hoedjes","NS","F","MU","MU1",NA,24,1,"1"
"Hoedjes","NS","F","MU","MU10",NA,24,1,"2"
"Hoedjes","NS","F","MU","MU11",NA,24,1,"3"
"Hoedjes","NS","F","MU","MU12",NA,24,1,"3"
"Hoedjes","NS","F","MU","MU13",NA,24,1,"3"
"Hoedjes","NS","F","MU","MU14",NA,24,1,"3"
"Hoedjes","NS","F","MU","MU15",NA,24,1,"3"
"Hoedjes","NS","F","MU","MU16",NA,24,1,"4"
"Hoedjes","NS","F","MU","MU17",NA,24,1,"4"
"Hoedjes","NS","F","MU","MU18",NA,24,1,"4"
"Hoedjes","NS","F","MU","MU19",NA,24,1,"4"
"Hoedjes","NS","F","MU","MU2",NA,24,1,"1"
"Hoedjes","NS","F","MU","MU20",NA,24,1,"4"
"Hoedjes","NS","F","MU","MU3",NA,24,1,"1"
"Hoedjes","NS","F","MU","MU4",NA,24,1,"1"
"Hoedjes","NS","F","MU","MU5",NA,24,1,"1"
"Hoedjes","NS","F","MU","MU6",NA,24,1,"2"
"Hoedjes","NS","F","MU","MU7",NA,24,1,"2"
"Hoedjes","NS","F","MU","MU8",NA,24,1,"2"
"Hoedjes","NS","F","MU","MU9",NA,31,2,"2; 4"
"Hoedjes","NS","F","RE","RE10",NA,24,1,"2"
"Hoedjes","NS","F","RE","RE11",NA,24,1,"2"
"Hoedjes","NS","F","RE","RE12",NA,25,2,"2; 4"
"Hoedjes","NS","F","RE","RE13",NA,24,1,"3"
"Hoedjes","NS","F","RE","RE15",NA,24,1,"3"
"Hoedjes","NS","F","RE","RE16",NA,24,1,"3"
"Hoedjes","NS","F","RE","RE17",NA,24,2,"3; 4"
"Hoedjes","NS","F","RE","RE18",NA,24,1,"3"
"Hoedjes","NS","F","RE","RE2",NA,24,1,"1"
"Hoedjes","NS","F","RE","RE3",NA,24,1,"1"
"Hoedjes","NS","F","RE","RE4",NA,22,2,"1; 2"
"Hoedjes","NS","F","RE","RE5",NA,24,2,"1; 2"
"Hoedjes","NS","F","RE","RE6",NA,24,1,"1"
"Hoedjes","NS","F","RE","RE7",NA,29,2,"2; 4"
"Hoedjes","NS","F","RE","RE8",NA,24,1,"2"
"Hoedjes","NS","F","UM","UM13",NA,24,1,"2"
"Hoedjes","NS","F","UM","UM17",NA,24,2,"2; 4"
"Hoedjes","NS","F","UM","UM18",NA,24,1,"2"
"Hoedjes","NS","F","UM","UM2",NA,24,1,"1"
