"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Gibert","NS",NA,"KA","KA18",3,"Gibert_2_KA18_1; Gibert_2_KA18_2; Gibert_2_KA18_3",3,1,"2"
"Gibert","NS",NA,"KA","KA2",3,"Gibert_2_KA2_1; Gibert_2_KA2_2; Gibert_2_KA2_3",3,1,"2"
"Gibert","NS",NA,"KA","KA23",3,"Gibert_1_KA23_1; Gibert_1_KA23_2; Gibert_1_KA23_3",3,1,"1"
"Gibert","NS",NA,"KA","KA24",3,"Gibert_1_KA24_1; Gibert_1_KA24_2; Gibert_1_KA24_3",3,1,"1"
"Gibert","NS",NA,"KA","KA25",3,"Gibert_2_KA25_1; Gibert_2_KA25_2; Gibert_2_KA25_3",3,1,"2"
"Gibert","NS",NA,"KA","KA28",3,"Gibert_2_KA28_1; Gibert_2_KA28_2; Gibert_2_KA28_3",3,1,"2"
"Gibert","NS",NA,"KA","KA29",3,"Gibert_2_KA29_1; Gibert_2_KA29_2; Gibert_2_KA29_3",3,1,"2"
"Gibert","NS",NA,"KA","KA3",3,"Gibert_1_KA3_1; Gibert_1_KA3_2; Gibert_1_KA3_3",3,1,"1"
"Gibert","NS",NA,"KA","KA5",3,"Gibert_2_KA5_1; Gibert_2_KA5_2; Gibert_2_KA5_3",3,1,"2"
"Gibert","NS",NA,"KA","KA6",3,"Gibert_2_KA6_1; Gibert_2_KA6_2; Gibert_2_KA6_3",3,1,"2"
"Gibert","NS",NA,"KA","KA7",3,"Gibert_1_KA7_1; Gibert_1_KA7_2; Gibert_1_KA7_3",3,1,"1"
"Gibert","NS",NA,"KA","KA9",3,"Gibert_2_KA9_1; Gibert_2_KA9_2; Gibert_2_KA9_3",3,1,"2"
"Gibert","NS",NA,"MA","MA12",3,"Gibert_3_MA12_1; Gibert_3_MA12_2; Gibert_3_MA12_3",3,1,"3"
"Gibert","NS",NA,"MA","MA13",3,"Gibert_2_MA13_1; Gibert_2_MA13_2; Gibert_2_MA13_3",3,1,"2"
"Gibert","NS",NA,"MA","MA16",3,"Gibert_1_MA16_1; Gibert_1_MA16_2; Gibert_1_MA16_3",3,1,"1"
"Gibert","NS",NA,"MA","MA18",3,"Gibert_1_MA18_1; Gibert_1_MA18_2; Gibert_1_MA18_3",3,1,"1"
"Gibert","NS",NA,"MA","MA19",3,"Gibert_2_MA19_1; Gibert_2_MA19_2; Gibert_2_MA19_3",3,1,"2"
"Gibert","NS",NA,"MA","MA20",3,"Gibert_1_MA20_1; Gibert_1_MA20_2; Gibert_1_MA20_3",3,1,"1"
"Gibert","NS",NA,"MA","MA21",3,"Gibert_2_MA21_1; Gibert_2_MA21_2; Gibert_2_MA21_3",3,1,"2"
"Gibert","NS",NA,"MA","MA23",3,"Gibert_2_MA23_1; Gibert_2_MA23_2; Gibert_2_MA23_3",3,1,"2"
"Gibert","NS",NA,"MA","MA26",3,"Gibert_2_MA26_1; Gibert_2_MA26_2; Gibert_2_MA26_3",3,1,"2"
"Gibert","NS",NA,"MA","MA27",3,"Gibert_1_MA27_1; Gibert_1_MA27_2; Gibert_1_MA27_3",3,1,"1"
"Gibert","NS",NA,"MA","MA28",3,"Gibert_2_MA28_1; Gibert_2_MA28_2; Gibert_2_MA28_3",3,1,"2"
"Gibert","NS",NA,"MA","MA3",3,"Gibert_1_MA3_1; Gibert_1_MA3_2; Gibert_1_MA3_3",3,1,"1"
"Gibert","NS",NA,"MA","MA30",6,"Gibert_1_MA30_1; Gibert_1_MA30_2; Gibert_1_MA30_3; Gibert_2_MA30_1; Gibert_2_MA30_2; Gibert_2_MA30_3",6,2,"1; 2"
"Gibert","NS",NA,"MA","MA31",3,"Gibert_2_MA31_1; Gibert_2_MA31_2; Gibert_2_MA31_3",3,1,"2"
"Gibert","NS",NA,"MA","MA32",3,"Gibert_1_MA32_1; Gibert_1_MA32_2; Gibert_1_MA32_3",3,1,"1"
"Gibert","NS",NA,"MA","MA33",3,"Gibert_1_MA33_1; Gibert_1_MA33_2; Gibert_1_MA33_3",3,1,"1"
"Gibert","NS",NA,"MA","MA5",3,"Gibert_2_MA5_1; Gibert_2_MA5_2; Gibert_2_MA5_3",3,1,"2"
"Gibert","NS",NA,"MA","MA6",3,"Gibert_2_MA6_1; Gibert_2_MA6_2; Gibert_2_MA6_3",3,1,"2"
"Gibert","NS",NA,"MA","MA7",3,"Gibert_2_MA7_1; Gibert_2_MA7_2; Gibert_2_MA7_3",3,1,"2"
"Gibert","NS",NA,"MA","MA9",3,"Gibert_1_MA9_1; Gibert_1_MA9_2; Gibert_1_MA9_3",3,1,"1"
"Gibert","NS",NA,"MU","MU1",3,"Gibert_1_MU1_1; Gibert_1_MU1_2; Gibert_1_MU1_3",3,1,"1"
"Gibert","NS",NA,"MU","MU10",3,"Gibert_2_MU10_1; Gibert_2_MU10_2; Gibert_2_MU10_3",3,1,"2"
"Gibert","NS",NA,"MU","MU11",3,"Gibert_1_MU11_1; Gibert_1_MU11_2; Gibert_1_MU11_3",3,1,"1"
"Gibert","NS",NA,"MU","MU12",3,"Gibert_2_MU12_1; Gibert_2_MU12_2; Gibert_2_MU12_3",3,1,"2"
"Gibert","NS",NA,"MU","MU13",3,"Gibert_2_MU13_1; Gibert_2_MU13_2; Gibert_2_MU13_3",3,1,"2"
"Gibert","NS",NA,"MU","MU14",3,"Gibert_2_MU14_1; Gibert_2_MU14_2; Gibert_2_MU14_3",3,1,"2"
