Model	Trait	Lab	Sex	Population	Line	Value_re	SE_re
lmer_pop	TL	Kozeretska	F	RE	RE16	-0.644	21.116
lmer_pop	TL	Kozeretska	F	RE	RE17	-2.875	17.727
lmer_pop	TL	Kozeretska	F	RE	RE2	34.892	17.727
lmer_pop	TL	Kozeretska	F	RE	RE3	6.595	21.114
lmer_pop	TL	Kozeretska	F	RE	RE6	26.822	17.727
lmer_pop	TL	Kozeretska	F	RE	RE7	-3.068	17.727
lmer_pop	TL	Kozeretska	F	UM	UM13	1.046	17.727
lmer_pop	TL	Kozeretska	F	UM	UM18	10.866	17.727
lmer_pop	TL	Kozeretska	F	UM	UM2	4.71	17.727
lmer_pop	TL	Kozeretska	F	UM	UM20	12.824	17.727
lmer_pop	TL	Kozeretska	F	UM	UM21	-2.662	17.727
lmer_pop	TL	Kozeretska	F	UM	UM23	12.557	17.727
lmer_pop	TL	Kozeretska	F	UM	UM26	-7.353	21.114
lmer_pop	TL	Kozeretska	F	UM	UM29	-2.573	17.727
lmer_pop	TL	Kozeretska	F	UM	UM4	23.208	17.727
lmer_pop	TL	Kozeretska	F	UM	UM5	14.842	17.727
lmer_pop	TL	Kozeretska	F	UM	UM7	-21.324	17.727
lmer_pop	TL	Kozeretska	F	UM	UM9	-46.141	17.727
lmer_pop	TL	Kozeretska	F	VA	VA1	-6.15	17.727
lmer_pop	TL	Kozeretska	F	VA	VA11	16.338	17.727
lmer_pop	TL	Kozeretska	F	VA	VA15	12.481	17.727
lmer_pop	TL	Kozeretska	F	VA	VA18	-7.797	17.727
lmer_pop	TL	Kozeretska	F	VA	VA22	-3.999	17.727
lmer_pop	TL	Kozeretska	F	VA	VA26	-0.602	17.727
lmer_pop	TL	Kozeretska	F	VA	VA30	-3.621	21.114
lmer_pop	TL	Kozeretska	F	VA	VA34	-25.523	17.727
lmer_pop	TL	Kozeretska	F	VA	VA35	-7.96	17.727
lmer_pop	TL	Kozeretska	F	VA	VA44	31.469	17.727
lmer_pop	TL	Kozeretska	F	VA	VA46	-12.128	17.727
lmer_pop	TL	Kozeretska	F	VA	VA48	-13.656	17.727
lmer_pop	TL	Kozeretska	F	VA	VA55	15.67	17.727
lmer_pop	TL	Kozeretska	F	VA	VA57	20.551	17.727
lmer_pop	TL	Kozeretska	F	VA	VA6	24.63	17.727
lmer_pop	TL	Kozeretska	F	VA	VA66	-24.04	17.727
lmer_pop	TL	Kozeretska	F	VA	VA67	4.041	17.727
lmer_pop	TL	Kozeretska	F	VA	VA71	14.766	17.727
lmer_pop	TL	Kozeretska	F	VA	VA9	-34.466	17.926
lmer_pop	TL	Kozeretska	F	YE	YE13	-31.575	17.727
lmer_pop	TL	Kozeretska	F	YE	YE14	-22.986	17.727
lmer_pop	TL	Kozeretska	F	YE	YE19	-0.884	17.727
lmer_pop	TL	Kozeretska	F	YE	YE20	-38.4	21.114
lmer_pop	TL	Kozeretska	F	YE	YE22	-17.023	17.727
lmer_pop	TL	Kozeretska	F	YE	YE26	20.044	21.114
lmer_pop	TL	Kozeretska	F	YE	YE27	26.455	17.727
lmer_pop	TL	Kozeretska	F	YE	YE33	24.319	17.727
lmer_pop	TL	Kozeretska	F	YE	YE40	10.079	17.727
lmer_pop	TL	Kozeretska	F	YE	YE48	11.666	17.727
lmer_pop	TL	Kozeretska	F	YE	YE49	0.985	17.727
lmer_pop	TL	Kozeretska	F	YE	YE51	3.445	21.114
lmer_pop	TL	Kozeretska	F	YE	YE80	13.876	17.727
lmer_pop	TL	Posnien	F	AK	AK12	17.23	11.548
lmer_pop	TL	Posnien	F	AK	AK3	10.811	11.548
lmer_pop	TL	Posnien	F	AK	AK7	-28.041	11.548
lmer_pop	TL	Posnien	F	GI	GI10	-6.191	11.548
lmer_pop	TL	Posnien	F	GI	GI14	26.261	11.548
lmer_pop	TL	Posnien	F	GI	GI7	-20.07	11.548
lmer_pop	TL	Posnien	F	KA	KA16	17.759	11.548
lmer_pop	TL	Posnien	F	KA	KA6	20.452	11.548
lmer_pop	TL	Posnien	F	KA	KA7	-38.212	11.548
lmer_pop	TL	Posnien	F	MA	MA13	15.467	11.548
lmer_pop	TL	Posnien	F	MA	MA3	-13.376	11.548
lmer_pop	TL	Posnien	F	MA	MA30	-2.091	11.548
lmer_pop	TL	Posnien	F	MU	MU11	-65.828	11.548
lmer_pop	TL	Posnien	F	MU	MU15	20.679	11.548
lmer_pop	TL	Posnien	F	MU	MU4	45.149	11.548
lmer_pop	TL	Posnien	F	RE	RE11	-13.985	11.548
lmer_pop	TL	Posnien	F	RE	RE15	25.379	11.548
lmer_pop	TL	Posnien	F	RE	RE18	-11.394	11.548
lmer_pop	TL	Posnien	F	UM	UM20	23.445	11.548
lmer_pop	TL	Posnien	F	UM	UM5	-31.783	11.548
lmer_pop	TL	Posnien	F	UM	UM9	8.338	11.548
lmer_pop	TL	Posnien	F	VA	VA15	16.381	11.548
lmer_pop	TL	Posnien	F	VA	VA48	-27.681	11.548
lmer_pop	TL	Posnien	F	VA	VA6	11.301	11.548
lmer_pop	TL	Posnien	F	YE	YE14	5.114	11.548
lmer_pop	TL	Posnien	F	YE	YE19	-11.755	11.548
lmer_pop	TL	Posnien	F	YE	YE21	6.641	11.548
lmer_pop	TL	Ritchie	F	AK	AK1	-4.596	12.975
lmer_pop	TL	Ritchie	F	AK	AK2	6.257	12.769
lmer_pop	TL	Ritchie	F	AK	AK3	0.139	12.758
lmer_pop	TL	Ritchie	F	AK	AK4	-1.8	12.967
lmer_pop	TL	Ritchie	F	GI	GI1	-4.953	12.983
lmer_pop	TL	Ritchie	F	GI	GI2	4.026	12.767
lmer_pop	TL	Ritchie	F	GI	GI3	-1.2	12.757
lmer_pop	TL	Ritchie	F	GI	GI4	3.619	12.965
lmer_pop	TL	Ritchie	F	GI	GI5	-1.492	12.964
lmer_pop	TL	Ritchie	F	KA	KA1	-6.842	13.055
lmer_pop	TL	Ritchie	F	KA	KA2	-0.687	12.767
lmer_pop	TL	Ritchie	F	KA	KA3	10.738	12.957
lmer_pop	TL	Ritchie	F	KA	KA5	-6.705	12.971
lmer_pop	TL	Ritchie	F	KA	KA6	3.496	12.959
lmer_pop	TL	Ritchie	F	MA	MA3	-0.985	12.998
lmer_pop	TL	Ritchie	F	MA	MA5	-2.19	12.759
lmer_pop	TL	Ritchie	F	MA	MA6	-4.725	12.959
lmer_pop	TL	Ritchie	F	MA	MA7	8.341	12.965
lmer_pop	TL	Ritchie	F	MA	MA9	-0.44	12.959
lmer_pop	TL	Ritchie	F	MU	MU1	-3.947	12.96
lmer_pop	TL	Ritchie	F	MU	MU2	3.947	12.758
lmer_pop	TL	Ritchie	F	YE	YE11	5.191	12.963
lmer_pop	TL	Ritchie	F	YE	YE13	-8.493	12.763
lmer_pop	TL	Ritchie	F	YE	YE14	3.004	12.759
lmer_pop	TL	Ritchie	F	YE	YE15	-3.297	13.403
lmer_pop	TL	Ritchie	F	YE	YE19	3.594	12.96
lmer_pop	TL	Schmidt	F	AK	AK1	-7.613	9.892
lmer_pop	TL	Schmidt	F	AK	AK10	12.939	9.892
lmer_pop	TL	Schmidt	F	AK	AK11	3.794	9.892
lmer_pop	TL	Schmidt	F	AK	AK12	2.437	9.892
lmer_pop	TL	Schmidt	F	AK	AK13	27.351	9.892
lmer_pop	TL	Schmidt	F	AK	AK14	-15.956	9.892
lmer_pop	TL	Schmidt	F	AK	AK15	8.858	9.892
lmer_pop	TL	Schmidt	F	AK	AK16	-0.929	9.892
lmer_pop	TL	Schmidt	F	AK	AK17	28.887	9.892
lmer_pop	TL	Schmidt	F	AK	AK18	-21.907	9.892
lmer_pop	TL	Schmidt	F	AK	AK2	16.822	9.892
lmer_pop	TL	Schmidt	F	AK	AK20	-20.913	9.892
lmer_pop	TL	Schmidt	F	AK	AK21	3.15	9.892
lmer_pop	TL	Schmidt	F	AK	AK3	-17.599	9.892
lmer_pop	TL	Schmidt	F	AK	AK4	20.66	9.892
lmer_pop	TL	Schmidt	F	AK	AK5	-23.425	9.892
lmer_pop	TL	Schmidt	F	AK	AK6	-6.239	9.892
lmer_pop	TL	Schmidt	F	AK	AK7	2.506	9.892
lmer_pop	TL	Schmidt	F	AK	AK8	-10.191	9.892
lmer_pop	TL	Schmidt	F	AK	AK9	-2.633	9.892
lmer_pop	TL	Schmidt	F	GI	GI1	1.33	9.892
lmer_pop	TL	Schmidt	F	GI	GI10	9.612	9.892
lmer_pop	TL	Schmidt	F	GI	GI11	-42.505	9.892
lmer_pop	TL	Schmidt	F	GI	GI12	-15.958	9.892
lmer_pop	TL	Schmidt	F	GI	GI13	10.478	9.892
lmer_pop	TL	Schmidt	F	GI	GI14	31.793	9.892
lmer_pop	TL	Schmidt	F	GI	GI15	23.763	9.892
lmer_pop	TL	Schmidt	F	GI	GI2	0.27	9.892
lmer_pop	TL	Schmidt	F	GI	GI3	-10.012	11.912
lmer_pop	TL	Schmidt	F	GI	GI5	-16.867	9.892
lmer_pop	TL	Schmidt	F	GI	GI7	8.567	10.763
lmer_pop	TL	Schmidt	F	GI	GI8	15.584	9.892
lmer_pop	TL	Schmidt	F	GI	GI9	-16.056	11.912
lmer_pop	TL	Schmidt	F	KA	KA1	-19.119	9.892
lmer_pop	TL	Schmidt	F	KA	KA10	-47.979	9.892
lmer_pop	TL	Schmidt	F	KA	KA11	17.158	9.892
lmer_pop	TL	Schmidt	F	KA	KA13	-21.871	9.892
lmer_pop	TL	Schmidt	F	KA	KA14	16.885	9.529
lmer_pop	TL	Schmidt	F	KA	KA16	-13.771	9.892
lmer_pop	TL	Schmidt	F	KA	KA17	32.917	9.892
lmer_pop	TL	Schmidt	F	KA	KA18	19.801	9.892
lmer_pop	TL	Schmidt	F	KA	KA2	10.182	9.892
lmer_pop	TL	Schmidt	F	KA	KA23	3.195	9.892
lmer_pop	TL	Schmidt	F	KA	KA24	9.125	9.892
lmer_pop	TL	Schmidt	F	KA	KA25	20.757	9.892
lmer_pop	TL	Schmidt	F	KA	KA28	-22.511	9.892
lmer_pop	TL	Schmidt	F	KA	KA29	22.679	9.892
lmer_pop	TL	Schmidt	F	KA	KA3	5.716	9.892
lmer_pop	TL	Schmidt	F	KA	KA5	8.409	9.892
