Model	Trait	Sex	Population	Line	Coef_Kozeretska	Coef_Posnien	Coef_Ritchie	Coef_Schmidt	SE_Kozeretska	SE_Posnien	SE_Ritchie	SE_Schmidt
lmer_pop	TL	F	AK	AK1	924.235080303192	NA	955.493856852939	987.433550000012	19.8745028521983	NA	24.6356106943315	11.2249307669574
lmer_pop	TL	F	AK	AK10	929.991080303192	NA	NA	1007.98555000001	19.8745028521983	NA	NA	11.2249307669574
lmer_pop	TL	F	AK	AK11	938.283080303192	NA	NA	998.840550000012	19.8745028521983	NA	NA	11.2249307669574
lmer_pop	TL	F	AK	AK12	910.781080303192	897.894400000017	NA	997.483550000012	19.8745028521983	22.8055061755281	NA	11.2249307669574
lmer_pop	TL	F	AK	AK13	943.786080303192	NA	NA	1022.39755000001	19.8745028521983	NA	NA	11.2249307669574
lmer_pop	TL	F	AK	AK14	960.341080303192	NA	NA	979.090550000012	19.8745028521983	NA	NA	11.2249307669574
lmer_pop	TL	F	AK	AK15	951.218080303192	NA	NA	1003.90455000001	22.9466845235219	NA	NA	11.2249307669574
lmer_pop	TL	F	AK	AK16	926.609080303192	NA	NA	994.117550000012	19.8745028521983	NA	NA	11.2249307669574
lmer_pop	TL	F	AK	AK17	940.004080303192	NA	NA	1023.93355000001	19.8745028521983	NA	NA	11.2249307669574
lmer_pop	TL	F	AK	AK2	915.595080303192	NA	966.346856852939	1011.86855000001	22.9466845235219	NA	24.5277404235014	11.2249307669574
lmer_pop	TL	F	AK	AK20	915.899080303192	NA	NA	974.133550000012	19.8745028521983	NA	NA	11.2249307669574
lmer_pop	TL	F	AK	AK21	967.500080303192	NA	NA	998.196550000012	22.9466845235219	NA	NA	11.2249307669574
lmer_pop	TL	F	AK	AK3	939.514080303192	891.475400000017	960.228856852939	977.447550000012	19.8745028521983	22.8055061755281	24.5220156855562	11.2249307669574
lmer_pop	TL	F	AK	AK4	933.996080303192	NA	958.289856852939	1015.70655000001	19.8745028521983	NA	24.631398220212	11.2249307669574
lmer_pop	TL	F	AK	AK5	940.197080303192	NA	NA	971.621550000012	19.8745028521983	NA	NA	11.2249307669574
lmer_pop	TL	F	AK	AK6	921.289080303192	NA	NA	988.807550000012	22.9466845235219	NA	NA	11.2249307669574
lmer_pop	TL	F	AK	AK7	929.353080303192	852.623400000017	NA	997.552550000012	19.8745028521983	22.8055061755281	NA	11.2249307669574
lmer_pop	TL	F	AK	AK8	964.465080303192	NA	NA	984.855550000012	19.8745028521983	NA	NA	11.2249307669574
lmer_pop	TL	F	AK	AK9	941.280080303192	NA	NA	992.413550000012	19.8745028521983	NA	NA	11.2249307669574
lmer_pop	TL	F	GI	GI1	953.631557216417	NA	961.171560716488	1023.27965556869	21.8230029928676	NA	23.348487462227	11.9257440503081
lmer_pop	TL	F	GI	GI11	938.663557216417	NA	NA	979.444655568685	21.8230029928676	NA	NA	11.9257440503081
lmer_pop	TL	F	GI	GI14	931.068557216417	970.637999999999	NA	1053.74265556869	21.8230029928676	22.8055061755279	NA	11.9257440503081
lmer_pop	TL	F	GI	GI15	943.850557216417	NA	NA	1045.71265556869	24.6535580926305	NA	NA	11.9257440503081
lmer_pop	TL	F	GI	GI2	905.213557216417	NA	970.150560716487	1022.21965556869	21.8230029928676	NA	23.2290737390403	11.9257440503081
lmer_pop	TL	F	GI	GI3	917.688557216417	NA	964.924560716487	1011.93765556869	21.8230029928676	NA	23.2235791120527	13.6479834097738
lmer_pop	TL	F	GI	GI6	956.316557216417	NA	NA	NA	21.8230029928676	NA	NA	NA
lmer_pop	TL	F	GI	GI8	947.148557216417	NA	NA	1037.53365556869	21.8230029928676	NA	NA	11.9257440503081
lmer_pop	TL	F	GI	GI9	921.746557216417	NA	NA	1005.89365556869	24.6535580926305	NA	NA	13.6479834097738
lmer_pop	TL	F	KA	KA1	896.433916667328	NA	941.420629181894	986.264316500951	20.7432867453173	NA	23.9035209747849	11.2892927908682
lmer_pop	TL	F	KA	KA10	939.200916667328	NA	NA	957.404316500951	20.7432867453173	NA	NA	11.2892927908682
lmer_pop	TL	F	KA	KA13	908.508916667328	NA	NA	983.512316500951	20.7432867453173	NA	NA	11.2892927908682
lmer_pop	TL	F	KA	KA14	919.812916667328	NA	NA	1022.26831650095	20.7432867453173	NA	NA	10.972616311434
