plate_id,plate_order,row,col,gel_order,line_id,In3RP,In2Lt,In3LP,In2RNs,In3Rmo
2,15,G,2,14,VA9,0,0.5,0,0,0
2,8,H,1,15,MU16,0,0.5,0,0,0
2,16,H,2,16,VA11,0,0,0,0,0
2,17,A,3,17,VA15,0,0.5,1,0,0
2,25,A,4,18,VA46,0,0,0,0,0
2,18,B,3,19,VA18,0,0.5,0,0,0
2,26,B,4,20,VA47,0,0.5,0,1,0
2,19,C,3,21,VA22,0,0,1,0,0
2,27,C,4,22,VA48,0,0.5,0,0,0
2,20,D,3,23,VA26,0,0,0,0,0
2,28,D,4,24,VA55,0,0.5,0,0,0
2,21,E,3,25,VA30,0,0,0,0,1
2,29,E,4,26,VA57,0,0.5,0,0,0
2,22,F,3,27,VA34,0,0,1,0,0
2,30,F,4,28,VA66,0,0.5,0,0,0
2,23,G,3,29,VA35,0,0,0,0,0
2,31,G,4,30,VA67,0,0,0,0,0
2,24,H,3,31,VA44,0,0,0,0,0
2,32,H,4,32,VA71,0,0,0,0,0
2,33,A,5,33,AK1,0,0,0,0,0
2,41,A,6,34,AK9,0,0.5,0,0,0
2,34,B,5,35,AK2,0,0.5,0,0,0
2,42,B,6,36,AK10,0,0,0,0,0
2,35,C,5,37,AK3,0,0.5,0,0,0
2,43,C,6,38,AK11,0,0,0,0,0
2,36,D,5,39,AK4,0,0.5,0,1,0
2,44,D,6,40,AK12,0,0.5,0,0,0
2,37,E,5,41,AK5,0,0.5,0,0,0
2,45,E,6,42,AK13,0,0.5,0,0,0
2,38,F,5,43,AK6,1,0,0,0,0
2,46,F,6,44,AK14,0,1,0,0,0
2,39,G,5,45,AK7,1,0.5,0,0,0
2,47,G,6,46,AK15,0,0.5,0,0,0
2,40,H,5,47,AK8,0,0,0,0,0
2,48,H,6,48,AK16,0,0,0,1,0
2,49,A,7,49,AK17,0,0.5,0,0,0
2,57,A,8,50,KA6,0,0.5,0,0,0
2,50,B,7,51,AK18,0,0.5,0,0,0
2,58,B,8,52,KA7,0,0.5,0,0,0
2,51,C,7,53,AK20,0,0,0,0,1
2,59,C,8,54,KA9,0,0,0,0,0
2,52,D,7,55,AK21,0,0,0,0,0
2,60,D,8,56,KA10,0,0,0,0,0
2,53,E,7,57,KA1,0,0,0,0,0
2,61,E,8,58,KA11,0,0.5,0,0,0
2,54,F,7,59,KA2,0,0.5,0,0,0
2,62,F,8,60,KA13,0,0,0,0,0
2,55,G,7,61,KA3,0,0,0,0,0
2,63,G,8,62,KA14,0,0,0,1,0
2,56,H,7,63,KA5,0,0,0,1,0
2,64,H,8,64,KA15,0,0,0,1,0
2,65,A,9,65,KA16,0,0,0,0,1
2,66,B,9,67,KA17,0,0.5,0,0,0
2,67,C,9,69,KA18,0,0,0,0,0
2,68,D,9,71,KA23,0,0,0,0,1
2,69,E,9,73,KA24,0,0,0,0,0
2,70,F,9,75,KA25,0,0,0,0,0
2,71,G,9,77,KA28,0,0,0,0,0
2,72,H,9,79,KA29,0,0,0,0,0
