"Lab","Trait","P_pop","P_lat","P_lon","P_alt","P_meta"
"Mensch","CCRT_F",0.0307591845535996,0.663562949560529,0.028658461186063,0.174335097941586,1
"Vieira","CCRT_F",0.00245338562104879,0.985933915263529,0.504715899347149,0.666979797289932,1
"Mensch","CCRT_M",0.0668040066182451,0.487914532672498,0.360659433216851,0.722556500824827,1
"Vieira","CCRT_M",1.05820362517672e-05,0.216993043333886,0.621362396405569,0.973568435854143,1
"Gonzalez","CSM_F",0.0557747311047609,0.268462606553541,0.686532793662745,0.579570204645836,1
"Kozeretska","CSM_F",0.906126805511984,0.594363869015841,0.721834310718916,0.570554637510372,1
"Vieira","CSM_F",0.17860469913531,0.289215606557606,0.655481917455396,0.945078285113069,1
"Gonzalez","CSM_M",0.0916232392707334,0.347090479651485,0.96883761432476,0.445476974187501,1
"Kozeretska","CSM_M",0.598116279395031,0.552678265769775,0.86165910415626,0.902132955596969,1
"Vieira","CSM_M",0.0249362591242104,0.346380624413119,0.656343705598405,0.0704818418692001,1
"Bergland","Dia",0.0162701804265161,0.888125675697065,0.0396830997226125,0.266299466633694,1
"Flatt","Dia",0.658978587065494,0.666615192975925,0.834794071070496,0.960592256647864,1
"Schlotterer","Dia",0.0208998779621458,0.454852268680873,0.602710569717843,0.585098920218542,1
"Gibert","DT_A_F",0.000439888995305529,0.828507821322289,0.0674290364116909,0.0859411501881886,1
"Grath","DT_A_F",0.274990246953568,0.610982179651894,0.393220457709933,0.645742121227666,1
"Hoedjes","DT_A_F",2.51365299239434e-06,0.036406382609512,0.0528658732713362,0.777415483850371,1
"Schmidt","DT_A_F",0.00198060030101647,0.817796229663234,0.721549512875418,0.823344306835623,1
"StamenkovicRadak","DT_A_F",1.36471053158151e-06,0.377639085670256,0.955999073942035,0.904950494524701,1
"Zwaan","DT_A_F",0.0505094131895524,0.382529006231935,0.0977916577705474,0.567121307103842,1
"Gibert","DT_A_M",0.00411902697539041,0.88586299019234,0.290722368023507,0.104484617040994,1
"Grath","DT_A_M",0.394649222023483,0.775501263874309,0.558745917017949,0.553851163355494,1
"Hoedjes","DT_A_M",2.33227160953477e-06,0.0484706471360969,0.046533879600207,0.854910731316132,1
"Schmidt","DT_A_M",0.00157514112844543,0.990788797514347,0.814210625811252,0.765071359928363,1
"StamenkovicRadak","DT_A_M",1.31476794011807e-06,0.421971248715113,0.912711770527315,0.877978446815798,1
"Zwaan","DT_A_M",0.0264118064376956,0.686153829990742,0.0227228581661168,0.237781334710591,1
"Schmidt","DT_P",0.00980388811163575,0.301588068453879,0.983065661794745,0.752569917550803,NA
"Colinet","DW_F",0.0211076980008757,0.555865963902625,0.364523267804249,0.703382260112706,1
"Hoedjes","DW_F",0.0604504543076979,0.618024998647646,0.596660605434522,0.384792646563928,1
"Onder","DW_F",6.16762572610631e-06,0.893739902709541,0.826482239092654,0.710875100905898,1
"Colinet","DW_M",2.61265206915973e-05,0.59838127499959,0.304545694862112,0.287713208371932,0.0642468406666525
"Hoedjes","DW_M",0.75479686798747,0.475532850317646,0.43952367881857,0.28219757505955,0.0642468406666525
"Onder","DW_M",0.0565912309455779,0.656392734108443,0.894857564664144,0.859428007049047,0.0642468406666525
"Billeter","Fec",0.00646079195191002,0.0381195753051466,0.655950489509646,0.349718207314408,1
"Fricke","Fec",0.88401127411488,0.689239418806126,0.749091305283389,0.709194011789618,1
"Parsch","HSM_F",4.86841620336294e-08,0.0535847206561002,0.550136381905961,0.00889943260915279,0.287036576794735
"Vieira","HSM_F",4.16893980333042e-06,0.827365115720833,0.83791296352346,0.80847450511254,0.287036576794735
"Parsch","HSM_M",4.87534106136381e-09,0.0163061434049899,0.410224753116242,0.226013870950272,0.0639556816533569
"Vieira","HSM_M",0.00245386233772451,0.250951891191559,0.502191941978301,0.698668390147797,0.0639556816533569
"Tauber","LA_AbsPhase",0.0100679548223112,0.498323712575507,0.498323712575507,0.498323712575507,NA
"Tauber","LA_Activity",0.000147186351193311,0.314756206659679,0.314756206659679,0.314756206659679,NA
"Tauber","LA_CircPhase",0.00545289131744018,0.28632657345205,0.28632657345205,0.28632657345205,NA
"Tauber","LA_NDlog2",0.0105863582389442,0.373895422031384,0.962973039626969,0.165368535144286,NA
"Tauber","LA_Period",0.0288303562777535,0.252598504264849,0.252598504264849,0.252598504264849,NA
"Flatt","LS_F",1.22870023181672e-24,0.00387130368369167,0.151287339668363,0.777652102945551,1
"Parsch","LS_F",6.7850425169143e-09,0.0949836822377866,0.335970103172859,0.450157851862385,1
