"Lab","Trait","P_pop","P_lat","P_lon","P_alt","P_meta"
"Pasyukova","LS_F",0.013965137272371,0.315074424837724,0.152157522442659,0.277555605730322,1
"Flatt","LS_M",3.02170429193975e-05,0.403999523981134,0.801843375207143,0.742185989268568,0.019564042452466
"Parsch","LS_M",3.12729382830815e-06,0.00371863642713224,0.128031624108062,0.406129779446526,0.019564042452466
"Pasyukova","LS_M",7.30291178367384e-05,0.10035797679123,0.336587178185086,0.196041553799536,0.019564042452466
"Abbott","Pgm_T4",1.33173377066548e-17,0.158586656476048,0.43734048085493,0.135124406331228,1
"Gibert","Pgm_T4",0.0164933319474306,0.796441360971109,0.0194624925496987,0.103588360978719,1
"Schmidt","Pgm_T4",0.000142635226364033,0.492576695183084,0.793820503296228,0.523314871458905,1
"Abbott","Pgm_T5",7.34988131800683e-16,0.291127236225049,0.56982556357233,0.191963625375482,1
"Gibert","Pgm_T5",0.040718831292065,0.990630922215868,0.321366099291389,0.0223126548690383,1
"Schmidt","Pgm_T5",0.129186125315985,0.883118923796641,0.820822304970895,0.955528038762589,1
"Abbott","Pgm_T6",0.000487542855655873,0.618344300979519,0.682176524235928,0.785438517432791,1
"Gibert","Pgm_T6",0.216572478681459,0.879924861389928,0.50477366546621,0.798275091872415,1
"Schmidt","Pgm_T6",0.0171386124567684,0.938219060635394,0.242988881447887,0.756932915242474,1
"Abbott","Pgm_Total",9.27269404618846e-13,0.303081064551413,0.542658439463951,0.297431086993735,1
"Gibert","Pgm_Total",0.555711666737151,0.933888781348913,0.259298341821997,0.116460388058733,1
"Schmidt","Pgm_Total",0.0379363035487144,0.832268137599194,0.545037830472409,0.679172058299667,1
"Gonzalez","SR_F",0.00118608807732447,0.0370695750094331,0.589435363435616,0.422903364894209,1
"Onder","SR_F",1.5357292652478e-06,0.0614722429036479,0.860301295806132,0.46831230246229,1
"Pasyukova","SR_F",1.09152025693483e-06,0.220004589749676,0.464786514333535,0.0695692198300133,1
"Gonzalez","SR_M",3.14503083454914e-06,0.0445336125110098,0.961620646796419,0.340886236176064,1
"Onder","SR_M",0.000208213767059514,0.0875865497664153,0.76597605240146,0.490294840487525,1
"Pasyukova","SR_M",4.40312384217059e-08,0.156791130351859,0.754077028575541,0.254063467535702,1
"Kozeretska","TL_F",0.00773467089896619,0.396896929805194,0.891322474605031,0.133838387309773,1
"Posnien","TL_F",0.108218753511987,0.23872935997137,0.899127434352784,0.737598439845985,1
"Ritchie","TL_F",0.509104973656108,0.147336285684471,0.457895103309071,0.094668833951084,1
"Schmidt","TL_F",0.000399049579772064,0.0455655062166215,0.0823542092034162,0.993247178266985,1
"Kozeretska","TL_M",0.00437729202813983,0.543011520911843,0.83096709607663,0.195324687325418,1
"Posnien","TL_M",0.0704688753674798,0.324916102633515,0.836721473849138,0.432831384706868,1
"Ritchie","TL_M",0.659860700818885,0.420204099505519,0.358934535727989,0.133211708590808,1
"Gibert","Via",4.38856351698363e-09,0.045871039389835,0.796828454635768,0.109626064675936,7.09640195244304e-17
"Grath","Via",0.162354239763607,0.390638543456706,0.593316799571045,0.381000882901661,7.09640195244304e-17
"Hoedjes","Via",4.98524132848739e-07,0.0090214938507857,0.79187170641243,0.027273480312829,7.09640195244304e-17
"Schmidt","Via",0.00830779240471185,0.207614790179526,0.924128899218802,0.222175354895761,7.09640195244304e-17
"StamenkovicRadak","Via",9.10420942404616e-06,0.276229279736248,0.224500038462039,0.175216448145067,7.09640195244304e-17
"Zwaan","Via",4.87689051946373e-07,0.0168739249288309,0.773823964937142,0.103646093018331,7.09640195244304e-17
"Onder","WA_L_F",5.18551435235945e-10,0.305544235130939,0.113754769400618,0.824536441531635,1
"Posnien","WA_L_F",0.247580319158766,0.0168235255410915,0.0934975672978319,0.827533623486851,1
"Ritchie","WA_L_F",0.0508430193577757,0.910607563039041,0.518913144915542,0.529631922879956,1
"StamenkovicRadak","WA_L_F",1.42974689644229e-10,0.108352247242226,0.235388025463932,0.806629091658629,1
"Onder","WA_L_M",9.9751490458895e-09,0.465482114155526,0.188798286766717,0.708265530004818,1
"Posnien","WA_L_M",0.637027438896454,0.180270904945669,0.407291738679447,0.883489557430427,1
"Ritchie","WA_L_M",0.48275655035507,0.961486043915289,0.941215440205883,0.922705917266167,1
"StamenkovicRadak","WA_L_M",5.16921789478166e-10,0.0916850524194035,0.249919103279457,0.790932199940144,1
"Onder","WA_R_F",3.97620563154716e-10,0.311166577746992,0.111723918433779,0.803991516131065,1
"Posnien","WA_R_F",0.26152625240427,0.016457201883407,0.097126351746462,0.856374898516954,1
"Ritchie","WA_R_F",0.0480660084647028,0.916733184873096,0.527841218904992,0.516651055748464,1
"StamenkovicRadak","WA_R_F",4.98136083819876e-11,0.103242684849272,0.250162144921655,0.782017615023206,1
"Onder","WA_R_M",1.62492097583517e-08,0.465186928691918,0.175890050165769,0.68151432686151,1
"Posnien","WA_R_M",0.707097886307467,0.175327861770261,0.378364372193857,0.943934821778269,1
"Ritchie","WA_R_M",0.43280031049699,0.998423969620568,0.979959338893839,0.945586856596018,1
"StamenkovicRadak","WA_R_M",5.11988856425046e-10,0.0982213493361597,0.27347286422736,0.792189029252649,1
