"Lab","Trait","Sex","Model","P_pop","P_lat","P_lon","P_alt","P_meta_adj"
"Schmidt","Pgm_T6","F","lmer",0.0171386124567684,0.938219060635394,0.242988881447887,0.756932915242474,1
"Abbott","Pgm_Total","F","lmer",9.27269404618846e-13,0.303081064551413,0.542658439463951,0.297431086993735,1
"Gibert","Pgm_Total","F","lmer",0.555711666737151,0.933888781348913,0.259298341821997,0.116460388058733,1
"Schmidt","Pgm_Total","F","lmer",0.0379363035487144,0.832268137599194,0.545037830472409,0.679172058299667,1
"Gonzalez","SR","F","lmer",0.00118608807732447,0.0370695750094331,0.589435363435616,0.422903364894209,1
"Gonzalez","SR","M","lmer",3.14503083454914e-06,0.0445336125110098,0.961620646796419,0.340886236176064,1
"Onder","SR","F","lmer",1.5357292652478e-06,0.0614722429036479,0.860301295806132,0.46831230246229,1
"Onder","SR","M","lmer",0.000208213767059514,0.0875865497664153,0.76597605240146,0.490294840487525,1
"Pasyukova","SR","F","lmer",1.09152025693483e-06,0.220004589749676,0.464786514333535,0.0695692198300133,1
"Pasyukova","SR","M","lmer",4.40312384217059e-08,0.156791130351859,0.754077028575541,0.254063467535702,1
"Kozeretska","TL","F","lmer",0.00773467089896619,0.396896929805194,0.891322474605031,0.133838387309773,1
"Kozeretska","TL","M","lmer",0.00437729202813983,0.543011520911843,0.83096709607663,0.195324687325418,NA
"Posnien","TL","F","lmer",0.108218753511987,0.23872935997137,0.899127434352784,0.737598439845985,1
"Posnien","TL","M","lmer",0.0704688753674798,0.324916102633515,0.836721473849138,0.432831384706868,NA
"Ritchie","TL","F","lmer",0.509104973656108,0.147336285684471,0.457895103309071,0.094668833951084,1
"Ritchie","TL","M","lmer",0.659860700818885,0.420204099505519,0.358934535727989,0.133211708590808,NA
"Schmidt","TL","F","lmer",0.000399049579772064,0.0455655062166215,0.0823542092034162,0.993247178266985,1
"Gibert","Via",NA,"lmer",4.38856351698363e-09,0.045871039389835,0.796828454635768,0.109626064675936,1.06168497957132e-16
"Grath","Via",NA,"lmer",0.162354239763607,0.390638543456706,0.593316799571045,0.381000882901661,1.06168497957132e-16
"Hoedjes","Via",NA,"lmer",4.98524132848739e-07,0.0090214938507857,0.79187170641243,0.027273480312829,1.06168497957132e-16
