Supervisor.PI	Diet	Batch	Population	Line	Sex	ReplicateVialOld	ReplicateVial	Total	Dead	CSM_PropDead	CSM_PropDead_ED	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	CSM_PropDead_ED_asin	Color	StatusT	StatusM	Wolbachia	PC.ratio
Gonzalez	S	6	KA	KA1	F	3	Gonzalez_6_KA1_F_3	22	21	95.5	0.9545454545	Denmark	55.945	10.213	15	KA	KA	KA	1.35594649361008	#D04E00	+	+	+	0.066
Gonzalez	S	7	KA	KA1	F	4	Gonzalez_7_KA1_F_4	22	19	86.4	0.8636363636	Denmark	55.945	10.213	15	KA	KA	KA	1.19256813440773	#D04E00	+	+	+	0.066
Gonzalez	S	8	KA	KA1	F	5	Gonzalez_8_KA1_F_5	19	17	89.5	0.8947368421	Denmark	55.945	10.213	15	KA	KA	KA	1.24037367887484	#D04E00	+	+	+	0.066
Gonzalez	S	1	KA	KA10	F	1	Gonzalez_1_KA10_F_1	18	12	66.7	0.6666666667	Denmark	55.945	10.213	15	KA	KA	KA	0.955316618159864	#D04E00	+	+	+	0.066
Gonzalez	S	2	KA	KA10	F	2	Gonzalez_2_KA10_F_2	18	11	61.1	0.6111111111	Denmark	55.945	10.213	15	KA	KA	KA	0.897444709536738	#D04E00	+	+	+	0.066
Gonzalez	S	3	KA	KA10	F	3	Gonzalez_3_KA10_F_3	21	9	42.9	0.4285714286	Denmark	55.945	10.213	15	KA	KA	KA	0.713724378973633	#D04E00	+	+	+	0.066
Gonzalez	S	6	KA	KA11	F	2	Gonzalez_6_KA11_F_2	20	17	85	0.85	Denmark	55.945	10.213	15	KA	KA	KA	1.17309691170282	#D04E00	+	+	+	0.066
Gonzalez	S	6	KA	KA11	M	2	Gonzalez_6_KA11_M_2	19	19	100	1	Denmark	55.945	10.213	15	KA	KA	KA	1.5707963267949	#D04E00	+	+	+	0.066
Gonzalez	S	2	KA	KA13	F	1	Gonzalez_2_KA13_F_1	21	20	95.2	0.9523809524	Denmark	55.945	10.213	15	KA	KA	KA	1.35080834944416	#D04E00	+	+	+	0.066
Gonzalez	S	3	KA	KA13	F	2	Gonzalez_3_KA13_F_2	21	15	71.4	0.7142857143	Denmark	55.945	10.213	15	KA	KA	KA	1.00685368545008	#D04E00	+	+	+	0.066
Gonzalez	S	5	KA	KA13	F	3	Gonzalez_5_KA13_F_3	17	15	88.2	0.8823529412	Denmark	55.945	10.213	15	KA	KA	KA	1.22069054906427	#D04E00	+	+	+	0.066
Gonzalez	S	6	KA	KA13	F	4	Gonzalez_6_KA13_F_4	19	13	68.4	0.6842105263	Denmark	55.945	10.213	15	KA	KA	KA	0.974053179560339	#D04E00	+	+	+	0.066
Gonzalez	S	7	KA	KA13	F	5	Gonzalez_7_KA13_F_5	23	12	52.2	0.5217391304	Denmark	55.945	10.213	15	KA	KA	KA	0.807144148757691	#D04E00	+	+	+	0.066
Gonzalez	S	2	KA	KA14	F	1	Gonzalez_2_KA14_F_1	21	21	100	1	Denmark	55.945	10.213	15	KA	KA	KA	1.5707963267949	#D04E00	+	+	+	0.066
Gonzalez	S	3	KA	KA14	F	2	Gonzalez_3_KA14_F_2	20	17	85	0.85	Denmark	55.945	10.213	15	KA	KA	KA	1.17309691170282	#D04E00	+	+	+	0.066
Gonzalez	S	4	KA	KA14	F	3	Gonzalez_4_KA14_F_3	21	21	100	1	Denmark	55.945	10.213	15	KA	KA	KA	1.5707963267949	#D04E00	+	+	+	0.066
Gonzalez	S	2	KA	KA15	F	1	Gonzalez_2_KA15_F_1	20	19	95	0.95	Denmark	55.945	10.213	15	KA	KA	KA	1.34528292089677	#D04E00	+	+	+	0.066
Gonzalez	S	3	KA	KA15	F	2	Gonzalez_3_KA15_F_2	21	13	61.9	0.619047619	Denmark	55.945	10.213	15	KA	KA	KA	0.905600271733049	#D04E00	+	+	+	0.066
Gonzalez	S	4	KA	KA15	F	3	Gonzalez_4_KA15_F_3	18	17	94.4	0.9444444444	Denmark	55.945	10.213	15	KA	KA	KA	1.33285520186767	#D04E00	+	+	+	0.066
Gonzalez	S	2	KA	KA16	F	1	Gonzalez_2_KA16_F_1	20	14	70	0.7	Denmark	55.945	10.213	15	KA	KA	KA	0.991156586431192	#D04E00	+	+	+	0.066
Gonzalez	S	3	KA	KA16	F	2	Gonzalez_3_KA16_F_2	20	12	60	0.6	Denmark	55.945	10.213	15	KA	KA	KA	0.886077123792614	#D04E00	+	+	+	0.066
Gonzalez	S	4	KA	KA16	F	3	Gonzalez_4_KA16_F_3	17	12	70.6	0.7058823529	Denmark	55.945	10.213	15	KA	KA	KA	0.997593017648857	#D04E00	+	+	+	0.066
Gonzalez	S	2	KA	KA17	F	1	Gonzalez_2_KA17_F_1	20	15	75	0.75	Denmark	55.945	10.213	15	KA	KA	KA	1.0471975511966	#D04E00	+	+	+	0.066
Gonzalez	S	3	KA	KA17	F	2	Gonzalez_3_KA17_F_2	21	20	95.2	0.9523809524	Denmark	55.945	10.213	15	KA	KA	KA	1.35080834944416	#D04E00	+	+	+	0.066
Gonzalez	S	5	KA	KA17	F	3	Gonzalez_5_KA17_F_3	20	19	95	0.95	Denmark	55.945	10.213	15	KA	KA	KA	1.34528292089677	#D04E00	+	+	+	0.066
Gonzalez	S	6	KA	KA17	F	4	Gonzalez_6_KA17_F_4	21	19	90.5	0.9047619048	Denmark	55.945	10.213	15	KA	KA	KA	1.25706844039819	#D04E00	+	+	+	0.066
Gonzalez	S	7	KA	KA17	F	5	Gonzalez_7_KA17_F_5	20	17	85	0.85	Denmark	55.945	10.213	15	KA	KA	KA	1.17309691170282	#D04E00	+	+	+	0.066
Gonzalez	S	2	KA	KA18	F	1	Gonzalez_2_KA18_F_1	19	15	78.9	0.7894736842	Denmark	55.945	10.213	15	KA	KA	KA	1.09411671519222	#D04E00	+	+	+	0.066
Gonzalez	S	3	KA	KA18	F	2	Gonzalez_3_KA18_F_2	18	16	88.9	0.8888888889	Denmark	55.945	10.213	15	KA	KA	KA	1.23095941735845	#D04E00	+	+	+	0.066
Gonzalez	S	4	KA	KA18	F	3	Gonzalez_4_KA18_F_3	19	19	100	1	Denmark	55.945	10.213	15	KA	KA	KA	1.5707963267949	#D04E00	+	+	+	0.066
Gonzalez	S	1	KA	KA2	F	1	Gonzalez_1_KA2_F_1	18	16	88.9	0.8888888889	Denmark	55.945	10.213	15	KA	KA	KA	1.23095941735845	#D04E00	+	+	+	0.066
Gonzalez	S	2	KA	KA2	F	2	Gonzalez_2_KA2_F_2	20	13	65	0.65	Denmark	55.945	10.213	15	KA	KA	KA	0.937744490405147	#D04E00	+	+	+	0.066
Gonzalez	S	3	KA	KA2	F	3	Gonzalez_3_KA2_F_3	11	8	72.7	0.7272727273	Denmark	55.945	10.213	15	KA	KA	KA	1.02132908206789	#D04E00	+	+	+	0.066
Gonzalez	S	1	KA	KA3	F	1	Gonzalez_1_KA3_F_1	20	20	100	1	Denmark	55.945	10.213	15	KA	KA	KA	1.5707963267949	#D04E00	+	+	+	0.066
Gonzalez	S	3	KA	KA3	F	2	Gonzalez_3_KA3_F_2	20	15	75	0.75	Denmark	55.945	10.213	15	KA	KA	KA	1.0471975511966	#D04E00	+	+	+	0.066
Gonzalez	S	5	KA	KA3	F	3	Gonzalez_5_KA3_F_3	20	19	95	0.95	Denmark	55.945	10.213	15	KA	KA	KA	1.34528292089677	#D04E00	+	+	+	0.066
Gonzalez	S	6	KA	KA3	F	4	Gonzalez_6_KA3_F_4	20	20	100	1	Denmark	55.945	10.213	15	KA	KA	KA	1.5707963267949	#D04E00	+	+	+	0.066
Gonzalez	S	7	KA	KA3	F	5	Gonzalez_7_KA3_F_5	19	17	89.5	0.8947368421	Denmark	55.945	10.213	15	KA	KA	KA	1.24037367887484	#D04E00	+	+	+	0.066
Gonzalez	S	1	KA	KA5	F	1	Gonzalez_1_KA5_F_1	19	18	94.7	0.9473684211	Denmark	55.945	10.213	15	KA	KA	KA	1.33931896293078	#D04E00	+	+	+	0.066
Gonzalez	S	3	KA	KA5	F	2	Gonzalez_3_KA5_F_2	22	19	86.4	0.8636363636	Denmark	55.945	10.213	15	KA	KA	KA	1.19256813440773	#D04E00	+	+	+	0.066
Gonzalez	S	4	KA	KA5	F	3	Gonzalez_4_KA5_F_3	17	16	94.1	0.9411764706	Denmark	55.945	10.213	15	KA	KA	KA	1.32581766369303	#D04E00	+	+	+	0.066
Gonzalez	S	6	MA	MA12	F	2	Gonzalez_6_MA12_F_2	20	20	100	1	Austria	48.375	15.56	572	MA	MA	MA	1.5707963267949	#E38800	+	+	+	0.066
Gonzalez	S	6	MA	MA12	M	2	Gonzalez_6_MA12_M_2	19	18	94.7	0.9473684211	Austria	48.375	15.56	572	MA	MA	MA	1.33931896293078	#E38800	+	+	+	0.066
Gonzalez	S	1	KA	KA7	F	1	Gonzalez_1_KA7_F_1	20	20	100	1	Denmark	55.945	10.213	15	KA	KA	KA	1.5707963267949	#D04E00	+	+	+	0.066
Gonzalez	S	3	KA	KA7	F	2	Gonzalez_3_KA7_F_2	19	19	100	1	Denmark	55.945	10.213	15	KA	KA	KA	1.5707963267949	#D04E00	+	+	+	0.066
Gonzalez	S	5	KA	KA7	F	3	Gonzalez_5_KA7_F_3	20	19	95	0.95	Denmark	55.945	10.213	15	KA	KA	KA	1.34528292089677	#D04E00	+	+	+	0.066
Gonzalez	S	6	KA	KA7	F	4	Gonzalez_6_KA7_F_4	22	22	100	1	Denmark	55.945	10.213	15	KA	KA	KA	1.5707963267949	#D04E00	+	+	+	0.066
Gonzalez	S	7	KA	KA7	F	5	Gonzalez_7_KA7_F_5	20	17	85	0.85	Denmark	55.945	10.213	15	KA	KA	KA	1.17309691170282	#D04E00	+	+	+	0.066
Gonzalez	S	6	MA	MA23	F	2	Gonzalez_6_MA23_F_2	20	16	80	0.8	Austria	48.375	15.56	572	MA	MA	MA	1.10714871779409	#E38800	+	+	+	0.066
Gonzalez	S	6	MA	MA23	M	2	Gonzalez_6_MA23_M_2	18	8	44.4	0.4444444444	Austria	48.375	15.56	572	MA	MA	MA	0.729727656182245	#E38800	+	+	+	0.066
Gonzalez	S	6	MA	MA26	F	2	Gonzalez_6_MA26_F_2	20	16	80	0.8	Austria	48.375	15.56	572	MA	MA	MA	1.10714871779409	#E38800	+	+	+	0.066
Gonzalez	S	6	MA	MA26	M	2	Gonzalez_6_MA26_M_2	19	10	52.6	0.5263157895	Austria	48.375	15.56	572	MA	MA	MA	0.811726117554585	#E38800	+	+	+	0.066
Gonzalez	S	6	MU	MU4	F	2	Gonzalez_6_MU4_F_2	19	15	78.9	0.7894736842	Germany	48.18	11.61	520	MU	MU	MU	1.09411671519222	#F6C200	+	+	+	0.066
Gonzalez	S	6	MU	MU4	M	2	Gonzalez_6_MU4_M_2	18	17	94.4	0.9444444444	Germany	48.18	11.61	520	MU	MU	MU	1.33285520186767	#F6C200	+	+	+	0.066
Gonzalez	S	1	MA	MA13	F	1	Gonzalez_1_MA13_F_1	20	17	85	0.85	Austria	48.375	15.56	572	MA	MA	MA	1.17309691170282	#E38800	-	-	-	0.066
Gonzalez	S	2	MA	MA13	F	2	Gonzalez_2_MA13_F_2	21	15	71.4	0.7142857143	Austria	48.375	15.56	572	MA	MA	MA	1.00685368545008	#E38800	-	-	-	0.066
Gonzalez	S	3	MA	MA13	F	3	Gonzalez_3_MA13_F_3	19	10	52.6	0.5263157895	Austria	48.375	15.56	572	MA	MA	MA	0.811726117554585	#E38800	-	-	-	0.066
Gonzalez	S	1	MA	MA16	F	1	Gonzalez_1_MA16_F_1	19	19	100	1	Austria	48.375	15.56	572	MA	MA	MA	1.5707963267949	#E38800	+	+	+	0.066
Gonzalez	S	2	MA	MA16	F	2	Gonzalez_2_MA16_F_2	19	19	100	1	Austria	48.375	15.56	572	MA	MA	MA	1.5707963267949	#E38800	+	+	+	0.066
Gonzalez	S	3	MA	MA16	F	3	Gonzalez_3_MA16_F_3	20	18	90	0.9	Austria	48.375	15.56	572	MA	MA	MA	1.24904577239825	#E38800	+	+	+	0.066
Gonzalez	S	1	MA	MA18	F	1	Gonzalez_1_MA18_F_1	20	20	100	1	Austria	48.375	15.56	572	MA	MA	MA	1.5707963267949	#E38800	+	+	+	0.066
Gonzalez	S	2	MA	MA18	F	2	Gonzalez_2_MA18_F_2	19	18	94.7	0.9473684211	Austria	48.375	15.56	572	MA	MA	MA	1.33931896293078	#E38800	+	+	+	0.066
Gonzalez	S	4	MA	MA18	F	3	Gonzalez_4_MA18_F_3	20	19	95	0.95	Austria	48.375	15.56	572	MA	MA	MA	1.34528292089677	#E38800	+	+	+	0.066
Gonzalez	S	1	MA	MA19	F	1	Gonzalez_1_MA19_F_1	20	19	95	0.95	Austria	48.375	15.56	572	MA	MA	MA	1.34528292089677	#E38800	+	+	+	0.066
Gonzalez	S	5	MA	MA19	F	2	Gonzalez_5_MA19_F_2	20	20	100	1	Austria	48.375	15.56	572	MA	MA	MA	1.5707963267949	#E38800	+	+	+	0.066
Gonzalez	S	6	MA	MA19	F	3	Gonzalez_6_MA19_F_3	20	20	100	1	Austria	48.375	15.56	572	MA	MA	MA	1.5707963267949	#E38800	+	+	+	0.066
Gonzalez	S	7	MA	MA19	F	4	Gonzalez_7_MA19_F_4	20	19	95	0.95	Austria	48.375	15.56	572	MA	MA	MA	1.34528292089677	#E38800	+	+	+	0.066
Gonzalez	S	7	MA	MA20	F	1	Gonzalez_7_MA20_F_1	20	14	70	0.7	Austria	48.375	15.56	572	MA	MA	MA	0.991156586431192	#E38800	+	+	+	0.066
Gonzalez	S	8	MA	MA20	F	2	Gonzalez_8_MA20_F_2	20	14	70	0.7	Austria	48.375	15.56	572	MA	MA	MA	0.991156586431192	#E38800	+	+	+	0.066
Gonzalez	S	9	MA	MA20	F	3	Gonzalez_9_MA20_F_3	20	17	85	0.85	Austria	48.375	15.56	572	MA	MA	MA	1.17309691170282	#E38800	+	+	+	0.066
Gonzalez	S	1	MA	MA21	F	1	Gonzalez_1_MA21_F_1	20	19	95	0.95	Austria	48.375	15.56	572	MA	MA	MA	1.34528292089677	#E38800	+	+	+	0.066
Gonzalez	S	3	MA	MA21	F	2	Gonzalez_3_MA21_F_2	20	20	100	1	Austria	48.375	15.56	572	MA	MA	MA	1.5707963267949	#E38800	+	+	+	0.066
Gonzalez	S	4	MA	MA21	F	3	Gonzalez_4_MA21_F_3	14	14	100	1	Austria	48.375	15.56	572	MA	MA	MA	1.5707963267949	#E38800	+	+	+	0.066
Gonzalez	S	6	RE	RE4	F	1	Gonzalez_6_RE4_F_1	20	16	80	0.8	Portugal	41.15	-8.41	175	RE	RE	RE	1.10714871779409	#7BA354	-	-	-	0.066
Gonzalez	S	6	RE	RE4	M	1	Gonzalez_6_RE4_M_1	16	10	62.5	0.625	Portugal	41.15	-8.41	175	RE	RE	RE	0.911738290968488	#7BA354	-	-	-	0.066
Gonzalez	S	6	RE	RE5	F	4	Gonzalez_6_RE5_F_4	20	15	75	0.75	Portugal	41.15	-8.41	175	RE	RE	RE	1.0471975511966	#7BA354	-	-	-	0.066
Gonzalez	S	6	RE	RE5	M	4	Gonzalez_6_RE5_M_4	23	17	73.9	0.7391304348	Portugal	41.15	-8.41	175	RE	RE	RE	1.0347348369482	#7BA354	-	-	-	0.066
Gonzalez	S	6	RE	RE8	F	1	Gonzalez_6_RE8_F_1	20	15	75	0.75	Portugal	41.15	-8.41	175	RE	RE	RE	1.0471975511966	#7BA354	+	+	+	0.066
Gonzalez	S	6	RE	RE8	M	1	Gonzalez_6_RE8_M_1	20	8	40	0.4	Portugal	41.15	-8.41	175	RE	RE	RE	0.684719203002283	#7BA354	+	+	+	0.066
Gonzalez	S	2	MA	MA27	F	1	Gonzalez_2_MA27_F_1	20	16	80	0.8	Austria	48.375	15.56	572	MA	MA	MA	1.10714871779409	#E38800	+	+	+	0.066
Gonzalez	S	3	MA	MA27	F	2	Gonzalez_3_MA27_F_2	20	16	80	0.8	Austria	48.375	15.56	572	MA	MA	MA	1.10714871779409	#E38800	+	+	+	0.066
Gonzalez	S	5	MA	MA27	F	3	Gonzalez_5_MA27_F_3	25	23	92	0.92	Austria	48.375	15.56	572	MA	MA	MA	1.28403977458335	#E38800	+	+	+	0.066
Gonzalez	S	6	MA	MA27	F	4	Gonzalez_6_MA27_F_4	20	20	100	1	Austria	48.375	15.56	572	MA	MA	MA	1.5707963267949	#E38800	+	+	+	0.066
Gonzalez	S	7	MA	MA27	F	5	Gonzalez_7_MA27_F_5	19	17	89.5	0.8947368421	Austria	48.375	15.56	572	MA	MA	MA	1.24037367887484	#E38800	+	+	+	0.066
Gonzalez	S	1	MA	MA28	F	1	Gonzalez_1_MA28_F_1	19	19	100	1	Austria	48.375	15.56	572	MA	MA	MA	1.5707963267949	#E38800	+	+	+	0.066
Gonzalez	S	2	MA	MA28	F	2	Gonzalez_2_MA28_F_2	19	17	89.5	0.8947368421	Austria	48.375	15.56	572	MA	MA	MA	1.24037367887484	#E38800	+	+	+	0.066
Gonzalez	S	3	MA	MA28	F	3	Gonzalez_3_MA28_F_3	20	16	80	0.8	Austria	48.375	15.56	572	MA	MA	MA	1.10714871779409	#E38800	+	+	+	0.066
Gonzalez	S	2	MA	MA3	F	1	Gonzalez_2_MA3_F_1	19	16	84.2	0.8421052632	Austria	48.375	15.56	572	MA	MA	MA	1.16215847175504	#E38800	-	-	-	0.066
Gonzalez	S	3	MA	MA3	F	2	Gonzalez_3_MA3_F_2	20	18	90	0.9	Austria	48.375	15.56	572	MA	MA	MA	1.24904577239825	#E38800	-	-	-	0.066
Gonzalez	S	4	MA	MA3	F	3	Gonzalez_4_MA3_F_3	20	17	85	0.85	Austria	48.375	15.56	572	MA	MA	MA	1.17309691170282	#E38800	-	-	-	0.066
Gonzalez	S	1	MA	MA30	F	1	Gonzalez_1_MA30_F_1	20	20	100	1	Austria	48.375	15.56	572	MA	MA	MA	1.5707963267949	#E38800	+	+	+	0.066
Gonzalez	S	3	MA	MA30	F	2	Gonzalez_3_MA30_F_2	20	20	100	1	Austria	48.375	15.56	572	MA	MA	MA	1.5707963267949	#E38800	+	+	+	0.066
Gonzalez	S	4	MA	MA30	F	3	Gonzalez_4_MA30_F_3	19	18	94.7	0.9473684211	Austria	48.375	15.56	572	MA	MA	MA	1.33931896293078	#E38800	+	+	+	0.066
Gonzalez	S	5	MA	MA31	F	1	Gonzalez_5_MA31_F_1	20	20	100	1	Austria	48.375	15.56	572	MA	MA	MA	1.5707963267949	#E38800	-	-	-	0.066
Gonzalez	S	6	MA	MA31	F	2	Gonzalez_6_MA31_F_2	20	13	65	0.65	Austria	48.375	15.56	572	MA	MA	MA	0.937744490405147	#E38800	-	-	-	0.066
Gonzalez	S	7	MA	MA31	F	3	Gonzalez_7_MA31_F_3	20	15	75	0.75	Austria	48.375	15.56	572	MA	MA	MA	1.0471975511966	#E38800	-	-	-	0.066
Gonzalez	S	5	MA	MA32	F	1	Gonzalez_5_MA32_F_1	20	20	100	1	Austria	48.375	15.56	572	MA	MA	MA	1.5707963267949	#E38800	+	+	+	0.066
Gonzalez	S	6	MA	MA32	F	2	Gonzalez_6_MA32_F_2	20	11	55	0.55	Austria	48.375	15.56	572	MA	MA	MA	0.835481873978228	#E38800	+	+	+	0.066
Gonzalez	S	7	MA	MA32	F	3	Gonzalez_7_MA32_F_3	19	15	78.9	0.7894736842	Austria	48.375	15.56	572	MA	MA	MA	1.09411671519222	#E38800	+	+	+	0.066
Gonzalez	S	1	MA	MA5	F	1	Gonzalez_1_MA5_F_1	20	17	85	0.85	Austria	48.375	15.56	572	MA	MA	MA	1.17309691170282	#E38800	+	+	+	0.066
Gonzalez	S	3	MA	MA5	F	2	Gonzalez_3_MA5_F_2	20	12	60	0.6	Austria	48.375	15.56	572	MA	MA	MA	0.886077123792614	#E38800	+	+	+	0.066
Gonzalez	S	4	MA	MA5	F	3	Gonzalez_4_MA5_F_3	19	12	63.2	0.6315789474	Austria	48.375	15.56	572	MA	MA	MA	0.918545171989272	#E38800	+	+	+	0.066
Gonzalez	S	1	MA	MA6	F	1	Gonzalez_1_MA6_F_1	19	16	84.2	0.8421052632	Austria	48.375	15.56	572	MA	MA	MA	1.16215847175504	#E38800	-	-	-	0.066
Gonzalez	S	3	MA	MA6	F	2	Gonzalez_3_MA6_F_2	21	19	90.5	0.9047619048	Austria	48.375	15.56	572	MA	MA	MA	1.25706844039819	#E38800	-	-	-	0.066
Gonzalez	S	4	MA	MA6	F	3	Gonzalez_4_MA6_F_3	18	15	83.3	0.8333333333	Austria	48.375	15.56	572	MA	MA	MA	1.15026199146621	#E38800	-	-	-	0.066
Gonzalez	S	1	MA	MA7	F	1	Gonzalez_1_MA7_F_1	20	18	90	0.9	Austria	48.375	15.56	572	MA	MA	MA	1.24904577239825	#E38800	+	+	+	0.066
Gonzalez	S	2	MA	MA7	F	2	Gonzalez_2_MA7_F_2	20	18	90	0.9	Austria	48.375	15.56	572	MA	MA	MA	1.24904577239825	#E38800	+	+	+	0.066
Gonzalez	S	3	MA	MA7	F	3	Gonzalez_3_MA7_F_3	20	14	70	0.7	Austria	48.375	15.56	572	MA	MA	MA	0.991156586431192	#E38800	+	+	+	0.066
Gonzalez	S	2	MA	MA9	F	1	Gonzalez_2_MA9_F_1	21	15	71.4	0.7142857143	Austria	48.375	15.56	572	MA	MA	MA	1.00685368545008	#E38800	+	+	+	0.066
Gonzalez	S	3	MA	MA9	F	2	Gonzalez_3_MA9_F_2	22	13	59.1	0.5909090909	Austria	48.375	15.56	572	MA	MA	MA	0.876815731884658	#E38800	+	+	+	0.066
Gonzalez	S	4	MA	MA9	F	3	Gonzalez_4_MA9_F_3	21	17	81	0.8095238095	Austria	48.375	15.56	572	MA	MA	MA	1.11916288568505	#E38800	+	+	+	0.066
Gonzalez	S	6	UM	UM17	F	2	Gonzalez_6_UM17_F_2	20	13	65	0.65	Ukraine	48.753	30.206	214	UM	UM	UM	0.937744490405147	#0086A8	-	-	-	0.066
Gonzalez	S	6	UM	UM17	M	2	Gonzalez_6_UM17_M_2	19	17	89.5	0.8947368421	Ukraine	48.753	30.206	214	UM	UM	UM	1.24037367887484	#0086A8	-	-	-	0.066
Gonzalez	S	6	UM	UM22	F	2	Gonzalez_6_UM22_F_2	19	18	94.7	0.9473684211	Ukraine	48.753	30.206	214	UM	UM	UM	1.33931896293078	#0086A8	+	+	+	0.066
Gonzalez	S	6	UM	UM22	M	2	Gonzalez_6_UM22_M_2	19	12	63.2	0.6315789474	Ukraine	48.753	30.206	214	UM	UM	UM	0.918545171989272	#0086A8	+	+	+	0.066
Gonzalez	S	1	MU	MU11	F	1	Gonzalez_1_MU11_F_1	20	20	100	1	Germany	48.18	11.61	520	MU	MU	MU	1.5707963267949	#F6C200	+	+	+	0.066
Gonzalez	S	2	MU	MU11	F	2	Gonzalez_2_MU11_F_2	18	18	100	1	Germany	48.18	11.61	520	MU	MU	MU	1.5707963267949	#F6C200	+	+	+	0.066
Gonzalez	S	3	MU	MU11	F	3	Gonzalez_3_MU11_F_3	20	20	100	1	Germany	48.18	11.61	520	MU	MU	MU	1.5707963267949	#F6C200	+	+	+	0.066
Gonzalez	S	1	MU	MU13	F	1	Gonzalez_1_MU13_F_1	20	14	70	0.7	Germany	48.18	11.61	520	MU	MU	MU	0.991156586431192	#F6C200	+	+	+	0.066
Gonzalez	S	3	MU	MU13	F	2	Gonzalez_3_MU13_F_2	19	16	84.2	0.8421052632	Germany	48.18	11.61	520	MU	MU	MU	1.16215847175504	#F6C200	+	+	+	0.066
Gonzalez	S	1	MU	MU14	F	1	Gonzalez_1_MU14_F_1	20	20	100	1	Germany	48.18	11.61	520	MU	MU	MU	1.5707963267949	#F6C200	+	+	+	0.066
Gonzalez	S	2	MU	MU14	F	2	Gonzalez_2_MU14_F_2	19	17	89.5	0.8947368421	Germany	48.18	11.61	520	MU	MU	MU	1.24037367887484	#F6C200	+	+	+	0.066
Gonzalez	S	3	MU	MU14	F	3	Gonzalez_3_MU14_F_3	21	20	95.2	0.9523809524	Germany	48.18	11.61	520	MU	MU	MU	1.35080834944416	#F6C200	+	+	+	0.066
Gonzalez	S	1	MU	MU15	F	1	Gonzalez_1_MU15_F_1	20	20	100	1	Germany	48.18	11.61	520	MU	MU	MU	1.5707963267949	#F6C200	+	+	+	0.066
Gonzalez	S	3	MU	MU15	F	2	Gonzalez_3_MU15_F_2	20	19	95	0.95	Germany	48.18	11.61	520	MU	MU	MU	1.34528292089677	#F6C200	+	+	+	0.066
Gonzalez	S	4	MU	MU15	F	3	Gonzalez_4_MU15_F_3	21	19	90.5	0.9047619048	Germany	48.18	11.61	520	MU	MU	MU	1.25706844039819	#F6C200	+	+	+	0.066
Gonzalez	S	3	MU	MU16	F	1	Gonzalez_3_MU16_F_1	19	17	89.5	0.8947368421	Germany	48.18	11.61	520	MU	MU	MU	1.24037367887484	#F6C200	+	+	+	0.066
Gonzalez	S	6	MU	MU16	F	2	Gonzalez_6_MU16_F_2	12	10	83.3	0.8333333333	Germany	48.18	11.61	520	MU	MU	MU	1.15026199146621	#F6C200	+	+	+	0.066
Gonzalez	S	7	MU	MU16	F	3	Gonzalez_7_MU16_F_3	21	11	52.4	0.5238095238	Germany	48.18	11.61	520	MU	MU	MU	0.809216694700115	#F6C200	+	+	+	0.066
Gonzalez	S	9	MU	MU16	F	4	Gonzalez_9_MU16_F_4	20	18	90	0.9	Germany	48.18	11.61	520	MU	MU	MU	1.24904577239825	#F6C200	+	+	+	0.066
Gonzalez	S	2	MU	MU18	F	1	Gonzalez_2_MU18_F_1	20	17	85	0.85	Germany	48.18	11.61	520	MU	MU	MU	1.17309691170282	#F6C200	+	+	+	0.066
Gonzalez	S	3	MU	MU18	F	2	Gonzalez_3_MU18_F_2	20	18	90	0.9	Germany	48.18	11.61	520	MU	MU	MU	1.24904577239825	#F6C200	+	+	+	0.066
Gonzalez	S	4	MU	MU18	F	3	Gonzalez_4_MU18_F_3	21	20	95.2	0.9523809524	Germany	48.18	11.61	520	MU	MU	MU	1.35080834944416	#F6C200	+	+	+	0.066
Gonzalez	S	6	YE	YE15	F	4	Gonzalez_6_YE15_F_4	20	20	100	1	Turkey	40.231	32.26	680	YE	YE	YE	1.5707963267949	#132B69	+	+	+	0.066
Gonzalez	S	6	YE	YE15	M	4	Gonzalez_6_YE15_M_4	21	21	100	1	Turkey	40.231	32.26	680	YE	YE	YE	1.5707963267949	#132B69	+	+	+	0.066
Gonzalez	S	6	YE	YE23	F	4	Gonzalez_6_YE23_F_4	20	18	90	0.9	Turkey	40.231	32.26	680	YE	YE	YE	1.24904577239825	#132B69	+	+	+	0.066
Gonzalez	S	5	MU	MU2	F	1	Gonzalez_5_MU2_F_1	20	19	95	0.95	Germany	48.18	11.61	520	MU	MU	MU	1.34528292089677	#F6C200	+	+	+	0.066
Gonzalez	S	6	MU	MU2	F	2	Gonzalez_6_MU2_F_2	20	14	70	0.7	Germany	48.18	11.61	520	MU	MU	MU	0.991156586431192	#F6C200	+	+	+	0.066
Gonzalez	S	7	MU	MU2	F	3	Gonzalez_7_MU2_F_3	19	4	21.1	0.2105263158	Germany	48.18	11.61	520	MU	MU	MU	0.47667961160268	#F6C200	+	+	+	0.066
Gonzalez	S	2	MU	MU20	F	1	Gonzalez_2_MU20_F_1	18	18	100	1	Germany	48.18	11.61	520	MU	MU	MU	1.5707963267949	#F6C200	+	+	+	0.066
Gonzalez	S	3	MU	MU20	F	2	Gonzalez_3_MU20_F_2	20	19	95	0.95	Germany	48.18	11.61	520	MU	MU	MU	1.34528292089677	#F6C200	+	+	+	0.066
