Supervisor.PI	Diet	Batch	Population	Line	Sex	Individual	PercT4	PercT5	PercT6	TotalPerc	PercT4_asin	PercT5_asin	PercT6_asin	TotalPerc_asin	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	Color	StatusT	StatusM	Wolbachia	PC.ratio
Gibert	NS	1	AK	AK3	F	9	11.216	29.353	62.385	31.1226835	0.341502252672115	0.572558269191462	0.91055093896955	0.591825622297127	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK3	F	10	21.056	31.313	49.221	32.69361969	0.476720922200434	0.593879183096208	0.777607848210259	0.608677954568533	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	3	AK	AK4	F	1	32.074	38.093	61.532	41.01826068	0.602057155350263	0.665173011236756	0.901765845741321	0.695090570385467	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	3	AK	AK4	F	2	27.399	51.677	65.425	41.48859501	0.550883864745151	0.802171309173983	0.942206020035143	0.69986759199655	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	3	AK	AK4	F	3	41.77	49.645	75.491	53.89607291	0.70272193025176	0.781848133570855	1.05288593507974	0.824398427271601	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	3	AK	AK4	F	4	28.788	35.128	47.558	36.89030139	0.566336937745562	0.634393076853572	0.760968444605033	0.652750656577259	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	3	AK	AK4	F	5	28.636	31.582	56.845	38.84867684	0.56465707424419	0.596775982824309	0.854063797527049	0.672939145478601	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	3	AK	AK4	F	6	39.49	37.612	47.628	41.29125864	0.679508400552335	0.660214422612129	0.761669257186174	0.69786430120165	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	3	AK	AK4	F	7	42.477	43.651	71.159	51.16574684	0.709881386790375	0.721736295469408	1.00387426950996	0.797056688195855	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	3	AK	AK4	F	8	20.022	45.038	73.272	40.78847698	0.463922552319292	0.735696352565383	1.02746400179443	0.692753731573829	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	3	AK	AK4	F	9	29.609	35.039	47.569	36.8022457	0.57536555550737	0.633460614971116	0.761078575442027	0.651837949904175	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	3	AK	AK4	F	10	33.143	33.429	55.126	38.9930476	0.613459470335481	0.616494043834728	0.836748384192633	0.674419656875982	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK5	F	1	21.332	27.385	37.549	27.67113214	0.4800976420802	0.550726902958117	0.659564039627486	0.553929963721779	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK5	F	2	14.1	12.425	15.24	13.70765702	0.384935834090849	0.360231767886266	0.40104911411788	0.379265786612267	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK5	F	3	20.526	34.745	31.711	28.04072299	0.470190687299826	0.630376446298719	0.59816279197145	0.558052212578954	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK5	F	4	19.601	22.477	20.634	20.97237148	0.458641227614525	0.493940599688422	0.471526379738766	0.475694576247211	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK5	F	5	14.178	9.646	8.754	11.10445054	0.386055162863435	0.315803254208784	0.300367835954151	0.339730926516481	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK5	F	6	22.139	9.372	9.273	14.03842479	0.489881114023696	0.311132779184193	0.30943026524746	0.384050378355425	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK5	F	7	7.042	19.228	32.711	18.98440032	0.268585243917793	0.453926118206041	0.608863196044435	0.450827957652927	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK5	F	8	34.261	35.748	38.568	36.3135635	0.625285732205805	0.640874083843885	0.670057939426896	0.646764312615812	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK5	F	9	19.504	23.309	32.162	25.54102765	0.457418345439347	0.503842328620498	0.60299948142278	0.529823812939179	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK5	F	10	29.571	26.779	15.415	23.98506302	0.574949296191348	0.543908370094951	0.403477975964611	0.511797797381089	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK6	F	1	21.679	44.882	69.559	40.06931056	0.48432051727869	0.734128365693348	0.986354870737457	0.685426499062249	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK6	F	2	15.563	34.88	41.655	28.74633659	0.405523311382618	0.631793395214814	0.701555799824311	0.565876748801436	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK6	F	3	21.741	35.668	53.972	34.33351683	0.485072449567494	0.640039252350425	0.825160059408047	0.626049545868944	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK6	F	4	41.82	34.255	23.231	32.99760109	0.703228801570304	0.625222517401682	0.502919366341561	0.611914205624495	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK6	F	5	18.442	18.797	29.489	21.00831822	0.443874254390875	0.448434188977576	0.574050523038294	0.476135922740645	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK6	F	6	32.654	31.758	55.275	38.21812536	0.608255588338367	0.598667687380188	0.838246510227218	0.666460923366044	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK6	F	7	25.216	35.412	20.639	27.30784932	0.52608935776453	0.637364973025792	0.471588154572092	0.549861474670767	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK6	F	8	38.541	59.745	61.936	50.22283717	0.669780574721691	0.883475910371564	0.905921927629218	0.787626542474376	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK6	F	9	13.258	18.377	5.342	12.57341958	0.372682790243727	0.443035677829655	0.233236577138011	0.362475730964228	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK6	F	10	16.296	13.621	11.483	14.49435779	0.4155389174694	0.378004293238461	0.345711062470902	0.390568930174819	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK7	F	1	23.901	26.797	33.47	27.37123614	0.510812843111408	0.544111597014469	0.616928537454199	0.550572564304146	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK7	F	2	13.109	12.278	1.645	9.608149862	0.370480668260404	0.357997902372177	0.128611821630419	0.315161643914672	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK7	F	3	3.486	12.141	47.777	20.20011066	0.187810482643372	0.355905624056626	0.763160833232933	0.466144327434008	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK7	F	4	13.941	16.215	37.119	21.11253628	0.382646076421713	0.41444123427267	0.655119037885541	0.477413927029753	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK7	F	5	29.558	31.701	1.818	22.46865773	0.574806856085151	0.5980553415798	0.135245153939519	0.493840669108712	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK7	F	6	7.65	25.923	54.055	25.9428652	0.280240041426834	0.534192660362574	0.825992746455957	0.534419294101032	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK7	F	7	18.467	18.952	22.309	19.87222861	0.444196479139766	0.450414740315649	0.491925607444557	0.46204854615007	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK7	F	8	19.17	16.357	6.207	14.10635128	0.453189825603829	0.416364117997532	0.251790620030604	0.385027073876181	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK7	F	9	37.813	28.938	44.986	36.8391538	0.662288014672521	0.567992109564521	0.735173745530847	0.652220561635025	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK7	F	10	23.366	27.937	9.658	20.76484173	0.504516121283689	0.556897024381508	0.316006435325008	0.473141108162187	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK8	F	1	50.856	36.924	41.589	43.70475863	0.793958581600619	0.653099826376434	0.700886334793788	0.722278231402298	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK8	F	2	9.081	17.074	41.157	20.49478996	0.30610498274563	0.425972937207503	0.696500543821558	0.469804211614235	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK8	F	3	37.033	42.962	24.444	35.68858569	0.654228783898553	0.714783655524772	0.517154485817524	0.640254111881161	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK8	F	4	32.297	25.534	9.176	23.82431222	0.604443779590834	0.529743233905355	0.307754213548232	0.509913266734092	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK8	F	5	66.179	43.488	15.314	45.25195601	0.95015346525526	0.720092644587982	0.402077562057608	0.737846072674588	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK8	F	6	32.395	27.303	28.67	29.76090502	0.60549124372827	0.549807052560397	0.565033064015517	0.577028011404392	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK8	F	7	28.652	38.115	37.78	34.28163197	0.56483402723601	0.665399515360583	0.661947723447266	0.625503086311076	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK8	F	8	20.147	30.53	27.115	26.20471947	0.465482587762442	0.585408120518396	0.547694861027201	0.537401444666605	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK8	F	9	45.911	44.88	37.055	42.90310759	0.744462447171811	0.734108260045449	0.654456563688756	0.71418875852591	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK8	F	10	15.879	17.69	35.583	23.01075322	0.409864036742162	0.434100847759433	0.639151786636073	0.500307359508221	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
