"","Supervisor.PI","Batch","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Gibert","1","AK","AK1",0.68,0.05,0.68,0.63,0.73,0.0288675134594813,0.0735294117647059,0.68
"2","Gibert","1","AK","AK10",0.8,0.05,0.8,0.75,0.85,0.0288675134594813,0.0625,0.85
"3","Gibert","1","AK","AK12",0.81,0.0964365076099296,0.85,0.7,0.88,0.0556776436283002,0.119057416802382,0.85
"4","Gibert","1","AK","AK17",0.676666666666667,0.0750555349946514,0.68,0.6,0.75,0.0433333333333333,0.110919509844312,0.68
"5","Gibert","1","AK","AK18",0.593333333333333,0.237977589981354,0.55,0.38,0.85,0.137396425636833,0.40108582581127,0.85
"6","Gibert","1","AK","AK2",0.77,0.138924439894498,0.7,0.68,0.93,0.0802080627701064,0.180421350512335,0.7
"7","Gibert","1","AK","AK20",0.816666666666667,0.0288675134594812,0.8,0.8,0.85,0.0166666666666666,0.0353479756646709,0.8
"8","Gibert","1","AK","AK21",0.753333333333333,0.110151410945722,0.7,0.68,0.88,0.0635959467611297,0.146218687096091,0.68
"9","Gibert","1","AK","AK3",0.636666666666667,0.0750555349946514,0.68,0.55,0.68,0.0433333333333333,0.117888274860709,0.68
"10","Gibert","1","AK","AK7",0.62,0.101488915650922,0.6,0.53,0.73,0.0585946527708231,0.163691799436971,0.53
"11","Gibert","1","GI","GI1",0.793333333333333,0.128970280814354,0.83,0.65,0.9,0.0744610263456289,0.162567580858429,0.9
"12","Gibert","1","GI","GI10",0.676666666666667,0.0251661147842358,0.68,0.65,0.7,0.0145296631451356,0.0371913026368017,0.65
"13","Gibert","1","GI","GI11",0.603333333333333,0.155349069303081,0.65,0.43,0.73,0.0896908269804914,0.257484645253725,0.65
"14","Gibert","1","GI","GI12",0.396666666666667,0.0288675134594813,0.38,0.38,0.43,0.0166666666666667,0.072775244015499,0.38
"15","Gibert","1","GI","GI14",0.426666666666667,0.0642910050732864,0.4,0.38,0.5,0.0371184290855335,0.150682043140515,0.5
"16","Gibert","1","GI","GI15",0.483333333333333,0.0288675134594813,0.5,0.45,0.5,0.0166666666666667,0.0597258899161682,0.5
"17","Gibert","1","GI","GI4",0.46,0.06557438524302,0.45,0.4,0.53,0.0378593889720018,0.14255301139787,0.4
"18","Gibert","1","GI","GI5",0.426666666666667,0.04618802153517,0.4,0.4,0.48,0.0266666666666667,0.108253175473055,0.4
"19","Gibert","1","GI","GI7",0.66,0.06557438524302,0.65,0.6,0.73,0.0378593889720018,0.0993551291560909,0.6
"20","Gibert","1","GI","GI9",0.713333333333333,0.0288675134594812,0.73,0.68,0.73,0.0166666666666666,0.0404684768123569,0.73
"21","Gibert","1","KA","KA10",0.543333333333333,0.0602771377334171,0.55,0.48,0.6,0.0348010216963685,0.110939517300768,0.48
"22","Gibert","1","KA","KA11",0.826666666666667,0.0251661147842358,0.83,0.8,0.85,0.0145296631451356,0.030442880787382,0.85
"23","Gibert","1","KA","KA13",0.67,0.0360555127546399,0.68,0.63,0.7,0.0208166599946613,0.0538141981412536,0.7
"24","Gibert","1","KA","KA15",0.76,0.0360555127546399,0.75,0.73,0.8,0.0208166599946613,0.047441464150842,0.73
"25","Gibert","1","KA","KA16",0.776666666666667,0.0251661147842359,0.78,0.75,0.8,0.0145296631451356,0.0324027228981578,0.78
"26","Gibert","1","KA","KA17",0.77,0.115325625946708,0.73,0.68,0.9,0.0665832811847939,0.14977354019053,0.9
"27","Gibert","1","KA","KA23",0.71,0.101488915650922,0.73,0.6,0.8,0.0585946527708232,0.142942134719609,0.73
"28","Gibert","1","KA","KA24",0.646666666666667,0.0763762615825973,0.63,0.58,0.73,0.0440958551844099,0.118107621004017,0.73
"29","Gibert","1","KA","KA3",0.586666666666667,0.0602771377334171,0.58,0.53,0.65,0.0348010216963685,0.102745121136506,0.53
"30","Gibert","1","KA","KA7",0.793333333333333,0.0814452781524708,0.83,0.7,0.85,0.047022453265553,0.10266211531824,0.83
"31","Gibert","1","MA","MA16",0.676666666666667,0.0680685928555405,0.7,0.6,0.73,0.0392994204085053,0.100593979589469,0.73
"32","Gibert","1","MA","MA18",0.636666666666667,0.169213868619961,0.68,0.45,0.78,0.0976956725983523,0.265780945476378,0.45
"33","Gibert","1","MA","MA20",0.426666666666667,0.04618802153517,0.4,0.4,0.48,0.0266666666666667,0.108253175473055,0.4
"34","Gibert","1","MA","MA27",0.566666666666667,0.284312035153866,0.65,0.25,0.8,0.164147630029935,0.501727120859764,0.65
"35","Gibert","1","MA","MA3",0.786666666666667,0.0115470053837925,0.78,0.78,0.8,0.00666666666666667,0.0146783966743125,0.78
"36","Gibert","1","MA","MA30",0.636666666666667,0.0115470053837925,0.63,0.63,0.65,0.00666666666666667,0.0181366576708783,0.63
"37","Gibert","1","MA","MA32",0.55,0.0866025403784438,0.6,0.45,0.6,0.05,0.157459164324443,0.6
"38","Gibert","1","MA","MA33",0.753333333333333,0.0251661147842359,0.75,0.73,0.78,0.0145296631451356,0.0334063470587202,0.75
"39","Gibert","1","MA","MA9",0.613333333333333,0.125830573921179,0.63,0.48,0.73,0.0726483157256779,0.205158544436705,0.73
"40","Gibert","1","MU","MU1",0.803333333333333,0.0404145188432738,0.78,0.78,0.85,0.0233333333333333,0.0503085296804238,0.78
"41","Gibert","1","MU","MU11",0.62,0.233023603954621,0.55,0.43,0.88,0.134536240470737,0.375844522507453,0.43
"42","Gibert","1","MU","MU15",0.743333333333333,0.110151410945722,0.75,0.63,0.85,0.0635959467611297,0.1481857546355,0.85
"43","Gibert","1","MU","MU16",0.643333333333333,0.0404145188432738,0.65,0.6,0.68,0.0233333333333334,0.0628204956113065,0.65
"44","Gibert","1","MU","MU19",0.743333333333333,0.110151410945722,0.75,0.63,0.85,0.0635959467611297,0.1481857546355,0.85
"45","Gibert","1","MU","MU20",0.693333333333333,0.0513160143944688,0.68,0.65,0.75,0.0296273147243853,0.0740134822997146,0.65
"46","Gibert","1","MU","MU4",0.716666666666667,0.0763762615825973,0.7,0.65,0.8,0.0440958551844099,0.106571527789671,0.65
"47","Gibert","1","MU","MU5",0.82,0.0360555127546399,0.83,0.78,0.85,0.0208166599946613,0.0439701375056584,0.78
"48","Gibert","1","MU","MU8",0.603333333333333,0.0251661147842359,0.6,0.58,0.63,0.0145296631451356,0.0417117924600594,0.6
"49","Gibert","1","MU","MU9",0.703333333333333,0.161658075373095,0.73,0.53,0.85,0.0933333333333333,0.22984560479587,0.85
"50","Gibert","1","RE","RE10",0.71,0.115325625946708,0.75,0.58,0.8,0.066583281184794,0.16243045907987,0.8
"51","Gibert","1","RE","RE11",0.76,0.0964365076099295,0.8,0.65,0.83,0.0556776436283002,0.126890141592013,0.65
"52","Gibert","1","RE","RE12",0.47,0.138924439894498,0.4,0.38,0.63,0.0802080627701064,0.295583914669145,0.4
"53","Gibert","1","RE","RE13",0.613333333333333,0.0288675134594813,0.63,0.58,0.63,0.0166666666666667,0.047066598031763,0.63
"54","Gibert","1","RE","RE15",0.803333333333333,0.196553639837408,0.88,0.58,0.95,0.113480296870328,0.244672580710466,0.58
"55","Gibert","1","RE","RE18",0.81,0.0360555127546399,0.8,0.78,0.85,0.0208166599946613,0.0445129787094319,0.85
"56","Gibert","1","RE","RE3",0.436666666666667,0.110151410945722,0.43,0.33,0.55,0.0635959467611297,0.252255139570356,0.43
"57","Gibert","1","RE","RE6",0.553333333333333,0.141891977691952,0.58,0.4,0.68,0.0819213715162967,0.256431284985455,0.68
"58","Gibert","1","RE","RE7",0.7,0.1,0.7,0.6,0.8,0.0577350269189626,0.142857142857143,0.6
"59","Gibert","1","RE","RE8",0.41,0.115325625946708,0.45,0.28,0.5,0.0665832811847939,0.281282014504166,0.45
"60","Gibert","1","UM","UM17",0.71,0.0529150262212918,0.73,0.65,0.75,0.0305505046330389,0.0745282059454814,0.73
"61","Gibert","1","UM","UM18",0.693333333333333,0.0404145188432738,0.7,0.65,0.73,0.0233333333333333,0.058290171408568,0.7
"62","Gibert","1","UM","UM2",0.86,0.0360555127546399,0.85,0.83,0.9,0.0208166599946613,0.0419250148309767,0.85
"63","Gibert","1","UM","UM20",0.626666666666667,0.136503968196288,0.65,0.48,0.75,0.0788106027835793,0.21782548116429,0.75
"64","Gibert","1","UM","UM23",0.503333333333333,0.116761865920913,0.48,0.4,0.63,0.0674124947205223,0.231977217061417,0.63
"65","Gibert","1","UM","UM25",0.87,0.0529150262212919,0.85,0.83,0.93,0.030550504633039,0.0608218692198757,0.83
