"","Supervisor.PI","Batch","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Gibert","1","AK",0.715666666666667,0.123279422824549,0.7,0.38,0.93,0.0225076402524076,0.172258159512645,0.68
"2","Gibert","1","GI",0.564,0.151056052624457,0.515,0.38,0.9,0.0275789358233675,0.267829880539818,0.65
"3","Gibert","1","KA",0.708333333333333,0.107224654052982,0.73,0.48,0.9,0.0195764539151686,0.151375982192445,0.8
"4","Gibert","1","MA",0.627407407407407,0.147141810002162,0.65,0.25,0.8,0.0283174545379323,0.23452354604831,0.78
"5","Gibert","1","MU",0.709,0.114269795689397,0.715,0.43,0.88,0.0208627149135298,0.161170374738219,0.85
"6","Gibert","1","RE",0.626666666666667,0.176231300467221,0.63,0.28,0.95,0.0321752862014558,0.281220160320033,0.8
"7","Gibert","1","UM",0.71037037037037,0.12792670622369,0.7,0.4,0.93,0.0246195060915964,0.180084518667342,0.65
"8","Gibert","1","VA",0.648333333333333,0.12253312946339,0.65,0.38,0.85,0.0223713863495999,0.188997114853558,0.63
"9","Gibert","1","YE",0.525,0.201096134155816,0.53,0.15,0.85,0.0367149629680751,0.383040255534887,0.5
"10","Gibert","2","AK",0.779259259259259,0.0817089546889035,0.8,0.58,0.9,0.0157248956616138,0.104854647176825,0.8
"11","Gibert","2","GI",0.700555555555556,0.111221677014458,0.675,0.48,0.88,0.0262152006772878,0.158762108347363,0.65
"12","Gibert","2","KA",0.7384375,0.111387419657987,0.75,0.45,0.95,0.0196906999447586,0.150842041009547,0.8
"13","Gibert","2","MA",0.645151515151515,0.15596716826229,0.65,0.23,0.85,0.0271503990571474,0.241752773727364,0.78
"14","Gibert","2","MU",0.729393939393939,0.110480184703508,0.75,0.53,0.98,0.0192321315827392,0.151468470927119,0.8
"15","Gibert","2","RE",0.677,0.0857229318947478,0.65,0.53,0.88,0.0191682302947241,0.126621760553542,0.63
"16","Gibert","2","UM",0.721333333333333,0.113037477255854,0.74,0.45,0.9,0.0206377253788362,0.156706299338061,0.73
"17","Gibert","2","VA",0.624242424242424,0.19175228654162,0.68,0,0.95,0.0333797885653104,0.307175993003565,0.7
"18","Gibert","2","YE",0.51030303030303,0.140055454385148,0.53,0.25,0.8,0.0243805252031767,0.274455462868758,0.68
"19","Gibert","3","AK",0.876666666666667,0.0640832791503889,0.875,0.8,0.98,0.0261618891604648,0.0730987975099493,0.9
"20","Gibert","3","MA",0.81,0.0360555127546399,0.8,0.78,0.85,0.0208166599946613,0.0445129787094319,0.78
"21","Grath","1","AK",0.691205673765957,0.114142307851349,0.7,0.475,0.925,0.0166493667642872,0.165135085233687,0.65
"22","Grath","1","MU",0.61603333334,0.164124106160281,0.6125,0.125,0.975,0.0232106536844231,0.26642082055923,0.6
"23","Grath","1","RE",0.63583333334,0.131106511035088,0.6375,0.275,0.925,0.0185412606021239,0.206196347628383,0.6
"24","Hoedjes","1","AK",0.710666666666667,0.112787199543886,0.73,0.5,0.88,0.0291215296999229,0.158706190727795,0.7
"25","Hoedjes","1","GI",0.65,0.151657508881031,0.63,0.35,0.88,0.0391578004149024,0.233319244432355,0.63
"26","Hoedjes","1","KA",0.662,0.130996183150503,0.65,0.35,0.85,0.0338230690505755,0.19787943074094,0.63
"27","Hoedjes","1","MA",0.687333333333333,0.079234432149762,0.68,0.53,0.83,0.0204582424108153,0.115278029315852,0.65
"28","Hoedjes","1","MU",0.762,0.114092694144467,0.78,0.6,0.95,0.0294586069563638,0.149727945071479,0.65
"29","Hoedjes","1","RE",0.575333333333333,0.104462342269264,0.55,0.43,0.8,0.026972060794312,0.181568381696288,0.48
"30","Hoedjes","1","UM",0.611333333333333,0.190520590063371,0.58,0.33,0.95,0.0491922048283365,0.31164763914401,0.58
"31","Hoedjes","1","VA",0.681333333333333,0.174104511579628,0.7,0.3,0.9,0.0449535915898318,0.255534997426069,0.65
"32","Hoedjes","1","YE",0.548,0.2270997263633,0.6,0.1,0.85,0.0586368972088881,0.414415559057117,0.68
"33","Hoedjes","2","AK",0.769333333333333,0.126517455976109,0.78,0.55,0.95,0.0326666666666667,0.164450766000142,0.73
"34","Hoedjes","2","GI",0.648666666666667,0.12170612536919,0.68,0.38,0.85,0.0314243864457536,0.187625064803479,0.6
"35","Hoedjes","2","KA",0.762,0.12078315871251,0.73,0.58,1,0.0311860774797253,0.158508082299882,0.7
"36","Hoedjes","2","MA",0.741333333333333,0.0989131413099873,0.75,0.55,0.93,0.0255392632676428,0.133425999968508,0.75
"37","Hoedjes","2","MU",0.713333333333333,0.129651547655721,0.73,0.48,0.9,0.0334758856587084,0.181754506059423,0.73
"38","Hoedjes","2","RE",0.616666666666667,0.169312334656004,0.63,0.28,0.88,0.04371625682868,0.274560542685412,0.7
"39","Hoedjes","2","UM",0.672666666666667,0.151538145441369,0.73,0.38,0.95,0.0391269809073053,0.225279700854364,0.73
"40","Hoedjes","2","VA",0.675333333333333,0.119753715520448,0.7,0.43,0.8,0.030920276390477,0.177325343811127,0.7
"41","Hoedjes","2","YE",0.508666666666667,0.113002317717487,0.5,0.25,0.68,0.029177072973511,0.222153966679201,0.5
"42","Hoedjes","3","AK",0.812,0.070325772556825,0.83,0.68,0.93,0.0181580363947836,0.0866080942818042,0.78
"43","Hoedjes","3","GI",0.494444444444444,0.0845740963757685,0.48,0.38,0.65,0.0281913654585895,0.171048734243127,0.48
"44","Hoedjes","3","KA",0.706666666666667,0.153839743456191,0.78,0.45,0.93,0.0397212509593766,0.217697750173855,0.83
"45","Hoedjes","3","MA",0.704,0.126083872311818,0.75,0.4,0.85,0.0325547158459343,0.179096409533833,0.78
"46","Hoedjes","3","MU",0.758,0.113590744089724,0.8,0.53,0.9,0.0293290040095206,0.149855862915203,0.8
"47","Hoedjes","3","RE",0.678,0.125311041583961,0.7,0.4,0.88,0.032355171810039,0.184824545109087,0.78
"48","Hoedjes","3","UM",0.768,0.0829113123420786,0.75,0.65,0.93,0.0214076087942048,0.107957437945415,0.75
"49","Hoedjes","3","VA",0.725333333333333,0.116733314296591,0.73,0.58,0.95,0.0301404121478862,0.160937473754491,0.85
"50","Hoedjes","3","YE",0.559333333333333,0.122151350303435,0.55,0.35,0.8,0.0315393430294634,0.218387396251671,0.55
"51","Hoedjes","4","AK",0.806,0.125117088018726,0.78,0.65,1,0.032305093214833,0.155232119129933,0.83
"52","Hoedjes","4","GI",0.531666666666667,0.117203526681865,0.515,0.4,0.73,0.0478481394042072,0.220445504730781,0.55
"53","Hoedjes","4","KA",0.742,0.173707471670869,0.75,0.33,0.98,0.0448510763262048,0.234107104677721,0.83
"54","Hoedjes","4","MA",0.701333333333333,0.125235017162971,0.7,0.48,0.93,0.0323355423889457,0.178567039681042,0.58
"55","Hoedjes","4","MU",0.724666666666667,0.121588689950215,0.73,0.48,0.93,0.0313940647509573,0.167785680704069,0.63
"56","Hoedjes","4","UM",0.691666666666667,0.103037210107158,0.68,0.58,0.83,0.0420647648804132,0.148969460395891,0.73
"57","Hoedjes","4","VA",0.641333333333333,0.184385724062616,0.68,0.3,0.95,0.0476081892381939,0.287503727748362,0.63
"58","Hoedjes","4","YE",0.622666666666667,0.137968250315926,0.63,0.45,0.83,0.0356232490519306,0.221576419136927,0.48
"59","Schmidt","1","AK",0.62515654605,0.181740470684359,0.6533333335,0.238095238,0.913043478,0.0406384046713034,0.290711937406192,0.913043478
"60","Schmidt","1","GI",0.481290367933333,0.335825993432586,0.5,0,1,0.0867098986525311,0.697761716850114,0
"61","Schmidt","1","KA",0.76034235385,0.209983995915474,0.8170995675,0.428571429,1,0.0469538489054038,0.276170326238198,1
"62","Schmidt","1","MA",0.6326332995,0.225548529827922,0.672619048,0.178571429,0.956521739,0.0531622983093267,0.356523328769105,0.666666667
"63","Schmidt","1","MU",0.57261213135,0.218642420097111,0.5104166665,0.227272727,1,0.0488899314102206,0.381833370490485,1
"64","Schmidt","1","RE",0.629822488066667,0.22005721927354,0.709677419,0.310344828,1,0.0568185296972756,0.349395620897943,0.375
"65","Schmidt","1","UM",0.710661793214286,0.178178193962693,0.7408536585,0.433333333,0.95,0.0476201254001823,0.250721504468114,0.92
"66","Schmidt","1","VA",0.58372051505,0.208770168063484,0.5773255815,0.285714286,1,0.0466824287464006,0.357654327166489,0.55
"67","Schmidt","1","YE",0.5377345183,0.207858536734889,0.508064516,0.227272727,1,0.0464785817842848,0.386544902105252,0.5
"68","StamenkovicRadak","1","AK",0.650833333333333,0.126739412922259,0.615,0.44,0.9,0.0365865170838006,0.194734053145596,0.6
"69","StamenkovicRadak","1","GI",0.591666666666667,0.125758305948957,0.56,0.43,0.78,0.0363032958962309,0.212549249491195,0.73
"70","StamenkovicRadak","1","KA",0.668666666666667,0.114009189270406,0.68,0.5,0.95,0.0294370460905928,0.170502277074386,0.68
"71","StamenkovicRadak","1","MA",0.621111111111111,0.0953210947855254,0.65,0.5,0.75,0.0317736982618418,0.153468667812116,0.7
"72","StamenkovicRadak","1","MU",0.669166666666667,0.107657565991209,0.69,0.55,0.88,0.0310780623526622,0.160883037595829,0.55
