Model	Trait	Sex	Population	Line	Coef_Gonzalez	Coef_Kozeretska	Coef_Vieira	SE_Gonzalez	SE_Kozeretska	SE_Vieira
lmer_pop	CSM	F	AK	AK1	1.13726391726312	0.869561754063472	1.40357489731458	0.101520176719926	0.202784391143958	0.105182506110489
lmer_pop	CSM	F	AK	AK10	1.27326391726312	0.846561754063472	1.24757489731458	0.102368678223591	0.203480980171676	0.105182506110489
lmer_pop	CSM	F	AK	AK11	1.48826391726312	0.915561754063472	1.35757489731458	0.101520176719926	0.202784391143958	0.105182506110489
lmer_pop	CSM	F	AK	AK12	1.32726391726312	0.923561754063472	1.38357489731458	0.0899685849685604	0.203480980171676	0.105182506110489
lmer_pop	CSM	F	AK	AK13	1.40126391726312	0.989561754063472	0.899574897314575	0.0956626692145117	0.202784391143958	0.105182506110489
lmer_pop	CSM	F	AK	AK14	1.40426391726312	0.927561754063472	1.50257489731458	0.0899685849685604	0.202784391143958	0.104299374838409
lmer_pop	CSM	F	AK	AK15	1.27326391726312	0.962561754063472	1.11057489731458	0.102368678223591	0.212029500993673	0.104299374838409
lmer_pop	CSM	F	AK	AK16	1.37426391726312	0.798561754063472	1.30857489731458	0.101520176719926	0.196632930333721	0.105182506110489
lmer_pop	CSM	F	AK	AK17	1.29926391726312	0.806561754063472	1.14357489731458	0.080686716882304	0.202784391143958	0.105182506110489
lmer_pop	CSM	F	AK	AK18	1.07426391726312	NA	1.11057489731458	0.102368678223591	NA	0.104299374838409
lmer_pop	CSM	F	AK	AK2	1.22526391726312	0.995561754063472	1.26457489731458	0.101520176719926	0.212029500993673	0.104299374838409
lmer_pop	CSM	F	AK	AK20	1.46426391726312	0.842561754063472	1.39757489731458	0.101520176719926	0.202784391143958	0.105182506110489
lmer_pop	CSM	F	AK	AK21	1.43726391726312	0.917561754063472	NA	0.101520176719926	0.212029500993673	NA
lmer_pop	CSM	F	AK	AK3	1.34926391726312	0.817561754063472	1.44157489731458	0.0956626692145117	0.202784391143958	0.104299374838409
lmer_pop	CSM	F	AK	AK4	1.38126391726312	0.923561754063472	1.13557489731458	0.101520176719926	0.202784391143958	0.105182506110489
lmer_pop	CSM	F	AK	AK5	1.29226391726312	0.909561754063472	1.14157489731458	0.101520176719926	0.202784391143958	0.105182506110489
lmer_pop	CSM	F	AK	AK6	1.21826391726312	0.962561754063472	1.34157489731458	0.102368678223591	0.212029500993673	0.105182506110489
lmer_pop	CSM	F	AK	AK7	1.40526391726312	0.690561754063472	1.37057489731458	0.0899685849685604	0.202784391143958	0.105182506110489
lmer_pop	CSM	F	AK	AK8	1.43426391726312	0.816561754063472	1.31257489731458	0.101520176719926	0.202784391143958	0.105182506110489
lmer_pop	CSM	F	AK	AK9	1.20526391726312	0.888561754063472	1.05357489731458	0.101520176719926	0.212029500993673	0.104299374838409
lmer_pop	CSM	F	GI	GI1	0.983166805375293	0.71601651924379	1.26691982579104	0.105362528779405	0.216318289021081	0.11073226484371
lmer_pop	CSM	F	GI	GI10	1.03316680537529	NA	0.992919825791045	0.105362528779405	NA	0.11073226484371
lmer_pop	CSM	F	GI	GI11	1.20516680537529	0.83101651924379	1.32891982579104	0.105362528779405	0.216318289021081	0.11073226484371
lmer_pop	CSM	F	GI	GI12	1.33716680537529	NA	1.04591982579104	0.10453833015115	NA	0.11073226484371
