Model	Trait	Sex	Population	Line	Estimate_Gonzalez	Estimate_Kozeretska	Estimate_Vieira	SE_Gonzalez	SE_Kozeretska	SE_Vieira
lmer_pop	CSM	M	VA	VA6	-0.037	0.022	-0.256	0.1	0.071	0.112
lmer_pop	CSM	M	VA	VA66	-0.17	-0.051	-0.085	0.071	0.071	0.116
lmer_pop	CSM	M	VA	VA67	0.09	0.024	0.161	0.084	0.071	0.119
lmer_pop	CSM	M	VA	VA71	0.055	0.008	-0.098	0.1	0.071	0.119
lmer_pop	CSM	M	VA	VA9	-0.181	-0.013	-0.191	0.1	0.071	0.112
lmer_pop	CSM	M	YE	YE11	0.023	NA	0.011	0.102	NA	0.116
lmer_pop	CSM	M	YE	YE13	-0.066	0.018	-0.011	0.1	0.071	0.114
lmer_pop	CSM	M	YE	YE14	-0.135	-0.01	-0.336	0.1	0.071	0.114
lmer_pop	CSM	M	YE	YE15	0.154	NA	0.111	0.084	NA	0.114
lmer_pop	CSM	M	YE	YE19	0.144	0.023	0.171	0.1	0.071	0.114
lmer_pop	CSM	M	YE	YE20	-0.034	-0.001	-0.23	0.091	0.072	0.114
lmer_pop	CSM	M	YE	YE21	-0.16	0.01	-0.227	0.084	0.072	0.114
lmer_pop	CSM	M	YE	YE22	0.065	-0.004	0.235	0.101	0.071	0.114
lmer_pop	CSM	M	YE	YE23	0.171	NA	0.101	0.084	NA	0.112
lmer_pop	CSM	M	YE	YE24	-0.163	NA	-0.222	0.1	NA	0.112
lmer_pop	CSM	M	YE	YE26	0.02	-0.003	-0.004	0.1	0.072	0.112
lmer_pop	CSM	M	YE	YE27	-0.089	-0.039	0.06	0.084	0.071	0.112
lmer_pop	CSM	M	YE	YE33	-0.006	-0.017	0.148	0.1	0.071	0.113
lmer_pop	CSM	M	YE	YE40	0.161	0.029	0.214	0.1	0.071	0.113
lmer_pop	CSM	M	YE	YE41	0.148	NA	-0.057	0.091	NA	0.115
lmer_pop	CSM	M	YE	YE48	-0.009	-0.011	-0.1	0.1	0.071	0.115
lmer_pop	CSM	M	YE	YE49	-0.03	-0.022	0.134	0.1	0.071	0.115
lmer_pop	CSM	M	YE	YE51	0.026	0.019	0	0.091	0.072	0.115
lmer_pop	CSM	M	YE	YE69	0.126	NA	0.05	0.1	NA	0.115
lmer_pop	CSM	M	YE	YE80	-0.345	0.008	-0.049	0.1	0.071	0.115
lmer_pop	CSM	M	AK	AK19	NA	NA	0.169	NA	NA	0.113
lmer_pop	CSM	M	KA	KA23	NA	NA	0.117	NA	NA	0.115
lmer_pop	CSM	M	KA	KA24	NA	NA	0.131	NA	NA	0.115
lmer_pop	CSM	M	KA	KA25	NA	NA	-0.089	NA	NA	0.115
lmer_pop	CSM	M	KA	KA28	NA	NA	0.306	NA	NA	0.115
lmer_pop	CSM	M	KA	KA29	NA	NA	-0.044	NA	NA	0.118
lmer_pop	CSM	M	RE	RE9	NA	NA	-0.357	NA	NA	0.118
lmer_pop	CSM	M	UM	UM24	NA	NA	0.026	NA	NA	0.119
lmer_pop	CSM	M	UM	UM25	NA	NA	-0.241	NA	NA	0.113
lmer_pop	CSM	M	UM	UM28	NA	NA	0.127	NA	NA	0.119
lmer_pop	CSM	M	UM	UM6	NA	NA	0.408	NA	NA	0.112
lmer_pop	CSM	M	UM	UM8	NA	NA	0.407	NA	NA	0.113
