"","Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"41","Tauber","1","M","RE","RE2",1.020201125,0.286468470376478,0.970059,0.716814,1.564516,0.101281898999673,0.280796073790331,0.843137
"42","Tauber","1","M","RE","RE3",0.598056714285714,0.183763193428131,0.6,0.352941,0.833333,0.0694559585625563,0.307267168879807,0.8125
"43","Tauber","1","M","RE","RE4",0.8620466,0.0783411457396431,0.85124,0.785124,0.958333,0.035035225461812,0.0908780867990699,0.785124
"44","Tauber","1","M","RE","RE6",0.955166846153846,0.0471316436074642,0.974359,0.859504,1,0.013071965978739,0.0493438856229657,1
"45","Tauber","1","M","RE","RE7",0.883815,0.177051052727737,0.883815,0.758621,1.009009,0.125194,0.200325919709144,1.009009
"46","Tauber","1","M","RE","RE8",0.979132,0.0176281720549806,0.979132,0.966667,0.991597,0.0124649999999999,0.0180038769593687,0.966667
"47","Tauber","1","M","UM","UM13",0.522222,NA,0.522222,0.522222,0.522222,NA,NA,0.522222
"48","Tauber","1","M","UM","UM18",0.7849415,0.363684109447334,0.7849415,0.527778,1.042105,0.2571635,0.463326387313365,0.527778
"49","Tauber","1","M","UM","UM2",0.848032,0.163595106442705,0.931034,0.659574,0.953488,0.0944516787428013,0.192911477919118,0.931034
"50","Tauber","1","M","UM","UM4",0.832536,0.190103310395515,0.752137,0.59375,1.037736,0.0718522975309502,0.228342450531286,0.671233
"51","Tauber","1","M","UM","UM5",1.056682,0.430461746476302,0.9662955,0.711111,2.057692,0.152191209987399,0.4073711357592,2.057692
"52","Tauber","1","M","UM","UM6",0.997836333333333,0.151405095463572,1,0.845361,1.148148,0.0874137726225742,0.151733395954619,1
"53","Tauber","1","M","UM","UM7",1.0678655,0.328631935321265,1.005757,0.76699,1.492958,0.164315967660632,0.307746561080272,1.155844
"54","Tauber","1","M","UM","UM9",0.608179545454545,0.150807469019517,0.615385,0.347222,0.888889,0.0454701627564442,0.24796537494007,0.615385
"55","Tauber","1","M","VA","VA11",0.736799625,0.157966732921784,0.739122,0.417722,1,0.0558496740254388,0.214395783550763,0.730769
"56","Tauber","1","M","VA","VA15",0.91699,0.156862065564623,0.9610745,0.655172,1.106796,0.0640386701053876,0.17106191514043,0.991736
"57","Tauber","1","M","VA","VA18",0.71009275,0.12104851354342,0.719017,0.522936,0.912281,0.0427971123895518,0.170468595184812,0.666667
"58","Tauber","1","M","VA","VA22",0.927149125,0.401370509707298,0.860871,0.372093,1.772727,0.141905904591166,0.432908254869246,0.785124
"59","Tauber","1","M","VA","VA26",0.5024755,0.184522332065796,0.5207405,0.263158,0.705263,0.0922611660328982,0.367226525603331,0.263158
"60","Tauber","1","M","VA","VA34",1.0966975,0.151330043562077,1.0966975,0.989691,1.203704,0.1070065,0.137987041606347,0.989691
"61","Tauber","1","M","VA","VA6",0.543005833333333,0.225071510841703,0.5225055,0.265306,0.876289,0.0918850595332439,0.414491883927035,0.508929
"62","Tauber","1","M","VA","VA9",0.629979571428571,0.264358698947003,0.594059,0.252632,0.972603,0.0999181963329091,0.419630589524564,0.594059
"63","Tauber","1","M","YE","YE13",1.2688292,0.884021962450381,1.021799,0.785124,3.75,0.279552290295505,0.696722586814979,1.107843
"64","Tauber","1","M","YE","YE14",0.942875,0.145958777661518,0.9205185,0.735849,1.290909,0.0461562181904502,0.154801832333573,0.834783
"65","Tauber","1","M","YE","YE15",0.971241666666667,0.0813721365521802,1.00021,0.815126,1.035714,0.0332200356388196,0.0837815544214161,0.958333
"66","Tauber","1","M","YE","YE19",0.977325571428571,0.0407046090381959,0.99115,0.913793,1.037037,0.0153848961041683,0.0416489757642352,0.966387
"67","Tauber","1","M","YE","YE20",0.980716333333333,0.0207982706572766,0.983471,0.958678,1,0.0120078871626573,0.0212072236898368,0.983471
"68","Tauber","1","M","YE","YE21",1.858682,0.0779387236359437,1.858682,1.803571,1.913793,0.055111,0.0419322528737803,1.803571
