"","Supervisor.PI","Batch","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Kozeretska","1","F","AK",940.289473684211,60.5927222458949,944,735,1112,3.10834106590984,0.0644404983164201,948
"2","Kozeretska","1","F","GI",931.272222222222,59.3913101026112,940,747,1088,4.42676688874029,0.0637743816312811,952
"3","Kozeretska","1","F","KA",905.366666666667,62.046808262961,908,723,1052,4.00510425146288,0.0685322428441084,952
"4","Kozeretska","1","F","MA",972,64.8993320754136,972,787,1124,3.51966045481112,0.0667688601598905,956
"5","Kozeretska","1","F","MU",952.902941176471,64.9035544308217,960,743,1084,3.51988944418406,0.0681114010947334,980
"6","Kozeretska","1","F","RE",965.722727272727,58.1404411458806,966,799,1096,3.91982774241049,0.0602040725603233,936
"7","Kozeretska","1","F","UM",939.325,59.8764645264239,944,767,1100,3.86500916567698,0.0637441402351943,948
"8","Kozeretska","1","F","VA",962.973045822102,55.7582070182236,964,795,1080,2.89482187111122,0.0579021471682233,964
"9","Kozeretska","1","F","YE",957.434615384615,62.5076949228007,964,707,1116,3.8765626747664,0.0652866461253758,976
"10","Kozeretska","1","M","AK",838.752631578947,52.5415967229429,843,639,968,2.69532704108638,0.0626425417277483,827
"11","Kozeretska","1","M","GI",833.705555555556,54.6655342913104,839,627,976,4.07452835672386,0.065569353505007,851
"12","Kozeretska","1","M","KA",803.391666666667,52.1133774991164,811,631,956,3.36390405281164,0.064866714034188,811
"13","Kozeretska","1","M","MA",870.845697329377,58.5420071061393,876,699,1004,3.18898633049266,0.0672243168745853,908
"14","Kozeretska","1","M","MU",851.576470588235,59.5345518716867,863,671,988,3.22871439838838,0.0699109873603748,871
"15","Kozeretska","1","M","RE",865.222727272727,51.9793639402508,865,727,972,3.50444800194439,0.0600762812878196,835
"16","Kozeretska","1","M","UM",831.1875,59.2118585636414,835,651,948,3.82210903524953,0.0712376672695888,823
"17","Kozeretska","1","M","VA",861.421621621622,55.8400791223258,863,683,1197,2.90298748095149,0.0648231687256783,896
"18","Kozeretska","1","M","YE",848.507692307692,57.5879714695218,855,651,980,3.57145437837652,0.0678697105419273,859
"19","Kozeretska","2","F","AK",931.776666666667,52.08007844456,924,803,1056,3.00684473093836,0.0558933060975556,900
"20","Kozeretska","2","F","GI",941.164285714286,53.5560770741515,942,815,1056,4.52631464057875,0.0569040685957455,988
"21","Kozeretska","2","F","KA",917.879166666667,61.0295729067239,916,759,1126,3.93944199156488,0.0664897680686625,944
"22","Kozeretska","2","F","MA",952.826254826255,59.404120568951,956,771,1153,3.69119244974362,0.0623451760150996,956
"23","Kozeretska","2","F","MU",929.28,69.1765343863004,928,683,1096,3.99390907495359,0.0744410020513735,940
"24","Kozeretska","2","F","RE",958.527272727273,61.5905924576636,960,719,1100,4.15243689639864,0.0642554408310381,988
"25","Kozeretska","2","F","UM",944.668181818182,57.1081956897954,950,735,1076,3.85023376795839,0.060453180057235,964
"26","Kozeretska","2","F","VA",954.461111111111,61.9383612992248,956,791,1096,3.26443827073294,0.0648935410549318,952
"27","Kozeretska","2","F","YE",943.46,63.8551155264359,940,755,1088,4.51523852021932,0.0676818471651537,884
