"","Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"404","Schmidt","F","KA","KA14",1026.69944377273,31.8527915719018,1027.913833,983.0100256,1070.198678,9.60397801539936,0.031024455857164,1051.416988
"405","Schmidt","F","KA","KA16",987.63684473,48.5300221110667,994.4394447,880.0633577,1046.945583,15.3465404769304,0.049137516861609,990.4359929
"406","Schmidt","F","KA","KA17",1047.8029942,29.8668298211979,1041.276887,1018.206775,1113.017376,9.44472087236248,0.0285042417196004,1028.09312
"407","Schmidt","F","KA","KA18",1030.89983805,32.8825339846367,1025.7150515,975.3020586,1074.06875,10.3983702629344,0.0318969241927865,975.3020586
"408","Schmidt","F","KA","KA2",1018.50466307,47.9215402919388,1024.4877875,913.0736838,1059.655938,15.1541216306057,0.0470508796174704,1049.810125
"409","Schmidt","F","KA","KA23",1009.5001315,52.8494970861372,1007.0373775,926.3186147,1082.256901,16.7124783986626,0.0523521448259833,1082.256901
"410","Schmidt","F","KA","KA24",1017.14252654,23.0589806468353,1028.614586,982.7106219,1039.993218,7.29188993657423,0.0226703535101169,1039.993218
"411","Schmidt","F","KA","KA25",1032.13235502,34.6525478632806,1035.674524,950.4162962,1074.620892,10.9580977975968,0.0335737443892156,1046.294466
"412","Schmidt","F","KA","KA28",976.37385386,54.8777652716292,953.6027828,893.4925629,1061.863587,17.3538731158437,0.0562056890961133,954.6357462
"413","Schmidt","F","KA","KA29",1034.60857743,21.7728371798926,1038.850954,996.2595003,1069.728232,6.88517566124579,0.0210445164044329,1036.018286
"414","Schmidt","F","KA","KA3",1012.74884038,49.9776594152717,1021.0545525,911.742855,1078.614388,15.8043235876417,0.0493485229729014,984.9790901
"415","Schmidt","F","KA","KA5",1016.22027353,29.1145736656498,1024.5545695,961.7800164,1060.428846,9.20683658882109,0.0286498650184529,986.3320139
"416","Schmidt","F","KA","KA6",985.87868285,28.6886172731013,983.49124385,940.9829754,1034.966799,9.07213735038491,0.0290995411222075,968.6717669
"417","Schmidt","F","KA","KA7",988.99036579,22.4152505657037,983.1329677,950.8561868,1026.375806,7.08832461110015,0.022664781519685,977.3722288
"418","Schmidt","F","KA","KA9",987.70789632,35.6313479709972,983.1236963,935.1547637,1047.982095,11.267621569037,0.0360747829431681,981.501048
"419","Schmidt","F","MA","MA12",1011.612,28.262415089066,1012.18,954.13,1066.62,8.93736038585591,0.0279379990441652,1024.74
"420","Schmidt","F","MA","MA13",986.926,43.409814609653,1003.305,905.8,1033.16,13.7273886972157,0.0439848728371256,1003.02
"421","Schmidt","F","MA","MA18",979.554,37.1160762413749,982.435,929.87,1038.04,11.7371338731206,0.0378907913615532,999.51
"422","Schmidt","F","MA","MA19",1029.554,35.1116885254912,1023.215,973.74,1082.77,11.1032908234951,0.0341037852560344,973.74
"423","Schmidt","F","MA","MA20",1029.81,31.9422780183255,1028.9,985.66,1085.62,10.6474260061085,0.0310176421071125,1000.92
"424","Schmidt","F","MA","MA21",1025.939,28.0080256156854,1023.17,981.47,1080.98,8.85691537099056,0.0272998936736837,1040.83
"425","Schmidt","F","MA","MA23",1009.429,21.992241283386,1009.795,975.91,1037.04,6.95455733074842,0.0217868134196521,1008.29
"426","Schmidt","F","MA","MA26",1015.81,23.1750699387654,1022.945,963.81,1038.03,7.32860059401976,0.0228143746751513,1037.15
"427","Schmidt","F","MA","MA27",971.145,70.8852050854055,984.735,884.4,1030.71,35.4426025427028,0.0729913710984513,1027.35
"428","Schmidt","F","MA","MA28",1037.563,36.0692636310875,1038.475,961.42,1096.19,11.4061026599312,0.0347634443702093,1034.98
"429","Schmidt","F","MA","MA3",1047.009,24.9850686299727,1054.385,997.97,1077.43,7.90097243663363,0.0238632797139019,1012
"430","Schmidt","F","MA","MA30",1024.55111111111,30.6225931480518,1027.39,963.54,1064.52,10.2075310493506,0.0298887901403397,1064.52
"431","Schmidt","F","MA","MA31",999.422,40.1701228941776,1007.335,936.35,1043.17,12.7029082234476,0.0401933546531672,1031.72
"432","Schmidt","F","MA","MA32",1011.795,20.2434588886825,1012.455,975.74,1036.79,6.40154378082176,0.0200074707709393,1036.79
"433","Schmidt","F","MA","MA33",1006.467,32.2450657896333,1016.03,939.52,1052.27,10.1967851197217,0.0320378768401083,1031.37
"434","Schmidt","F","MA","MA5",1017.319,42.2087101200688,1033.36,928.93,1054.36,13.3475661077217,0.0414901423447992,1033.48
"435","Schmidt","F","MA","MA6",1023.637,30.0395099272053,1019.36,983.5,1066.63,9.49932711652077,0.0293458617920272,1066.45
"436","Schmidt","F","MA","MA7",1031.221,38.1895801524738,1026.49,974.2,1117.08,12.0766056167378,0.0370333615708697,1032.08
"437","Schmidt","F","MA","MA9",1013.777,41.3530660021452,1022.43,946.74,1100.48,13.0769876798052,0.0407910871938752,1031.1
"438","Schmidt","F","MU","MU1",974.903,53.640065260131,981.625,864.66,1044.79,16.9624780062086,0.0550209254255357,965.97
"439","Schmidt","F","MU","MU10",992.388,44.0749275665883,995.59,920.16,1064.22,13.9377158817362,0.0444129993173922,985.7
"440","Schmidt","F","MU","MU11",999.229,19.3903609788185,998.24,970.07,1025.71,6.13177053459185,0.0194053224824525,990.67
"441","Schmidt","F","MU","MU12",998.278,35.3038517885954,1007.81,927.46,1037.65,11.1640581828971,0.0353647498879024,1015.22
"442","Schmidt","F","MU","MU13",989.062,50.9831520755196,1004.695,881.61,1056.95,16.1222882853383,0.0515469728647138,1003.12
"443","Schmidt","F","MU","MU14",992.229,39.5728465968494,981.225,961.2,1091.02,12.5140328742487,0.0398827756463976,1000.07
"444","Schmidt","F","MU","MU15",1004.226,47.4603999140336,1016.035,883.24,1051.8,15.0082962390806,0.0472606762960067,1025.16
"445","Schmidt","F","MU","MU16",1017.58,27.8889297033788,1017.03,971.16,1067.39,8.8192539367001,0.0274071126627673,1023.62
"446","Schmidt","F","MU","MU17",988.79,28.184047497358,991.8,929.11,1030.06,8.91257837740198,0.0285035725455941,1030.06
