Supervisor.PI	Diet	Batch	Population	Line	Sex	ReplicateVialOld	ReplicateVial	Individual	CCRT_seconds	Censor	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	Color	StatusT	StatusM	Wolbachia	PC.ratio
Vieira	S	5	GI	GI1	M	1	Vieira_5_GI1_M_1	1	1057	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	-	-	-	0.094
Vieira	S	8	MU	MU4	F	1	Vieira_8_MU4_F_1	5	1057	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	23	VA	VA46	M	1	Vieira_23_VA46_M_1	6	1057	0	Russia	57.979	33.244	217	VA	VA	VA	#095888	+	+	+	0.094
Vieira	S	7	RE	RE8	F	1	Vieira_7_RE8_F_1	2	1058	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	+	+	+	0.094
Vieira	S	2	RE	RE10	F	1	Vieira_2_RE10_F_1	2	1059	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	+	+	+	0.094
Vieira	S	2	RE	RE5	F	1	Vieira_2_RE5_F_1	3	1059	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	-	-	-	0.094
Vieira	S	8	GI	GI7	F	1	Vieira_8_GI7_F_1	3	1062	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	+	+	+	0.094
Vieira	S	18	MA	MA6	F	1	Vieira_18_MA6_F_1	2	1062	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	-	-	-	0.094
Vieira	S	20	MA	MA26	M	1	Vieira_20_MA26_M_1	1	1063	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	9	MU	MU15	F	1	Vieira_9_MU15_F_1	2	1063	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	23	YE	YE11	F	1	Vieira_23_YE11_F_1	1	1063	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	-	-	-	0.094
Vieira	S	25	YE	YE33	F	1	Vieira_25_YE33_F_1	2	1063	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	7	AK	AK16	F	1	Vieira_7_AK16_F_1	5	1064	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	14	KA	KA2	F	1	Vieira_14_KA2_F_1	3	1068	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	11	RE	RE18	F	1	Vieira_11_RE18_F_1	6	1069	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	-	-	-	0.094
Vieira	S	20	MA	MA26	M	1	Vieira_20_MA26_M_1	3	1070	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	7	AK	AK16	F	1	Vieira_7_AK16_F_1	6	1071	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	15	KA	KA1	M	1	Vieira_15_KA1_M_1	1	1071	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	3	RE	RE4	F	1	Vieira_3_RE4_F_1	3	1071	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	-	-	-	0.094
Vieira	S	18	MA	MA5	M	1	Vieira_18_MA5_M_1	3	1072	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	19	MA	MA31	F	1	Vieira_19_MA31_F_1	2	1073	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	-	-	-	0.094
Vieira	S	5	GI	GI13	F	1	Vieira_5_GI13_F_1	1	1074	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	+	+	+	0.094
Vieira	S	9	MU	MU20	F	1	Vieira_9_MU20_F_1	4	1074	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	1	UM	UM6	F	1	Vieira_1_UM6_F_1	3	1074	0	Ukraine	48.753	30.206	214	UM	UM	UM	#0086A8	-	-	-	0.094
Vieira	S	6	GI	GI12	F	1	Vieira_6_GI12_F_1	6	1077	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	+	+	+	0.094
Vieira	S	19	MA	MA32	M	1	Vieira_19_MA32_M_1	1	1079	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	8	UM	UM2	M	1	Vieira_8_UM2_M_1	4	1079	0	Ukraine	48.753	30.206	214	UM	UM	UM	#0086A8	+	+	+	0.094
Vieira	S	22	YE	YE19	F	1	Vieira_22_YE19_F_1	3	1079	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	8	GI	GI7	M	1	Vieira_8_GI7_M_1	6	1080	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	+	+	+	0.094
Vieira	S	15	KA	KA13	M	1	Vieira_15_KA13_M_1	4	1080	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	23	YE	YE11	M	1	Vieira_23_YE11_M_1	6	1080	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	-	-	-	0.094
Vieira	S	7	AK	AK4	F	1	Vieira_7_AK4_F_1	4	1081	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	15	KA	KA13	F	1	Vieira_15_KA13_F_1	1	1082	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	17	KA	KA17	M	1	Vieira_17_KA17_M_1	6	1084	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	20	MA	MA21	M	1	Vieira_20_MA21_M_1	4	1084	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	19	MA	MA30	F	1	Vieira_19_MA30_F_1	1	1084	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	21	MA	MA9	M	1	Vieira_21_MA9_M_1	1	1084	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	20	MA	MA16	M	1	Vieira_20_MA16_M_1	4	1086	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	11	RE	RE18	F	1	Vieira_11_RE18_F_1	5	1087	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	-	-	-	0.094
Vieira	S	18	MA	MA5	M	1	Vieira_18_MA5_M_1	4	1090	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	11	RE	RE18	M	1	Vieira_11_RE18_M_1	1	1090	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	-	-	-	0.094
Vieira	S	20	MA	MA23	M	1	Vieira_20_MA23_M_1	6	1092	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	8	UM	UM2	M	1	Vieira_8_UM2_M_1	3	1092	0	Ukraine	48.753	30.206	214	UM	UM	UM	#0086A8	+	+	+	0.094
Vieira	S	9	MU	MU9	F	1	Vieira_9_MU9_F_1	5	1093	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	12	KA	KA7	F	1	Vieira_12_KA7_F_1	6	1094	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	8	MU	MU1	F	1	Vieira_8_MU1_F_1	6	1094	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	-	-	-	0.094
Vieira	S	22	VA	VA15	F	1	Vieira_22_VA15_F_1	5	1094	0	Russia	57.979	33.244	217	VA	VA	VA	#095888	+	+	+	0.094
Vieira	S	22	YE	YE19	F	1	Vieira_22_YE19_F_1	1	1094	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	19	MA	MA32	M	1	Vieira_19_MA32_M_1	4	1095	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	11	RE	RE17	F	1	Vieira_11_RE17_F_1	2	1095	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	-	-	-	0.094
Vieira	S	25	YE	YE27	F	1	Vieira_25_YE27_F_1	6	1095	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	-	-	-	0.094
Vieira	S	24	VA	VA71	M	1	Vieira_24_VA71_M_1	4	1096	0	Russia	57.979	33.244	217	VA	VA	VA	#095888	+	+	+	0.094
Vieira	S	27	YE	YE13	M	1	Vieira_27_YE13_M_1	1	1097	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	5	GI	GI5	M	1	Vieira_5_GI5_M_1	1	1098	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	-	-	-	0.094
Vieira	S	20	MA	MA23	F	1	Vieira_20_MA23_F_1	5	1098	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	20	MA	MA26	M	1	Vieira_20_MA26_M_1	6	1099	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	6	GI	GI12	F	1	Vieira_6_GI12_F_1	4	1100	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	+	+	+	0.094
Vieira	S	9	MU	MU15	M	1	Vieira_9_MU15_M_1	5	1100	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	2	RE	RE13	F	1	Vieira_2_RE13_F_1	1	1100	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	+	+	+	0.094
Vieira	S	4	AK	AK6	M	1	Vieira_4_AK6_M_1	1	1101	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	12	KA	KA7	F	1	Vieira_12_KA7_F_1	5	1101	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	4	RE	RE7	M	1	Vieira_4_RE7_M_1	2	1101	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	-	-	-	0.094
Vieira	S	8	GI	GI7	F	1	Vieira_8_GI7_F_1	2	1102	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	+	+	+	0.094
Vieira	S	3	RE	RE11	M	1	Vieira_3_RE11_M_1	2	1102	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	-	-	-	0.094
Vieira	S	18	MA	MA3	F	1	Vieira_18_MA3_F_1	3	1105	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	-	-	-	0.094
Vieira	S	23	VA	VA1	M	1	Vieira_23_VA1_M_1	5	1105	0	Russia	57.979	33.244	217	VA	VA	VA	#095888	+	+	+	0.094
Vieira	S	18	KA	KA18	M	1	Vieira_18_KA18_M_1	1	1106	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	11	RE	RE17	M	1	Vieira_11_RE17_M_1	2	1106	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	-	-	-	0.094
Vieira	S	5	GI	GI13	F	1	Vieira_5_GI13_F_1	2	1107	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	+	+	+	0.094
Vieira	S	6	GI	GI12	F	1	Vieira_6_GI12_F_1	5	1108	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	+	+	+	0.094
Vieira	S	20	MA	MA21	M	1	Vieira_20_MA21_M_1	2	1108	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	24	VA	VA71	F	1	Vieira_24_VA71_F_1	2	1108	0	Russia	57.979	33.244	217	VA	VA	VA	#095888	+	+	+	0.094
Vieira	S	18	KA	KA29	F	1	Vieira_18_KA29_F_1	5	1109	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
