Supervisor.PI	Diet	Batch	Population	Line	Sex	ReplicateVialOld	ReplicateVial	Individual	CCRT_seconds	Censor	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	Color	StatusT	StatusM	Wolbachia	PC.ratio
Vieira	S	3	AK	AK2	M	1	Vieira_3_AK2_M_1	1	1280	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	5	GI	GI1	F	1	Vieira_5_GI1_F_1	1	1280	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	-	-	-	0.094
Vieira	S	9	MU	MU11	F	1	Vieira_9_MU11_F_1	2	1280	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	5	AK	AK9	F	1	Vieira_5_AK9_F_1	2	1281	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	26	YE	YE41	F	1	Vieira_26_YE41_F_1	4	1281	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	5	GI	GI13	F	1	Vieira_5_GI13_F_1	3	1282	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	+	+	+	0.094
Vieira	S	20	MA	MA16	F	1	Vieira_20_MA16_F_1	6	1282	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	10	MU	MU16	F	1	Vieira_10_MU16_F_1	6	1282	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	9	MU	MU20	F	1	Vieira_9_MU20_F_1	3	1282	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	24	VA	VA22	F	1	Vieira_24_VA22_F_1	5	1282	0	Russia	57.979	33.244	217	VA	VA	VA	#095888	+	+	+	0.094
Vieira	S	25	YE	YE26	M	1	Vieira_25_YE26_M_1	2	1282	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	14	KA	KA5	F	1	Vieira_14_KA5_F_1	5	1283	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	13	UM	UM25	M	1	Vieira_13_UM25_M_1	3	1283	0	Ukraine	48.753	30.206	214	UM	UM	UM	#0086A8	+	+	+	0.094
Vieira	S	23	VA	VA1	F	1	Vieira_23_VA1_F_1	1	1283	0	Russia	57.979	33.244	217	VA	VA	VA	#095888	+	+	+	0.094
Vieira	S	16	KA	KA28	M	1	Vieira_16_KA28_M_1	3	1284	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	1	UM	UM9	M	1	Vieira_1_UM9_M_1	1	1284	0	Ukraine	48.753	30.206	214	UM	UM	UM	#0086A8	-	-	-	0.094
Vieira	S	23	YE	YE23	F	1	Vieira_23_YE23_F_1	4	1284	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	6	AK	AK20	M	1	Vieira_6_AK20_M_1	1	1285	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	26	YE	YE69	F	1	Vieira_26_YE69_F_1	3	1285	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	15	KA	KA11	M	1	Vieira_15_KA11_M_1	4	1287	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	21	MA	MA27	M	1	Vieira_21_MA27_M_1	1	1288	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	27	YE	YE15	F	1	Vieira_27_YE15_F_1	4	1288	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	12	KA	KA7	M	1	Vieira_12_KA7_M_1	4	1289	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	7	RE	RE15	F	1	Vieira_7_RE15_F_1	1	1289	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	-	-	-	0.094
Vieira	S	8	MU	MU5	M	1	Vieira_8_MU5_M_1	5	1291	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	9	MU	MU20	M	1	Vieira_9_MU20_M_1	3	1293	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	2	RE	RE5	F	1	Vieira_2_RE5_F_1	4	1293	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	-	-	-	0.094
Vieira	S	3	AK	AK2	M	1	Vieira_3_AK2_M_1	5	1294	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	2	RE	RE10	M	1	Vieira_2_RE10_M_1	2	1294	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	+	+	+	0.094
Vieira	S	22	VA	VA9	F	1	Vieira_22_VA9_F_1	4	1294	0	Russia	57.979	33.244	217	VA	VA	VA	#095888	+	+	+	0.094
Vieira	S	16	KA	KA15	F	1	Vieira_16_KA15_F_1	1	1295	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	7	GI	GI15	F	1	Vieira_7_GI15_F_1	3	1296	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	+	+	+	0.094
Vieira	S	20	MA	MA20	M	1	Vieira_20_MA20_M_1	1	1297	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	22	VA	VA34	M	1	Vieira_22_VA34_M_1	4	1297	0	Russia	57.979	33.244	217	VA	VA	VA	#095888	+	+	+	0.094
Vieira	S	4	AK	AK13	F	1	Vieira_4_AK13_F_1	2	1298	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	16	KA	KA28	F	1	Vieira_16_KA28_F_1	6	1298	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	16	UM	UM28	F	1	Vieira_16_UM28_F_1	6	1299	0	Ukraine	48.753	30.206	214	UM	UM	UM	#0086A8	-	-	-	0.094
Vieira	S	7	AK	AK17	F	1	Vieira_7_AK17_F_1	4	1300	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	5	GI	GI1	F	1	Vieira_5_GI1_F_1	3	1301	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	-	-	-	0.094
Vieira	S	18	MA	MA3	F	1	Vieira_18_MA3_F_1	2	1301	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	-	-	-	0.094
Vieira	S	9	MU	MU13	F	1	Vieira_9_MU13_F_1	3	1301	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	4	AK	AK5	M	1	Vieira_4_AK5_M_1	3	1302	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	20	MA	MA21	F	1	Vieira_20_MA21_F_1	2	1302	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	19	MA	MA32	F	1	Vieira_19_MA32_F_1	2	1302	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	27	VA	VA30	M	1	Vieira_27_VA30_M_1	6	1302	0	Russia	57.979	33.244	217	VA	VA	VA	#095888	+	+	+	0.094
Vieira	S	23	VA	VA44	F	1	Vieira_23_VA44_F_1	4	1302	0	Russia	57.979	33.244	217	VA	VA	VA	#095888	+	+	+	0.094
Vieira	S	5	GI	GI1	M	1	Vieira_5_GI1_M_1	4	1303	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	-	-	-	0.094
Vieira	S	20	MA	MA13	F	1	Vieira_20_MA13_F_1	2	1304	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	-	-	-	0.094
Vieira	S	18	KA	KA29	M	1	Vieira_18_KA29_M_1	5	1305	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	12	KA	KA7	M	1	Vieira_12_KA7_M_1	2	1306	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	9	MU	MU11	M	1	Vieira_9_MU11_M_1	2	1306	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	22	YE	YE21	M	1	Vieira_22_YE21_M_1	4	1306	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	3	AK	AK10	F	1	Vieira_3_AK10_F_1	5	1307	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	8	GI	GI11	M	1	Vieira_8_GI11_M_1	4	1307	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	+	+	+	0.094
Vieira	S	16	KA	KA25	M	1	Vieira_16_KA25_M_1	3	1307	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	20	MA	MA13	F	1	Vieira_20_MA13_F_1	5	1307	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	-	-	-	0.094
Vieira	S	3	AK	AK10	M	1	Vieira_3_AK10_M_1	4	1308	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	7	RE	RE3	F	1	Vieira_7_RE3_F_1	2	1308	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	+	+	+	0.094
Vieira	S	26	YE	YE80	F	1	Vieira_26_YE80_F_1	2	1308	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	8	MU	MU5	F	1	Vieira_8_MU5_F_1	5	1309	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	15	KA	KA11	M	1	Vieira_15_KA11_M_1	5	1310	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	26	YE	YE51	F	1	Vieira_26_YE51_F_1	5	1311	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	16	KA	KA25	F	1	Vieira_16_KA25_F_1	4	1312	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	1	UM	UM6	M	1	Vieira_1_UM6_M_1	2	1312	0	Ukraine	48.753	30.206	214	UM	UM	UM	#0086A8	-	-	-	0.094
Vieira	S	5	GI	GI5	M	1	Vieira_5_GI5_M_1	6	1313	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	-	-	-	0.094
Vieira	S	6	GI	GI2	F	1	Vieira_6_GI2_F_1	6	1314	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	-	-	-	0.094
Vieira	S	17	KA	KA17	M	1	Vieira_17_KA17_M_1	4	1314	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	9	MU	MU11	M	1	Vieira_9_MU11_M_1	3	1314	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	10	MU	MU18	F	1	Vieira_10_MU18_F_1	2	1314	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	8	MU	MU5	F	1	Vieira_8_MU5_F_1	1	1315	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	23	YE	YE24	M	1	Vieira_23_YE24_M_1	1	1315	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	5	GI	GI5	F	1	Vieira_5_GI5_F_1	6	1316	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	-	-	-	0.094
Vieira	S	8	MU	MU2	F	1	Vieira_8_MU2_F_1	3	1316	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	15	KA	KA1	F	1	Vieira_15_KA1_F_1	1	1318	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	16	KA	KA16	F	1	Vieira_16_KA16_F_1	1	1318	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	20	MA	MA20	M	1	Vieira_20_MA20_M_1	2	1318	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	8	UM	UM2	M	1	Vieira_8_UM2_M_1	2	1318	0	Ukraine	48.753	30.206	214	UM	UM	UM	#0086A8	+	+	+	0.094
Vieira	S	23	VA	VA1	F	1	Vieira_23_VA1_F_1	4	1318	0	Russia	57.979	33.244	217	VA	VA	VA	#095888	+	+	+	0.094
Vieira	S	3	AK	AK12	M	1	Vieira_3_AK12_M_1	2	1319	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	13	UM	UM4	M	1	Vieira_13_UM4_M_1	6	1319	0	Ukraine	48.753	30.206	214	UM	UM	UM	#0086A8	+	+	+	0.094
Vieira	S	24	VA	VA57	F	1	Vieira_24_VA57_F_1	5	1319	0	Russia	57.979	33.244	217	VA	VA	VA	#095888	+	+	+	0.094
Vieira	S	26	YE	YE80	F	1	Vieira_26_YE80_F_1	3	1319	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	16	KA	KA15	M	1	Vieira_16_KA15_M_1	4	1320	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	20	MA	MA21	F	1	Vieira_20_MA21_F_1	3	1320	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	11	RE	RE18	M	1	Vieira_11_RE18_M_1	5	1320	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	-	-	-	0.094
Vieira	S	22	VA	VA9	M	1	Vieira_22_VA9_M_1	5	1320	0	Russia	57.979	33.244	217	VA	VA	VA	#095888	+	+	+	0.094
Vieira	S	14	KA	KA5	M	1	Vieira_14_KA5_M_1	2	1321	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	15	KA	KA11	M	1	Vieira_15_KA11_M_1	2	1322	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	22	VA	VA55	M	1	Vieira_22_VA55_M_1	4	1322	0	Russia	57.979	33.244	217	VA	VA	VA	#095888	+	+	+	0.094
Vieira	S	18	KA	KA29	F	1	Vieira_18_KA29_F_1	4	1323	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	9	MU	MU10	M	1	Vieira_9_MU10_M_1	6	1324	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	23	YE	YE23	F	1	Vieira_23_YE23_F_1	5	1324	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	19	MA	MA30	M	1	Vieira_19_MA30_M_1	1	1325	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	18	MA	MA6	M	1	Vieira_18_MA6_M_1	3	1325	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	-	-	-	0.094
Vieira	S	2	RE	RE10	M	1	Vieira_2_RE10_M_1	3	1325	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	+	+	+	0.094
Vieira	S	3	AK	AK2	F	1	Vieira_3_AK2_F_1	6	1326	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	20	MA	MA12	F	1	Vieira_20_MA12_F_1	6	1326	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	4	AK	AK3	F	1	Vieira_4_AK3_F_1	6	1327	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	10	MU	MU18	M	1	Vieira_10_MU18_M_1	4	1327	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	3	RE	RE11	M	1	Vieira_3_RE11_M_1	6	1327	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	-	-	-	0.094
Vieira	S	7	RE	RE8	F	1	Vieira_7_RE8_F_1	6	1327	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	+	+	+	0.094
Vieira	S	5	AK	AK11	M	1	Vieira_5_AK11_M_1	3	1328	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	20	MA	MA20	M	1	Vieira_20_MA20_M_1	5	1328	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	21	MA	MA7	M	1	Vieira_21_MA7_M_1	6	1328	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	7	RE	RE3	F	1	Vieira_7_RE3_F_1	3	1328	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	+	+	+	0.094
Vieira	S	6	GI	GI12	M	1	Vieira_6_GI12_M_1	4	1329	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	+	+	+	0.094
Vieira	S	16	KA	KA16	M	1	Vieira_16_KA16_M_1	4	1329	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	22	YE	YE20	M	1	Vieira_22_YE20_M_1	6	1329	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	1	UM	UM5	F	1	Vieira_1_UM5_F_1	4	1330	0	Ukraine	48.753	30.206	214	UM	UM	UM	#0086A8	+	+	+	0.094
Vieira	S	2	UM	UM21	M	1	Vieira_2_UM21_M_1	5	1331	0	Ukraine	48.753	30.206	214	UM	UM	UM	#0086A8	+	+	+	0.094
Vieira	S	14	KA	KA2	F	1	Vieira_14_KA2_F_1	5	1332	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	8	MU	MU8	F	1	Vieira_8_MU8_F_1	5	1332	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	9	MU	MU10	M	1	Vieira_9_MU10_M_1	4	1334	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	4	AK	AK13	F	1	Vieira_4_AK13_F_1	1	1335	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	15	KA	KA14	F	1	Vieira_15_KA14_F_1	5	1335	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	18	MA	MA5	F	1	Vieira_18_MA5_F_1	3	1335	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	8	GI	GI11	F	1	Vieira_8_GI11_F_1	5	1336	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	+	+	+	0.094
Vieira	S	19	MA	MA32	F	1	Vieira_19_MA32_F_1	5	1337	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	10	MU	MU14	F	1	Vieira_10_MU14_F_1	3	1337	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	3	AK	AK10	F	1	Vieira_3_AK10_F_1	2	1338	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	27	YE	YE15	M	1	Vieira_27_YE15_M_1	3	1338	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	21	MA	MA7	M	1	Vieira_21_MA7_M_1	3	1339	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	22	YE	YE20	F	1	Vieira_22_YE20_F_1	3	1339	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	6	GI	GI12	M	1	Vieira_6_GI12_M_1	6	1340	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	+	+	+	0.094
Vieira	S	9	MU	MU9	M	1	Vieira_9_MU9_M_1	4	1340	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	22	VA	VA15	M	1	Vieira_22_VA15_M_1	1	1340	0	Russia	57.979	33.244	217	VA	VA	VA	#095888	+	+	+	0.094
Vieira	S	16	KA	KA15	M	1	Vieira_16_KA15_M_1	3	1342	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	4	AK	AK13	F	1	Vieira_4_AK13_F_1	3	1344	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	7	RE	RE8	F	1	Vieira_7_RE8_F_1	1	1344	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	+	+	+	0.094
Vieira	S	7	AK	AK17	F	1	Vieira_7_AK17_F_1	6	1346	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	18	KA	KA18	F	1	Vieira_18_KA18_F_1	1	1346	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	27	YE	YE14	M	1	Vieira_27_YE14_M_1	4	1346	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	9	MU	MU15	F	1	Vieira_9_MU15_F_1	5	1347	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	15	KA	KA14	M	1	Vieira_15_KA14_M_1	6	1348	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	19	MA	MA30	F	1	Vieira_19_MA30_F_1	5	1349	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	19	MA	MA32	M	1	Vieira_19_MA32_M_1	3	1349	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	13	UM	UM25	M	1	Vieira_13_UM25_M_1	1	1349	0	Ukraine	48.753	30.206	214	UM	UM	UM	#0086A8	+	+	+	0.094
Vieira	S	24	VA	VA22	F	1	Vieira_24_VA22_F_1	4	1349	0	Russia	57.979	33.244	217	VA	VA	VA	#095888	+	+	+	0.094
Vieira	S	3	AK	AK10	F	1	Vieira_3_AK10_F_1	1	1350	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	14	KA	KA2	F	1	Vieira_14_KA2_F_1	6	1350	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	22	YE	YE21	F	1	Vieira_22_YE21_F_1	1	1350	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	26	YE	YE80	M	1	Vieira_26_YE80_M_1	3	1350	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	19	MA	MA19	M	1	Vieira_19_MA19_M_1	4	1351	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	1	UM	UM18	F	1	Vieira_1_UM18_F_1	4	1351	0	Ukraine	48.753	30.206	214	UM	UM	UM	#0086A8	+	+	+	0.094
Vieira	S	1	UM	UM7	M	1	Vieira_1_UM7_M_1	1	1351	0	Ukraine	48.753	30.206	214	UM	UM	UM	#0086A8	+	+	+	0.094
Vieira	S	13	UM	UM8	F	1	Vieira_13_UM8_F_1	3	1351	0	Ukraine	48.753	30.206	214	UM	UM	UM	#0086A8	-	-	-	0.094
Vieira	S	16	KA	KA16	M	1	Vieira_16_KA16_M_1	6	1352	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	7	RE	RE8	F	1	Vieira_7_RE8_F_1	4	1352	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	+	+	+	0.094
Vieira	S	16	KA	KA15	F	1	Vieira_16_KA15_F_1	6	1354	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	20	MA	MA12	M	1	Vieira_20_MA12_M_1	2	1354	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	1	UM	UM18	M	1	Vieira_1_UM18_M_1	3	1354	0	Ukraine	48.753	30.206	214	UM	UM	UM	#0086A8	+	+	+	0.094
Vieira	S	7	AK	AK4	M	1	Vieira_7_AK4_M_1	3	1356	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	9	MU	MU20	M	1	Vieira_9_MU20_M_1	6	1357	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	27	YE	YE14	F	1	Vieira_27_YE14_F_1	3	1357	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	15	KA	KA13	M	1	Vieira_15_KA13_M_1	6	1358	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	8	MU	MU3	M	1	Vieira_8_MU3_M_1	2	1358	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	6	RE	RE6	M	1	Vieira_6_RE6_M_1	4	1359	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	+	+	+	0.094
Vieira	S	14	UM	UM22	M	1	Vieira_14_UM22_M_1	1	1360	0	Ukraine	48.753	30.206	214	UM	UM	UM	#0086A8	+	+	+	0.094
Vieira	S	20	MA	MA13	F	1	Vieira_20_MA13_F_1	4	1361	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	-	-	-	0.094
Vieira	S	4	AK	AK15	F	1	Vieira_4_AK15_F_1	4	1362	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	21	MA	MA28	M	1	Vieira_21_MA28_M_1	5	1363	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	5	AK	AK11	M	1	Vieira_5_AK11_M_1	1	1364	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	3	AK	AK8	F	1	Vieira_3_AK8_F_1	1	1364	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	20	MA	MA23	F	1	Vieira_20_MA23_F_1	1	1364	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	9	MU	MU10	M	1	Vieira_9_MU10_M_1	2	1364	0	Germany	48.18	11.61	520	MU	MU	MU	#F6C200	+	+	+	0.094
Vieira	S	16	KA	KA16	F	1	Vieira_16_KA16_F_1	2	1366	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	11	RE	RE12	F	1	Vieira_11_RE12_F_1	3	1366	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	+	+	+	0.094
Vieira	S	11	RE	RE17	M	1	Vieira_11_RE17_M_1	3	1366	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	-	-	-	0.094
Vieira	S	14	KA	KA3	F	1	Vieira_14_KA3_F_1	4	1367	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	25	VA	VA48	F	1	Vieira_25_VA48_F_1	1	1367	0	Russia	57.979	33.244	217	VA	VA	VA	#095888	+	+	+	0.094
