Supervisor.PI	Diet	Batch	Population	Line	Sex	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	Prop_Max_Stage7	Prop_Max_Stage8	Prop_Max_Stage9	Prop_Max_Stage7_asin	Prop_Max_Stage8_asin	Prop_Max_Stage9_asin	Color	StatusT	StatusM	Wolbachia	PC.ratio
Bergland	S	1	KA	KA14	F	Denmark	55.945	10.213	15	KA	KA	KA	0.277777777777778	0.777777777777778	0.833333333333333	0.555121167556787	1.07991364850559	1.15026199151093	#D04E00	+	+	+	0.099
Bergland	S	1	KA	KA15	F	Denmark	55.945	10.213	15	KA	KA	KA	0.0714285714285714	0.857142857142857	0.928571428571429	0.270549762978573	1.18319964013972	1.30024656381632	#D04E00	+	+	+	0.099
Bergland	S	1	KA	KA17	F	Denmark	55.945	10.213	15	KA	KA	KA	0.166666666666667	0.666666666666667	0.75	0.420534335283965	0.955316618124509	1.0471975511966	#D04E00	+	+	+	0.099
Bergland	S	1	KA	KA24	F	Denmark	55.945	10.213	15	KA	KA	KA	0.166666666666667	0.583333333333333	0.666666666666667	0.420534335283965	0.869122203007293	0.955316618124509	#D04E00	-	-	-	0.099
Bergland	S	1	KA	KA28	F	Denmark	55.945	10.213	15	KA	KA	KA	0.272727272727273	0.727272727272727	0.818181818181818	0.549467244757627	1.02132908203727	1.1302856637902	#D04E00	+	+	+	0.099
Bergland	S	1	KA	KA29	F	Denmark	55.945	10.213	15	KA	KA	KA	0.19047619047619	0.523809523809524	0.571428571428571	0.451633441079532	0.80921669470965	0.857071947850131	#D04E00	+	+	+	0.099
Bergland	S	1	MA	MA19	F	Austria	48.375	15.56	572	MA	MA	MA	0.285714285714286	0.666666666666667	0.904761904761905	0.563942641360629	0.955316618124509	1.2570684403333	#E38800	+	+	+	0.099
Bergland	S	1	MA	MA21	F	Austria	48.375	15.56	572	MA	MA	MA	0.15	0.55	0.6	0.397699415092072	0.835481873978228	0.886077123792614	#E38800	+	+	+	0.099
Bergland	S	1	MA	MA31	F	Austria	48.375	15.56	572	MA	MA	MA	0.1	0.7	0.8	0.321750554396642	0.991156586431192	1.10714871779409	#E38800	-	-	-	0.099
Bergland	S	1	MA	MA32	F	Austria	48.375	15.56	572	MA	MA	MA	0.0625	0.625	0.875	0.252680255142079	0.911738290968488	1.20942920288819	#E38800	+	+	+	0.099
Bergland	S	1	MA	MA6	F	Austria	48.375	15.56	572	MA	MA	MA	0.5	0.5	0.5	0.785398163397448	0.785398163397448	0.785398163397448	#E38800	-	-	-	0.099
Bergland	S	1	MA	MA7	F	Austria	48.375	15.56	572	MA	MA	MA	0.476190476190476	0.571428571428571	0.666666666666667	0.761579632085247	0.857071947850131	0.955316618124509	#E38800	+	+	+	0.099
Bergland	S	1	MA	MA9	F	Austria	48.375	15.56	572	MA	MA	MA	0.153846153846154	0.230769230769231	0.384615384615385	0.403057074466113	0.501093013265357	0.668964074268407	#E38800	+	+	+	0.099
Bergland	S	1	MU	MU1	F	Germany	48.18	11.61	520	MU	MU	MU	0.368421052631579	0.789473684210526	0.894736842105263	0.652251154838357	1.09411671520513	1.24037367888341	#F6C200	-	-	-	0.099
Bergland	S	1	MU	MU10	F	Germany	48.18	11.61	520	MU	MU	MU	0.272727272727273	0.545454545454545	0.727272727272727	0.549467244757627	0.830915552416156	1.02132908203727	#F6C200	+	+	+	0.099
Bergland	S	1	MU	MU14	F	Germany	48.18	11.61	520	MU	MU	MU	0	0.125	0.25	0	0.361367123906708	0.523598775598299	#F6C200	+	+	+	0.099
Bergland	S	1	MU	MU15	F	Germany	48.18	11.61	520	MU	MU	MU	0.0588235294117647	0.235294117647059	0.529411764705882	0.244978663126864	0.5064446434135	0.814826916370989	#F6C200	+	+	+	0.099
Bergland	S	1	MU	MU16	F	Germany	48.18	11.61	520	MU	MU	MU	0.0909090909090909	0.363636363636364	0.545454545454545	0.306277369169669	0.647284848015653	0.830915552416156	#F6C200	+	+	+	0.099
Bergland	S	1	MU	MU2	F	Germany	48.18	11.61	520	MU	MU	MU	0.166666666666667	0.666666666666667	1	0.420534335283965	0.955316618124509	1.5707963267949	#F6C200	+	+	+	0.099
Bergland	S	1	MU	MU20	F	Germany	48.18	11.61	520	MU	MU	MU	0	0.5	1	0	0.785398163397448	1.5707963267949	#F6C200	+	+	+	0.099
Bergland	S	1	MU	MU3	F	Germany	48.18	11.61	520	MU	MU	MU	0.266666666666667	0.533333333333333	0.533333333333333	0.542639102249653	0.818756237602561	0.818756237602561	#F6C200	+	+	+	0.099
Bergland	S	1	MU	MU4	F	Germany	48.18	11.61	520	MU	MU	MU	0	0	0	0	0	0	#F6C200	+	+	+	0.099
Bergland	S	1	MU	MU5	F	Germany	48.18	11.61	520	MU	MU	MU	0.0588235294117647	0.588235294117647	0.764705882352941	0.244978663126864	0.874097965617633	1.0643516833814	#F6C200	+	+	+	0.099
Bergland	S	1	MU	MU8	F	Germany	48.18	11.61	520	MU	MU	MU	0.210526315789474	0.736842105263158	0.842105263157895	0.47667961158977	1.03213286071411	1.1621584716973	#F6C200	+	+	+	0.099
Bergland	S	1	RE	RE10	F	Portugal	41.15	-8.41	175	RE	RE	RE	0.1	0.4	0.5	0.321750554396642	0.684719203002283	0.785398163397448	#7BA354	+	+	+	0.099
Bergland	S	1	RE	RE12	F	Portugal	41.15	-8.41	175	RE	RE	RE	0	0	0	0	0	0	#7BA354	+	+	+	0.099
Bergland	S	1	RE	RE13	F	Portugal	41.15	-8.41	175	RE	RE	RE	0.2	0.6	0.8	0.463647609000806	0.886077123792614	1.10714871779409	#7BA354	+	+	+	0.099
Bergland	S	1	RE	RE15	F	Portugal	41.15	-8.41	175	RE	RE	RE	0.545454545454545	0.636363636363636	0.727272727272727	0.830915552416156	0.923511478779244	1.02132908203727	#7BA354	-	-	-	0.099
Bergland	S	1	RE	RE7	F	Portugal	41.15	-8.41	175	RE	RE	RE	0.0909090909090909	0.181818181818182	0.318181818181818	0.306277369169669	0.440510663004698	0.599313896417285	#7BA354	-	-	-	0.099
Bergland	S	1	UM	UM13	F	Ukraine	48.753	30.206	214	UM	UM	UM	0.25	0.583333333333333	0.916666666666667	0.523598775598299	0.869122203007293	1.27795355506632	#0086A8	-	-	-	0.099
Bergland	S	1	UM	UM17	F	Ukraine	48.753	30.206	214	UM	UM	UM	0.571428571428571	1	1	0.857071947850131	1.5707963267949	1.5707963267949	#0086A8	-	-	-	0.099
Bergland	S	1	UM	UM18	F	Ukraine	48.753	30.206	214	UM	UM	UM	0.12	0.68	0.84	0.353741605889672	0.969532110115768	1.15927948072741	#0086A8	+	+	+	0.099
Bergland	S	1	UM	UM20	F	Ukraine	48.753	30.206	214	UM	UM	UM	0.1875	0.8125	0.9375	0.447832396928932	1.12296392986596	1.31811607165282	#0086A8	+	+	+	0.099
Bergland	S	1	UM	UM4	F	Ukraine	48.753	30.206	214	UM	UM	UM	0.166666666666667	0.416666666666667	0.583333333333333	0.420534335283965	0.701674123787604	0.869122203007293	#0086A8	+	+	+	0.099
