Model	Predictor	Trait	Lab	Sex	Population	Estimate	SE
lmer	pop	HSM	Parsch	F	AK	388.120674465513	26.2717438025647
lmer	pop	HSM	Parsch	F	GI	334.426685566971	25.1450505347627
lmer	pop	HSM	Parsch	F	KA	361.145820876115	25.8129642324318
lmer	pop	HSM	Parsch	F	MA	423.343047399298	26.3811594411775
lmer	pop	HSM	Parsch	F	MU	397.254296982848	25.8155484400675
lmer	pop	HSM	Parsch	F	RE	325.600364304212	25.2451952998551
lmer	pop	HSM	Parsch	F	UM	391.567197021154	26.0808065032501
lmer	pop	HSM	Parsch	F	VA	374.234609649443	29.021397087975
lmer	pop	HSM	Parsch	F	YE	305.526041430068	25.0332908366358
lmer	pop	HSM	Vieira	F	AK	359.062564198704	6.38911581761354
lmer	pop	HSM	Vieira	F	GI	331.941939603735	6.61130534287883
lmer	pop	HSM	Vieira	F	KA	360.023961150149	6.72158263349058
lmer	pop	HSM	Vieira	F	MA	372.003063511813	5.93037089519495
lmer	pop	HSM	Vieira	F	MU	327.28195697043	6.0744539779039
lmer	pop	HSM	Vieira	F	RE	376.926969912038	6.79845990611388
lmer	pop	HSM	Vieira	F	UM	365.876344489999	5.99453165682664
lmer	pop	HSM	Vieira	F	VA	351.549647187441	6.96578679651381
lmer	pop	HSM	Vieira	F	YE	359.19623937006	5.69541058516624
lmer	pop	HSM	Parsch	M	AK	383.521568875615	28.0485762753929
lmer	pop	HSM	Parsch	M	GI	280.096281485193	27.1350507025638
lmer	pop	HSM	Parsch	M	KA	343.254860679173	28.0512601752188
lmer	pop	HSM	Parsch	M	MA	389.136600428293	27.7747359252614
lmer	pop	HSM	Parsch	M	MU	348.474990458725	28.0366399930134
lmer	pop	HSM	Parsch	M	RE	263.447906371672	27.4493701523551
lmer	pop	HSM	Parsch	M	UM	366.679779904705	27.4186510598962
lmer	pop	HSM	Parsch	M	VA	329.969168005986	31.9189360745232
lmer	pop	HSM	Parsch	M	YE	257.589505261503	27.2275017846792
lmer	pop	HSM	Vieira	M	AK	344.964717627953	10.662052481726
lmer	pop	HSM	Vieira	M	GI	275.288618862012	12.030881047503
lmer	pop	HSM	Vieira	M	KA	327.014715265615	11.2091439033336
lmer	pop	HSM	Vieira	M	MA	322.482710348311	11.1588477662853
lmer	pop	HSM	Vieira	M	MU	302.276644247831	11.3774967414249
lmer	pop	HSM	Vieira	M	RE	323.112530945822	13.2383726927186
lmer	pop	HSM	Vieira	M	UM	312.39990304305	10.4066313290005
lmer	pop	HSM	Vieira	M	VA	311.906566641149	12.7853274180658
lmer	pop	HSM	Vieira	M	YE	322.114840762241	11.2909080340433
