Model	Trait	Lab	Sex	Population	Line	Estimate	SE
lmer_pop	WA_L	Onder	F	MU	MU9	-25.302	21.139
lmer_pop	WA_L	Onder	F	RE	RE1	-3.938	21.604
lmer_pop	WA_L	Onder	F	RE	RE10	16.927	20.671
lmer_pop	WA_L	Onder	F	RE	RE11	-87.449	21.139
lmer_pop	WA_L	Onder	F	RE	RE12	-6.07	21.29
lmer_pop	WA_L	Onder	F	RE	RE13	-63.774	21.29
lmer_pop	WA_L	Onder	F	RE	RE15	-55.701	21.29
lmer_pop	WA_L	Onder	F	RE	RE16	-6.494	21.29
lmer_pop	WA_L	Onder	F	RE	RE17	40.432	21.29
lmer_pop	WA_L	Onder	F	RE	RE18	-24.374	21.964
lmer_pop	WA_L	Onder	F	RE	RE2	56.412	22.156
lmer_pop	WA_L	Onder	F	RE	RE3	-30.713	21.791
lmer_pop	WA_L	Onder	F	RE	RE4	72.024	23.704
lmer_pop	WA_L	Onder	F	RE	RE5	-32.455	21.499
lmer_pop	WA_L	Onder	F	RE	RE6	10.462	21.139
lmer_pop	WA_L	Onder	F	RE	RE7	94.33	21.139
lmer_pop	WA_L	Onder	F	RE	RE8	20.381	21.139
lmer_pop	WA_L	Onder	F	UM	UM13	-72.432	21.139
lmer_pop	WA_L	Onder	F	UM	UM17	67.022	23.439
lmer_pop	WA_L	Onder	F	UM	UM18	-19.819	21.151
lmer_pop	WA_L	Onder	F	UM	UM2	-155.542	21.432
lmer_pop	WA_L	Onder	F	UM	UM20	-10.454	21.29
lmer_pop	WA_L	Onder	F	UM	UM21	0.165	21.29
lmer_pop	WA_L	Onder	F	UM	UM22	56.094	23.694
lmer_pop	WA_L	Onder	F	UM	UM23	-38.099	21.29
lmer_pop	WA_L	Onder	F	UM	UM25	53.599	21.791
lmer_pop	WA_L	Onder	F	UM	UM26	-22.582	21.29
lmer_pop	WA_L	Onder	F	UM	UM28	-6.428	21.964
lmer_pop	WA_L	Onder	F	UM	UM29	-16.957	21.791
