Model	Trait	Sex	Population	Line	Coef_Onder	Coef_Posnien	Coef_Ritchie	Coef_StamenkovicRadak	SE_Onder	SE_Posnien	SE_Ritchie	SE_StamenkovicRadak
lmer_pop	WA_L	F	AK	AK1	2833.2909474383	NA	2623.90222167183	2800.92243597904	28.8380001576689	NA	93.9844712675169	20.0273935129096
lmer_pop	WA_L	F	AK	AK10	2740.6649474383	NA	NA	NA	28.433562951092	NA	NA	NA
lmer_pop	WA_L	F	AK	AK11	2783.0539474383	NA	NA	NA	28.6065438858613	NA	NA	NA
lmer_pop	WA_L	F	AK	AK12	2848.8049474383	2671.11628536662	NA	NA	28.6065438858613	59.9165027337643	NA	NA
lmer_pop	WA_L	F	AK	AK13	2914.5909474383	NA	NA	NA	28.6065438858613	NA	NA	NA
lmer_pop	WA_L	F	AK	AK14	2833.9679474383	NA	NA	NA	28.6065438858613	NA	NA	NA
lmer_pop	WA_L	F	AK	AK15	2784.5009474383	NA	NA	NA	28.6065438858613	NA	NA	NA
lmer_pop	WA_L	F	AK	AK16	2860.6279474383	NA	NA	2753.80143597904	29.1116394092416	NA	NA	19.1145933496094
lmer_pop	WA_L	F	AK	AK17	2796.6529474383	NA	NA	2813.33543597904	29.1116394092416	NA	NA	19.6938368765696
lmer_pop	WA_L	F	AK	AK18	2833.6039474383	NA	NA	2775.62743597904	29.1116394092416	NA	NA	19.85630670394
lmer_pop	WA_L	F	AK	AK2	2772.3379474383	NA	2852.12222167184	2790.61643597904	28.6959640558339	NA	92.8762052865787	19.6938368765696
lmer_pop	WA_L	F	AK	AK20	2805.7209474383	NA	NA	2754.66043597904	29.1206941725933	NA	NA	19.85630670394
lmer_pop	WA_L	F	AK	AK21	2812.7819474383	NA	NA	2768.09343597904	29.1116394092416	NA	NA	19.6938368765696
lmer_pop	WA_L	F	AK	AK3	2862.6459474383	2585.79528536662	2831.20822167183	2803.82743597904	30.4380664480139	59.9165027337643	92.6889685962397	20.0273935129096
lmer_pop	WA_L	F	AK	AK4	2810.0309474383	NA	2729.70822167183	2726.23643597904	28.8380001576689	NA	93.1404186561061	19.3905666735383
lmer_pop	WA_L	F	AK	AK5	2723.9279474383	NA	NA	2753.97143597904	28.8380001576689	NA	NA	19.85630670394
lmer_pop	WA_L	F	AK	AK6	2872.8409474383	NA	NA	2785.83743597904	28.4943428436893	NA	NA	19.6938368765696
lmer_pop	WA_L	F	AK	AK7	2810.4559474383	2510.12228536662	NA	2759.96743597904	28.4943428436893	59.9165027337643	NA	20.3981958986802
lmer_pop	WA_L	F	AK	AK8	2832.8799474383	NA	NA	2776.04443597904	28.4943428436893	NA	NA	19.3905666735383
lmer_pop	WA_L	F	AK	AK9	2743.0379474383	NA	NA	2758.90143597904	28.4943428436893	NA	NA	19.3905666735383
lmer_pop	WA_L	F	GI	GI1	2872.31930188499	NA	2746.60624621602	2874.94395378456	29.8977093423111	NA	84.148004661656	22.4358806524743
lmer_pop	WA_L	F	GI	GI10	2884.35930188499	2757.80935556667	NA	2831.96995378456	29.5749526612862	59.916502733764	NA	22.4358806524743
lmer_pop	WA_L	F	GI	GI11	2822.73430188499	NA	NA	2877.79395378456	29.5663718592139	NA	NA	23.786209631887
lmer_pop	WA_L	F	GI	GI12	2731.71930188499	NA	NA	NA	30.0359901604278	NA	NA	NA
lmer_pop	WA_L	F	GI	GI13	2855.48430188499	NA	NA	NA	29.6745197756816	NA	NA	NA
lmer_pop	WA_L	F	GI	GI14	2950.12230188499	2720.52235556667	NA	2856.79795378456	29.6745197756816	59.916502733764	NA	21.8693009868188
lmer_pop	WA_L	F	GI	GI15	2876.65430188499	NA	NA	NA	29.6745197756816	NA	NA	NA
lmer_pop	WA_L	F	GI	GI2	2844.66430188499	NA	2814.11024621602	NA	29.8248222948154	NA	79.5891442568525	NA
lmer_pop	WA_L	F	GI	GI3	2818.81430188499	NA	2638.67724621602	2757.45595378456	29.8977093423111	NA	79.2161742546185	22.7674909828042
lmer_pop	WA_L	F	GI	GI4	2813.05630188499	NA	2738.58224621602	2788.98095378456	29.8248222948154	NA	79.8081200351072	22.1386417978175
lmer_pop	WA_L	F	GI	GI5	2882.39630188499	NA	2765.63124621602	2897.57595378456	31.5170541916169	NA	78.810080215275	22.2832934202301
lmer_pop	WA_L	F	GI	GI6	2868.71930188499	NA	2471.77424621602	2874.51395378456	29.6515697378287	NA	108.214099984882	22.4358806524743
lmer_pop	WA_L	F	GI	GI7	2865.41230188499	2706.27235556667	2367.20024621602	NA	29.5663718592139	59.916502733764	108.214099984882	NA
lmer_pop	WA_L	F	GI	GI8	2842.44130188499	NA	2359.50324621602	2785.48395378456	29.5663718592139	NA	108.214099984882	22.1386417978175
lmer_pop	WA_L	F	GI	GI9	2864.44130188499	NA	2382.51924621602	2814.89195378456	29.5663718592139	NA	108.214099984882	22.2832934202301
lmer_pop	WA_L	F	KA	KA1	2826.72465440058	NA	2596.27769180742	2803.86700732818	29.0142520548259	NA	92.5837229656321	20.6369865900186
lmer_pop	WA_L	F	KA	KA10	2746.51765440058	NA	NA	2734.32400732818	30.4694072357992	NA	NA	19.2902818153755
lmer_pop	WA_L	F	KA	KA11	2923.88165440058	NA	NA	NA	28.5278190947183	NA	NA	NA
lmer_pop	WA_L	F	KA	KA13	2838.23965440058	NA	NA	2808.77200732818	28.5278190947183	NA	NA	19.8957656931471
lmer_pop	WA_L	F	KA	KA14	2893.08165440058	NA	NA	2828.46400732818	28.6398889889778	NA	NA	19.5784711486012
lmer_pop	WA_L	F	KA	KA15	2908.68465440058	NA	NA	2871.64200732818	28.6398889889778	NA	NA	20.0665160781987
lmer_pop	WA_L	F	KA	KA16	2842.02165440058	2687.63976686666	NA	NA	28.6398889889778	59.916502733764	NA	NA
lmer_pop	WA_L	F	KA	KA17	2800.71965440058	NA	NA	2810.72600732818	28.6398889889778	NA	NA	20.0665160781987
lmer_pop	WA_L	F	KA	KA18	2842.00865440058	NA	NA	2794.28700732818	29.0142520548259	NA	NA	20.4366086354025
lmer_pop	WA_L	F	KA	KA2	2909.99365440058	NA	2797.61069180742	2850.32400732818	28.6703802259574	NA	92.8834469169663	20.848812712397
lmer_pop	WA_L	F	KA	KA23	2795.43765440058	NA	NA	2741.01200732818	29.0142520548259	NA	NA	20.848812712397
lmer_pop	WA_L	F	KA	KA24	2859.37265440058	NA	NA	2759.43300732818	29.0142520548259	NA	NA	19.8957656931471
lmer_pop	WA_L	F	KA	KA25	2845.24965440058	NA	NA	2835.20800732818	29.0142520548259	NA	NA	20.4366086354025
lmer_pop	WA_L	F	KA	KA28	2902.81965440058	NA	NA	NA	29.0142520548259	NA	NA	NA
lmer_pop	WA_L	F	KA	KA29	2980.43265440058	NA	NA	2861.12700732818	29.0142520548259	NA	NA	19.8957656931471
lmer_pop	WA_L	F	KA	KA3	2816.46665440058	NA	NA	2849.66200732818	28.585664769268	NA	NA	19.2902818153755
lmer_pop	WA_L	F	KA	KA5	2837.96665440058	NA	2631.19569180742	2779.94100732818	28.5226325100081	NA	92.3521135772046	20.4366086354025
lmer_pop	WA_L	F	KA	KA6	2879.83765440058	2642.55376686666	2831.47869180742	NA	28.871077937981	59.916502733764	92.6041731358631	NA
lmer_pop	WA_L	F	KA	KA7	2848.74365440058	2587.94276686666	NA	2805.69500732818	28.4501018855991	59.916502733764	NA	21.3121921096026
lmer_pop	WA_L	F	KA	KA9	2875.25165440058	NA	NA	2830.46000732818	28.5278190947183	NA	NA	21.3121921096026
lmer_pop	WA_L	F	MA	MA12	2884.27806700693	NA	NA	NA	28.5558723732306	NA	NA	NA
lmer_pop	WA_L	F	MA	MA13	2891.84906700693	2655.38407703332	NA	NA	28.5558723732306	59.916502733764	NA	NA
lmer_pop	WA_L	F	MA	MA16	2824.00206700693	NA	NA	2809.77290474074	28.4096111729153	NA	NA	21.3051035499006
lmer_pop	WA_L	F	MA	MA18	2948.95806700693	NA	NA	2891.47990474074	28.4782317217245	NA	NA	22.4104886218928
lmer_pop	WA_L	F	MA	MA19	2868.60206700693	NA	NA	2828.97290474074	28.2625123971001	NA	NA	21.8862937079805
lmer_pop	WA_L	F	MA	MA20	2808.11506700693	NA	NA	2744.93890474074	28.7652527712905	NA	NA	21.729847612719
lmer_pop	WA_L	F	MA	MA21	2932.74606700693	NA	NA	NA	28.6678326002549	NA	NA	NA
lmer_pop	WA_L	F	MA	MA23	2904.39506700693	NA	NA	NA	28.6678326002549	NA	NA	NA
lmer_pop	WA_L	F	MA	MA26	2910.46306700693	NA	NA	2844.83990474074	28.6678326002549	NA	NA	22.2261053104674
lmer_pop	WA_L	F	MA	MA27	2909.65106700693	NA	NA	NA	28.6678326002549	NA	NA	NA
lmer_pop	WA_L	F	MA	MA28	2943.30306700693	NA	NA	NA	29.2087777045914	NA	NA	NA
lmer_pop	WA_L	F	MA	MA3	2858.96506700693	2550.69707703332	2724.52741044494	2896.54390474074	28.8987980026201	59.916502733764	86.6679850458318	21.729847612719
lmer_pop	WA_L	F	MA	MA30	2908.95006700693	2769.43107703332	NA	2923.52990474074	29.171866961102	59.916502733764	NA	22.6057022954826
