Model	Trait	Sex	Population	Line	Value_re_Onder	Value_re_Posnien	Value_re_Ritchie	Value_re_StamenkovicRadak	SE_re_Onder	SE_re_Posnien	SE_re_Ritchie	SE_re_StamenkovicRadak
lmer_pop	WA_L	F	MA	MA21	33.941	NA	NA	NA	21.29	NA	NA	NA
lmer_pop	WA_L	F	MA	MA23	5.59	NA	NA	NA	21.29	NA	NA	NA
lmer_pop	WA_L	F	MA	MA26	11.658	NA	NA	-17.787	21.29	NA	NA	15.759
lmer_pop	WA_L	F	MA	MA27	10.846	NA	NA	NA	21.29	NA	NA	NA
lmer_pop	WA_L	F	MA	MA28	44.498	NA	NA	NA	22.013	NA	NA	NA
lmer_pop	WA_L	F	MA	MA3	-39.84	-107.807	-122.139	33.917	21.6	27.443	55.913	15.051
lmer_pop	WA_L	F	MA	MA30	10.145	110.927	NA	60.903	21.964	27.443	NA	16.29
lmer_pop	WA_L	F	MA	MA31	-4.007	NA	NA	NA	21.964	NA	NA	NA
lmer_pop	WA_L	F	MA	MA32	34.365	NA	NA	NA	21.964	NA	NA	NA
lmer_pop	WA_L	F	MA	MA33	-18.46	NA	NA	NA	21.964	NA	NA	NA
lmer_pop	WA_L	F	MA	MA5	-24.964	NA	-32.333	-20.827	21.511	NA	55.659	15.512
lmer_pop	WA_L	F	MA	MA6	23.428	NA	39.415	-10.62	21.6	NA	56.408	15.276
lmer_pop	WA_L	F	MA	MA7	29.705	NA	149.656	33.539	21.6	NA	55.496	15.276
lmer_pop	WA_L	F	MA	MA9	50.122	NA	-34.599	96.219	21.499	NA	55.651	15.051
lmer_pop	WA_L	F	MU	MU1	8.226	NA	-15.589	-3.302	21.791	NA	55.731	14.836
lmer_pop	WA_L	F	MU	MU10	12.718	NA	NA	NA	21.139	NA	NA	NA
lmer_pop	WA_L	F	MU	MU11	-119.877	-196.672	NA	-99.552	21.29	27.443	NA	15.051
lmer_pop	WA_L	F	MU	MU12	50.674	NA	NA	18.336	21.29	NA	NA	13.712
lmer_pop	WA_L	F	MU	MU13	-122.495	NA	NA	54.708	21.29	NA	NA	14.431
lmer_pop	WA_L	F	MU	MU14	23.586	NA	NA	45.949	21.791	NA	NA	14.241
lmer_pop	WA_L	F	MU	MU15	26.34	71.683	NA	NA	21.29	27.443	NA	NA
lmer_pop	WA_L	F	MU	MU16	-27.401	NA	NA	-56.903	21.964	NA	NA	15.051
lmer_pop	WA_L	F	MU	MU17	34.37	NA	NA	-11.853	21.964	NA	NA	14.836
lmer_pop	WA_L	F	MU	MU18	-32.717	NA	NA	-53.698	21.964	NA	NA	14.241
lmer_pop	WA_L	F	MU	MU19	69.84	NA	NA	52.816	21.964	NA	NA	14.241
lmer_pop	WA_L	F	MU	MU2	-19.252	NA	-26.262	-3.729	21.217	NA	55.752	15.276
lmer_pop	WA_L	F	MU	MU20	78.198	NA	NA	NA	21.791	NA	NA	NA
lmer_pop	WA_L	F	MU	MU3	47.129	NA	21.853	NA	9.452	NA	56.593	NA
lmer_pop	WA_L	F	MU	MU4	109.911	124.989	-8.501	44.9	25.612	27.443	55.123	14.241
lmer_pop	WA_L	F	MU	MU5	6.947	NA	28.499	42.898	21.499	NA	55.749	14.241
lmer_pop	WA_L	F	MU	MU6	-29.089	NA	NA	NA	21.139	NA	NA	NA
lmer_pop	WA_L	F	MU	MU7	-117.122	NA	NA	-42.416	21.139	NA	NA	14.431
lmer_pop	WA_L	F	MU	MU8	25.317	NA	NA	0.779	21.139	NA	NA	15.512
lmer_pop	WA_L	F	MU	MU9	-25.302	NA	NA	11.066	21.139	NA	NA	15.051
lmer_pop	WA_L	F	RE	RE1	-3.938	NA	-93.836	-9.331	21.604	NA	55.424	14.629
lmer_pop	WA_L	F	RE	RE10	16.927	NA	NA	NA	20.671	NA	NA	NA
lmer_pop	WA_L	F	RE	RE11	-87.449	-8.786	NA	15.673	21.139	27.443	NA	15.276
lmer_pop	WA_L	F	RE	RE12	-6.07	NA	NA	-74.348	21.29	NA	NA	15.276
lmer_pop	WA_L	F	RE	RE13	-63.774	NA	NA	-32.62	21.29	NA	NA	15.276
lmer_pop	WA_L	F	RE	RE15	-55.701	-44.226	NA	NA	21.29	27.443	NA	NA
lmer_pop	WA_L	F	RE	RE16	-6.494	NA	NA	-48.86	21.29	NA	NA	15.276
lmer_pop	WA_L	F	RE	RE17	40.432	NA	NA	-72.19	21.29	NA	NA	16.29
lmer_pop	WA_L	F	RE	RE18	-24.374	53.012	NA	-2.528	21.964	27.443	NA	15.512
lmer_pop	WA_L	F	RE	RE2	56.412	NA	170.945	49.688	22.156	NA	56.198	15.051
lmer_pop	WA_L	F	RE	RE3	-30.713	NA	-91.703	NA	21.791	NA	55.465	NA
lmer_pop	WA_L	F	RE	RE4	72.024	NA	-78.825	52.265	23.704	NA	55.129	15.512
lmer_pop	WA_L	F	RE	RE5	-32.455	NA	93.419	-9.433	21.499	NA	55.742	15.051
lmer_pop	WA_L	F	RE	RE6	10.462	NA	NA	67.652	21.139	NA	NA	15.276
lmer_pop	WA_L	F	RE	RE7	94.33	NA	NA	73.121	21.139	NA	NA	15.276
lmer_pop	WA_L	F	RE	RE8	20.381	NA	NA	-9.089	21.139	NA	NA	15.051
lmer_pop	WA_L	F	UM	UM13	-72.432	NA	NA	NA	21.139	NA	NA	NA
lmer_pop	WA_L	F	UM	UM17	67.022	NA	NA	-60.748	23.439	NA	NA	14.241
lmer_pop	WA_L	F	UM	UM18	-19.819	NA	NA	-19.529	21.151	NA	NA	15.512
lmer_pop	WA_L	F	UM	UM2	-155.542	NA	-15.071	-73.245	21.432	NA	56.014	15.276
lmer_pop	WA_L	F	UM	UM20	-10.454	4.407	NA	21.084	21.29	27.443	NA	14.836
lmer_pop	WA_L	F	UM	UM21	0.165	NA	NA	37.246	21.29	NA	NA	15.759
lmer_pop	WA_L	F	UM	UM22	56.094	NA	NA	117.629	23.694	NA	NA	16.879
lmer_pop	WA_L	F	UM	UM23	-38.099	NA	NA	39.69	21.29	NA	NA	16.577
lmer_pop	WA_L	F	UM	UM25	53.599	NA	NA	NA	21.791	NA	NA	NA
lmer_pop	WA_L	F	UM	UM26	-22.582	NA	NA	-21.045	21.29	NA	NA	14.629
lmer_pop	WA_L	F	UM	UM28	-6.428	NA	NA	24.113	21.964	NA	NA	16.018
lmer_pop	WA_L	F	UM	UM29	-16.957	NA	NA	-55.878	21.791	NA	NA	14.431
lmer_pop	WA_L	F	UM	UM4	32.613	NA	-52.969	NA	23.694	NA	55.806	NA
lmer_pop	WA_L	F	UM	UM5	-39.981	-43.021	137.882	NA	21.313	27.443	55.812	NA
lmer_pop	WA_L	F	UM	UM6	41.607	NA	NA	-9.507	21.692	NA	NA	16.29
lmer_pop	WA_L	F	UM	UM7	78.297	NA	29.682	70.155	21.499	NA	55.735	15.051
lmer_pop	WA_L	F	UM	UM9	52.896	38.613	NA	0.081	21.139	27.443	NA	15.276
lmer_pop	WA_L	F	VA	VA1	-27.666	NA	16.06	9.089	21.635	NA	56.262	15.512
lmer_pop	WA_L	F	VA	VA11	71.265	NA	-37.373	11.086	21.6	NA	56.225	15.051
lmer_pop	WA_L	F	VA	VA15	-5.797	33.601	110.732	NA	21.791	27.443	55.657	NA
lmer_pop	WA_L	F	VA	VA18	-84.294	NA	NA	-20.213	21.139	NA	NA	14.836
lmer_pop	WA_L	F	VA	VA22	-43.939	NA	NA	NA	20.941	NA	NA	NA
lmer_pop	WA_L	F	VA	VA26	27.32	NA	NA	NA	21.139	NA	NA	NA
lmer_pop	WA_L	F	VA	VA30	72.671	NA	NA	82.262	21.139	NA	NA	15.051
lmer_pop	WA_L	F	VA	VA34	27.416	NA	NA	-28.938	21.139	NA	NA	16.577
lmer_pop	WA_L	F	VA	VA35	-30.481	NA	NA	NA	21.29	NA	NA	NA
lmer_pop	WA_L	F	VA	VA44	25.198	NA	NA	80.017	21.29	NA	NA	15.276
lmer_pop	WA_L	F	VA	VA46	102.445	NA	NA	42.278	21.29	NA	NA	15.276
lmer_pop	WA_L	F	VA	VA47	-28.763	NA	NA	NA	21.791	NA	NA	NA
lmer_pop	WA_L	F	VA	VA48	-94.856	-78.722	NA	-10.879	21.29	27.443	NA	14.629
lmer_pop	WA_L	F	VA	VA55	-7.537	NA	NA	-25.104	21.964	NA	NA	14.836
lmer_pop	WA_L	F	VA	VA57	52.274	NA	NA	12.48	21.791	NA	NA	15.276
lmer_pop	WA_L	F	VA	VA6	-37.692	45.121	-53.93	2.727	21.499	27.443	55.797	14.629
lmer_pop	WA_L	F	VA	VA66	11.95	NA	NA	-18.128	21.791	NA	NA	14.629
lmer_pop	WA_L	F	VA	VA67	-7.524	NA	NA	-91.343	21.964	NA	NA	16.018
lmer_pop	WA_L	F	VA	VA71	-33.177	NA	NA	-30.982	21.964	NA	NA	15.276
lmer_pop	WA_L	F	VA	VA9	11.188	NA	-35.489	-14.353	21.303	NA	55.538	14.836
lmer_pop	WA_L	F	YE	YE13	38.291	NA	-103.734	41.468	21.499	NA	55.609	15.512
lmer_pop	WA_L	F	YE	YE14	-104.597	-20.156	-26.689	-73.99	21.6	27.443	55.893	15.512
lmer_pop	WA_L	F	YE	YE15	62.176	NA	-17.034	61.017	23.791	NA	56.501	14.058
lmer_pop	WA_L	F	YE	YE19	21.472	-32.788	100.817	NA	21.6	27.443	54.879	NA
lmer_pop	WA_L	F	YE	YE20	-23.031	NA	NA	30.942	21.139	NA	NA	15.276
lmer_pop	WA_L	F	YE	YE21	61.054	52.944	NA	NA	21.139	27.443	NA	NA
lmer_pop	WA_L	F	YE	YE22	-9.567	NA	NA	4.68	20.479	NA	NA	14.431
lmer_pop	WA_L	F	YE	YE23	-57.831	NA	NA	-14.822	21.151	NA	NA	14.836
