Model	Trait	Sex	Population	Line	Coef_Vieira	Coef_Mensch	SE_Vieira	SE_Mensch
lmer_pop	CCRT	F	MA	MA27	1234.6732895956	1629.06299258261	141.53806752442	190.382366357543
lmer_pop	CCRT	F	MA	MA28	1253.2452895956	1903.73499258261	141.53806752442	196.542747991112
lmer_pop	CCRT	F	MA	MA3	1329.4542895956	1793.37099258261	141.425778719961	192.267414930085
lmer_pop	CCRT	F	MA	MA30	1252.4212895956	2113.62999258261	141.425778719961	190.653292190032
lmer_pop	CCRT	F	MA	MA31	1228.8432895956	1870.11699258261	141.425778719961	190.382366357543
lmer_pop	CCRT	F	MA	MA32	1284.1542895956	1590.15499258261	141.425778719961	190.653292190032
lmer_pop	CCRT	F	MA	MA33	1393.3232895956	1768.12399258261	141.425778719961	192.079241054044
lmer_pop	CCRT	F	MA	MA5	1231.6702895956	1697.15199258261	141.425778719961	199.727855550741
lmer_pop	CCRT	F	MA	MA6	1312.9822895956	2262.68599258261	141.425778719961	198.540542718352
lmer_pop	CCRT	F	MA	MA7	1173.3062895956	2223.49199258261	141.53806752442	192.261141739296
lmer_pop	CCRT	F	MA	MA9	1259.3012895956	1917.74899258261	141.53806752442	191.958296040827
lmer_pop	CCRT	F	MU	MU1	1304.94178330464	1399.99155388989	142.001199837687	191.684345235583
lmer_pop	CCRT	F	MU	MU10	1471.44778330464	2039.04055388989	141.922503636114	192.109648837309
lmer_pop	CCRT	F	MU	MU11	1540.24378330464	1910.59955388989	141.922503636114	192.646978100863
lmer_pop	CCRT	F	MU	MU12	1460.46678330464	1465.27555388989	141.922503636114	192.109648837309
lmer_pop	CCRT	F	MU	MU13	1567.21278330464	1565.45355388989	141.922503636114	191.684345235583
lmer_pop	CCRT	F	MU	MU14	1607.32778330464	1921.64255388989	142.512578095208	190.772002580028
lmer_pop	CCRT	F	MU	MU15	1573.34978330464	1547.00855388989	141.922503636114	192.344739900508
lmer_pop	CCRT	F	MU	MU16	1503.56878330464	1779.36355388989	142.512578095208	192.646978100863
lmer_pop	CCRT	F	MU	MU17	1428.15178330464	1876.22555388989	142.512578095208	191.042375852569
lmer_pop	CCRT	F	MU	MU18	1407.96578330464	2010.60755388989	142.512578095208	191.684345235583
lmer_pop	CCRT	F	MU	MU19	1626.64178330464	1760.41855388989	141.922503636114	191.684345235583
lmer_pop	CCRT	F	MU	MU2	1505.75778330464	1595.65255388989	142.001199837687	192.653238728017
lmer_pop	CCRT	F	MU	MU20	1363.57078330464	1970.48355388989	141.922503636114	192.183833262307
lmer_pop	CCRT	F	MU	MU3	1440.83778330464	2184.19155388989	142.001199837687	209.34736280019
lmer_pop	CCRT	F	MU	MU4	1588.60278330464	1867.30155388989	142.001199837687	191.042375852569
lmer_pop	CCRT	F	MU	MU5	1473.53978330464	1739.59755388989	142.001199837687	200.251832671749
lmer_pop	CCRT	F	MU	MU6	1648.12078330464	1717.06255388989	141.922503636114	191.042375852569
lmer_pop	CCRT	F	MU	MU7	1669.59878330464	1826.02855388989	141.922503636114	236.205975776216
lmer_pop	CCRT	F	MU	MU8	1534.90678330464	1822.84855388989	142.001199837687	190.772002580028
lmer_pop	CCRT	F	MU	MU9	1932.02378330464	1446.77755388989	141.922503636114	190.772002580028
lmer_pop	CCRT	F	RE	RE10	1503.37633407269	1638.2345867736	142.468708074637	203.364773188258
lmer_pop	CCRT	F	RE	RE11	1634.61633407269	1632.8995867736	142.569357831394	195.330158772044
lmer_pop	CCRT	F	RE	RE12	1422.35933407269	1762.0185867736	142.801635135793	195.820347474188
lmer_pop	CCRT	F	RE	RE13	1401.39433407269	1824.2365867736	142.468708074637	196.274911511665
lmer_pop	CCRT	F	RE	RE15	1509.82133407269	2080.3445867736	142.477536195907	195.747541220603
lmer_pop	CCRT	F	RE	RE16	1406.61333407269	1565.3295867736	142.801635135793	202.208468835783
lmer_pop	CCRT	F	RE	RE17	1473.55233407269	1863.6785867736	142.801635135793	212.265538137757
lmer_pop	CCRT	F	RE	RE18	1280.64933407269	1513.0065867736	142.801635135793	194.700210808596
lmer_pop	CCRT	F	RE	RE2	1303.58933407269	1627.8215867736	142.679742491554	194.43492403864
lmer_pop	CCRT	F	RE	RE3	1478.02933407269	1771.0275867736	146.607817528453	196.281056421428
lmer_pop	CCRT	F	RE	RE4	1410.86833407269	1543.4965867736	142.569357831394	196.274911511665
lmer_pop	CCRT	F	RE	RE5	1334.77833407269	1624.0085867736	142.468708074637	195.978268399616
lmer_pop	CCRT	F	RE	RE6	1627.78833407269	1542.4365867736	142.801635135793	193.232458611155
lmer_pop	CCRT	F	RE	RE7	1339.97233407269	1408.8525867736	142.31512358304	203.496023169771
lmer_pop	CCRT	F	RE	RE8	1377.72133407269	1506.2445867736	142.477536195907	194.43492403864
lmer_pop	CCRT	F	RE	RE9	1442.17133407269	NA	142.468708074637	NA
lmer_pop	CCRT	F	UM	UM13	1718.68241679648	1647.32547649398	141.166031838052	194.733193718835
