Model	Trait	Sex	Population	Line	Value_re_Vieira	Value_re_Mensch	SE_re_Vieira	SE_re_Mensch
lmer_pop	CCRT	F	MU	MU18	-124.448	238.329	126.149	171.221
lmer_pop	CCRT	F	MU	MU19	94.228	-11.86	125.482	171.221
lmer_pop	CCRT	F	MU	MU2	-26.656	-176.626	125.571	172.305
lmer_pop	CCRT	F	MU	MU20	-168.843	198.205	125.482	171.78
lmer_pop	CCRT	F	MU	MU3	-91.576	411.913	125.571	190.788
lmer_pop	CCRT	F	MU	MU4	56.189	95.023	125.571	170.502
lmer_pop	CCRT	F	MU	MU5	-58.874	-32.681	125.571	180.761
lmer_pop	CCRT	F	MU	MU6	115.707	-55.216	125.482	170.502
lmer_pop	CCRT	F	MU	MU7	137.185	53.75	125.482	219.925
lmer_pop	CCRT	F	MU	MU8	2.493	50.57	125.571	170.199
lmer_pop	CCRT	F	MU	MU9	399.61	-325.501	125.482	170.199
lmer_pop	CCRT	F	RE	RE10	69.17	-15.572	125.772	180.333
lmer_pop	CCRT	F	RE	RE11	200.41	-20.907	125.886	171.221
lmer_pop	CCRT	F	RE	RE12	-11.847	108.212	126.149	171.78
lmer_pop	CCRT	F	RE	RE13	-32.812	170.43	125.772	172.298
lmer_pop	CCRT	F	RE	RE15	75.615	426.538	125.782	171.697
lmer_pop	CCRT	F	RE	RE16	-27.593	-88.477	126.149	179.028
lmer_pop	CCRT	F	RE	RE17	39.346	209.872	126.149	190.314
lmer_pop	CCRT	F	RE	RE18	-153.557	-140.8	126.149	170.502
lmer_pop	CCRT	F	RE	RE2	-130.617	-25.985	126.011	170.199
lmer_pop	CCRT	F	RE	RE3	43.823	117.221	130.442	172.305
lmer_pop	CCRT	F	RE	RE4	-23.338	-110.31	125.886	172.298
lmer_pop	CCRT	F	RE	RE5	-99.428	-29.798	125.772	171.96
lmer_pop	CCRT	F	RE	RE6	193.582	-111.37	126.149	168.824
lmer_pop	CCRT	F	RE	RE7	-94.234	-244.954	125.598	180.481
lmer_pop	CCRT	F	RE	RE8	-56.485	-147.562	125.782	170.199
lmer_pop	CCRT	F	RE	RE9	7.965	NA	125.772	NA
lmer_pop	CCRT	F	UM	UM13	4.682	-235.878	125.686	171.697
lmer_pop	CCRT	F	UM	UM17	73.725	38.615	130.365	171.96
lmer_pop	CCRT	F	UM	UM18	4.198	-315.06	125.686	170.199
lmer_pop	CCRT	F	UM	UM2	216.59	21.418	125.571	173.858
lmer_pop	CCRT	F	UM	UM20	85.671	223.849	125.686	170.199
lmer_pop	CCRT	F	UM	UM21	-129.608	-195.49	125.772	203.726
lmer_pop	CCRT	F	UM	UM22	-109.003	NA	126.011	NA
lmer_pop	CCRT	F	UM	UM23	125.47	78.742	125.772	173.858
lmer_pop	CCRT	F	UM	UM24	-51.526	NA	125.772	NA
lmer_pop	CCRT	F	UM	UM25	-84.573	241.873	126.011	171.96
lmer_pop	CCRT	F	UM	UM26	-48.605	-0.387	126.011	171.78
lmer_pop	CCRT	F	UM	UM28	-213.492	367.635	125.772	172.095
lmer_pop	CCRT	F	UM	UM29	-138.35	-409.074	126.011	172.095
lmer_pop	CCRT	F	UM	UM4	-131.971	-36.733	126.011	172.305
lmer_pop	CCRT	F	UM	UM5	-0.243	-220.094	125.686	172.095
lmer_pop	CCRT	F	UM	UM6	55.795	34.134	125.686	170.199
lmer_pop	CCRT	F	UM	UM7	151.479	77.041	125.686	179.028
lmer_pop	CCRT	F	UM	UM8	27.018	360.978	126.011	180.333
lmer_pop	CCRT	F	UM	UM9	162.743	-31.569	130.365	171.697
lmer_pop	CCRT	F	VA	VA1	-154.249	-218.84	125.571	171.96
lmer_pop	CCRT	F	VA	VA11	73.859	63.985	125.571	172.095
lmer_pop	CCRT	F	VA	VA15	-38.59	421.64	125.33	179.871
lmer_pop	CCRT	F	VA	VA18	-151.715	-59.117	125.33	172.305
lmer_pop	CCRT	F	VA	VA22	-52.197	-243.562	126.011	171.78
lmer_pop	CCRT	F	VA	VA26	75.02	153.317	125.33	203.726
lmer_pop	CCRT	F	VA	VA30	-140.3	-242.047	126.149	179.028
lmer_pop	CCRT	F	VA	VA34	129.524	280.898	125.33	179.278
lmer_pop	CCRT	F	VA	VA35	272.768	-79.15	125.33	171.697
lmer_pop	CCRT	F	VA	VA44	22.908	209.012	125.571	173.858
lmer_pop	CCRT	F	VA	VA46	-146.255	-130.034	125.571	172.095
lmer_pop	CCRT	F	VA	VA47	-0.358	161.951	126.011	179.278
lmer_pop	CCRT	F	VA	VA48	-66.61	322.223	126.149	171.697
lmer_pop	CCRT	F	VA	VA55	58.871	-79.968	125.33	170.502
lmer_pop	CCRT	F	VA	VA57	53.096	184.495	126.011	171.221
lmer_pop	CCRT	F	VA	VA6	89.443	-202.932	125.571	171.78
lmer_pop	CCRT	F	VA	VA66	-73.149	-67.724	125.33	180.481
lmer_pop	CCRT	F	VA	VA67	162.992	-218.84	126.011	171.96
lmer_pop	CCRT	F	VA	VA71	-74.24	-74.508	126.011	170.502
lmer_pop	CCRT	F	VA	VA9	-40.819	-180.8	130.082	170.199
lmer_pop	CCRT	F	YE	YE11	21.567	112.008	125.571	171.78
