Trait	Population	Line	Sex	Value	SE	LLM	ULM	N_lab
CCRT	MU	MU7	F	116.693827442403	108.989301885114	-96.9212789525837	330.30893383739	2
CCRT	MU	MU8	F	19.4387616626509	101.045940627558	-178.607642751335	217.485166076637	2
CCRT	MU	MU9	F	46.1717022469664	362.44084648869	-664.199303397076	756.542707891008	2
CCRT	MA	MA12	F	-114.450896222555	147.422880556875	-403.394432611179	174.49264016607	2
CCRT	MA	MA13	F	95.9323699154321	103.187574011338	-106.311558798852	298.176298629716	2
CCRT	MA	MA16	F	-79.5254553433163	101.42956308134	-278.323745950377	119.272835263744	2
CCRT	MA	MA18	F	-42.0659791046316	102.485194978624	-242.9332702113	158.801312002037	2
CCRT	MA	MA19	F	-100.088321924774	180.605006091183	-454.06762929113	253.890985441582	2
CCRT	MA	MA20	F	58.0836519536585	202.095542528248	-338.016332837789	454.183636745106	2
CCRT	MA	MA21	F	-48.5818256338423	104.933484797162	-254.247676608561	157.084025340876	2
CCRT	MA	MA23	F	-71.1155547098896	101.314119533064	-269.687580120081	127.456470700302	2
CCRT	MA	MA26	F	37.920119188774	101.164548512744	-160.35875240846	236.198990786008	2
CCRT	MA	MA27	F	-97.1742144361024	101.346381791994	-295.809472711857	101.461043839652	2
CCRT	MA	MA28	F	9.49073147921498	102.740664002592	-191.877269713596	210.858732672026	2
CCRT	MA	MA3	F	22.4704312932699	101.719524674211	-176.896173592717	221.837036179257	2
CCRT	MA	MA30	F	120.603872518046	180.292096911264	-232.762144125236	473.969889161327	2
CCRT	MA	MA31	F	-15.5316037078014	101.281012382628	-214.038740295508	182.975532879905	2
CCRT	MA	MA32	F	-78.788403042292	101.34475164026	-277.420466279358	119.843660194774	2
CCRT	MA	MA33	F	55.2130931468126	101.676267709372	-144.068729646008	254.494915939634	2
CCRT	MA	MA5	F	-74.0680754001598	103.347183220285	-276.62483241558	128.488681615261	2
CCRT	MA	MA6	F	225.579659768779	224.733494166239	-214.889894916892	666.049214454451	2
CCRT	MA	MA7	F	141.684195091341	275.413466219698	-398.116279556605	681.484669739287	2
CCRT	MA	MA9	F	20.3310177436447	101.714489014542	-179.025717430753	219.687752918042	2
CCRT	UM	UM13	F	-87.1583400128866	116.869432016321	-316.218217658527	141.901537632754	2
CCRT	UM	UM17	F	60.9108242269109	103.886080268042	-142.702151593488	264.52380004731	2
CCRT	UM	UM18	F	-134.803906857463	158.290684089396	-445.047946760888	175.440133045961	2
CCRT	UM	UM2	F	149.680372117872	101.795886862388	-49.8358999067227	349.196644142466	2
CCRT	UM	UM20	F	134.43252987184	101.10583363324	-63.7312626762094	332.59632241989	2
CCRT	UM	UM21	F	-147.788537295188	107.020365003318	-357.544598314022	61.9675237236459	2
CCRT	UM	UM22	F	-109.003	126.011	-355.980021655877	137.974021655877	1
CCRT	UM	UM23	F	109.416831574964	101.902881299403	-90.309145692727	309.142808842654	2
CCRT	UM	UM24	F	-51.526	125.772	-298.034590263572	194.982590263572	1
CCRT	UM	UM25	F	57.6795033803447	161.870275222244	-259.58040622284	374.939412983529	2
CCRT	UM	UM26	F	-31.7358466375817	101.604898273017	-230.877787905551	167.406094630388	2
CCRT	UM	UM28	F	65.1996604184628	290.320868966046	-503.81878671536	634.218107552286	2
CCRT	UM	UM29	F	-248.33944916594	132.962794450828	-508.941737573365	12.2628392414841	2
CCRT	UM	UM4	F	-98.7839031416717	101.713214136172	-298.138139600379	100.570333317036	2
CCRT	UM	UM5	F	-78.7387625209801	105.33654234049	-285.194591764319	127.717066722359	2
CCRT	UM	UM6	F	48.1510660991335	101.10583363324	-150.012726448916	246.314858647183	2
CCRT	UM	UM7	F	126.903364429768	102.86698030186	-74.7122121602692	328.518941019804	2
CCRT	UM	UM8	F	169.083012025392	165.110762139314	-154.528135227623	492.694159278407	2
CCRT	UM	UM9	F	91.6865934021347	103.82800670686	-111.812560329894	295.185747134163	2
CCRT	KA	KA1	F	47.5059627504912	105.827764027751	-159.912643308304	254.924568809286	2
CCRT	KA	KA10	F	-69.7629906729335	104.169542141359	-273.931541556024	134.405560210157	2
CCRT	KA	KA11	F	-59.9577214471256	101.501915125697	-258.897819455333	138.982376561082	2
CCRT	KA	KA13	F	-36.0613014205534	101.295556746538	-234.596944437701	162.474341596594	2
CCRT	KA	KA14	F	-53.5036186123328	105.884127733103	-261.032695503653	154.025458278987	2
CCRT	KA	KA15	F	-9.59504851753813	108.569382738678	-222.387128509091	203.197031474015	2
CCRT	KA	KA16	F	54.9433614158868	101.363869603386	-143.726172340364	253.612895172138	2
CCRT	KA	KA17	F	-23.0595405667342	112.411155695469	-243.381357190378	197.26227605691	2
CCRT	KA	KA18	F	-48.2517347491728	169.69599653816	-380.8497762846	284.346306786255	2
CCRT	KA	KA2	F	-94.3703389332625	101.488855693528	-293.28484092476	104.544163058235	2
CCRT	KA	KA23	F	-58.1074832808429	101.544309639284	-257.130673008823	140.915706447137	2
CCRT	KA	KA24	F	43.1601138789914	101.587398331273	-155.947528133429	242.267755891412	2
CCRT	KA	KA25	F	123.332316095061	104.979744978258	-82.4242031685236	329.088835358646	2
CCRT	KA	KA28	F	-39.8384540077104	101.585963697072	-238.943284188766	159.266376173345	2
CCRT	KA	KA29	F	72.6910342888794	215.161856593765	-349.018455481672	494.400524059431	2
CCRT	KA	KA3	F	80.1535223640606	103.373136878857	-122.454102887429	282.76114761555	2
CCRT	KA	KA5	F	37.8617736983227	101.488855693528	-161.052728293175	236.77627568982	2
CCRT	KA	KA6	F	86.1504363864114	216.435144943668	-338.054652691884	510.355525464707	2
CCRT	KA	KA7	F	-68.8592245808058	101.76458423935	-268.314144591624	130.595695430013	2
CCRT	KA	KA9	F	54.7391856023649	101.432915237299	-144.065675109645	253.544046314375	2
CCRT	VA	VA1	F	-176.712908070625	101.410772004228	-375.474368843315	22.048552702065	2
CCRT	VA	VA11	F	70.4284659297582	101.438439524511	-128.387222186228	269.244154045744	2
CCRT	VA	VA15	F	173.440599003759	229.403286082844	-276.181579653754	623.062777661272	2
CCRT	VA	VA18	F	-119.67532155597	101.354060246399	-318.325629325814	78.9749862138741	2
CCRT	VA	VA22	F	-119.146386809888	101.604898273017	-318.288328077857	79.9955544580816	2
CCRT	VA	VA26	F	96.5165562502148	106.747654895627	-112.705002779325	305.738115279754	2
CCRT	VA	VA30	F	-174.057358479677	103.12035070337	-376.169531931421	28.0548149720681	2
CCRT	VA	VA34	F	179.217051850531	102.718623217008	-22.1077501963451	380.541853897406	2
CCRT	VA	VA35	F	116.376414723032	174.867624110516	-226.357830595668	459.110660041732	2
CCRT	VA	VA44	F	86.708900679276	101.795886862388	-112.807371345318	286.22517270387	2
CCRT	VA	VA46	F	-140.61932113091	101.438439524511	-339.435009246896	58.1963669850757	2
CCRT	VA	VA47	F	53.3134130451155	103.092533445617	-148.744239583286	255.371065673517	2
CCRT	VA	VA48	F	110.36162056847	193.632258815181	-269.150632954424	489.873874091364	2
CCRT	VA	VA55	F	10.168459273125	100.983297562656	-187.755166989772	208.092085536021	2
CCRT	VA	VA57	F	99.2611991394248	101.488855693528	-99.6533028520725	298.175701130922	2
CCRT	VA	VA6	F	-33.2467789927319	144.286666964466	-316.043449692409	249.549891706946	2
CCRT	VA	VA66	F	-71.3840453010119	102.943374121398	-273.149351025984	130.38126042396	2
CCRT	VA	VA67	F	-9.99534357649439	190.072308174673	-382.530222057252	362.539534904263	2
CCRT	VA	VA71	F	-74.3346727239092	101.338510592471	-272.954503732083	124.285158284264	2
CCRT	VA	VA9	F	-92.4362258564966	103.352214876192	-295.002844736278	110.130393023285	2
CCRT	AK	AK1	F	163.413657117829	101.452671156968	-35.4299244852136	362.257238720871	2
CCRT	AK	AK10	F	-177.92603319562	101.576473488711	-377.012262910081	21.1601965188406	2
CCRT	AK	AK11	F	-52.39193495267	100.987482210598	-250.323762974821	145.539893069481	2
CCRT	AK	AK12	F	-150.863491539826	101.273462215131	-349.35583007116	47.6288469915077	2
CCRT	AK	AK13	F	-95.017879496301	103.81095945009	-298.483621219026	108.447862226423	2
CCRT	AK	AK14	F	98.9596698800801	108.710438537868	-114.108874397697	312.028214157857	2
CCRT	AK	AK15	F	64.7851590257016	113.583735890972	-157.834872550114	287.405190601517	2
CCRT	AK	AK16	F	-109.728524990539	103.078998183739	-311.759648993138	92.3025990120597	2
CCRT	AK	AK17	F	18.8630472441597	116.034215026284	-208.559835181733	246.285929670053	2
CCRT	AK	AK18	F	127.292491482138	359.768548669611	-577.840906680544	832.425889644821	2
CCRT	AK	AK19	F	-127.458	135.606	-393.240876087539	138.324876087538	1
CCRT	AK	AK2	F	-99.7570544358918	115.006665979299	-325.165977737345	125.651868865561	2
CCRT	AK	AK20	F	52.7596078899283	103.448345084254	-149.995422735481	255.514638515338	2
CCRT	AK	AK21	F	212.555	180.481	-141.181259893773	566.291259893773	1
CCRT	AK	AK3	F	-35.1489195747577	103.381596116102	-237.773124626583	167.475285477068	2
CCRT	AK	AK4	F	-212.687537012631	124.946382340805	-457.577946399181	32.2028723739179	2
CCRT	AK	AK5	F	54.2458944119139	103.381596116102	-148.378310639912	256.87009946374	2
CCRT	AK	AK6	F	-41.5053420361004	101.370946638419	-240.188746526133	157.178062453932	2
CCRT	AK	AK7	F	411.327223956048	100.924414258405	213.519006848773	609.135441063324	2
CCRT	AK	AK8	F	-44.4400021322025	101.423517557271	-243.22644372982	154.346439465415	2
CCRT	AK	AK9	F	104.873327598245	117.528330741076	-125.477967817375	335.224623013865	2
CCRT	YE	YE11	M	72.9789157899074	78.7883267656935	-81.4433670730249	227.40119865284	2
CCRT	YE	YE13	M	-39.9350795447602	78.0067463422871	-192.825492926794	112.955333837274	2
CCRT	YE	YE14	M	-42.5955926165247	77.4842522421556	-194.461936380166	109.270751147117	2
CCRT	YE	YE15	M	-57.757252593237	97.3462926563089	-248.552480228098	133.037975041624	2
CCRT	YE	YE19	M	29.5239597608483	80.4310486263586	-128.117998785604	187.165918307301	2
CCRT	YE	YE20	M	-23.9848090001586	78.4180922184215	-177.681445484605	129.711827484288	2
CCRT	YE	YE21	M	-64.8981400737934	77.5141360433088	-216.823055011417	87.0267748638298	2
