Supervisor.PI,Diet,Batch,Population,Line,Sex,Individual,AreaT4,AreaT5,AreaT6,PercT4,PercT5,PercT6,TotalArea,TotalBlack,TotalPerc,Orientation
Gibert,NS,1,GI,GI10,F,2,8392,7912,7016,35.891,30.068,45.909,23320,8611.92832,36.92936672,OK
Gibert,NS,1,GI,GI10,F,3,7921,6931,5083,38.291,38.826,58.765,19935,8711.08512,43.69744229,OK
Gibert,NS,1,GI,GI10,F,4,9181,7637,7045,39.244,54.288,65.933,23863,12393.94605,51.93792084,OK
Gibert,NS,1,GI,GI10,F,5,8108,6959,7161,54.674,53.255,46.278,22228,11452.95095,51.52488281,OK
Gibert,NS,1,GI,GI10,F,6,13139,7057,5071,31.753,38.203,44.271,25267,9112.99479,36.06678589,OK
Gibert,NS,1,GI,GI10,F,7,7966,6617,4918,41.037,37.661,38.735,19501,7666.02309,39.31092298,OK
Gibert,NS,1,GI,GI10,F,8,8558,7651,6898,25.158,46.334,57.712,23107,9679.00974,41.8877818,OK
Gibert,NS,1,GI,GI10,F,9,9615,8142,6534,25.772,22.537,44.98,24291,7251.93354,29.85440509,OK
Gibert,NS,1,GI,GI10,F,10,6635,6211,4726,13.73,27.902,56.835,17572,5330.00082,30.33235158,OK
Gibert,NS,2,GI,GI10,F,1,8829,10563,10460,20.025,16.605,17.954,29852,5399.9818,18.08917928,OK
Gibert,NS,2,GI,GI10,F,2,12237,10809,10595,15.069,28.171,35.809,33641,8682.96047,25.81064912,OK
Gibert,NS,2,GI,GI10,F,3,9175,7506,4327,15.237,33.866,52.253,21008,6200.96402,29.51715546,OK
Gibert,NS,2,GI,GI10,F,4,7992,7506,5970,20.958,19.291,32.211,21468,5045.94252,23.50448351,OK
Gibert,NS,2,GI,GI10,F,5,9408,9097,9272,30.75,24.085,21.808,27777,7106.01021,25.58235306,OK
Gibert,NS,2,GI,GI10,F,6,9497,11793,8970,41.108,27.287,42.007,30260,10890.01057,35.98813804,OK
Gibert,NS,2,GI,GI10,F,7,12466,7668,6491,10.637,23.657,10.923,26625,3849.03911,14.45648492,OK
Gibert,NS,2,GI,GI10,F,8,10333,9682,8871,22.559,20.626,20.291,28886,6128.0454,21.2145863,OK
Gibert,NS,2,GI,GI10,F,9,9502,10526,8546,23.658,18.649,20.138,28574,5931.97038,20.76002793,OK
