Supervisor.PI,Diet,Batch,Population,Line,Sex,Individual,Tergite8,Tergite9,Tergite10,Total,Country,Latitude,Longitude,Altitude
Schmidt,NS,1,AK,AK15,FALSE,3,3,4,0,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK15,FALSE,4,3,4,0,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK15,FALSE,7,2,3,1,6,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK15,FALSE,8,1,4,1,6,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK15,FALSE,5,1,3,0,4,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK16,FALSE,1,5,6,4,15,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK16,FALSE,6,3,6,5,14,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK16,FALSE,8,4,4,4,12,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK16,FALSE,9,2,4,5,11,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK16,FALSE,10,3,5,3,11,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK16,FALSE,5,2,4,4,10,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK16,FALSE,7,3,4,3,10,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK16,FALSE,4,3,4,2,9,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK16,FALSE,2,0,4,4,8,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK16,FALSE,3,3,4,1,8,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK17,FALSE,10,3,4,3,10,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK17,FALSE,4,3,3,1,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK17,FALSE,8,3,3,1,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK17,FALSE,2,2,3,1,6,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK17,FALSE,5,2,3,1,6,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK17,FALSE,3,2,2,1,5,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK17,FALSE,6,1,4,0,5,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK17,FALSE,7,2,3,0,5,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK17,FALSE,1,1,2,1,4,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK17,FALSE,9,2,2,0,4,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK18,FALSE,10,1,9,3,13,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK18,FALSE,4,1,5,3,9,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK18,FALSE,3,1,4,3,8,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK18,FALSE,6,1,6,1,8,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK18,FALSE,5,1,3,1,5,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK18,FALSE,1,1,2,0,3,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK18,FALSE,2,1,2,0,3,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK18,FALSE,8,1,2,0,3,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK18,FALSE,9,1,2,0,3,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK18,FALSE,7,1,1,0,2,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK2,FALSE,9,2,6,5,13,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK2,FALSE,8,2,5,5,12,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK2,FALSE,3,1,5,4,10,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK2,FALSE,7,2,6,2,10,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK2,FALSE,10,3,6,1,10,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK2,FALSE,1,1,4,3,8,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK2,FALSE,2,2,3,3,8,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK2,FALSE,6,2,5,1,8,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK2,FALSE,5,2,4,0,6,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK2,FALSE,4,2,3,0,5,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK20,FALSE,2,1,5,7,13,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK20,FALSE,10,2,6,3,11,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK20,FALSE,6,2,4,4,10,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK20,FALSE,3,2,5,1,8,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK20,FALSE,1,2,4,1,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK20,FALSE,8,2,5,0,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK20,FALSE,7,3,3,0,6,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK20,FALSE,4,1,4,0,5,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK20,FALSE,9,1,4,0,5,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK20,FALSE,5,1,3,0,4,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK21,FALSE,3,5,9,3,17,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK21,FALSE,4,4,9,4,17,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK21,FALSE,10,4,9,4,17,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK21,FALSE,1,5,9,2,16,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK21,FALSE,2,3,7,4,14,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK21,FALSE,5,4,9,0,13,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK21,FALSE,7,3,8,1,12,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK21,FALSE,8,4,8,0,12,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK21,FALSE,9,3,7,1,11,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK21,FALSE,6,3,7,0,10,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK3,FALSE,8,2,6,5,13,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK3,FALSE,6,4,6,2,12,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK3,FALSE,7,2,5,3,10,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK3,FALSE,5,2,6,0,8,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK3,FALSE,9,2,4,2,8,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK3,FALSE,1,3,4,0,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK3,FALSE,3,2,5,0,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK3,FALSE,10,2,4,1,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK3,FALSE,2,2,3,1,6,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK3,FALSE,4,2,4,0,6,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK4,FALSE,3,4,9,8,21,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK4,FALSE,4,3,9,9,21,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK4,FALSE,10,3,6,7,16,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK4,FALSE,2,2,7,4,13,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK4,FALSE,9,2,6,5,13,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK4,FALSE,1,4,5,3,12,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK4,FALSE,6,3,3,1,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK4,FALSE,5,2,4,0,6,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK4,FALSE,7,1,5,0,6,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK4,FALSE,8,3,2,0,5,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK5,FALSE,6,3,7,3,13,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK5,FALSE,9,4,5,3,12,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK5,FALSE,2,2,3,1,6,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK5,FALSE,4,1,2,3,6,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK5,FALSE,5,1,2,2,5,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK5,FALSE,7,1,2,2,5,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK5,FALSE,8,1,3,0,4,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK5,FALSE,3,1,2,0,3,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK5,FALSE,1,1,1,0,2,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK5,FALSE,10,1,1,0,2,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK6,FALSE,5,4,9,9,22,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK6,FALSE,1,4,7,7,18,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK6,FALSE,7,3,7,8,18,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK6,FALSE,2,3,8,6,17,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK6,FALSE,9,3,7,4,14,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK6,FALSE,10,2,6,6,14,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK6,FALSE,4,3,6,4,13,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK6,FALSE,6,3,6,4,13,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK6,FALSE,8,3,7,3,13,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK6,FALSE,3,3,5,2,10,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK7,FALSE,6,4,8,4,16,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK7,FALSE,3,3,7,1,11,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK7,FALSE,5,1,5,5,11,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK7,FALSE,2,1,4,1,6,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK7,FALSE,1,1,3,1,5,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK7,FALSE,7,2,3,0,5,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK7,FALSE,9,2,3,0,5,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK7,FALSE,10,2,3,0,5,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK7,FALSE,4,1,3,0,4,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK7,FALSE,8,1,2,0,3,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK8,FALSE,8,3,7,6,16,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK8,FALSE,3,3,6,3,12,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK8,FALSE,7,3,5,1,9,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK8,FALSE,2,2,4,1,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK8,FALSE,4,3,4,0,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK8,FALSE,6,2,5,0,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK8,FALSE,10,3,4,0,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK8,FALSE,1,2,3,1,6,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK8,FALSE,9,2,3,0,5,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK8,FALSE,5,0,0,0,0,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK9,FALSE,3,4,5,5,14,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK9,FALSE,2,4,6,3,13,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK9,FALSE,8,3,7,3,13,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK9,FALSE,6,4,6,2,12,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK9,FALSE,10,3,7,1,11,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK9,FALSE,7,3,4,3,10,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK9,FALSE,5,3,5,1,9,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK9,FALSE,9,2,5,2,9,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK9,FALSE,1,3,4,0,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK9,FALSE,4,3,4,0,7,Finland,61.1,23.52,88
Schmidt,NS,1,GI,GI1,FALSE,6,1,3,2,6,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI1,FALSE,10,2,3,0,5,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI1,FALSE,7,1,3,0,4,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI1,FALSE,8,1,2,1,4,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI1,FALSE,1,1,2,0,3,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI1,FALSE,2,1,2,0,3,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI1,FALSE,3,1,2,0,3,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI1,FALSE,5,1,2,0,3,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI1,FALSE,9,1,2,0,3,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI1,FALSE,4,0,0,0,0,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI10,FALSE,6,3,3,0,6,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI10,FALSE,3,3,2,0,5,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI10,FALSE,7,3,2,0,5,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI10,FALSE,4,2,2,0,4,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI10,FALSE,1,2,0,0,2,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI10,FALSE,2,2,0,0,2,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI10,FALSE,5,2,0,0,2,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI10,FALSE,8,1,1,0,2,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI10,FALSE,9,2,0,0,2,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI10,FALSE,10,2,0,0,2,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI11,FALSE,5,3,8,0,11,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI11,FALSE,7,2,4,2,8,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI11,FALSE,9,3,2,0,5,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI11,FALSE,2,2,2,0,4,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI11,FALSE,3,2,2,0,4,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI11,FALSE,1,2,1,0,3,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI11,FALSE,4,1,2,0,3,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI11,FALSE,6,1,1,0,2,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI11,FALSE,10,1,1,0,2,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI11,FALSE,8,1,0,0,1,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI12,FALSE,6,4,8,4,16,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI12,FALSE,7,3,7,1,11,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI12,FALSE,8,2,6,3,11,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI12,FALSE,5,1,5,4,10,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI12,FALSE,3,1,4,4,9,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI12,FALSE,1,3,4,1,8,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI12,FALSE,2,2,4,2,8,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI12,FALSE,9,1,3,3,7,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI12,FALSE,10,2,3,0,5,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI12,FALSE,4,1,2,0,3,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI13,FALSE,1,3,4,5,12,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI13,FALSE,4,3,4,4,11,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI13,FALSE,2,2,4,3,9,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI13,FALSE,5,2,4,2,8,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI13,FALSE,8,1,4,3,8,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI13,FALSE,9,3,3,2,8,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI13,FALSE,3,2,3,1,6,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI13,FALSE,6,1,4,0,5,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI13,FALSE,7,2,0,0,2,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI13,FALSE,10,1,0,0,1,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI14,FALSE,4,2,3,1,6,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI14,FALSE,9,1,3,2,6,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI14,FALSE,7,2,3,0,5,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI14,FALSE,8,1,3,1,5,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI14,FALSE,10,1,2,2,5,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI14,FALSE,3,2,2,0,4,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI14,FALSE,5,1,2,1,4,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI14,FALSE,6,1,2,1,4,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI14,FALSE,1,1,1,1,3,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI14,FALSE,2,1,1,1,3,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI15,FALSE,6,5,9,8,22,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI15,FALSE,8,4,9,8,21,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI15,FALSE,3,4,9,7,20,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI15,FALSE,5,3,9,7,19,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI15,FALSE,9,3,10,6,19,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI15,FALSE,1,2,8,8,18,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI15,FALSE,2,3,8,6,17,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI15,FALSE,7,3,9,4,16,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI15,FALSE,10,3,8,5,16,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI15,FALSE,4,2,8,4,14,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI2,FALSE,4,3,10,7,20,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI2,FALSE,9,3,8,4,15,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI2,FALSE,6,3,7,4,14,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI2,FALSE,7,1,5,4,10,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI2,FALSE,5,1,4,3,8,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI2,FALSE,8,1,5,2,8,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI2,FALSE,1,3,3,1,7,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI2,FALSE,3,3,4,0,7,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI2,FALSE,10,3,4,0,7,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI2,FALSE,2,3,2,0,5,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI3,FALSE,4,1,6,0,7,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI3,FALSE,1,2,4,0,6,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI3,FALSE,2,1,5,0,6,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI3,FALSE,3,1,3,0,4,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI3,FALSE,6,1,2,0,3,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI3,FALSE,5,1,0,0,1,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI5,FALSE,1,3,9,9,21,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI5,FALSE,10,3,9,9,21,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI5,FALSE,3,3,9,8,20,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI5,FALSE,4,4,8,7,19,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI5,FALSE,7,3,7,8,18,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI5,FALSE,9,2,8,8,18,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI5,FALSE,2,1,7,8,16,Spain,41.618,0.62,173
Schmidt,NS,1,GI,GI5,FALSE,6,2,6,6,14,Spain,41.618,0.62,173
