Supervisor.PI,Diet,Batch,Population,Line,Sex,Individual,Tergite8,Tergite9,Tergite10,Total,Country,Latitude,Longitude,Altitude
Schmidt,NS,1,AK,AK1,FALSE,2,4,8,6,18,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK1,FALSE,9,3,7,3,13,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK1,FALSE,1,2,6,3,11,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK1,FALSE,10,2,5,4,11,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK1,FALSE,3,2,4,1,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK1,FALSE,6,2,4,1,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK1,FALSE,8,2,4,1,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK1,FALSE,5,1,3,1,5,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK1,FALSE,4,1,2,0,3,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK1,FALSE,7,1,1,0,2,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK10,FALSE,4,3,7,8,18,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK10,FALSE,5,2,5,4,11,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK10,FALSE,10,2,5,4,11,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK10,FALSE,1,3,4,3,10,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK10,FALSE,2,3,4,3,10,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK10,FALSE,9,1,4,4,9,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK10,FALSE,3,2,5,1,8,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK10,FALSE,7,2,4,1,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK10,FALSE,8,3,4,0,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK10,FALSE,6,2,3,0,5,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK11,FALSE,5,2,3,5,10,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK11,FALSE,7,1,3,5,9,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK11,FALSE,2,3,4,0,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK11,FALSE,3,1,4,1,6,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK11,FALSE,4,1,3,2,6,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK11,FALSE,6,2,4,0,6,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK11,FALSE,10,2,3,1,6,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK11,FALSE,1,2,3,0,5,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK11,FALSE,8,2,2,1,5,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK11,FALSE,9,1,2,0,3,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK12,FALSE,1,5,10,9,24,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK12,FALSE,3,3,6,7,16,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK12,FALSE,2,3,6,2,11,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK12,FALSE,4,3,3,3,9,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK12,FALSE,9,2,4,3,9,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK12,FALSE,5,2,3,2,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK12,FALSE,7,2,4,1,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK12,FALSE,10,1,2,3,6,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK12,FALSE,8,1,2,2,5,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK12,FALSE,6,1,2,0,3,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK13,FALSE,6,3,7,7,17,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK13,FALSE,4,3,8,3,14,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK13,FALSE,2,4,6,2,12,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK13,FALSE,5,4,7,1,12,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK13,FALSE,10,3,5,1,9,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK13,FALSE,7,3,4,1,8,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK13,FALSE,8,3,5,0,8,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK13,FALSE,9,3,5,0,8,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK13,FALSE,1,3,4,0,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK13,FALSE,3,3,3,1,7,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK14,FALSE,9,2,7,7,16,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK14,FALSE,10,2,5,4,11,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK14,FALSE,4,1,4,5,10,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK14,FALSE,2,1,5,3,9,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK14,FALSE,1,1,5,2,8,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK14,FALSE,6,1,3,2,6,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK14,FALSE,8,1,3,2,6,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK14,FALSE,5,1,4,0,5,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK14,FALSE,7,1,2,2,5,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK14,FALSE,3,1,2,0,3,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK15,FALSE,10,3,4,4,11,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK15,FALSE,2,3,3,4,10,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK15,FALSE,6,2,4,3,9,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK15,FALSE,9,3,4,2,9,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK15,FALSE,1,3,4,0,7,Finland,61.1,23.52,88
